feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_asp_T6W30,-0.06241538924495237,0.20866300434295226,1.0,327,0.8175
z_atd_T6W30,0.06235766809175956,0.048194791889252256,1.0,373,0.9325
z_l3_T6W30,-0.037926999731568746,0.03321398967260591,1.0,251,0.6275
z_l2_T6W30,0.03134599616923055,0.02761268373636215,1.0,76,0.19
z_re_T6W30,-0.027478739053675795,0.021322235066353352,1.0,320,0.8
z_lsc_T6W30,0.019341362162721965,0.04485450880246999,1.0,129,0.3225
z_density_T6W30,0.018899092054039817,0.0581145696971419,1.0,113,0.2825
z_l1_T6W30,-0.014472999849323563,0.02404496661251557,1.0,39,0.0975
z_diameter_T6W30,0.007370894421382934,0.18197510804662745,1.0,330,0.825
z_pe_T6W30,-0.005743750989528902,0.02335184325325111,1.0,42,0.105
