feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
l1_T6W40,-0.19694078455402342,0.1645506081904953,1.0,31,0.0775
l3_T6W40,0.10389805481503427,0.08238395689035902,1.0,67,0.1675
density_T6W40,0.094342368603601,0.16059467663022858,1.0,383,0.9575
asp_T6W40,-0.07917815199834465,0.06406565607496008,1.0,206,0.515
l2_T6W40,0.07186895354725922,0.0768093939390524,1.0,13,0.0325
lcc_T6W40,-0.07044588032518848,0.042884539954131225,1.0,347,0.8675
pe_T6W40,0.06713010461188426,0.059282729365675496,1.0,13,0.0325
nodes_T6W40,-0.06604284353477535,0.06543181675519337,1.0,355,0.8875
atd_T6W40,0.0657591988181637,0.12482557754708973,1.0,331,0.8275
re_T6W40,0.06321017247516522,0.03294800709873992,1.0,38,0.095
lsc_T6W40,-0.05971237891516967,0.038958859762637583,1.0,126,0.315
diameter_T6W40,-0.053090546973612054,0.0964236472533897,1.0,82,0.205
edges_T6W40,0.004218621787211084,0.03359390376375681,1.0,8,0.02
