feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_l1_T6W40,-0.14999486498826797,0.16764731418379597,1.0,315,0.7875
z_diameter_T6W40,0.09757228203879675,0.15081357077048826,1.0,254,0.635
z_re_T6W40,-0.0830182362676364,0.15404586598445222,1.0,100,0.25
z_l3_T6W40,0.0685278085709155,0.06227425524591623,1.0,273,0.6825
z_lsc_T6W40,-0.06256178443107992,0.07748841835210618,1.0,207,0.5175
z_atd_T6W40,-0.0548439612999488,0.07120453696688692,1.0,160,0.4
z_asp_T6W40,0.04315008377158761,0.08920973039351468,1.0,233,0.5825
z_l2_T6W40,-0.042684669685614435,0.05789420890058647,1.0,240,0.6
z_density_T6W40,0.033393343997187665,0.05537390124702867,1.0,125,0.3125
z_pe_T6W40,0.0027097978158777494,0.05929677392440136,1.0,93,0.2325
