target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T6W40,VALIDATION,R2,-0.01327,0.024895,-0.015718,-0.010823,1.9659,399,True
MOT,T6W40,VALIDATION,RMSE,7.647769,0.321407,7.616176,7.679362,1.9659,399,True
MOT,T6W40,VALIDATION,MAE,6.521491,0.247233,6.497189,6.545793,1.9659,399,True
MOT,T6W40,VALIDATION,rho,-0.083056,0.125261,-0.095369,-0.070743,1.9659,399,True
MOT,T6W40,TEST,R2,-0.011758,0.021223,-0.013844,-0.009672,1.9659,399,True
MOT,T6W40,TEST,RMSE,7.826032,0.482521,7.778602,7.873462,1.9659,399,True
MOT,T6W40,TEST,MAE,6.708998,0.36769,6.672855,6.74514,1.9659,399,True
MOT,T6W40,TEST,rho,-0.0653,0.175262,-0.082528,-0.048073,1.9659,399,True
COG,T6W40,VALIDATION,R2,-0.010657,0.050852,-0.015656,-0.005659,1.9659,399,True
COG,T6W40,VALIDATION,RMSE,2.25319,0.192225,2.234295,2.272085,1.9659,399,True
COG,T6W40,VALIDATION,MAE,1.756261,0.12843,1.743637,1.768885,1.9659,399,True
COG,T6W40,VALIDATION,rho,0.094343,0.128663,0.081696,0.10699,1.9659,399,True
COG,T6W40,TEST,R2,-0.009382,0.068301,-0.016096,-0.002669,1.9659,399,True
COG,T6W40,TEST,RMSE,2.173716,0.277279,2.146461,2.200972,1.9659,399,True
COG,T6W40,TEST,MAE,1.688694,0.193359,1.669687,1.7077,1.9659,399,True
COG,T6W40,TEST,rho,0.095829,0.196375,0.076526,0.115132,1.9659,399,True
MOT_V4,T6W40,VALIDATION,R2,-0.013566,0.022912,-0.015818,-0.011314,1.9659,399,True
MOT_V4,T6W40,VALIDATION,RMSE,3.471777,0.170483,3.455019,3.488534,1.9659,399,True
MOT_V4,T6W40,VALIDATION,MAE,2.880519,0.115158,2.869199,2.891839,1.9659,399,True
MOT_V4,T6W40,VALIDATION,rho,-0.032824,0.122636,-0.044878,-0.020769,1.9659,399,True
MOT_V4,T6W40,TEST,R2,-0.017173,0.027854,-0.019911,-0.014435,1.9659,399,True
MOT_V4,T6W40,TEST,RMSE,3.487748,0.263272,3.461869,3.513627,1.9659,399,True
MOT_V4,T6W40,TEST,MAE,2.910948,0.172939,2.893949,2.927947,1.9659,399,True
MOT_V4,T6W40,TEST,rho,-0.030345,0.186087,-0.048637,-0.012053,1.9659,399,True
COG_V1,T6W40,VALIDATION,R2,-0.017722,0.03975,-0.02163,-0.013815,1.9659,399,True
COG_V1,T6W40,VALIDATION,RMSE,1.393105,0.076631,1.385573,1.400638,1.9659,399,True
COG_V1,T6W40,VALIDATION,MAE,1.087668,0.059373,1.081832,1.093504,1.9659,399,True
COG_V1,T6W40,VALIDATION,rho,0.006144,0.130702,-0.006703,0.018992,1.9659,399,False
COG_V1,T6W40,TEST,R2,-0.019033,0.049792,-0.023927,-0.014138,1.9659,399,True
COG_V1,T6W40,TEST,RMSE,1.346853,0.107355,1.3363,1.357406,1.9659,399,True
COG_V1,T6W40,TEST,MAE,1.044946,0.07788,1.037291,1.052602,1.9659,399,True
COG_V1,T6W40,TEST,rho,0.003826,0.198954,-0.01573,0.023383,1.9659,399,False
