target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T6W50,VALIDATION,R2,-0.005952,0.021844,-0.0081,-0.003805,1.9659,399,True
MOT,T6W50,VALIDATION,RMSE,7.62011,0.315135,7.589134,7.651087,1.9659,399,True
MOT,T6W50,VALIDATION,MAE,6.464682,0.245383,6.440562,6.488802,1.9659,399,True
MOT,T6W50,VALIDATION,rho,0.04617,0.11156,0.035204,0.057136,1.9659,399,True
MOT,T6W50,TEST,R2,-0.00431,0.031529,-0.007409,-0.001211,1.9659,399,True
MOT,T6W50,TEST,RMSE,7.796952,0.494331,7.748361,7.845543,1.9659,399,True
MOT,T6W50,TEST,MAE,6.654948,0.38986,6.616626,6.69327,1.9659,399,True
MOT,T6W50,TEST,rho,0.070513,0.188086,0.052024,0.089001,1.9659,399,True
COG,T6W50,VALIDATION,R2,0.009003,0.057653,0.003336,0.014671,1.9659,399,True
COG,T6W50,VALIDATION,RMSE,2.23063,0.189233,2.212029,2.249231,1.9659,399,True
COG,T6W50,VALIDATION,MAE,1.745322,0.127784,1.732761,1.757883,1.9659,399,True
COG,T6W50,VALIDATION,rho,0.156141,0.128569,0.143503,0.168779,1.9659,399,True
COG,T6W50,TEST,R2,0.003199,0.08519,-0.005174,0.011573,1.9659,399,False
COG,T6W50,TEST,RMSE,2.158518,0.273499,2.131634,2.185402,1.9659,399,True
COG,T6W50,TEST,MAE,1.685005,0.189835,1.666345,1.703665,1.9659,399,True
COG,T6W50,TEST,rho,0.146802,0.192662,0.127864,0.16574,1.9659,399,True
MOT_V4,T6W50,VALIDATION,R2,-0.00033,0.030396,-0.003318,0.002657,1.9659,399,False
MOT_V4,T6W50,VALIDATION,RMSE,3.448914,0.174123,3.431798,3.466029,1.9659,399,True
MOT_V4,T6W50,VALIDATION,MAE,2.846767,0.117905,2.835177,2.858357,1.9659,399,True
MOT_V4,T6W50,VALIDATION,rho,0.111853,0.120195,0.100038,0.123668,1.9659,399,True
MOT_V4,T6W50,TEST,R2,-0.00595,0.048061,-0.010674,-0.001226,1.9659,399,True
MOT_V4,T6W50,TEST,RMSE,3.467911,0.271274,3.441246,3.494576,1.9659,399,True
MOT_V4,T6W50,TEST,MAE,2.875819,0.182126,2.857917,2.893722,1.9659,399,True
MOT_V4,T6W50,TEST,rho,0.117532,0.198252,0.098044,0.137019,1.9659,399,True
COG_V1,T6W50,VALIDATION,R2,-0.009345,0.045809,-0.013848,-0.004842,1.9659,399,True
COG_V1,T6W50,VALIDATION,RMSE,1.387422,0.080402,1.379519,1.395325,1.9659,399,True
COG_V1,T6W50,VALIDATION,MAE,1.07858,0.059876,1.072694,1.084466,1.9659,399,True
COG_V1,T6W50,VALIDATION,rho,0.123891,0.131135,0.111001,0.136781,1.9659,399,True
COG_V1,T6W50,TEST,R2,-0.017132,0.0724,-0.024249,-0.010015,1.9659,399,True
COG_V1,T6W50,TEST,RMSE,1.345731,0.118848,1.334048,1.357413,1.9659,399,True
COG_V1,T6W50,TEST,MAE,1.037952,0.082469,1.029846,1.046059,1.9659,399,True
COG_V1,T6W50,TEST,rho,0.11353,0.19212,0.094646,0.132415,1.9659,399,True
