run_name,target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
W150_raw_all,MOT,T6W150,VALIDATION,R2,-0.005995,0.01791,-0.007755,-0.004235,1.9659,399,True
W150_raw_all,MOT,T6W150,VALIDATION,RMSE,7.620521,0.31437,7.589619,7.651422,1.9659,399,True
W150_raw_all,MOT,T6W150,VALIDATION,MAE,6.480149,0.244052,6.456159,6.504138,1.9659,399,True
W150_raw_all,MOT,T6W150,VALIDATION,rho,0.028364,0.115539,0.017007,0.039721,1.9659,399,True
W150_raw_all,MOT,T6W150,TEST,R2,-0.002512,0.022834,-0.004757,-0.000267,1.9659,399,True
W150_raw_all,MOT,T6W150,TEST,RMSE,7.790581,0.489631,7.742452,7.83871,1.9659,399,True
W150_raw_all,MOT,T6W150,TEST,MAE,6.663328,0.379922,6.625983,6.700673,1.9659,399,True
W150_raw_all,MOT,T6W150,TEST,rho,0.057233,0.174959,0.040035,0.074431,1.9659,399,True
W150_raw_all,COG,T6W150,VALIDATION,R2,-0.00566,0.063701,-0.011921,0.000602,1.9659,399,False
W150_raw_all,COG,T6W150,VALIDATION,RMSE,2.247216,0.190919,2.228449,2.265982,1.9659,399,True
W150_raw_all,COG,T6W150,VALIDATION,MAE,1.750045,0.126804,1.737581,1.762509,1.9659,399,True
W150_raw_all,COG,T6W150,VALIDATION,rho,0.130919,0.124138,0.118716,0.143121,1.9659,399,True
W150_raw_all,COG,T6W150,TEST,R2,-0.007202,0.05444,-0.012553,-0.001851,1.9659,399,True
W150_raw_all,COG,T6W150,TEST,RMSE,2.171734,0.272695,2.144929,2.198539,1.9659,399,True
W150_raw_all,COG,T6W150,TEST,MAE,1.686969,0.187055,1.668582,1.705356,1.9659,399,True
W150_raw_all,COG,T6W150,TEST,rho,0.121971,0.193332,0.102967,0.140975,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,VALIDATION,R2,-0.002724,0.032184,-0.005888,0.000439,1.9659,399,False
W150_raw_all,MOT_V4,T6W150,VALIDATION,RMSE,3.452922,0.173856,3.435832,3.470011,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,VALIDATION,MAE,2.856507,0.116894,2.845017,2.867997,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,VALIDATION,rho,0.10376,0.124184,0.091553,0.115967,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,TEST,R2,-0.00802,0.043475,-0.012294,-0.003747,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,TEST,RMSE,3.471226,0.26386,3.445289,3.497162,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,TEST,MAE,2.883818,0.175681,2.866549,2.901086,1.9659,399,True
W150_raw_all,MOT_V4,T6W150,TEST,rho,0.110027,0.197931,0.090571,0.129483,1.9659,399,True
W150_raw_all,COG_V1,T6W150,VALIDATION,R2,-0.003466,0.035163,-0.006923,-1e-05,1.9659,399,True
