split,subject,set
0,CDMS-12-6A-JSOTGU,TRAIN
0,CSO-16-11B-YAROMO,TRAIN
0,CDMS-14-10A-JCVANI,TRAIN
0,CSO-12-7A-SCAHO,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CDMS-12-7C-JSZAOR,TRAIN
0,CDMS-11-6B-JMARME,TRAIN
0,CSO-10-5A-JANORO,TRAIN
0,CDMS-12-6A-FAROPA,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CDMS-11-6B-JLPENA,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CDMS-14-10A-IMORTO,TRAIN
0,CSO-16-10C-MAVAVE,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CSO-15-10C-SSCAMO,TRAIN
0,CDMS-11-6B-EAFESA,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CSO-14-8A-AQUMA,TRAIN
0,CSO-17-11C-SARJA,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CDMS-8-4A-DBEVA,TRAIN
0,CDMS-9-5C-JDMADE,TRAIN
0,CSO-9-4A-DKVIMO,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CSO-15-9B-ALRIHE,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CDMS-15-10A-MAALCA,TRAIN
0,CSO-12-7A-DALRE,TRAIN
0,CSO-10-5A-MAOSMO,TRAIN
0,CSO-10-5A-ACAVA,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CDMS-11-6B-MEBRTA,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CDMS-11-6A-NMREPR,TRAIN
0,CSO-11-6A-CAPAMU,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CSO-14-9A-MARJA,TRAIN
0,CSO-10-4A-ICAPA,TRAIN
0,CSO-9-4A-DSMOMU,TRAIN
0,CDMS-11-6B-EROCO,TRAIN
0,CSO-16-11A-VZAOR,TRAIN
0,CSO-14-9A-HASACA,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CSO-9-4A-NSARPA,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CSO-12-7A-JHEZA,TRAIN
0,CDMS-9-4A-CARGA,TRAIN
0,CDMS-9-5A-PAGACO,TRAIN
0,CDMS-8-4A-DJAVDA,TRAIN
0,CSO-16-9A-JSMAGU,TRAIN
0,CSO-12-7A-IMERO,TRAIN
0,CSO-16-9B-SJPAJI,TRAIN
0,CSO-14-7B-EALHU,TRAIN
0,CSO-13-8A-MGAAN,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CDMS-12-7C-CATRAR,TRAIN
0,CDMS-12-6B-IJDAGA,TRAIN
0,CSO-9-2A-EXMOCO,TRAIN
0,CDMS-9-4A-CRAAG,TRAIN
0,CSO-17-11A-JDAMO,TRAIN
0,CDMS-15-11B-JEMOLO,TRAIN
0,CSO-13-8A-KIGAGU,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CDMS-16-10A-SGALO,TRAIN
0,CSO-14-9B-ERAGA,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CDMS-11-5A-MGTHAR,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CSO-15-10B-YVBUAN,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CSO-15-9B-KSBEJA,TRAIN
0,CSO-16-9A-JPROSO,TRAIN
0,CSO-10-4A-KCOMO,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CSO-13-6A-ANASA,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CSO-15-8B-KEPOGO,TRAIN
0,CDMS-XX-6A-MAGICA,TRAIN
0,CDMS-11-6B-JPSAMA,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CSO-18-11A-ADBAHO,TRAIN
0,CSO-15-10A-MAARLO,TRAIN
0,CSO-12-7B-SMUGU,TRAIN
0,CDMS-10-5A-SROPU,TRAIN
0,CDMS-9-4A-ACDUTR,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CDMS-8-4A-LGOPA,TRAIN
0,CSO-17-11A-DJAPA,TRAIN
0,CDMS-11-6B-AVROTO,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CDMS-17-10A-ASSAMO,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CSO-14-8A-MCIDOS,TRAIN
