feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
l1_T7W30,-0.08384029030217606,0.07014530016177431,1.0,400,1.0
diameter_T7W30,-0.0643995576298367,0.036146481196091026,1.0,400,1.0
re_T7W30,-0.06331842991025977,0.07037425023374291,1.0,400,1.0
asp_T7W30,-0.058092816000991074,0.03282136193447283,1.0,400,1.0
lsc_T7W30,0.05290425843478821,0.041153818823337046,1.0,400,1.0
density_T7W30,0.04235966174712475,0.03110714690081119,1.0,400,1.0
edges_T7W30,0.0395773337762155,0.03518018471460333,1.0,400,1.0
nodes_T7W30,-0.01968306104380961,0.017806952646386383,1.0,400,1.0
lcc_T7W30,-0.016414550206369904,0.018286166921612623,1.0,400,1.0
atd_T7W30,0.015694389676621404,0.01745744838505036,1.0,400,1.0
l3_T7W30,-0.004290606122012173,0.043192185907783426,1.0,400,1.0
l2_T7W30,-0.0020503364736871917,0.02893325244671076,1.0,400,1.0
pe_T7W30,0.001494229359460434,0.028385660172005268,1.0,400,1.0
