feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_atd_T7W30,0.07083794104590452,0.05040866747899607,1.0,400,1.0
z_l1_T7W30,-0.06767588401406467,0.04738390972453747,1.0,400,1.0
z_re_T7W30,-0.04433227842621931,0.037344519156363,1.0,400,1.0
z_diameter_T7W30,-0.043492775406307436,0.025247978566356733,1.0,400,1.0
z_density_T7W30,0.04102556573179859,0.019705342888616067,1.0,400,1.0
z_asp_T7W30,-0.040373969279008666,0.024895967837154934,1.0,400,1.0
z_lsc_T7W30,0.024855768027552124,0.02651578920664404,1.0,400,1.0
z_l2_T7W30,-0.018544791574291945,0.023151556429411236,1.0,400,1.0
z_pe_T7W30,-0.010672759698934973,0.021773920708423277,1.0,400,1.0
z_l3_T7W30,0.0005275178904215744,0.03892312190108989,1.0,400,1.0
z_lcc_T7W30,-1.0564952886045804e-18,1.9209471523315237e-17,0.0,400,1.0
z_edges_T7W30,0.0,0.0,0.0,400,1.0
z_nodes_T7W30,0.0,0.0,0.0,400,1.0
