target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T7W30,VALIDATION,R2,-0.003942,0.018727,-0.005783,-0.002101,1.9659,399,True
MOT,T7W30,VALIDATION,RMSE,7.609809,0.314568,7.578889,7.64073,1.9659,399,True
MOT,T7W30,VALIDATION,MAE,6.474494,0.224958,6.452382,6.496607,1.9659,399,True
MOT,T7W30,VALIDATION,rho,0.051845,0.118103,0.040236,0.063454,1.9659,399,True
MOT,T7W30,TEST,R2,-0.006923,0.029402,-0.009813,-0.004033,1.9659,399,True
MOT,T7W30,TEST,RMSE,7.740885,0.506402,7.691107,7.790662,1.9659,399,True
MOT,T7W30,TEST,MAE,6.564756,0.381822,6.527224,6.602287,1.9659,399,True
MOT,T7W30,TEST,rho,0.06292,0.191508,0.044096,0.081745,1.9659,399,True
COG,T7W30,VALIDATION,R2,-0.018833,0.035662,-0.022338,-0.015328,1.9659,399,True
COG,T7W30,VALIDATION,RMSE,2.258918,0.143574,2.244805,2.273031,1.9659,399,True
COG,T7W30,VALIDATION,MAE,1.74644,0.0906,1.737534,1.755346,1.9659,399,True
COG,T7W30,VALIDATION,rho,-0.051982,0.135587,-0.06531,-0.038655,1.9659,399,True
COG,T7W30,TEST,R2,-0.01897,0.042795,-0.023177,-0.014763,1.9659,399,True
COG,T7W30,TEST,RMSE,2.219253,0.226866,2.196953,2.241553,1.9659,399,True
COG,T7W30,TEST,MAE,1.711547,0.143993,1.697393,1.725702,1.9659,399,True
COG,T7W30,TEST,rho,-0.049822,0.197858,-0.069271,-0.030374,1.9659,399,True
MOT_V4,T7W30,VALIDATION,R2,-0.001653,0.021621,-0.003778,0.000473,1.9659,399,False
MOT_V4,T7W30,VALIDATION,RMSE,3.436918,0.180038,3.419221,3.454615,1.9659,399,True
MOT_V4,T7W30,VALIDATION,MAE,2.843611,0.114358,2.83237,2.854852,1.9659,399,True
MOT_V4,T7W30,VALIDATION,rho,0.094543,0.122354,0.082516,0.10657,1.9659,399,True
MOT_V4,T7W30,TEST,R2,-0.001325,0.031805,-0.004452,0.001801,1.9659,399,False
MOT_V4,T7W30,TEST,RMSE,3.472774,0.276426,3.445603,3.499946,1.9659,399,True
MOT_V4,T7W30,TEST,MAE,2.875518,0.182369,2.857592,2.893445,1.9659,399,True
MOT_V4,T7W30,TEST,rho,0.109623,0.18469,0.091469,0.127777,1.9659,399,True
COG_V1,T7W30,VALIDATION,R2,-0.01649,0.0415,-0.02057,-0.012411,1.9659,399,True
COG_V1,T7W30,VALIDATION,RMSE,1.346254,0.076974,1.338688,1.35382,1.9659,399,True
COG_V1,T7W30,VALIDATION,MAE,1.036684,0.05508,1.03127,1.042099,1.9659,399,True
COG_V1,T7W30,VALIDATION,rho,-0.047236,0.132283,-0.060239,-0.034233,1.9659,399,True
COG_V1,T7W30,TEST,R2,-0.018912,0.037939,-0.022642,-0.015183,1.9659,399,True
COG_V1,T7W30,TEST,RMSE,1.355373,0.111941,1.34437,1.366377,1.9659,399,True
COG_V1,T7W30,TEST,MAE,1.040928,0.079479,1.033115,1.04874,1.9659,399,True
COG_V1,T7W30,TEST,rho,-0.066615,0.195329,-0.085815,-0.047415,1.9659,399,True
