feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_atd_T7W30,0.424335727666223,0.3188247487189241,1.0,343,0.8575
z_diameter_T7W30,-0.37781701892657604,0.8659478676586171,1.0,363,0.9075
z_re_T7W30,-0.2740555523336913,0.2610085592839306,1.0,181,0.4525
z_density_T7W30,0.18891376438837362,0.11022486758896866,1.0,361,0.9025
z_l2_T7W30,-0.15524300195119387,0.14706778344084812,1.0,54,0.135
z_l1_T7W30,-0.1451943123864832,0.14105630594413182,1.0,65,0.1625
z_lsc_T7W30,0.13949413383586465,0.15203206654464566,1.0,215,0.5375
z_pe_T7W30,-0.13057155929241085,0.09910483754563368,1.0,57,0.1425
z_asp_T7W30,0.08837003064446033,1.0209158788491646,1.0,324,0.81
z_l3_T7W30,0.02414122540071539,0.11657177074991923,1.0,37,0.0925
