feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
edges_T7W50,0.0716599885018023,0.060832142102577084,1.0,400,1.0
lsc_T7W50,0.044050203510205804,0.03309097053044612,1.0,400,1.0
lcc_T7W50,0.03431939371729386,0.3857739110582882,1.0,400,1.0
re_T7W50,-0.030441201752219937,0.0744434543890782,1.0,400,1.0
l3_T7W50,-0.029551872400309716,0.028509671992488782,1.0,400,1.0
diameter_T7W50,-0.026399075899072796,0.10759155626318803,1.0,400,1.0
nodes_T7W50,-0.012797121825165382,0.4553693984539484,1.0,400,1.0
pe_T7W50,-0.012481713674615386,0.033759974016717494,1.0,400,1.0
density_T7W50,-0.01187065778762344,0.1469671514701512,1.0,400,1.0
l1_T7W50,0.00789504915018861,0.03650761792934104,1.0,400,1.0
atd_T7W50,0.0030705306436763944,0.17076178462384303,1.0,400,1.0
asp_T7W50,-0.0007197892042668074,0.14181449027166154,1.0,400,1.0
l2_T7W50,0.0005033391500073637,0.022721049698246273,1.0,400,1.0
