split,subject,set
0,CDMS-13-7C-MVEAR,TRAIN
0,CSO-17-11A-SPUVA,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CSO-9-4A-FAGIGA,TRAIN
0,CSO-15-9B-AMSAGO,TRAIN
0,CDMS-9-5C-MLOGO,TRAIN
0,CSO-15-10A-LJRAGU,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CSO-11-6A-FSOVRE,TRAIN
0,CDMS-12-6A-FAROPA,TRAIN
0,CDMS-11-6A-NMREPR,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CSO-12-7A-SCAHO,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CDMS-8-4C-JDBUTU,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CSO-11-6B-SFLVA,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CDMS-15-10A-MAALCA,TRAIN
0,CDMS-11-6B-EAFESA,TRAIN
0,CDMS-16-11B-NGABE,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CSO-10-5A-JANORO,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CDMS-15-11B-JEMOLO,TRAIN
0,CDMS-9-4A-TGAFR,TRAIN
0,CDMS-11-6B-AVROTO,TRAIN
0,CDMS-11-6B-VZAPE,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CSO-15-8B-KEPOGO,TRAIN
0,CDMS-12-7C-VMAPA,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CSO-11-5A-MDVOSPE,TRAIN
0,CSO-16-11A-JDMUVA,TRAIN
0,CSO-18-11A-ADBAHO,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CSO-9-4A-EGCAMO,TRAIN
0,CSO-9-4A-DKVIMO,TRAIN
0,CDMS-13-6B-ASUMO,TRAIN
0,CDMS-8-4A-DOSTR,TRAIN
0,CDMS-11-6B-JFSAHE,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CSO-8-3A-DAPAVA,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CDMS-11-6B-MEBRTA,TRAIN
0,CSO-10-4A-ICAPA,TRAIN
0,CDMS-15-10A-SGOMO,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CSO-9-4A-NSARPA,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CSO-11-6B-VCOMA,TRAIN
0,CDMS-12-6A-SROAL,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CSO-16-11B-YAROMO,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CSO-13-6B-LJMAHU,TRAIN
0,CSO-15-10C-ALBAHO,TRAIN
0,CDMS-11-6B-JACUPE,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CDMS-11-6B-YLNIME,TRAIN
0,CDMS-14-10A-IMORTO,TRAIN
0,CSO-13-8A-MGAHE,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CSO-17-11A-RLPAIG,TRAIN
0,CSO-13-8B-FCJISA,TRAIN
0,CSO-14-7A-MVEBE,TRAIN
0,CSO-16-10B-JESUGU,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CSO-10-5A-MAOSMO,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CDMS-9-5A-PAGACO,TRAIN
0,CSO-11-6A-EROMO,TRAIN
0,CSO-12-7A-LSARAR,TRAIN
0,CSO-11-6A-CAPAMU,TRAIN
0,CDMS-11-7C-IMOIB,TRAIN
0,CDMS-12-6A-JSOTGU,TRAIN
0,CSO-16-10A-SMOUT,TRAIN
0,CDMS-12-5A-SRIGO,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CDMS-10-6B-JJMOBE,TRAIN
0,CSO-14-9A-JSMAAL,TRAIN
0,CDMS-11-6B-JMARME,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CSO-17-11C-SARJA,TRAIN
0,CSO-17-11A-JDAMO,TRAIN
0,CSO-9-4A-DSMOMU,TRAIN
0,CDMS-11-4A-GACHSA,TRAIN
0,CDMS-13-7C-SSOSLO,TRAIN
0,CSO-10-5A-MAARAN,TRAIN
0,CDMS-9-4A-CRAAG,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CDMS-12-6B-IJDAGA,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CSO-16-9B-SJPAJI,TRAIN
0,CDMS-10-5A-SZURO,TRAIN
0,CSO-9-4A-YVDITR,TRAIN
0,CSO-15-9B-JCAPA,TRAIN
0,CDMS-XX-5C-MPCAQU,TRAIN
0,CSO-12-6B-VPAMA,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CSO-15-9B-ALRIHE,TRAIN
0,CDMS-11-6B-ARAHE,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CSO-9-4A-KEMOCO,TRAIN
0,CSO-10-5A-ACAVA,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CSO-8-4A-ARAGR,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-15-10B-MEBUAR,TRAIN
0,CDMS-XX-6B-SPUCA,TRAIN
0,CSO-16-10B-VVILI,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CDMS-9-5C-LVIZAC,TRAIN
0,CSO-11-6B-LHFDLACH,TRAIN
0,CDMS-12-6B-SCLAG,TRAIN
0,CDMS-9-4C-SCAMO,TRAIN
0,CSO-10-5A-JBUVE,TRAIN
0,CSO-13-6A-ANASA,TRAIN
0,CSO-16-10B-LTVIFA,TRAIN
0,CDMS-11-6A-DFVEBE,TRAIN
0,CSO-8-3A-KVPECO,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CDMS-10-5C-DAAUSA,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CDMS-11-6B-EROCO,TRAIN
0,CSO-16-10C-MAVAVE,TRAIN
