feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
edges_T7W50,0.03680214197558209,0.02957528210447445,1.0,91,0.2275
l2_T7W50,0.024115362022396992,0.08154783185398547,1.0,43,0.1075
diameter_T7W50,-0.023730948336078216,0.019258983518630327,1.0,178,0.445
l3_T7W50,0.01794067690568491,0.032927785544915544,1.0,49,0.1225
re_T7W50,0.01746745932586193,0.028658972075156386,1.0,44,0.11
asp_T7W50,-0.01741784772133137,0.012630195480007104,1.0,148,0.37
density_T7W50,0.015659493900165723,0.021016165807032278,1.0,324,0.81
pe_T7W50,-0.014029939906560408,0.06247082194508111,1.0,53,0.1325
lcc_T7W50,-0.01208103942341062,0.006741840034708922,1.0,216,0.54
atd_T7W50,0.012077758963119523,0.009112189738764372,1.0,367,0.9175
nodes_T7W50,-0.01200247566685776,0.017278411845912323,1.0,301,0.7525
lsc_T7W50,0.004531346538398944,0.0156430251309413,1.0,26,0.065
l1_T7W50,-0.001947465824983522,0.008495279396243421,1.0,160,0.4
