split,subject,set
0,CDMS-9-4A-CRAAG,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CSO-17-10A-YVGOCA,TRAIN
0,CSO-9-4A-FAGIGA,TRAIN
0,CDMS-8-4A-LGOPA,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CDMS-15-10A-MAALCA,TRAIN
0,CSO-16-11B-YAROMO,TRAIN
0,CDMS-12-6A-JSOTGU,TRAIN
0,CDMS-10-5C-JFALGI,TRAIN
0,CSO-17-11A-SPUVA,TRAIN
0,CSO-17-10B-YCQUVE,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CDMS-9-5C-LVIZAC,TRAIN
0,CDMS-11-6B-EAFESA,TRAIN
0,CDMS-11-6B-MEBRTA,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CSO-15-10B-MEBUAR,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CSO-10-5A-JLCARI,TRAIN
0,CDMS-11-6B-VZAPE,TRAIN
0,CDMS-11-6B-JPSAMA,TRAIN
0,CDMS-12-7C-VQURA,TRAIN
0,CSO-16-10A-MSACO,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CSO-16-10A-SMOUT,TRAIN
0,CSO-11-6B-LHFDLACH,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CDMS-11-6B-JFSAHE,TRAIN
0,CSO-16-11B-KRORE,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CDMS-14-10A-IMORTO,TRAIN
0,CSO-9-4A-EGCAMO,TRAIN
0,CSO-11-6A-EROMO,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CSO-13-6A-ANASA,TRAIN
0,CSO-12-7A-SCAHO,TRAIN
0,CDMS-12-6B-IJDAGA,TRAIN
0,CSO-16-10A-YKMUJO,TRAIN
0,CSO-17-11A-DJAPA,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CSO-15-10C-SSCAMO,TRAIN
0,CSO-13-8A-MBUAN,TRAIN
0,CDMS-8-4A-DBEVA,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CSO-10-5A-MAOSMO,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CSO-15-9B-SJAGRO,TRAIN
0,CSO-14-9A-MARJA,TRAIN
0,CDMS-11-4A-GACHSA,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CDMS-12-6A-SROAL,TRAIN
0,CSO-14-7A-MVEBE,TRAIN
0,CSO-10-5A-SVHEES,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CDMS-11-6B-JMARME,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CDMS-9-4A-TGAFR,TRAIN
0,CDMS-16-10A-SGALO,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CSO-14-8B-JLLORA,TRAIN
0,CDMS-11-6B-SCAPA,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CDMS-XX-10A-VGILO,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CSO-17-10B-EHECO,TRAIN
0,CSO-12-6B-VPAMA,TRAIN
0,CSO-10-5A-ACAVA,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CDMS-13-6B-ASUMO,TRAIN
0,CDMS-11-6A-DFVEBE,TRAIN
0,CSO-13-8B-FCJISA,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CDMS-12-7C-CATRAR,TRAIN
0,CDMS-11-6B-JLPENA,TRAIN
0,CSO-9-4A-NSARPA,TRAIN
