target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T7W50,VALIDATION,R2,-0.009994,0.026863,-0.012634,-0.007353,1.9659,399,True
MOT,T7W50,VALIDATION,RMSE,7.769347,0.345661,7.73537,7.803324,1.9659,399,True
MOT,T7W50,VALIDATION,MAE,6.658882,0.253855,6.633929,6.683835,1.9659,399,True
MOT,T7W50,VALIDATION,rho,0.031582,0.120349,0.019752,0.043412,1.9659,399,True
MOT,T7W50,TEST,R2,-0.010144,0.028957,-0.01299,-0.007297,1.9659,399,True
MOT,T7W50,TEST,RMSE,7.720869,0.490829,7.672623,7.769116,1.9659,399,True
MOT,T7W50,TEST,MAE,6.579978,0.357361,6.54485,6.615105,1.9659,399,True
MOT,T7W50,TEST,rho,0.03849,0.179034,0.020891,0.056088,1.9659,399,True
COG,T7W50,VALIDATION,R2,-0.015712,0.025434,-0.018212,-0.013212,1.9659,399,True
COG,T7W50,VALIDATION,RMSE,2.189245,0.188381,2.170728,2.207763,1.9659,399,True
COG,T7W50,VALIDATION,MAE,1.694301,0.125123,1.682002,1.706601,1.9659,399,True
COG,T7W50,VALIDATION,rho,-0.064359,0.125739,-0.076718,-0.051999,1.9659,399,True
COG,T7W50,TEST,R2,-0.016818,0.029641,-0.019732,-0.013905,1.9659,399,True
COG,T7W50,TEST,RMSE,2.160523,0.253589,2.135596,2.18545,1.9659,399,True
COG,T7W50,TEST,MAE,1.665133,0.166106,1.648806,1.681461,1.9659,399,True
COG,T7W50,TEST,rho,-0.052575,0.199491,-0.072184,-0.032966,1.9659,399,True
MOT_V4,T7W50,VALIDATION,R2,-0.008197,0.02514,-0.010668,-0.005726,1.9659,399,True
MOT_V4,T7W50,VALIDATION,RMSE,3.510769,0.176169,3.493452,3.528086,1.9659,399,True
MOT_V4,T7W50,VALIDATION,MAE,2.924988,0.112251,2.913955,2.936022,1.9659,399,True
MOT_V4,T7W50,VALIDATION,rho,0.061213,0.121812,0.049239,0.073187,1.9659,399,True
MOT_V4,T7W50,TEST,R2,-0.009925,0.032608,-0.013131,-0.00672,1.9659,399,True
MOT_V4,T7W50,TEST,RMSE,3.503655,0.27524,3.4766,3.53071,1.9659,399,True
MOT_V4,T7W50,TEST,MAE,2.912564,0.177818,2.895085,2.930043,1.9659,399,True
MOT_V4,T7W50,TEST,rho,0.062783,0.181549,0.044937,0.080628,1.9659,399,True
COG_V1,T7W50,VALIDATION,R2,-0.015911,0.029845,-0.018845,-0.012978,1.9659,399,True
COG_V1,T7W50,VALIDATION,RMSE,1.343228,0.076348,1.335724,1.350733,1.9659,399,True
COG_V1,T7W50,VALIDATION,MAE,1.020471,0.054959,1.015069,1.025873,1.9659,399,True
COG_V1,T7W50,VALIDATION,rho,-0.1186,0.124654,-0.130853,-0.106347,1.9659,399,True
COG_V1,T7W50,TEST,R2,-0.018186,0.027746,-0.020913,-0.015459,1.9659,399,True
COG_V1,T7W50,TEST,RMSE,1.345682,0.114515,1.334426,1.356939,1.9659,399,True
COG_V1,T7W50,TEST,MAE,1.029793,0.082702,1.021664,1.037922,1.9659,399,True
COG_V1,T7W50,TEST,rho,-0.117066,0.177576,-0.134521,-0.099611,1.9659,399,True
