number,value,datetime_start,datetime_complete,duration,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_regressor,params_rfe_n_features,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_trial_time_seconds,user_attrs_use_scaler_final,state
0,3.0229884119292936,2026-06-13 22:50:32.603039,2026-06-13 22:51:31.272857,0 days 00:00:58.669818,13,log2,1,3,380,ExtraTreesRegressor,10,False,-0.07680631792840682,-0.06832837774954174,398.0,-0.07256734783897428,0.0042389700894325455,0.04307011461471934,1.9659423239762661,3.006972755589074,3.039004068269513,398.0,3.0229884119292936,0.016015656340219543,0.16272729923780907,1.9659423239762661,930830571010857.1,1043797338376698.9,398.0,987313954693778.0,56483383682920.93,573900206353245.2,1.9659423239762661,8.824665484081539,9.058323732412266,398.0,8.941494608246902,0.11682912416536256,1.1870439427453086,1.9659423239762661,2.720752745388375,2.7718968633896726,398.0,2.746324804389024,0.025572059000648704,0.2598252615270857,1.9659423239762661,399.0,0.9924812030075187,-0.15119186936056017,-0.1358017095254297,398.0,-0.14349678944299493,0.007695079917565247,0.0781859666443948,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",10,"['nodes_T6W30', 're_T6W30', 'pe_T6W30', 'l1_T6W30', 'l2_T6W30', 'l3_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",-0.06562640482449922,-0.04413155954883825,398.0,-0.054878982186668736,0.01074742263783048,0.10919933735275629,1.9659423239762661,3.6645743694108592,3.7055608492988954,398.0,3.6850676093548773,0.02049323994401806,0.20822184978756447,1.9659423239762661,completed,58.65683197975159,False,COMPLETE
1,2.8820283448113333,2026-06-13 22:51:31.298342,2026-06-13 22:52:25.447498,0 days 00:00:54.149156,6,log2,1,4,425,ExtraTreesRegressor,5,False,-0.0257244597804527,-0.01927705306850217,398.0,-0.022500756424477436,0.003223703355975264,0.032754482833422555,1.9659423239762661,2.8680585682330766,2.89599812138959,398.0,2.8820283448113333,0.013969776578256736,0.14194010943070462,1.9659423239762661,903896509684212.0,1012852934696581.5,398.0,958374722190396.8,54478212506184.73,553526636693139.2,1.9659423239762661,8.557816152928677,8.791746021407988,398.0,8.674781087168332,0.11696493423965587,1.188423842896109,1.9659423239762661,2.5556706923045542,2.5990297409365066,398.0,2.5773502166205304,0.021679524315976147,0.2202751086660023,1.9659423239762661,399.0,0.7593984962406015,-0.05398159488191335,-0.04174889523970645,398.0,-0.0478652450608099,0.006116349821103447,0.062145257517943024,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",5,"['nodes_T6W30', 'l3_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",0.02478733084754818,0.047580620626960446,398.0,0.03618397573725431,0.011396644889706133,0.11579576908234503,1.9659423239762661,3.508993458006417,3.5481443268564234,398.0,3.5285688924314202,0.01957543442500316,0.19889647403260477,1.9659423239762661,completed,54.140053033828735,False,COMPLETE
2,2.8456718685855966,2026-06-13 22:52:25.469936,2026-06-13 22:52:50.188734,0 days 00:00:24.718798,8,,4,7,181,ExtraTreesRegressor,2,True,-0.012558415628393651,-0.006678393480753201,398.0,-0.009618404554573426,0.0029400110738202257,0.0298720234506142,1.9659423239762661,2.8323931522501984,2.858950584920995,398.0,2.8456718685855966,0.013278716335398302,0.13491858221120662,1.9659423239762661,917393380505110.5,1029453237142425.0,398.0,973423308823767.8,56029928318657.22,569292866810985.9,1.9659423239762661,8.443625218035814,8.68270815004995,398.0,8.563166684042882,0.11954146600706834,1.2146027297930853,1.9659423239762661,2.551575290162334,2.593262167196798,398.0,2.572418728679566,0.020843438517232058,0.21178004726667365,1.9659423239762661,399.0,0.6741854636591479,-0.03348248424255739,-0.022638225036684376,398.0,-0.028060354639620883,0.0054221296029365075,0.055091623325325224,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",2,"['atd_T6W30', 'density_T6W30']",0.05878484215777932,0.08200388383052332,398.0,0.07039436299415132,0.011609520836371994,0.11795869810240871,1.9659423239762661,3.4763963671769798,3.5142747589453682,398.0,3.495335563061174,0.018939195884194272,0.19243196348008776,1.9659423239762661,completed,24.71052098274231,True,COMPLETE
3,2.923431408807049,2026-06-13 22:52:50.211691,2026-06-13 22:53:04.553284,0 days 00:00:14.341593,20,,5,12,79,ExtraTreesRegressor,7,True,-0.04083424228907794,-0.03363877013716814,398.0,-0.03723650621312304,0.0035977360759548967,0.03655484749259724,1.9659423239762661,2.9088773374978985,2.9379854801161995,398.0,2.923431408807049,0.014554071309150624,0.1478768441793438,1.9659423239762661,929732106601726.8,1042734428958089.5,398.0,986233267779908.1,56501161178181.33,574080834841362.4,1.9659423239762661,8.56293151412711,8.792782416997687,398.0,8.677856965562398,0.11492545143528932,1.1677016494657289,1.9659423239762661,2.626883553037812,2.676967780904367,398.0,2.6519256669710893,0.02504211393327734,0.25444074729140126,1.9659423239762661,399.0,0.8847117794486216,-0.07891826443731935,-0.06640099234976275,398.0,-0.07265962839354105,0.006258636043778296,0.06359095866454433,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",7,"['nodes_T6W30', 're_T6W30', 'l1_T6W30', 'l2_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",-0.005204079966152234,0.017044337489173254,398.0,0.00592012876151051,0.011124208727662744,0.11302767766465499,1.9659423239762661,3.5504289356084775,3.5892139283231264,398.0,3.569821431965802,0.01939249635732453,0.19703772924882906,1.9659423239762661,completed,14.329522848129272,True,COMPLETE
4,2.90743686304471,2026-06-13 22:53:04.565895,2026-06-13 22:53:16.935960,0 days 00:00:12.370065,19,,4,4,65,ExtraTreesRegressor,4,False,-0.035465670653464926,-0.027765630216348564,398.0,-0.031615650434906745,0.0038500202185581807,0.03911818403618069,1.9659423239762661,2.8927360100572947,2.9221377160321254,398.0,2.90743686304471,0.014700852987415393,0.14936822146505868,1.9659423239762661,927773930272742.6,1040873852394810.6,398.0,984323891333776.6,56549961061033.98,574576666730548.9,1.9659423239762661,8.580432914806547,8.797248941659923,398.0,8.688840928233235,0.10840801342668815,1.1014811298341884,1.9659423239762661,2.6417140388100173,2.689513203249858,398.0,2.6656136210299377,0.023899582219920546,0.24283203790986935,1.9659423239762661,399.0,0.8070175438596491,-0.07113874217087345,-0.05764681996579409,398.0,-0.06439278106833377,0.0067459611025396755,0.06854243170932989,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['l1_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",0.03245933853046078,0.05426975126555812,398.0,0.04336454489800945,0.010905206367548674,0.11080250113545007,1.9659423239762661,3.5362265896628355,3.5745828269796047,398.0,3.55540470832122,0.01917811865838476,0.19485954165387678,1.9659423239762661,completed,12.361033201217651,False,COMPLETE
5,2.847798068708519,2026-06-13 22:53:16.949041,2026-06-13 22:54:15.962713,0 days 00:00:59.013672,19,log2,5,8,473,ExtraTreesRegressor,5,True,-0.012790319542769503,-0.007973885749990901,398.0,-0.010382102646380202,0.0024082168963893012,0.02446872130642369,1.9659423239762661,2.8354407575611815,2.8601553798558563,398.0,2.847798068708519,0.012357311147337185,0.12555663196878303,1.9659423239762661,919606635047343.2,1030176482914807.0,398.0,974891558981075.1,55284923933731.836,561723239384928.6,1.9659423239762661,8.332881962537991,8.555207728886218,398.0,8.444044845712105,0.11116288317411303,1.1294720222601589,1.9659423239762661,2.5720987143754126,2.6096351230936827,398.0,2.5908669187345477,0.018768204359135225,0.19069460170893532,1.9659423239762661,399.0,0.6265664160401002,-0.020901680944611974,-0.012563279979240557,398.0,-0.016732480461926266,0.00416920048268571,0.04236121955393527,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",5,"['nodes_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",0.049754000276263054,0.0718218295952785,398.0,0.06078791493577078,0.011033914659507723,0.11211024352796199,1.9659423239762661,3.4585196469269777,3.494628978597852,398.0,3.476574312762415,0.01805466583543736,0.18344468360399327,1.9659423239762661,completed,59.00468397140503,True,COMPLETE
6,2.900835933834395,2026-06-13 22:54:15.975861,2026-06-13 22:55:10.797116,0 days 00:00:54.821255,8,log2,3,5,423,ExtraTreesRegressor,13,True,-0.032012119736648505,-0.026413763705253435,398.0,-0.029212941720950972,0.002799178015697536,0.02844108720267817,1.9659423239762661,2.887783590639869,2.913888277028921,398.0,2.900835933834395,0.013052343194526328,0.1326185147614844,1.9659423239762661,930004527989032.1,1041545537030328.1,398.0,985775032509680.1,55770504520648.04,566656987699242.2,1.9659423239762661,8.44130087020184,8.655789594344704,398.0,8.548545232273272,0.10724436207143277,1.089657834037088,1.9659423239762661,2.5916870336515285,2.6347106873770367,398.0,2.6131988605142826,0.021511826862754137,0.21857121635761487,1.9659423239762661,399.0,0.8872180451127819,-0.058235880965889726,-0.04875481857807911,398.0,-0.05349534977198442,0.0047405311939053086,0.048166233200170105,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",13,"['nodes_T6W30', 'edges_T6W30', 're_T6W30', 'pe_T6W30', 'l1_T6W30', 'l2_T6W30', 'l3_T6W30', 'lcc_T6W30', 'lsc_T6W30', 'atd_T6W30', 'density_T6W30', 'diameter_T6W30', 'asp_T6W30']",-0.026031520449566962,-0.005138024976997557,398.0,-0.01558477271328226,0.010446747736284703,0.10614432582917185,1.9659423239762661,3.5201996039317964,3.5569470684870743,398.0,3.5385733362094354,0.01837373227763874,0.18668656263248246,1.9659423239762661,completed,54.810922145843506,True,COMPLETE
7,2.8363488834083763,2026-06-13 22:55:10.810722,2026-06-13 22:55:20.659490,0 days 00:00:09.848768,17,sqrt,4,9,52,ExtraTreesRegressor,3,True,-0.008161660892682925,-0.0044631976378855034,398.0,-0.006312429265284214,0.001849231627398711,0.018789143697847704,1.9659423239762661,2.824771920828696,2.8479258459880565,398.0,2.8363488834083763,0.011576962579680324,0.1176278894819701,1.9659423239762661,926676311585775.1,1037658166834217.9,398.0,982167239209996.5,55490927624221.42,563816342750427.9,1.9659423239762661,8.263975254743947,8.474526901192778,398.0,8.369251077968363,0.10527582322441588,1.0696564676731428,1.9659423239762661,2.5316887130422803,2.562201804464298,398.0,2.546945258753289,0.015256545711008812,0.15501434512028317,1.9659423239762661,399.0,0.43859649122807015,-0.004964469848173935,0.001071268799407026,398.0,-0.0019466005243834543,0.0030178693237904804,0.030663103283491543,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",3,"['nodes_T6W30', 'atd_T6W30', 'density_T6W30']",0.0809824379460386,0.1036261286502049,398.0,0.09230428329812175,0.01132184535208315,0.11503576733885994,1.9659423239762661,3.4341798422649745,3.469100643381644,398.0,3.4516402428233093,0.017460400558334917,0.17740664298177777,1.9659423239762661,completed,9.840747117996216,True,COMPLETE
8,2.8674340189603558,2026-06-13 22:55:20.681879,2026-06-13 22:55:47.823255,0 days 00:00:27.141376,3,,2,5,199,ExtraTreesRegressor,7,True,-0.0202518152742874,-0.014501486399079147,398.0,-0.017376650836683275,0.0028751644376041273,0.029213148300452373,1.9659423239762661,2.8544248807647232,2.8804431571559883,398.0,2.8674340189603558,0.013009138195632436,0.13217952976866085,1.9659423239762661,910746247322433.1,1020343068564627.6,398.0,965544657943530.4,54798410621097.24,556780014097966.6,1.9659423239762661,8.35143946224733,8.569008874582648,398.0,8.460224168414989,0.10878470616765941,1.105308521673685,1.9659423239762661,2.5426977953946803,2.5846701928637854,398.0,2.563683994129233,0.020986198734552743,0.2132305644424736,1.9659423239762661,399.0,0.6516290726817042,-0.03415104277945638,-0.023997378059397802,398.0,-0.02907421041942709,0.0050768323600292875,0.051583225881041445,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",7,"['nodes_T6W30', 'l1_T6W30', 'l3_T6W30', 'atd_T6W30', 'density_T6W30', 'diameter_T6W30', 'asp_T6W30']",0.051230610889643424,0.07369968970863289,398.0,0.062465150299138156,0.011234539409494733,0.11414869409359141,1.9659423239762661,3.4788088921619074,3.515067351092458,398.0,3.4969381216271826,0.01812922946527519,0.18420228840314268,1.9659423239762661,completed,27.13267993927002,True,COMPLETE
9,2.83477103948565,2026-06-13 22:55:47.837407,2026-06-13 22:56:35.350195,0 days 00:00:47.512788,12,sqrt,3,10,393,ExtraTreesRegressor,3,False,-0.007568045627951092,-0.003978626472141211,398.0,-0.005773336050046152,0.0017947095779049405,0.01823517165483184,1.9659423239762661,2.8234171039005127,2.846124975070787,398.0,2.83477103948565,0.011353935585137292,0.11536182059861294,1.9659423239762661,937421075511256.0,1049073772664636.0,398.0,993247424087946.0,55826348576689.96,567224392008197.5,1.9659423239762661,8.193315945935828,8.376868511293297,398.0,8.285092228614563,0.0917762826787344,0.9324941979987217,1.9659423239762661,2.560897107264061,2.5921651352089747,398.0,2.576531121236518,0.015634013972456843,0.15884961664638206,1.9659423239762661,399.0,0.42857142857142855,-0.0006380413299600502,0.004383908490241868,398.0,0.0018729335801409089,0.002510974910100959,0.02551279553548589,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",3,"['l1_T6W30', 'lcc_T6W30', 'density_T6W30']",0.0736487478208471,0.09625819141488709,398.0,0.0849534696178671,0.011304721797020002,0.11486178321922207,1.9659423239762661,3.428144668111057,3.461888608926201,398.0,3.445016638518629,0.016871970407572073,0.17142789024198082,1.9659423239762661,completed,47.50353217124939,False,COMPLETE
