number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.748495161370156,2026-06-09 16:43:39.509296,2026-06-09 16:43:41.366717,0 days 00:00:01.857421,,,,,,,,,,,,,,,Ridge,,,,,,8,,,,,,,,14.528246637516036,sparse_cg,,,,,,False,,,,,,,,,-0.01683195200725667,-0.008550209851450746,98.0,-0.012691080929353709,0.004140871077902962,0.020761815427263214,1.9844674545084815,1.7229455652146495,1.7740447575256626,98.0,1.748495161370156,0.025549596155506477,0.1281025150607623,1.9844674545084815,0.26131140531154523,0.27940191117806984,98.0,0.27035665824480754,0.009045252933262327,0.0453517794590234,1.9844674545084815,5.857879897710462,6.109450034729371,98.0,5.983664966219917,0.12578506850945426,0.6306707759714867,1.9844674545084815,1.4120407333577434,1.4637246681159277,98.0,1.4378827007368356,0.02584196737909211,0.12956842821433048,1.9844674545084815,99.0,0.35353535353535354,0.0006042240112007326,0.011261841484848233,98.0,0.005933032748024483,0.00532880873682375,0.0267179879208292,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",8,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10']",0.08630474011814529,0.13101539151410538,98.0,0.10866006581612533,0.022355325697980037,0.11208683806520874,1.9844674545084815,2.1948309362881204,2.269742735153322,98.0,2.2322868357207213,0.03745589943260081,0.18779924707909842,1.9844674545084815,completed,False,COMPLETE
1,1.8205921063063921,2026-06-09 16:43:41.385955,2026-06-09 16:43:43.870009,0 days 00:00:02.484054,,,,,,,,,,,manhattan,13.0,uniform,,KNeighborsRegressor,,,,,,2,6.0,3.0,3.0,110.0,,,ExtraTrees,,,,,,,,True,,,,,,,,,-0.0642639718887203,-0.04618450726506284,98.0,-0.05522423957689157,0.009039732311828731,0.04532409974596501,1.9844674545084815,1.7942122482260277,1.8469719643867566,98.0,1.8205921063063921,0.026379858080364457,0.13226534566231662,1.9844674545084815,0.27328317686040365,0.2916830165273681,98.0,0.2824830966938859,0.00919991983348222,0.04612726016698559,1.9844674545084815,6.211540703849749,6.551474059165013,98.0,6.381507381507381,0.16996667765763168,0.8521918997053078,1.9844674545084815,1.4397684090982987,1.5019565326266435,98.0,1.4708624708624711,0.031094061764172322,0.15590177986381554,1.9844674545084815,99.0,0.8686868686868687,-0.10702128738199125,-0.07340578048557218,98.0,-0.09021353393378172,0.016807753448209534,0.08427199694789694,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",2,"['pe_T2W10', 'l3_T2W10']",-0.04793959684109317,0.006252353345285632,98.0,-0.02084362174790377,0.027095975093189402,0.13585586779277717,1.9844674545084815,2.2962112300105626,2.3724552044977822,98.0,2.3343332172541724,0.038121987243609816,0.19113892897943957,1.9844674545084815,completed,True,COMPLETE
2,1.7992363217934466,2026-06-09 16:43:43.883755,2026-06-09 16:43:45.794185,0 days 00:00:01.910430,,,,,,,,,,,minkowski,19.0,distance,,KNeighborsRegressor,,,,,,8,,,,,0.026730883107816707,0.0013296521457299515,LinearSVR,,,,,,,,True,,,,,,,,,-0.04961800508368957,-0.035228896174743014,98.0,-0.04242345062921629,0.007194554454473279,0.036072606187202094,1.9844674545084815,1.772711324123426,1.8257613194634672,98.0,1.7992363217934466,0.026524997670020513,0.13299305761348265,1.9844674545084815,0.26710009468442125,0.28495813423915467,98.0,0.27602911446178796,0.008929019777366714,0.04476900079148392,1.9844674545084815,5.870873282142307,6.16314640879644,98.0,6.0170098454693735,0.14613656332706657,0.7327106538433069,1.9844674545084815,1.4558139009226079,1.5160705898995122,98.0,1.48594224541106,0.03012834448845207,0.15105979288662685,1.9844674545084815,99.0,0.797979797979798,-0.06847832217552047,-0.04273242378824481,98.0,-0.05560537298188264,0.01287294919363783,0.06454337508575499,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",8,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'l1_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'diameter_T2W10', 'asp_T2W10']",-0.015073344053571133,0.037440545843457795,98.0,0.011183600894943333,0.026256944948514466,0.13164907442154458,1.9844674545084815,2.260863773162486,2.3353380530296524,98.0,2.2981009130960692,0.037237139933583296,0.18670241400796056,1.9844674545084815,completed,True,COMPLETE
3,1.7607765527283055,2026-06-09 16:43:45.806711,2026-06-09 16:43:48.216933,0 days 00:00:02.410222,,,,,,,,,,,,,,0.006199100007802264,QuantileRegressor,,,,,,3,,,,,,,,,,,,,,,True,,,,,,,,,-0.025761844859523843,-0.014028095439069011,98.0,-0.019894970149296427,0.005866874710227415,0.029415784161603495,1.9844674545084815,1.7346342092479812,1.7869188962086298,98.0,1.7607765527283055,0.02614234348032431,0.13107447683434745,1.9844674545084815,0.2622399588811021,0.2800716048800752,98.0,0.27115578188058864,0.008915822999486546,0.044702833779416154,1.9844674545084815,5.893938716793224,6.147647863371217,98.0,6.020793290082221,0.12685457328899674,0.6360331406560404,1.9844674545084815,1.3907826983012364,1.4816377030622154,98.0,1.436210200681726,0.045427502380489454,0.2277678783042239,1.9844674545084815,99.0,0.5454545454545454,-0.017514614279304945,0.003483232124538092,98.0,-0.007015691077383426,0.010498923201921518,0.052640302391084,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['edges_T2W10', 'l3_T2W10', 'atd_T2W10']",0.09872117853060156,0.15054491048920832,83.0,0.12463304450990494,0.025911865979303388,0.1194022005183548,1.9889597801751624,2.208363889154253,2.282632751033337,98.0,2.245498320093795,0.03713443093954202,0.18618744381524333,1.9844674545084815,completed,True,COMPLETE
4,2.2349134585838355,2026-06-09 16:43:48.231654,2026-06-09 16:43:50.003418,0 days 00:00:01.771764,16.0,4.0,12.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,7,,,,,,,,,,,,,,,False,,,,,,,,,-0.3216413678420296,-0.2723587957835519,98.0,-0.29700008181279075,0.024641286029238894,0.12354836043061336,1.9844674545084815,2.1898247600830865,2.2800021570845845,98.0,2.2349134585838355,0.045088698500748835,0.22606915755564708,1.9844674545084815,0.32170827179688744,0.3432250399435338,98.0,0.3324666558702106,0.010758384073323178,0.053941207109268606,1.9844674545084815,7.169948133376444,7.599437643585093,98.0,7.384692888480768,0.2147447551043242,1.0767036417146092,1.9844674545084815,1.8117793194101017,1.935834626688692,98.0,1.873806973049397,0.06202765363929528,0.31099898355141176,1.9844674545084815,99.0,1.0,-0.6544715364113807,-0.5390261039585231,98.0,-0.5967488201849519,0.057722716226428814,0.2894145598129367,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",7,"['nodes_T2W10', 'pe_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'diameter_T2W10', 'asp_T2W10']",-0.05302961685378318,0.010821455298333234,98.0,-0.021104080777724972,0.031925536076058206,0.16007068922397552,1.9844674545084815,2.755135482698267,2.8648667413021474,98.0,2.810001112000207,0.05486562930194017,0.2750894793480021,1.9844674545084815,completed,False,COMPLETE
5,2.1800564452159814,2026-06-09 16:43:50.017196,2026-06-09 16:43:51.830157,0 days 00:00:01.812961,6.0,2.0,3.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,,,,,,,,False,,,,,,,,,-0.28994195655207133,-0.23833947765616303,98.0,-0.2641407171041172,0.025801239447954136,0.1293642234049769,1.9844674545084815,2.1306505887529785,2.2294623016789843,98.0,2.1800564452159814,0.04940585646300281,0.24771485361727105,1.9844674545084815,0.3101532221930555,0.3324518467463081,98.0,0.3213025344696818,0.011149312276626301,0.05590127276927012,1.9844674545084815,6.830802609341349,7.4282869912517935,98.0,7.129544800296571,0.298742190955222,1.4978563959758926,1.9844674545084815,1.7591152777843129,1.8825468634759188,98.0,1.8208310706301158,0.06171579284580287,0.3094353521048688,1.9844674545084815,99.0,0.98989898989899,-0.5931765028332497,-0.46167257638832815,98.0,-0.527424539610789,0.06575196322246077,0.3296722111658363,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3,"['l1_T2W10', 'density_T2W10', 'diameter_T2W10']",-0.004050360564939209,0.05213824636691779,98.0,0.02404394290098929,0.028094303465928498,0.14086136277696437,1.9844674545084815,2.682475365667167,2.8065232410576124,98.0,2.7444993033623897,0.06202393769522257,0.3109803522674321,1.9844674545084815,completed,False,COMPLETE
6,1.7599429508234146,2026-06-09 16:43:51.843605,2026-06-09 16:43:53.655298,0 days 00:00:01.811693,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,,,,,,True,,,,,,,,,-0.025050634573063064,-0.01444071215003616,98.0,-0.01974567336154961,0.005304961211513451,0.026598419378468265,1.9844674545084815,1.7354994128663441,1.784386488780485,98.0,1.7599429508234146,0.024443537957070337,0.1225568760549298,1.9844674545084815,0.2631010060981772,0.2808441167504786,98.0,0.2719725614243279,0.008871555326150683,0.04448088114049,1.9844674545084815,5.8424165500592,6.099950603893227,98.0,5.971183576976213,0.12876702691701314,0.6456219466079959,1.9844674545084815,1.452802942784118,1.4880571835491971,98.0,1.4704300631666576,0.017627120382539538,0.08838020141447432,1.9844674545084815,99.0,0.45454545454545453,-0.00883191009289068,0.006943789333509796,98.0,-0.0009440603796904415,0.007887849713200237,0.03954870286528928,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['nodes_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10']",0.09223210220748931,0.13906413582054972,98.0,0.11564811901401952,0.023416016806530195,0.11740501209351248,1.9844674545084815,2.20247948227902,2.2757158085755163,98.0,2.239097645427268,0.03661816314824814,0.1835989409634925,1.9844674545084815,completed,True,COMPLETE
7,1.7926866580864445,2026-06-09 16:43:53.667488,2026-06-09 16:44:20.264922,0 days 00:00:26.597434,,,,,,,,,,,,,,,XGBRegressor,,,,,,8,,,,,,,,,,,,,,,False,gblinear,0.6258911479126821,0.2554006816661351,5.0,367.0,0.00029870091504560114,5.103930927389519e-06,0.9812236474710556,-0.04623673812489891,-0.030314492966754886,98.0,-0.038275615545826897,0.00796112257907201,0.03991608395212736,1.9844674545084815,1.764069482661792,1.821303833511097,98.0,1.7926866580864445,0.028617175424652582,0.14348297810738384,1.9844674545084815,0.2680332197992229,0.28666200815964316,98.0,0.277347613979433,0.009314394180210111,0.04670122038289374,1.9844674545084815,6.09335062284853,6.370920337352387,98.0,6.2321354801004585,0.13878485725192813,0.6958501088671488,1.9844674545084815,1.4450516133513602,1.4988472812187301,98.0,1.4719494472850452,0.026897833933685056,0.13486241252581038,1.9844674545084815,99.0,0.7070707070707071,-0.065125079106225,-0.033352688489462864,98.0,-0.049238883797843934,0.015886195308381066,0.07965141841631411,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",8,"['re_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'atd_T2W10', 'diameter_T2W10']",0.03457259212869661,0.0810486743501557,98.0,0.05781063323942615,0.023238041110729548,0.11651266396742131,1.9844674545084815,2.2518208456341506,2.330239651359217,98.0,2.291030248496684,0.03920940286253308,0.19659109639737363,1.9844674545084815,completed,False,COMPLETE
8,1.757085391049133,2026-06-09 16:44:20.277744,2026-06-09 16:44:37.131442,0 days 00:00:16.853698,,,,,,14.0,log2,3.0,8.0,215.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,,,,,,,,False,,,,,,,,,-0.024254041974761626,-0.011436921866002755,98.0,-0.01784548192038219,0.006408560054379435,0.03213172747965367,1.9844674545084815,1.7308994255187562,1.78327135657951,98.0,1.757085391049133,0.026185965530376876,0.1312931923979841,1.9844674545084815,0.26384092019728317,0.28223855300865347,98.0,0.2730397366029683,0.009198816405685147,0.04612172771648685,1.9844674545084815,5.887082051394518,6.205437943673726,98.0,6.046259997534122,0.15917794613960345,0.7980985342617658,1.9844674545084815,1.3825704287370337,1.4464905512484605,98.0,1.414530489992747,0.03196006125571334,0.16024379420457202,1.9844674545084815,99.0,0.5959595959595959,-0.027930122684542008,-0.005498727408681396,98.0,-0.016714425046611702,0.011215697637930306,0.056234120760075945,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['l2_T2W10', 'l3_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.02226276534018379,0.07663431438073555,98.0,0.04944853986045967,0.027185774520275877,0.13630611101348317,1.9844674545084815,2.218428843796445,2.294200905593946,98.0,2.2563148746951955,0.037886030898750735,0.18995587305021783,1.9844674545084815,completed,False,COMPLETE
9,2.298069021323929,2026-06-09 16:44:37.163798,2026-06-09 16:44:39.484432,0 days 00:00:02.320634,8.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,12,,,,,,,,,,,,,,,True,,,,,,,,,-0.3571373003698523,-0.3103745431499791,98.0,-0.3337559217599157,0.023381378609936602,0.11723134045996486,1.9844674545084815,2.256267223301923,2.3398708193459354,98.0,2.298069021323929,0.04180179802200604,0.20958904509051798,1.9844674545084815,0.3309410400053509,0.35121258668026384,98.0,0.3410768133428074,0.010135773337456444,0.05081951388629486,1.9844674545084815,6.977475546416017,7.4589961057584295,98.0,7.2182358260872235,0.24076027967120575,1.2071422642023593,1.9844674545084815,1.8836578811650613,1.9920248816389132,98.0,1.9378413814019873,0.0541835002369259,0.2716693685841166,1.9844674545084815,99.0,1.0,-0.7097921075557385,-0.5992338745785071,98.0,-0.6545129910671228,0.05527911648861576,0.2771626529604596,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",12,"['nodes_T2W10', 'edges_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",-0.08683000514315216,-0.03398745388733894,98.0,-0.06040872951524555,0.026421275627906606,0.1324730081230266,1.9844674545084815,2.813197734417386,2.909594240422617,98.0,2.8613959874200017,0.04819825300261551,0.24166007922748672,1.9844674545084815,completed,True,COMPLETE
