subject,diameter_T2W10,asp_T2W10
CDMS-10-4A-JURAN,7.043165467625899,3.050959232613909
CDMS-10-5A-HEPIHO,7.0390625,3.0536644345238093
CDMS-10-5A-KSRAGU,6.954128440366972,3.038117081695064
CDMS-10-5A-SROPU,7.2073170731707314,3.118403987611305
CDMS-10-5A-SZURO,6.878787878787879,2.9884559884559887
CDMS-10-5B-SRAJA,6.333333333333333,2.82584058713091
CDMS-10-5C-DAAUSA,6.8068965517241375,2.979496442255063
CDMS-10-5C-ICAPA,6.953488372093023,3.0335917312661502
CDMS-10-5C-JFALGI,7.191780821917808,3.095509893455099
CDMS-10-5C-MAORTO,7.157894736842105,3.08187134502924
CDMS-10-5C-NBEMO,7.011627906976744,3.057401255075674
CDMS-10-6B-ASCACO,6.786324786324786,2.969563152896486
CDMS-10-6B-JJMOBE,6.595238095238095,2.9169501133786846
CDMS-11-5A-EAARCA,7.1923076923076925,3.108930751787895
CDMS-11-5A-MGTHAR,7.055045871559633,3.065523518275812
CDMS-11-6A-DFVEBE,6.169811320754717,2.758760107816712
CDMS-11-6A-NMREPR,6.834862385321101,2.996060870831513
CDMS-11-6B-ARAHE,6.765,2.947003968253968
CDMS-11-6B-AVROTO,7.545454545454546,3.2165334665334666
CDMS-11-6B-EAFESA,7.521008403361344,3.188375350140056
CDMS-11-6B-EFRGR,6.813084112149533,2.9822912030855955
CDMS-11-6B-EROCO,6.9156626506024095,3.009456875119526
CDMS-11-6B-JACUPE,5.395,2.524777777777778
CDMS-11-6B-JDCHBA,6.703296703296704,2.9460273853131
CDMS-11-6B-JFSAHE,8.0,3.3667450519302373
CDMS-11-6B-JLPENA,6.37962962962963,2.822126690182245
CDMS-11-6B-JMARME,7.184931506849315,3.0999266144814093
CDMS-11-6B-JPSAMA,7.309523809523809,3.1527777777777777
CDMS-11-6B-LESTA,6.7251908396946565,2.939216042651157
CDMS-11-6B-MAGIMU,7.315789473684211,3.1152882205513786
CDMS-11-6B-MEBRTA,6.885496183206107,2.988234581364352
CDMS-11-6B-MMAMO,7.32258064516129,3.143588618242996
CDMS-11-6B-RSECA,7.802469135802469,3.2804232804232805
CDMS-11-6B-SCAPA,7.4393939393939394,3.190897065897066
CDMS-11-6B-VZAPE,6.950704225352113,3.01645987033311
CDMS-11-6B-YLNIME,7.440476190476191,3.186933106575964
CDMS-11-7C-ICARE,7.03030303030303,3.063311688311688
CDMS-11-7C-SALMA,6.854166666666667,3.003414351851852
CDMS-11-7C-SPGAVE,6.819444444444445,2.981426366843033
CDMS-12-5A-SRIGO,7.325242718446602,3.136037910309755
CDMS-12-6A-FAROPA,6.939890710382514,3.024807008413566
CDMS-12-6A-JGIGA,7.437037037037037,3.1642857142857146
CDMS-12-6A-JSOTGU,8.5625,3.519345238095238
CDMS-12-6A-SROAL,6.27536231884058,2.8544398435702787
CDMS-12-6B-IJDAGA,6.986666666666666,3.0352380952380957
CDMS-12-6B-SCLAG,5.45679012345679,2.54700176366843
CDMS-12-7C-ARAHE,7.5,3.1706349206349205
CDMS-12-7C-CATRAR,6.189655172413793,2.8039135194307607
CDMS-12-7C-DLOLO,7.477611940298507,3.1818881781568344
CDMS-12-7C-JSZAOR,6.635416666666667,2.917303240740741
CDMS-12-7C-MAROBE,7.603448275862069,3.2412082649151617
CDMS-12-7C-VMAPA,8.253333333333334,3.447407407407407
CDMS-12-7C-VQURA,7.231343283582089,3.1115849324804548
CDMS-13-6B-ASUMO,5.809523809523809,2.655404383975813
CDMS-13-6B-JDTAHE,6.513761467889908,2.8832386777340906
CDMS-13-7C-MVEAR,6.598130841121495,2.902425456163774
CDMS-13-7C-RAIZAC,6.864077669902913,2.989751887810141
CDMS-13-7C-SSOSLO,6.625,2.9269593253968256
CDMS-14-10A-IMORTO,7.557142857142857,3.206802721088436
CDMS-14-10A-JCVANI,6.751091703056769,2.960220420045748
CDMS-14-6B-KDCAHE,5.333333333333333,2.4874338624338623
CDMS-15-10A-AMALOS,7.427745664739884,3.176277640150472
CDMS-15-10A-JJMACH,7.788461538461538,3.291418650793651
CDMS-15-10A-MAALCA,6.907563025210084,3.0217420301453912
CDMS-15-10A-MAALRI,7.15,3.082178130511464
CDMS-15-10A-SGOMO,6.869281045751634,3.0046166614794068
CDMS-15-10A-SHEGA,6.510204081632653,2.875672173631357
CDMS-15-11B-JEMOLO,6.81,2.9658253968253967
CDMS-15-11B-VSAHO,7.335616438356165,3.146091541639487
CDMS-16-10A-SGALO,8.019607843137255,3.365157173980704
CDMS-16-11B-NGABE,7.455696202531645,3.17804902551738
CDMS-17-10A-ASSAMO,7.396341463414634,3.162345141308556
CDMS-18-7C-VVECA,7.314606741573034,3.1354556803995006
CDMS-8-4A-DBEVA,5.5,2.519345238095238
CDMS-8-4A-DJAVDA,5.543478260869565,2.592046238785369
CDMS-8-4A-DOSTR,6.279661016949152,2.808454398708636
CDMS-8-4A-LGOPA,6.023255813953488,2.7397563676633445
CDMS-8-4C-JDBUTU,4.615384615384615,2.240984940984941
CDMS-9-4A-ACDUTR,5.333333333333333,2.4874033374033373
CDMS-9-4A-CARGA,6.138211382113822,2.7927474512840367
CDMS-9-4A-CRAAG,5.644444444444445,2.598148148148148
CDMS-9-4A-EROHI,6.805555555555555,2.97255291005291
CDMS-9-4A-ILOSE,7.350877192982456,3.15932887774993
CDMS-9-4A-TGAFR,5.821428571428571,2.66343537414966
CDMS-9-4C-SCAMO,7.394594594594595,3.170832260832261
CDMS-9-5A-ABERO,6.114427860696518,2.763796098870726
CDMS-9-5A-VVAAR,7.233333333333333,3.11521164021164
CDMS-9-5C-JDMADE,6.960698689956332,3.020385388507659
CDMS-9-5C-LVIZAC,6.331606217616581,2.811859527921704
CDMS-9-5C-MLOGO,6.092436974789916,2.76031079098306
CDMS-9-5C-SCAAG,4.96,2.3823809523809523
CDMS-XX-10A-VGILO,8.063492063492063,3.370118417737465
CDMS-XX-5C-MPCAQU,6.852459016393443,3.007828085696938
CDMS-XX-6B-SPUCA,7.117647058823529,3.0736652236652238
CSO-10-4A-KCOMO,7.4392523364485985,3.183615190624536
CSO-10-4A-LRAVI,7.772727272727272,3.2822871572871573
CSO-10-4A-LSCAVA,7.276041666666667,3.122325562169312
CSO-10-5A-ACAVA,6.043478260869565,2.73373878536922
CSO-10-5A-ARACA,6.291139240506329,2.8177265420936304
CSO-10-5A-DABRZA,6.705882352941177,2.951027077497666
CSO-10-5A-GZAMA,6.965909090909091,3.050595238095238
CSO-10-5A-IPECA,7.451851851851852,3.196972369194591
CSO-10-5A-JANORO,7.317647058823529,3.140336134453782
CSO-10-5A-JBUVE,7.516666666666667,3.199603174603175
CSO-10-5A-JJSEMO,6.5,2.880677655677656
CSO-10-5A-JLCARI,6.883928571428571,2.99953231292517
CSO-10-5A-MAARAN,6.53125,2.8936011904761902
CSO-10-5A-RVMOIB,7.315270935960591,3.1420908593322388
CSO-10-5A-SVHEES,6.735449735449736,2.953586125808348
CSO-11-5A-MDVOSPE,7.04,3.045915343915344
CSO-11-5A-MTAGA,7.064814814814815,3.043261316872428
CSO-11-6A-CAPAMU,6.574766355140187,2.893139000148346
CSO-11-6A-DSCACH,7.197530864197531,3.1150548696844997
CSO-11-6A-EROMO,7.747126436781609,3.274940704251049
CSO-11-6A-FSOVRE,6.506578947368421,2.8906328320802004
CSO-11-6B-ANREVA,7.324074074074074,3.170708406819518
CSO-11-6B-DISEMO,6.363636363636363,2.825541125541126
CSO-11-6B-LHFDLACH,7.103658536585366,3.06527293844367
CSO-11-6B-RJGIHE,6.710144927536232,2.960605014952841
CSO-11-6B-SFLVA,7.3076923076923075,3.1323565323565323
CSO-11-6B-VCOMA,7.1875,3.0979910714285714
CSO-12-6A-DGISE,6.85,2.998730158730159
CSO-12-6A-FJOVRE,6.566037735849057,2.88853449136468
CSO-12-6B-GQULO,7.3076923076923075,3.1411665257819106
CSO-12-6B-LJHEFE,6.616438356164384,2.912821627890121
CSO-12-6B-VPAMA,8.055555555555555,3.364197530864198
CSO-12-7A-DALRE,4.685185185185185,2.3418430335097
CSO-12-7A-ESALA,7.826923076923077,3.30448717948718
CSO-12-7A-IMERO,6.367741935483871,2.8430107526881723
CSO-12-7A-JHEZA,7.156398104265403,3.0841044158579702
CSO-12-7A-LSARAR,7.428571428571429,3.1514172335600907
CSO-12-7A-SCAHO,7.00531914893617,3.0469604863221886
CSO-12-7B-DVAGRO,6.882352941176471,2.9951680672268908
CSO-12-7B-SMUGU,6.415841584158416,2.852938865315103
CSO-12-7B-SSARA,7.272300469483568,3.1284372904091216
CSO-12-7B-VHOMA,7.168,3.096031746031746
CSO-12-8A-YTOME,6.903225806451613,3.027726574500768
CSO-13-6A-ANASA,7.371134020618556,3.1607142857142856
