subject,diameter_T2W10,asp_T2W10,y_true,y_pred
CDMS-10-4A-JURAN,0.0,0.0,7,8.0
CDMS-10-5A-HEPIHO,0.0,0.0,11,8.0
CDMS-10-5A-KSRAGU,0.0,0.0,9,8.0
CDMS-10-5A-SROPU,0.0,0.0,10,8.0
CDMS-10-5A-SZURO,0.0,0.0,10,8.0
CDMS-10-5B-SRAJA,0.0,0.0,4,8.0
CDMS-10-5C-DAAUSA,0.0,0.0,3,8.0
CDMS-10-5C-ICAPA,0.0,0.0,7,8.0
CDMS-10-5C-JFALGI,0.0,0.0,12,8.0
CDMS-10-5C-MAORTO,0.0,0.0,4,8.0
CDMS-10-5C-NBEMO,0.0,0.0,9,8.0
CDMS-10-6B-ASCACO,0.0,0.0,9,8.0
CDMS-10-6B-JJMOBE,0.0,0.0,9,8.0
CDMS-11-5A-EAARCA,0.0,0.0,6,8.0
CDMS-11-5A-MGTHAR,0.0,0.0,9,8.0
CDMS-11-6A-DFVEBE,0.0,0.0,11,8.0
CDMS-11-6A-NMREPR,0.0,0.0,9,8.0
CDMS-11-6B-ARAHE,0.0,0.0,7,8.0
CDMS-11-6B-AVROTO,0.0,0.0,10,8.0
CDMS-11-6B-EAFESA,0.0,0.0,7,8.0
CDMS-11-6B-EFRGR,0.0,0.0,7,8.0
CDMS-11-6B-EROCO,0.0,0.0,8,8.0
CDMS-11-6B-JACUPE,0.0,0.0,8,8.0
CDMS-11-6B-JDCHBA,0.0,0.0,6,8.0
CDMS-11-6B-JFSAHE,0.0,0.0,8,8.0
CDMS-11-6B-JLPENA,0.0,0.0,6,8.0
CDMS-11-6B-JMARME,0.0,0.0,4,8.0
CDMS-11-6B-JPSAMA,0.0,0.0,10,8.0
CDMS-11-6B-LESTA,0.0,0.0,8,8.0
CDMS-11-6B-MAGIMU,0.0,0.0,9,8.0
CDMS-11-6B-MEBRTA,0.0,0.0,9,8.0
CDMS-11-6B-MMAMO,0.0,0.0,9,8.0
CDMS-11-6B-RSECA,0.0,0.0,10,8.0
CDMS-11-6B-SCAPA,0.0,0.0,3,8.0
CDMS-11-6B-VZAPE,0.0,0.0,12,8.0
CDMS-11-6B-YLNIME,0.0,0.0,9,8.0
CDMS-11-7C-ICARE,0.0,0.0,11,8.0
CDMS-11-7C-SALMA,0.0,0.0,10,8.0
CDMS-11-7C-SPGAVE,0.0,0.0,8,8.0
CDMS-12-5A-SRIGO,0.0,0.0,10,8.0
CDMS-12-6A-FAROPA,0.0,0.0,14,8.0
CDMS-12-6A-JGIGA,0.0,0.0,7,8.0
CDMS-12-6A-JSOTGU,0.0,0.0,8,8.0
