number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.0389670342978954,2026-06-09 17:47:49.389494,2026-06-09 17:47:51.506384,0 days 00:00:02.116890,,,,,,,,,,,,,,,Ridge,,,,,,8,,,,,,,,14.528246637516036,sparse_cg,,,,,,False,,,,,,,,,-0.021041137041461277,-0.008701512659527004,98.0,-0.01487132485049414,0.006169812190967137,0.030934675221670833,1.9844674545084815,1.028579196416161,1.0493548721796297,98.0,1.0389670342978954,0.01038783788173427,0.05208333433508403,1.9844674545084815,270279197275257.75,357351631521501.5,98.0,313815414398379.6,43536217123121.875,218285207944523.84,1.9844674545084815,3.0480206548405824,3.139789158005089,98.0,3.0939049064228357,0.045884251582253156,0.23005796230953665,1.9844674545084815,0.9509700481105167,0.9676218567411164,98.0,0.9592959524258166,0.008325904315299839,0.04174505446009937,1.9844674545084815,99.0,0.29292929292929293,0.01485528551114357,0.03284896300616334,98.0,0.023852124258653455,0.008996838747509886,0.04510903671969559,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",8.0,"['edges_T2W10', 're_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'diameter_T2W10']",0.139743430223511,0.1926024898303691,98.0,0.16617296002694004,0.026429529803429046,0.13251439353819094,1.9844674545084815,1.316235167407892,1.344105235609389,98.0,1.3301702015086405,0.013935034100748582,0.06986853744765167,1.9844674545084815,completed,False,COMPLETE
1,1.0807922236493663,2026-06-09 17:47:51.544581,2026-06-09 17:47:53.843429,0 days 00:00:02.298848,,,,,,,,,,,manhattan,13.0,uniform,,KNeighborsRegressor,,,,,,2,6.0,3.0,3.0,110.0,,,ExtraTrees,,,,,,,,True,,,,,,,,,-0.06654605014561997,-0.04433144758106391,98.0,-0.055438748863341936,0.011107301282278029,0.05569063483967384,1.9844674545084815,1.0656575422598935,1.0959269050388392,98.0,1.0807922236493663,0.015134681389472798,0.0758834205767643,1.9844674545084815,281208720788562.1,370089641192615.0,98.0,325649180990588.56,44440460202026.47,222818970902221.34,1.9844674545084815,3.2264014421443616,3.357903142160222,98.0,3.292152292152292,0.06575085000793018,0.3296666296458662,1.9844674545084815,0.823376827947173,0.868930864360519,98.0,0.846153846153846,0.022777018206672977,0.11420115214739848,1.9844674545084815,99.0,0.5858585858585859,-0.04252487606299435,-0.0048983698756226955,98.0,-0.023711622969308524,0.01881325309368583,0.0943273241231412,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",2.0,"['edges_T2W10', 'lcc_T2W10']",0.15134853493412193,0.20125015438670224,98.0,0.17629934466041208,0.024950809726290157,0.1251002739646606,1.9844674545084815,1.3427742506598945,1.380083046650503,98.0,1.3614286486551987,0.01865439799530413,0.09353084430760665,1.9844674545084815,completed,True,COMPLETE
2,1.0652181131869445,2026-06-09 17:47:53.856700,2026-06-09 17:47:55.895645,0 days 00:00:02.038945,,,,,,,,,,,minkowski,19.0,distance,,KNeighborsRegressor,,,,,,8,,,,,0.026730883107816707,0.0013296521457299515,LinearSVR,,,,,,,,True,,,,,,,,,-0.04699652330881128,-0.03336973131561523,98.0,-0.040183127312213254,0.006813395996598024,0.0341615248224198,1.9844674545084815,1.0529722689656351,1.0774639574082538,98.0,1.0652181131869445,0.012245844221309268,0.06139914831702444,1.9844674545084815,297844491457887.06,391032599406618.06,98.0,344438545432252.56,46594053974365.48,233616823712758.34,1.9844674545084815,3.2154040161738906,3.336059312092131,98.0,3.2757316641330108,0.06032764795912014,0.30247536533363095,1.9844674545084815,0.8552806193753297,0.8884462695079463,98.0,0.871863444441638,0.016582825066308243,0.08314423386096874,1.9844674545084815,99.0,0.5858585858585859,-0.03287155143766869,-0.008466522989093487,98.0,-0.02066903721338109,0.012202514224287602,0.061181897071162596,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",8.0,"['nodes_T2W10', 'edges_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'density_T2W10']",0.1084549333743001,0.1558833924759314,98.0,0.13216916292511574,0.023714229550815646,0.11890021390936995,1.9844674545084815,1.343848879959508,1.3767706914005597,98.0,1.360309785680034,0.0164609057205258,0.08253294534062446,1.9844674545084815,completed,True,COMPLETE
3,1.0146827695043887,2026-06-09 17:47:55.909989,2026-06-09 17:47:58.283109,0 days 00:00:02.373120,,,,,,,,,,,,,,0.006199100007802264,QuantileRegressor,,,,,,3,,,,,,,,,,,,,,,True,,,,,,,,,0.003180721180495745,0.014805480102109244,98.0,0.008993100641302494,0.005812379460806749,0.029142551721170327,1.9844674545084815,1.004058607130359,1.0253069318784185,98.0,1.0146827695043887,0.010624162374029755,0.05326823611001815,1.9844674545084815,258344851373035.94,344039631521651.7,98.0,301192241447343.8,42847390074307.89,214831514318296.56,1.9844674545084815,3.085275713195029,3.2145788952141463,98.0,3.1499273042045877,0.0646515910095585,0.32415508098820817,1.9844674545084815,0.9916878678297063,0.9985598641885955,98.0,0.9951238660091509,0.003435998179444622,0.01722766989552564,1.9844674545084815,99.0,0.31313131313131315,0.018339938042482254,0.03822937739057049,98.0,0.02828465771652637,0.009944719674044117,0.049861594448127274,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3.0,"['edges_T2W10', 'pe_T2W10', 'l2_T2W10']",0.19736566736992978,0.2506768886158309,88.0,0.22402127799288032,0.026655610622950555,0.1265384240772177,1.9872898648311692,1.3127031224862284,1.3415392800617452,98.0,1.3271212012739868,0.014418078787758332,0.07229046376367101,1.9844674545084815,completed,True,COMPLETE
4,1.285262949904261,2026-06-09 17:47:58.300747,2026-06-09 17:48:00.110539,0 days 00:00:01.809792,16.0,4.0,12.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,7,,,,,,,,,,,,,,,False,,,,,,,,,-0.2773353558880679,-0.23540892789615886,98.0,-0.2563721418921134,0.02096321399595452,0.10510696217247169,1.9844674545084815,1.2636703869039345,1.3068555129045873,98.0,1.285262949904261,0.021592563000326408,0.10826244024031778,1.9844674545084815,256890479286236.2,350011208204202.06,98.0,303450843745219.1,46560364458982.92,233447908649466.72,1.9844674545084815,3.9222522872456165,4.121200275903918,98.0,4.021726281574767,0.0994739943291509,0.4987503042766443,1.9844674545084815,1.0562278984128137,1.1175583041612676,98.0,1.0868931012870406,0.03066520287422702,0.15375153443238943,1.9844674545084815,99.0,1.0,-0.4842789928685477,-0.4003867167878108,98.0,-0.44233285482817924,0.04194613804036848,0.2103127480901116,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",7.0,"['edges_T2W10', 're_T2W10', 'l3_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.06994207816304152,0.1196102004243823,98.0,0.09477613929371191,0.024834061130670392,0.12451491094609561,1.9844674545084815,1.5872687649081314,1.6358090605001796,98.0,1.6115389127041555,0.02427014779602413,0.1216875192329425,1.9844674545084815,completed,False,COMPLETE
5,1.1744458599771659,2026-06-09 17:48:00.122993,2026-06-09 17:48:02.292270,0 days 00:00:02.169277,6.0,2.0,3.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,,,,,,,,False,,,,,,,,,-0.17119142036348153,-0.12398509126300197,98.0,-0.14758825581324175,0.023603164550239777,0.11834334773338823,1.9844674545084815,1.1492239763579049,1.199667743596427,98.0,1.1744458599771659,0.025221883619261105,0.1264594049366547,1.9844674545084815,261001565992549.25,347783498543167.25,98.0,304392532267858.25,43390966275309.01,217556938158720.34,1.9844674545084815,3.7574865648168507,4.005330567805562,98.0,3.8814085663112063,0.12392200149435564,0.6213295883883928,1.9844674545084815,0.8655019092332636,0.94978142108301,98.0,0.9076416651581368,0.042139755924873186,0.21128352421568458,1.9844674545084815,99.0,0.8383838383838383,-0.3055323967356218,-0.20724337444864283,98.0,-0.2563878855921323,0.04914451114348951,0.24640450050932977,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3.0,"['edges_T2W10', 're_T2W10', 'density_T2W10']",0.15042361728213477,0.20856454430467497,98.0,0.17949408079340487,0.029070463511270087,0.14575570850943634,1.9844674545084815,1.4709707176154012,1.5313950084308008,98.0,1.501182863023101,0.030212145407699852,0.151479960330946,1.9844674545084815,completed,False,COMPLETE
6,1.069665128963044,2026-06-09 17:48:02.306894,2026-06-09 17:48:04.282197,0 days 00:00:01.975303,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,,,,,,True,,,,,,,,,-0.05199344422624087,-0.038115193927305946,98.0,-0.04505431907677341,0.0069391251494674636,0.034791915244288096,1.9844674545084815,1.059353691752823,1.0799765661732652,98.0,1.069665128963044,0.010311437210220991,0.051700270817617335,1.9844674545084815,271377060813610.38,357484212517134.6,98.0,314430636665372.5,43053575851762.14,215865304304677.84,1.9844674545084815,3.0779449937472374,3.1675294977302237,98.0,3.1227372457387306,0.044792251991493,0.224582811423774,1.9844674545084815,0.9949841362590701,1.0165104055717882,98.0,1.0057472709154291,0.010763134656358999,0.05396502594504157,1.9844674545084815,99.0,0.5555555555555556,-0.01834155206929433,0.002245493019002627,98.0,-0.008048029525145852,0.01029352254414848,0.051610448897677984,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4.0,"['atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.004184710986226421,0.05215370948400529,98.0,0.028169210235115854,0.023984499248889433,0.1202553127476153,1.9844674545084815,1.3378031705177829,1.3650463646334907,98.0,1.3514247675756368,0.013621597057853981,0.06829700288156215,1.9844674545084815,completed,True,COMPLETE
7,,2026-06-09 17:48:04.295150,2026-06-09 17:48:04.439594,0 days 00:00:00.144444,,,,,,,,,,,,,,,XGBRegressor,,,,,,8,,,,,,,,,,,,,,,False,gblinear,0.6258911479126821,0.2554006816661351,5.0,367.0,0.00029870091504560114,5.103930927389519e-06,0.9812236474710556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL
8,1.046134192488125,2026-06-09 17:48:04.473448,2026-06-09 17:48:21.321048,0 days 00:00:16.847600,,,,,,14.0,log2,3.0,8.0,215.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,,,,,,,,False,,,,,,,,,-0.02884797099032315,-0.014430498259748459,98.0,-0.021639234625035805,0.007208736365287345,0.03614371253395575,1.9844674545084815,1.0341070529878533,1.0581613319883965,98.0,1.046134192488125,0.012027139500271662,0.060302589895902724,1.9844674545084815,278732987636743.62,366109287057659.5,98.0,322421137347201.56,43688149710457.93,219046979145875.8,1.9844674545084815,3.1358237201774624,3.2457248994390233,98.0,3.190774309808243,0.054950589630780575,0.2755154599286188,1.9844674545084815,0.8028181155116072,0.8350959593584564,98.0,0.8189570374350318,0.016138921923424636,0.08091855840603551,1.9844674545084815,99.0,0.32323232323232326,0.008571499680657159,0.030668667808162492,98.0,0.019620083744409825,0.011048584063752667,0.05539623396833755,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4.0,"['edges_T2W10', 'lcc_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.17466151236218191,0.21915281381214757,98.0,0.19690716308716474,0.022245650724982836,0.11153694131558303,1.9844674545084815,1.317719258133897,1.3484834072261818,98.0,1.3331013326800394,0.01538207454614236,0.07712381926585911,1.9844674545084815,completed,False,COMPLETE
9,1.2935545606579404,2026-06-09 17:48:21.334552,2026-06-09 17:48:22.983000,0 days 00:00:01.648448,8.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,12,,,,,,,,,,,,,,,True,,,,,,,,,-0.2838149018805678,-0.2446950467065454,98.0,-0.2642549742935566,0.01955992758701118,0.09807105768137529,1.9844674545084815,1.2727675825804505,1.3143415387354302,98.0,1.2935545606579404,0.020786978077489887,0.10422333707476159,1.9844674545084815,279099921336101.16,377314755764424.75,98.0,328207338550262.94,49107417214161.79,246218516135586.8,1.9844674545084815,3.8882994289225286,4.076425744893554,98.0,3.9823625869080415,0.09406315798551303,0.47162104008070893,1.9844674545084815,1.065667052883295,1.1322462301622704,98.0,1.0989566415227827,0.03328958863948778,0.16690988006624438,1.9844674545084815,99.0,1.0,-0.4938683153937399,-0.40827941527325906,98.0,-0.45107386533349947,0.04279445006024039,0.21456607963556723,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",12.0,"['edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.08450946894366432,0.1354379789571311,98.0,0.10997372395039771,0.025464255006733393,0.12767462509610428,1.9844674545084815,1.5919993189148354,1.6409053584391877,98.0,1.6164523386770115,0.024453019762176224,0.12260441665298806,1.9844674545084815,completed,True,COMPLETE
