number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.55345453600732,2026-06-09 15:27:43.893615,2026-06-09 15:27:45.985759,0 days 00:00:02.092144,,,,,,,,,,,,,,,Ridge,,,,,,8,,,,,,,,14.528246637516036,sparse_cg,,,,,,False,,,,,,,,,-0.0035549228559977252,0.0034414709247183334,98.0,-5.672596563969604e-05,0.0034981968903580293,0.017539526539092493,1.9844674545084815,6.501457674935379,6.6054513970792605,98.0,6.55345453600732,0.051996861071940605,0.26070583026202027,1.9844674545084815,165718859096206.5,385257052428202.0,98.0,275487955762204.25,109769096665997.73,550368674059517.6,1.9844674545084815,16.06024707711816,16.478695914072016,98.0,16.269471495595088,0.2092244184769273,1.0490253566392822,1.9844674545084815,6.19061022506133,6.360631781540687,98.0,6.2756210033010085,0.08501077823967843,0.4262335276649172,1.9844674545084815,99.0,0.36363636363636365,0.005945218933285757,0.017464668298499304,98.0,0.01170494361589253,0.005759724682606773,0.028878547175801815,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",8,"['nodes_T2W10', 'edges_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'atd_T2W10', 'diameter_T2W10']",0.04794113089652563,0.1007578715788619,98.0,0.07434950123769377,0.026408370341168132,0.13240830261149064,1.9844674545084815,7.635355031822838,7.758809847297568,98.0,7.697082439560203,0.0617274077373649,0.3094935877345906,1.9844674545084815,completed,False,COMPLETE
1,6.492222063650635,2026-06-09 15:27:46.005439,2026-06-09 15:27:49.054777,0 days 00:00:03.049338,,,,,,,,,,,manhattan,13.0,uniform,,KNeighborsRegressor,,,,,,2,6.0,3.0,3.0,110.0,,,ExtraTrees,,,,,,,,True,,,,,,,,,0.0018312127508315797,0.016686208609835176,98.0,0.009258710680333378,0.007427497929501798,0.03724055595973562,1.9844674545084815,6.426326370910785,6.558117756390485,98.0,6.492222063650635,0.0658956927398495,0.3303928531890566,1.9844674545084815,158524636171871.12,369798311408913.6,98.0,264161473790392.38,105636837618521.25,529650038287646.9,1.9844674545084815,17.241554191143166,17.874218924629957,98.0,17.55788655788656,0.3163323667433952,1.5860513617636502,1.9844674545084815,5.937850100650451,6.175592012791663,98.0,6.056721056721057,0.11887095607060576,0.596004271364583,1.9844674545084815,99.0,0.48484848484848486,-0.019594054325778425,0.009074848093570068,98.0,-0.005259603116104179,0.014334451209674247,0.07187116543050724,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",2,"['pe_T2W10', 'asp_T2W10']",0.14340101647143444,0.1870927465348961,98.0,0.16524688150316527,0.021845865031730822,0.10953246529650296,1.9844674545084815,7.680878647545156,7.835594624418888,98.0,7.758236635982022,0.07735798843686605,0.38786338611728505,1.9844674545084815,completed,True,COMPLETE
2,6.571376556661379,2026-06-09 15:27:49.081667,2026-06-09 15:27:51.385742,0 days 00:00:02.304075,,,,,,,,,,,minkowski,19.0,distance,,KNeighborsRegressor,,,,,,8,,,,,0.026730883107816707,0.0013296521457299515,LinearSVR,,,,,,,,True,,,,,,,,,-0.009441355329853816,0.0038212047984929358,98.0,-0.0028100752656804407,0.0066312800641733765,0.033248418061974774,1.9844674545084815,6.508576706435753,6.634176406887005,98.0,6.571376556661379,0.0627998502256258,0.3148706817273125,1.9844674545084815,138392302113702.56,322625963360743.5,98.0,230509132737223.03,92116830623520.47,461862395416218.2,1.9844674545084815,16.848037214573882,17.52755674391552,98.0,17.187796979244702,0.3397597646708205,1.703513437389674,1.9844674545084815,6.1003586425793275,6.265825282585424,98.0,6.183091962582376,0.0827333200030486,0.41481463375041383,1.9844674545084815,99.0,0.45454545454545453,-0.014322788577759385,0.010645480820510346,98.0,-0.0018386538786245193,0.012484134699134865,0.06259390730024661,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",8,"['nodes_T2W10', 'edges_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10']",0.1228119651984644,0.16749529442573205,98.0,0.14515362981209823,0.022341664613633825,0.11201834307794728,1.9844674545084815,7.675488630043496,7.816029221237409,98.0,7.745758925640453,0.07027029559695679,0.3523265708484906,1.9844674545084815,completed,True,COMPLETE
3,6.594937639517737,2026-06-09 15:27:51.398069,2026-06-09 15:27:54.571085,0 days 00:00:03.173016,,,,,,,,,,,,,,0.006199100007802264,QuantileRegressor,,,,,,3,,,,,,,,,,,,,,,True,,,,,,,,,-0.015976317102568856,0.0031593505281616247,98.0,-0.0064084832872036155,0.00956783381536524,0.04797193536726569,1.9844674545084815,6.518054790804006,6.671820488231469,98.0,6.594937639517737,0.07688284871373198,0.3854810943124249,1.9844674545084815,155502364305898.88,361819233761523.2,98.0,258660799033711.03,103158434727812.17,517223632731124.1,1.9844674545084815,18.579617226517055,20.386022766553264,98.0,19.48281999653516,0.9032027700181058,4.528546977609675,1.9844674545084815,5.7855914006549565,6.001815191838217,98.0,5.893703296246587,0.10811189559162991,0.5420596728410322,1.9844674545084815,99.0,0.7373737373737373,-0.1004574163447112,-0.04213774982633673,98.0,-0.07129758308552396,0.02915983325918723,0.14620379737193154,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['pe_T2W10', 'density_T2W10', 'diameter_T2W10']",0.08500487886906692,0.1365846100283262,98.0,0.11079474444869657,0.02578986557962964,0.12930719623595752,1.9844674545084815,7.883722418615448,8.111444999084766,98.0,7.997583708850106,0.11386129023465895,0.5708864264760464,1.9844674545084815,completed,True,COMPLETE
4,7.657447111513284,2026-06-09 15:27:54.660162,2026-06-09 15:27:57.490493,0 days 00:00:02.830331,16.0,4.0,12.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,7,,,,,,,,,,,,,,,False,,,,,,,,,-0.18784115152039949,-0.1496672572586346,98.0,-0.16875420438951705,0.01908694713088245,0.0956995921742143,1.9844674545084815,7.52493395221848,7.789960270808089,98.0,7.657447111513284,0.13251315929480426,0.6644045910155543,1.9844674545084815,126074255014458.19,334737014474165.0,98.0,230405634744311.6,104331379729853.4,523104633897440.06,1.9844674545084815,20.98860083477351,21.844077317601613,98.0,21.416339076187562,0.4277382414140521,2.1446266382961303,1.9844674545084815,6.56113596615916,6.952384520088598,98.0,6.756760243123879,0.19562427696471943,0.980835929209893,1.9844674545084815,99.0,1.0,-0.5252748997898274,-0.438347368180817,98.0,-0.4818111339853222,0.043463765804505214,0.21792194599401107,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",7,"['re_T2W10', 'pe_T2W10', 'l1_T2W10', 'lsc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.04444089956260475,0.09465534176286766,98.0,0.0695481206627362,0.02510722110013145,0.12588450124759792,1.9844674545084815,9.254627652922984,9.53981130353052,98.0,9.397219478226752,0.14259182530376832,0.7149377758200213,1.9844674545084815,completed,False,COMPLETE
5,7.291823616003814,2026-06-09 15:27:57.505326,2026-06-09 15:28:00.386256,0 days 00:00:02.880930,6.0,2.0,3.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,,,,,,,,False,,,,,,,,,-0.1324828354916269,-0.09196075664618958,98.0,-0.11222179606890824,0.02026103942271866,0.10158634570966137,1.9844674545084815,7.143630005122307,7.440017226885321,98.0,7.291823616003814,0.1481936108815076,0.7430244358584756,1.9844674545084815,137256410292668.7,327644495189813.5,98.0,232450452741241.1,95194042448572.39,477291154906763.5,1.9844674545084815,20.82294973923913,21.825104928755383,98.0,21.324027333997257,0.5010775947581264,2.5123410850969283,1.9844674545084815,6.099965891575304,6.489646128182968,98.0,6.294806009879136,0.19484011830383172,0.9769042546716736,1.9844674545084815,99.0,0.9393939393939394,-0.3941465926155436,-0.30766651945659745,98.0,-0.3509065560360705,0.043240036579473076,0.2168001953313089,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3,"['pe_T2W10', 'density_T2W10', 'asp_T2W10']",0.0692251937514585,0.12383368337079279,98.0,0.09652943856112564,0.027304244809667148,0.13690010639167344,1.9844674545084815,8.814746473016688,9.124026260081868,98.0,8.969386366549278,0.15463989353258908,0.7753452997723314,1.9844674545084815,completed,False,COMPLETE
6,6.5595490921639605,2026-06-09 15:28:00.427386,2026-06-09 15:28:02.638193,0 days 00:00:02.210807,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,,,,,,True,,,,,,,,,-0.007560312516611881,0.005392203720040468,98.0,-0.0010840543982857062,0.006476258118326175,0.03247115719915054,1.9844674545084815,6.499526308177522,6.619571876150399,98.0,6.5595490921639605,0.06002278398643852,0.30094681508124216,1.9844674545084815,169830774077262.94,394894541158683.44,98.0,282362657617973.2,112531883540710.23,564220945738232.9,1.9844674545084815,16.49467670615925,17.132715513039873,98.0,16.81369610959956,0.3190194034403129,1.5995238314199478,1.9844674545084815,6.110505657674633,6.28870022522484,98.0,6.1996029414497364,0.08909728377510394,0.44672276098631786,1.9844674545084815,99.0,0.46464646464646464,-0.016097955295685328,0.011375675415226789,98.0,-0.0023611399402292703,0.013736815355456058,0.06887469317513904,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['pe_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.08530950152026905,0.13777416001315618,98.0,0.11154183076671262,0.026232329246443573,0.1315256543359168,1.9844674545084815,7.6742795419604395,7.819832002085954,98.0,7.747055772023197,0.07277623006275753,0.3648910163173219,1.9844674545084815,completed,True,COMPLETE
7,6.625330780774288,2026-06-09 15:28:02.652808,2026-06-09 15:36:05.607294,0 days 00:08:02.954486,,,,,,,,,,,,,,,XGBRegressor,,,,,,8,,,,,,,,,,,,,,,False,gblinear,0.6258911479126821,0.2554006816661351,5.0,367.0,0.00029870091504560114,5.103930927389519e-06,0.9812236474710556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",8,"['re_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",,,,,,,,,,,,,,,timeout,False,PRUNED
8,6.43719265019814,2026-06-09 15:36:05.622279,2026-06-09 15:36:23.262196,0 days 00:00:17.639917,,,,,,14.0,log2,3.0,8.0,215.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,,,,,,,,False,,,,,,,,,0.013281715226919823,0.0219991193972688,98.0,0.01764041731209431,0.004358702085174487,0.02185399315562576,1.9844674545084815,6.384841807043625,6.489543493352656,98.0,6.43719265019814,0.0523508431545158,0.2624806526423167,1.9844674545084815,146145996359386.0,340107408054973.6,98.0,243126702207179.8,96980705847793.83,486249264209714.3,1.9844674545084815,16.377995377837294,16.910339343584802,98.0,16.644167360711048,0.26617198287375216,1.3345534010520599,1.9844674545084815,5.825831390371692,6.031905051851671,98.0,5.928868221111681,0.1030368307399891,0.5166139253765836,1.9844674545084815,99.0,0.15151515151515152,0.030755123350114284,0.047763080334848496,98.0,0.03925910184248139,0.008503978492367104,0.04263789635908085,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'diameter_T2W10']",0.1872465875764144,0.23028382771452935,98.0,0.20876520764547188,0.021518620069057463,0.1078916995284543,1.9844674545084815,7.52446512059541,7.650466205697965,98.0,7.587465663146688,0.06300054255127706,0.31587692822580277,1.9844674545084815,completed,False,COMPLETE
9,7.732222431905941,2026-06-09 15:36:23.279923,2026-06-09 15:36:26.043809,0 days 00:00:02.763886,8.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,12,,,,,,,,,,,,,,,True,,,,,,,,,-0.2008867604105624,-0.16017923237911583,98.0,-0.1805329963948391,0.02035376401572328,0.10205125535048624,1.9844674545084815,7.59697879989793,7.867466063913953,98.0,7.732222431905941,0.1352436320080113,0.678094843485209,1.9844674545084815,131605142415109.84,330026603115787.75,98.0,230815872765448.78,99210730350338.94,497430331248286.06,1.9844674545084815,21.261454581744747,22.097047830545545,98.0,21.679251206145146,0.4177966244003982,2.094780600203452,1.9844674545084815,6.545669021955061,6.965000935713072,98.0,6.755334978834067,0.20966595687900566,1.0512391755762973,1.9844674545084815,99.0,1.0,-0.5540963055080599,-0.46340702169632714,98.0,-0.5087516636021935,0.04534464190586635,0.22735242613293546,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",12,"['edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.028850609508941076,0.07931712308508723,98.0,0.05408386629701415,0.025233256788073075,0.12651642859840484,1.9844674545084815,9.338393951005736,9.614775357907499,98.0,9.476584654456618,0.13819070345088205,0.6928710951957132,1.9844674545084815,completed,True,COMPLETE
