number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.697198191046252,2026-06-12 13:58:53.952062,2026-06-12 13:58:56.110967,0 days 00:00:02.158905,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,11,,,,,,,,False,,,,,,,,,-0.03082905071291399,-0.013180220889749452,98.0,-0.02200463580133172,0.008824414911582269,0.04424452493233447,1.9844674545084815,6.622743611778174,6.77165277031433,98.0,6.697198191046252,0.07445457926807825,0.3733060516487308,1.9844674545084815,172942074666500.75,402278287677234.25,98.0,287610181171867.5,114668106505366.77,574931703467531.9,1.9844674545084815,17.37319227812288,18.136733188866963,98.0,17.75496273349492,0.3817704553720416,1.914149844537203,1.9844674545084815,6.16156311247381,6.3479178149398505,98.0,6.25474046370683,0.09317735123302047,0.46717971458337243,1.9844674545084815,99.0,0.7272727272727273,-0.08682957960933504,-0.0480542929829609,98.0,-0.06744193629614798,0.019387643313187077,0.09720724564113965,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",11,"['edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.029035011936268777,0.07885404363217022,98.0,0.0539445277842195,0.024909515847950724,0.12489323156603722,1.9844674545084815,7.899259368266147,8.085341675999588,98.0,7.992300522132868,0.09304115386672039,0.46649683783410795,1.9844674545084815,completed,False,COMPLETE
1,7.637617839756417,2026-06-12 13:58:56.130380,2026-06-12 13:59:04.496953,0 days 00:00:08.366573,,,,,,,,,,,,,,,XGBRegressor,,,,,,2,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.18736757906827373,-0.14423327277898174,98.0,-0.16580042592362773,0.021567153144646,0.10813503836671555,1.9844674545084815,7.491714136892446,7.783521542620388,98.0,7.637617839756417,0.14590370286397097,0.7315431202823378,1.9844674545084815,166992286207540.7,404020147771150.8,98.0,285506216989345.75,118513930781805.06,594214190724666.2,1.9844674545084815,22.101453593771527,23.104052964598583,98.0,22.602753279185055,0.501299685413529,2.513454620174171,1.9844674545084815,6.519555572526882,6.959710300351376,98.0,6.739632936439129,0.22007736391224675,1.1034406827219219,1.9844674545084815,99.0,1.0,-0.5469900580312599,-0.4572173970810766,98.0,-0.5021037275561683,0.04488633047509166,0.22505450930458354,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",2,"['diameter_T2W10', 'asp_T2W10']",0.05084451005486401,0.10708231799651108,98.0,0.07896341402568754,0.028118903970823533,0.14098470666583204,1.9844674545084815,9.314015944680024,9.606297774316415,98.0,9.46015685949822,0.146140914818196,0.7327324716816223,1.9844674545084815,completed,False,COMPLETE
2,6.587109407920335,2026-06-12 13:59:04.509076,2026-06-12 13:59:06.178169,0 days 00:00:01.669093,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,9,,,,,,,,True,,,,,,,,,-0.007165395279270277,-0.0030939200671651432,98.0,-0.00512965767321771,0.0020357376060525668,0.010206936569637514,1.9844674545084815,6.536211975859783,6.6380068399808865,98.0,6.587109407920335,0.05089743206055141,0.2551934291801202,1.9844674545084815,163318814681906.6,379643567528795.5,98.0,271481191105351.03,108162376423444.44,542312777488105.3,1.9844674545084815,16.14413360356408,16.529550360517028,98.0,16.336841982040553,0.19270837847647468,0.9662159748383041,1.9844674545084815,6.288274214353267,6.439459136240631,98.0,6.363866675296949,0.0755924609436819,0.37901124963304283,1.9844674545084815,99.0,0.2727272727272727,0.0044642170464979656,0.00852445087899244,98.0,0.006494333962745204,0.002030116916247238,0.010178755126140068,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",9,"['edges_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.06715867593540682,0.11887364991711784,98.0,0.09301616292626233,0.02585748699085551,0.1296462416281926,1.9844674545084815,7.658365376483443,7.778437888683188,98.0,7.718401632583316,0.06003625609987191,0.3010143625917193,1.9844674545084815,completed,True,COMPLETE
3,6.503887361160137,2026-06-12 13:59:06.194985,2026-06-12 13:59:12.225094,0 days 00:00:06.030109,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,6,,,,,,,,False,,,,,,,,,0.0012772836982247165,0.013782950278915579,98.0,0.0075301169885701475,0.006252833290345431,0.03135093274561517,1.9844674545084815,6.441795544945057,6.565979177375217,98.0,6.503887361160137,0.06209181621508009,0.31132068677054614,1.9844674545084815,148726475533246.88,346030168705472.3,98.0,247378322119359.6,98651846586112.72,494628157179144.2,1.9844674545084815,16.674384881434264,17.24091644874654,98.0,16.9576506650904,0.2832657836561389,1.420259603954192,1.9844674545084815,5.881463752729961,6.103657980469243,98.0,5.992560866599602,0.11109711386964106,0.557027188064797,1.9844674545084815,99.0,0.41414141414141414,0.002151466778328035,0.02644526717569988,98.0,0.014298366977013957,0.012146900198685922,0.06090305522533196,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",6,"['nodes_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.13940295969973615,0.18510979083277745,98.0,0.1622563752662568,0.02285341556652065,0.11458419906058342,1.9844674545084815,7.6123352504096955,7.754983673870677,98.0,7.683659462140186,0.07132421173049054,0.35761077599001456,1.9844674545084815,completed,False,COMPLETE
4,8.153164296021439,2026-06-12 13:59:12.242314,2026-06-12 13:59:14.361877,0 days 00:00:02.119563,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,5,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.2691818775821006,-0.22134539909775497,98.0,-0.2452636383399278,0.02391823924217283,0.11992309326920643,1.9844674545084815,8.001209228459194,8.305119363583684,98.0,8.153164296021439,0.1519550675622451,0.7618839144256441,1.9844674545084815,84474097736002.28,199611964101841.53,98.0,142043030918921.9,57568933182919.63,288643510653203.5,1.9844674545084815,23.051728216149723,24.03918087475937,98.0,23.545454545454547,0.4937263293048257,2.4754827493441667,1.9844674545084815,6.341435104628338,6.749473986280754,98.0,6.545454545454546,0.20401944082620835,1.0229282424683228,1.9844674545084815,99.0,1.0,-0.7986050518942636,-0.6750235163399263,98.0,-0.7368142841170949,0.06179076777716867,0.30981126713757656,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",5,"['pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.11781318325221563,0.167298811482259,98.0,0.1425559973672373,0.024742814115021692,0.12405740969538141,1.9844674545084815,9.979118170960563,10.323595662410314,98.0,10.151356916685438,0.17223874572487574,0.8635837679771858,1.9844674545084815,completed,True,COMPLETE
5,6.678690619252903,2026-06-12 13:59:14.401779,2026-06-12 13:59:41.846199,0 days 00:00:27.444420,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,5,,,,,,,,False,,,,,,,,,-0.029518930585669973,-0.009188538639111132,98.0,-0.019353734612390552,0.01016519597327942,0.050967035343217296,1.9844674545084815,6.601208914118402,6.7561723243874034,98.0,6.678690619252903,0.07748170513450114,0.3884836863375158,1.9844674545084815,125335845917543.95,293351935892107.94,98.0,209343890904825.94,84008044987281.98,421205947158938.8,1.9844674545084815,17.50015058693654,18.190654334754946,98.0,17.845402460845744,0.34525187390920126,1.7310501938277358,1.9844674545084815,6.082780358964665,6.35688485555911,98.0,6.219832607261887,0.13705224829722246,0.6871630218633584,1.9844674545084815,99.0,0.7878787878787878,-0.09457449039049833,-0.05757406490351345,98.0,-0.07607427764700589,0.01850021274349244,0.09275777852519122,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",5,"['pe_T2W10', 'lsc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.09498417980706528,0.13694108440204142,98.0,0.11596263210455335,0.020978452297488074,0.10518336513163476,1.9844674545084815,7.938997739061763,8.10717517649404,98.0,8.023086457777902,0.0840887187161388,0.4216104352574194,1.9844674545084815,completed,False,COMPLETE
6,6.621491100616638,2026-06-12 13:59:41.858443,2026-06-12 13:59:43.425034,0 days 00:00:01.566591,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,12,,,,,,,,False,,,,,,,,,-0.012458197430658274,-0.008359871227745053,98.0,-0.010409034329201663,0.0020491631014566097,0.010274250343081406,1.9844674545084815,6.57150289828668,6.671479302946596,98.0,6.621491100616638,0.04998820232995789,0.25063466376762084,1.9844674545084815,163233331668260.44,379444316652481.4,98.0,271338824160370.9,108105492492110.48,542027568491999.3,1.9844674545084815,16.178202512054185,16.562180192268613,98.0,16.3701913521614,0.1919888401072141,0.9626082984498407,1.9844674545084815,6.295040903910852,6.458549308406907,98.0,6.3767951061588795,0.0817542022480269,0.40990545842742565,1.9844674545084815,99.0,1.0,-0.002333461449688946,-0.0014132743856725455,98.0,-0.0018733679176807458,0.00046009353200820037,0.0023068520635202753,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",12,"['edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",-0.5618090308134442,-0.14362985717331017,1.0,-0.3527194439933772,0.209089586820067,0.02327188452977404,12.706204736174694,7.691547167037058,7.810116790761219,98.0,7.750831978899138,0.059284811862080816,0.2972467141246726,1.9844674545084815,completed,False,COMPLETE
7,6.867388405665456,2026-06-12 13:59:43.437073,2026-06-12 13:59:45.314692,0 days 00:00:01.877619,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,8,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.061802670368949396,-0.03526769728961423,98.0,-0.04853518382928181,0.013267486539667583,0.0665215365409965,1.9844674545084815,6.779413707851663,6.9553631034792485,98.0,6.867388405665456,0.08797469781379284,0.4410942538216416,1.9844674545084815,127789753944594.95,300238451093435.2,98.0,214014102519015.06,86224348574420.11,432318219224710.5,1.9844674545084815,17.65099789365786,18.459262817601072,98.0,18.055130355629466,0.4041324619716071,2.0262701798166445,1.9844674545084815,6.229611956920927,6.514336576256275,98.0,6.371974266588601,0.142362309667674,0.7137870128079369,1.9844674545084815,99.0,0.797979797979798,-0.1430778117254806,-0.08757890961915113,98.0,-0.11532836067231586,0.027749451053164724,0.13913231543191307,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['nodes_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.11631426390373702,0.16742154082867222,98.0,0.1418679023662046,0.025553638462467596,0.12812278268789878,1.9844674545084815,8.056124950409956,8.257526613518024,98.0,8.15682578196399,0.10070083155403489,0.5049015143827161,1.9844674545084815,completed,True,COMPLETE
8,6.609644939463195,2026-06-12 13:59:45.327911,2026-06-12 13:59:47.399576,0 days 00:00:02.071665,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,2,,,,,,,,False,,,,,,,,,-0.010876055289751971,-0.0062648712495702585,98.0,-0.008570463269661115,0.002305592020090856,0.011559953225092666,1.9844674545084815,6.558233489494981,6.661056389431408,98.0,6.609644939463195,0.051411449968213827,0.2577706513936163,1.9844674545084815,147939118029023.2,344105368160704.75,98.0,246022243094863.97,98083125065840.8,491776657817957.25,1.9844674545084815,17.403849271615734,17.925168469732895,98.0,17.664508870674315,0.2606595990585824,1.306914990393608,1.9844674545084815,6.02207664224561,6.247663017048106,98.0,6.134869829646858,0.11279318740124855,0.5655310909760014,1.9844674545084815,99.0,1.0,-0.0428699137988863,-0.03325302876034503,98.0,-0.03806147127961566,0.004808442519270633,0.024108936066722167,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",2,"['diameter_T2W10', 'asp_T2W10']",-0.19728543119745656,-0.10658069588904706,4.0,-0.1519330635432518,0.04535236765420476,0.036525475265299735,2.7764451051977934,7.8234885154376155,7.95589589482765,98.0,7.889692205132633,0.06620368969501714,0.33193711182813207,1.9844674545084815,completed,False,COMPLETE
9,6.501046236005845,2026-06-12 13:59:47.412498,2026-06-12 13:59:49.314392,0 days 00:00:01.901894,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,9,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.00018957092996149064,0.015715763370270773,98.0,0.007763096220154641,0.007952667150116131,0.039873689477139464,1.9844674545084815,6.436349982826549,6.565742489185141,98.0,6.501046236005845,0.06469625317929578,0.32437901158329835,1.9844674545084815,143681380700603.4,335800349010530.1,98.0,239740864855566.78,96059484154963.38,481630372581766.56,1.9844674545084815,16.870269616012784,17.56369199323779,98.0,17.216980804625287,0.3467111886125021,1.7383670172569665,1.9844674545084815,5.981006363378701,6.194338717129177,98.0,6.087672540253939,0.10666617687523786,0.5348110180085632,1.9844674545084815,99.0,0.43434343434343436,-0.008102619267297311,0.02216008144907194,98.0,0.007028731090887315,0.015131350358184626,0.07586671919787893,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",9,"['edges_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.15281274955283217,0.2028755450358268,98.0,0.17784414729432949,0.02503139774149733,0.12550433230550326,1.9844674545084815,7.633836953461683,7.783849388486723,98.0,7.708843170974203,0.07500621751252023,0.3760718975778255,1.9844674545084815,completed,True,COMPLETE
