number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,2.869610632478621,2026-06-09 17:22:39.633607,2026-06-09 17:22:41.755475,0 days 00:00:02.121868,,,,,,,,,,,,,,,Ridge,,,,,,8,,,,,,,,14.528246637516036,sparse_cg,,,,,,False,,,,,,,,,-0.011161388102349809,-0.00369544647508596,98.0,-0.007428417288717884,0.0037329708136319244,0.018716653952732122,1.9844674545084815,2.8457993467098923,2.8934219182473493,98.0,2.869610632478621,0.02381128576872851,0.11938684178173432,1.9844674545084815,976498114847025.6,1179419257892324.5,98.0,1077958686369675.1,101460571522649.47,508710756618067.0,1.9844674545084815,7.8902707273589785,8.234213491683976,98.0,8.062242109521478,0.1719713821624989,0.8622432401438841,1.9844674545084815,2.5183741671778996,2.5896666868877096,98.0,2.5540204270328046,0.035646259854905035,0.17872593805905104,1.9844674545084815,99.0,0.40404040404040403,0.0022471980858337843,0.013441985537749054,98.0,0.007844591811791419,0.005597393725957634,0.028064639836820556,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",8,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'atd_T2W10']",0.02849951732504738,0.08605113223360876,98.0,0.05727532477932807,0.02877580745428069,0.14427833948377783,1.9844674545084815,3.437122749802285,3.5027706526194664,98.0,3.469946701210876,0.03282395140859065,0.164575232582159,1.9844674545084815,completed,False,COMPLETE
1,2.888222888222888,2026-06-09 17:22:41.774742,2026-06-09 17:22:43.955740,0 days 00:00:02.180998,,,,,,,,,,,manhattan,13.0,uniform,,KNeighborsRegressor,,,,,,2,6.0,3.0,3.0,110.0,,,ExtraTrees,,,,,,,,True,,,,,,,,,-0.024006660599757736,-0.004502363896415193,98.0,-0.014254512248086463,0.00975214835167127,0.04889606565564099,1.9844674545084815,2.8562095668828964,2.9202362095628795,98.0,2.888222888222888,0.03201332133999148,0.16051083367975005,1.9844674545084815,920760640080317.0,1115118055463475.2,98.0,1017939347771896.1,97178707691579.08,487242020964896.5,1.9844674545084815,8.065430753039358,8.389891702283098,98.0,8.227661227661228,0.16223047462186974,0.8134035345245054,1.9844674545084815,2.553909591418673,2.6644276269185454,98.0,2.6091686091686093,0.05525901774993635,0.277061880370603,1.9844674545084815,99.0,0.6464646464646465,-0.05991419624531375,-0.02438539582511063,98.0,-0.04214979603521219,0.01776440021010156,0.0890685054906236,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",2,"['nodes_T2W10', 'l3_T2W10']",0.06697526395067906,0.11909414432875091,98.0,0.09303470413971499,0.02605944018903593,0.130658809985595,1.9844674545084815,3.513539423069831,3.590399038860942,98.0,3.5519692309653865,0.03842980789555561,0.19268230365596656,1.9844674545084815,completed,True,COMPLETE
2,2.8975678994099328,2026-06-09 17:22:43.969936,2026-06-09 17:22:45.766088,0 days 00:00:01.796152,,,,,,,,,,,minkowski,19.0,distance,,KNeighborsRegressor,,,,,,8,,,,,0.026730883107816707,0.0013296521457299515,LinearSVR,,,,,,,,True,,,,,,,,,-0.024505533158284458,-0.009636368800277087,98.0,-0.017070950979280772,0.007434582179003686,0.03727607551053346,1.9844674545084815,2.8653896597157327,2.929746139104133,98.0,2.8975678994099328,0.032178239694199993,0.1613377139100757,1.9844674545084815,890158189794202.8,1083748158960893.2,98.0,986953174377548.0,96794984583345.3,485318080760421.5,1.9844674545084815,8.19072253586748,8.607680391319661,98.0,8.39920146359357,0.20847892772609133,1.0452875582194805,1.9844674545084815,2.507003732436356,2.599729493308221,98.0,2.5533666128722885,0.04636288043593257,0.23245774818340334,1.9844674545084815,99.0,0.6868686868686869,-0.03710592513431249,-0.01208453819153629,98.0,-0.024595231662924388,0.012510693471388099,0.06272706969944296,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",8,"['edges_T2W10', 'pe_T2W10', 'l2_T2W10', 'lcc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.07099307613158752,0.11983922950449995,98.0,0.09541615281804373,0.024423076686456213,0.12245428577479173,1.9844674545084815,3.4852185370670115,3.565392107456353,98.0,3.525305322261682,0.040086785194670724,0.20099018289301226,1.9844674545084815,completed,True,COMPLETE
3,2.847762723259232,2026-06-09 17:22:45.801357,2026-06-09 17:22:48.050238,0 days 00:00:02.248881,,,,,,,,,,,,,,0.006199100007802264,QuantileRegressor,,,,,,3,,,,,,,,,,,,,,,True,,,,,,,,,-0.008527623171497242,0.00870486115618246,98.0,8.861899234260979e-05,0.008616242163839851,0.043200772522683714,1.9844674545084815,2.8173933580717883,2.8781320884466757,98.0,2.847762723259232,0.03036936518744357,0.1522682408610916,1.9844674545084815,884666882474654.8,1070869934832101.5,98.0,977768408653378.1,93101526178723.39,466799537139433.4,1.9844674545084815,8.345466050216046,8.804922123964431,98.0,8.575194087090239,0.22972803687419166,1.151827963324304,1.9844674545084815,2.4772391792918325,2.5869206652964425,98.0,2.5320799222941375,0.054840743002304806,0.2749647025196545,1.9844674545084815,99.0,0.5353535353535354,-0.034937340462431396,0.0016322163186237929,98.0,-0.0166525620719038,0.018284778390527594,0.09167761732509583,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['nodes_T2W10', 'pe_T2W10', 'lcc_T2W10']",0.06772097055023449,0.124849058135613,98.0,0.09628501434292375,0.02856404379268926,0.14321658267622484,1.9844674545084815,3.469443074581389,3.5479508053744544,98.0,3.5086969399779218,0.03925386539653284,0.1968140260435675,1.9844674545084815,completed,True,COMPLETE
4,3.428196258607514,2026-06-09 17:22:48.072217,2026-06-09 17:22:50.701329,0 days 00:00:02.629112,16.0,4.0,12.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,7,,,,,,,,,,,,,,,False,,,,,,,,,-0.22075596041295753,-0.18654485184156067,98.0,-0.2036504061272591,0.017105554285698446,0.08576513351402262,1.9844674545084815,3.3738068289943,3.482585688220728,98.0,3.428196258607514,0.054389429613213726,0.272701873006762,1.9844674545084815,901084233162734.5,1135285123923775.5,98.0,1018184678543255.0,117100445380520.48,587127149747417.8,1.9844674545084815,9.575093502499252,10.012019328552975,98.0,9.793556415526114,0.2184629130268627,1.0953460256635088,1.9844674545084815,2.9240392309380305,3.0848140930668078,98.0,3.004426662002419,0.08038743106438853,0.40305263675967823,1.9844674545084815,99.0,1.0,-0.4920564282254159,-0.4150822923745829,98.0,-0.4535693602999994,0.03848706792541653,0.19296939836356947,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",7,"['nodes_T2W10', 'pe_T2W10', 'l1_T2W10', 'lcc_T2W10', 'atd_T2W10', 'density_T2W10', 'asp_T2W10']",0.0410039897326486,0.09049773286237514,98.0,0.06575086129751187,0.024746871564863274,0.12407775324704759,1.9844674545084815,4.127436554063493,4.250715800376117,98.0,4.189076177219805,0.061639623156312315,0.30905344670269536,1.9844674545084815,completed,False,COMPLETE
5,3.2781913026164338,2026-06-09 17:22:50.716337,2026-06-09 17:22:52.525189,0 days 00:00:01.808852,6.0,2.0,3.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,,,,,,,,False,,,,,,,,,-0.16997815260750104,-0.1330527106986618,98.0,-0.15151543165308143,0.01846272095441963,0.09256979933189508,1.9844674545084815,3.2252220360804276,3.33116056915244,98.0,3.2781913026164338,0.05296926653600641,0.2655813509883551,1.9844674545084815,863357409744500.9,1078012989589413.4,98.0,970685199666957.1,107327789922456.3,538128263996712.94,1.9844674545084815,9.193284009999743,9.74518285140449,98.0,9.469233430702117,0.27594942070237366,1.383576265017239,1.9844674545084815,2.802212402537428,2.946274364190683,98.0,2.8742433833640555,0.07203098082662726,0.36115442882238324,1.9844674545084815,99.0,0.98989898989899,-0.37409839464842987,-0.2894571118974544,98.0,-0.3317777532729421,0.042320641375487765,0.2121904614925242,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3,"['pe_T2W10', 'l1_T2W10', 'lcc_T2W10']",0.04735554985230604,0.09634798858990888,98.0,0.07185176922110746,0.02449621936880142,0.12282101413752915,1.9844674545084815,3.9394691598036102,4.070911549807918,98.0,4.005190354805764,0.06572119500215412,0.3295179431147393,1.9844674545084815,completed,False,COMPLETE
6,2.90932481521364,2026-06-09 17:22:52.554896,2026-06-09 17:22:54.300760,0 days 00:00:01.745864,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,,,,,,True,,,,,,,,,-0.029717649354603422,-0.01369902976761001,98.0,-0.021708339561106717,0.008009309793496707,0.04015768868529045,1.9844674545084815,2.8820951906450496,2.9365544397822303,98.0,2.90932481521364,0.027229624568590353,0.1365259697322054,1.9844674545084815,969065141762239.5,1174015897055957.2,98.0,1071540519409098.4,102475377646858.89,513798869010100.8,1.9844674545084815,8.026082728727165,8.460274477033824,98.0,8.243178602880494,0.2170958741533293,1.0884918618317365,1.9844674545084815,2.4987792243829396,2.600930042954837,98.0,2.5498546336688883,0.051075409285948586,0.2560857849754192,1.9844674545084815,99.0,0.5353535353535354,-0.041034632314408195,-0.0019363199896392513,98.0,-0.021485476152023723,0.019549156162384472,0.09801705109054425,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['nodes_T2W10', 'pe_T2W10', 'atd_T2W10', 'asp_T2W10']",0.04995357491520149,0.10555058046570082,98.0,0.07775207769045116,0.027798502775249666,0.1393782546995593,1.9844674545084815,3.478657267385792,3.551969963901727,98.0,3.5153136156437594,0.03665634825796759,0.18379039638075859,1.9844674545084815,completed,True,COMPLETE
7,2.9161029357906227,2026-06-09 17:22:54.313046,2026-06-09 17:23:23.547388,0 days 00:00:29.234342,,,,,,,,,,,,,,,XGBRegressor,,,,,,8,,,,,,,,,,,,,,,False,gblinear,0.6258911479126821,0.2554006816661351,5.0,367.0,0.00029870091504560114,5.103930927389519e-06,0.9812236474710556,-0.03062612011504641,-0.017163752664242048,98.0,-0.02389493638964423,0.006731183725402182,0.03374932266294359,1.9844674545084815,2.888991355661716,2.9432145159195295,98.0,2.9161029357906227,0.027111580128906673,0.13593410951177845,1.9844674545084815,1003670915272505.2,1211462936140824.5,98.0,1107566925706664.9,103896010434159.64,520921746096820.75,1.9844674545084815,8.070038211818542,8.448965372108805,98.0,8.259501791963674,0.18946358014513176,0.9499469573328981,1.9844674545084815,2.50013379865038,2.5951752999112245,98.0,2.5476545492808023,0.047520750630422395,0.2382631661291611,1.9844674545084815,99.0,0.6262626262626263,-0.03899378462109294,-0.013337221579886637,98.0,-0.026165503100489786,0.01282828152060315,0.06431941689781231,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",8,"['re_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.01490052540477942,0.06599352310168828,98.0,0.04044702425323385,0.02554649884845443,0.12808698554628906,1.9844674545084815,3.49093816104682,3.5628731793368944,98.0,3.5269056701918573,0.035967509145037185,0.18033664226654372,1.9844674545084815,completed,False,COMPLETE
8,2.8802357088423154,2026-06-09 17:23:23.559619,2026-06-09 17:23:40.409150,0 days 00:00:16.849531,,,,,,14.0,log2,3.0,8.0,215.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,,,,,,,,False,,,,,,,,,-0.015466924533973933,-0.006660374595259097,98.0,-0.011063649564616515,0.004403274969357418,0.022077476083989578,1.9844674545084815,2.854150608416322,2.906320809268309,98.0,2.8802357088423154,0.02608510042599335,0.13078746723995216,1.9844674545084815,975879998976913.1,1184018907463904.2,98.0,1079949453220408.8,104069454243495.61,521791371904697.5,1.9844674545084815,7.91333099791125,8.231359685422037,98.0,8.072345341666644,0.15901434375539356,0.7972782521422493,1.9844674545084815,2.6107563680021415,2.7023143967159053,98.0,2.6565353823590234,0.04577901435688191,0.22953031587763142,1.9844674545084815,99.0,0.5050505050505051,-0.012155452466964475,0.0026199351271758006,98.0,-0.004767758669894337,0.007387693797070137,0.03704098296283686,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['nodes_T2W10', 'l2_T2W10', 'l3_T2W10', 'atd_T2W10']",0.04482850007979219,0.0893521415904528,98.0,0.0670903208351225,0.022261820755330307,0.11161801584777964,1.9844674545084815,3.4575991237769683,3.525864653796205,98.0,3.4917318887865867,0.03413276500961832,0.17113746209909184,1.9844674545084815,completed,False,COMPLETE
9,3.5112991814892944,2026-06-09 17:23:40.422925,2026-06-09 17:23:42.172417,0 days 00:00:01.749492,8.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,12,,,,,,,,,,,,,,,True,,,,,,,,,-0.25368943877995115,-0.2128355845328831,98.0,-0.23326251165641712,0.020426927123534035,0.10241808612398166,1.9844674545084815,3.4509207647146813,3.5716775982639075,98.0,3.5112991814892944,0.06037841677461328,0.30272991389524984,1.9844674545084815,916773854234364.9,1157911314924078.0,98.0,1037342584579221.4,120568730344856.52,604516701589047.0,1.9844674545084815,9.781768095244995,10.24046214365191,98.0,10.011115119448453,0.22934702420345696,1.1499176129182132,1.9844674545084815,2.974274663043019,3.157098687596048,98.0,3.0656866753195335,0.09141201227651449,0.4583285233987157,1.9844674545084815,99.0,1.0,-0.5700550656392307,-0.4811067114576199,98.0,-0.5255808885484253,0.04447417709080542,0.2229880232123369,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",12,"['nodes_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.0008567356240446328,0.05435273734166033,98.0,0.02760473648285248,0.02674800085880785,0.13411116802025208,1.9844674545084815,4.222734390716661,4.355601790796084,98.0,4.289168090756372,0.06643370003971164,0.3330903552479506,1.9844674545084815,completed,True,COMPLETE
