number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.0399496876146703,2026-06-09 19:06:21.533051,2026-06-09 19:06:23.485601,0 days 00:00:01.952550,,,,,,,,,,,,,,,Ridge,,,,,,8,,,,,,,,14.528246637516036,sparse_cg,,,,,,False,,,,,,,,,-0.022674660374719918,-0.010294518347011655,99.0,-0.016484589360865786,0.006190071013854132,0.031196543346255854,1.9842169515864174,1.0295753733631539,1.0503240018661868,99.0,1.0399496876146703,0.010374314251516413,0.05228417307503577,1.9842169515864174,268242560906091.28,355330530628410.0,99.0,311786545767250.6,43543984861159.34,219451732968741.84,1.9842169515864174,3.048499260803429,3.13904533421928,99.0,3.0937722975113546,0.04527303670792555,0.22816575915112977,1.9842169515864174,0.9507988818850586,0.9675285629134158,99.0,0.9591637223992372,0.008364840514178622,0.04215688464656438,1.9842169515864174,100.0,0.31,0.012980266571941401,0.031209003917243273,99.0,0.022094635244592337,0.009114368672650936,0.04593433528205589,1.9842169515864174,Ridge,"{'mode': 'original', 'type': 'Ridge'}",8,"['nodes_T2W10', 'edges_T2W10', 'pe_T2W10', 'l1_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'diameter_T2W10']",0.1320691938144823,0.18563488317616034,99.0,0.1588520384953213,0.02678284468083902,0.13497941673880798,1.9842169515864174,1.31633441467195,1.3441032634620687,99.0,1.3302188390670093,0.013884424395059282,0.06997432606327868,1.9842169515864174,completed,False,COMPLETE
1,1.081507064364207,2026-06-09 19:06:23.504051,2026-06-09 19:06:25.608890,0 days 00:00:02.104839,,,,,,,,,,,manhattan,13.0,uniform,,KNeighborsRegressor,,,,,,2,6.0,3.0,3.0,110.0,,,ExtraTrees,,,,,,,,True,,,,,,,,,-0.06781387447800002,-0.04590467513157461,99.0,-0.05685927480478732,0.010954599673212708,0.05520867899275987,1.9842169515864174,1.0666478873777607,1.0963662413506534,99.0,1.081507064364207,0.014859176986446438,0.07488685637206283,1.9842169515864174,277903687330494.28,366740290728599.0,99.0,322321989029546.6,44418301699052.34,223858090031632.4,1.9842169515864174,3.2325499607120487,3.3628346546725676,99.0,3.297692307692308,0.06514234698025953,0.3283025423614945,1.9842169515864174,0.8248381318770452,0.87054648350757,99.0,0.8476923076923076,0.02285417581526234,0.11517982344113133,1.9842169515864174,100.0,0.59,-0.04569020153408282,-0.008143324111973698,99.0,-0.026916762823028257,0.01877343871105456,0.09461384097159767,1.9842169515864174,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",2,"['edges_T2W10', 'lcc_T2W10']",0.14484018333118825,0.1945588600636639,99.0,0.16969952169742608,0.024859338366237833,0.125285384475535,1.9842169515864174,1.3439447359427192,1.380712013918112,99.0,1.3623283749304156,0.018383638987696408,0.0926493394434432,1.9842169515864174,completed,True,COMPLETE
2,1.0538229731318745,2026-06-09 19:06:25.621818,2026-06-09 19:06:27.410544,0 days 00:00:01.788726,,,,,,,,,,,minkowski,19.0,distance,,KNeighborsRegressor,,,,,,8,,,,,0.026730883107816707,0.0013296521457299515,LinearSVR,,,,,,,,True,,,,,,,,,-0.0360686843943098,-0.02322857104219824,99.0,-0.02964862771825402,0.006420056676055779,0.032355618527111295,1.9842169515864174,1.0416978748685233,1.0659480713952256,99.0,1.0538229731318745,0.01212509826335126,0.061107724403105336,1.9842169515864174,279868656518752.72,369142858885860.1,99.0,324505757702306.44,44637101183553.71,224960789433159.22,1.9842169515864174,3.1915542885634567,3.3243083037204544,99.0,3.2579312961419555,0.06637700757849879,0.3345249496302769,1.9842169515864174,0.8517016111785393,0.8830958911081211,99.0,0.8673987511433302,0.01569713996479091,0.07910999829046296,1.9842169515864174,100.0,0.38,-0.0024652378763359035,0.02233368497359115,99.0,0.009934223548627623,0.012399461424963527,0.06249045203978291,1.9842169515864174,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",8,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'density_T2W10']",0.17180340812446285,0.22001409272705522,99.0,0.19590875042575903,0.024105342301296184,0.12148541661245019,1.9842169515864174,1.3219337803771083,1.3554918046828868,99.0,1.3387127925299975,0.01677901215288935,0.08456238688755392,1.9842169515864174,completed,True,COMPLETE
3,1.0105307475555199,2026-06-09 19:06:27.423588,2026-06-09 19:06:29.589727,0 days 00:00:02.166139,,,,,,,,,,,,,,0.006199100007802264,QuantileRegressor,,,,,,3,,,,,,,,,,,,,,,True,,,,,,,,,0.006613507777750453,0.01827266647249728,99.0,0.012443087125123866,0.0058295793473734136,0.029379747727246053,1.9842169515864174,0.9998524526649359,1.0212090424461038,99.0,1.0105307475555199,0.010678294890583922,0.05381616602986095,1.9842169515864174,256315093932413.75,340872424994641.75,99.0,298593759463527.75,42278665531113.99,213074812697832.4,1.9842169515864174,3.095819257647833,3.227886631880535,99.0,3.161852944764184,0.06603368711635106,0.33279469295711805,1.9842169515864174,0.9940814496793016,0.9998607177318934,99.0,0.9969710837055975,0.00288963402629589,0.01456309514937656,1.9842169515864174,100.0,0.27,0.023876131635943005,0.04349222339406714,99.0,0.03368417751500507,0.009808045879062064,0.04943030988229565,1.9842169515864174,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['nodes_T2W10', 'edges_T2W10', 'lcc_T2W10']",0.22373351699733002,0.27251841885777905,94.0,0.24812596792755454,0.02439245093022451,0.11974081885391073,1.985523441866604,1.307945541504377,1.336731700022387,99.0,1.322338620763382,0.014393079259005024,0.07253783033905388,1.9842169515864174,completed,True,COMPLETE
4,1.2766301204464472,2026-06-09 19:06:29.607292,2026-06-09 19:06:31.285799,0 days 00:00:01.678507,16.0,4.0,12.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,7,,,,,,,,,,,,,,,False,,,,,,,,,-0.27192947637736503,-0.22508563705688148,99.0,-0.24850755671712327,0.023421919660241788,0.11804112267822095,1.9842169515864174,1.2518316571936952,1.3014285836991992,99.0,1.2766301204464472,0.024798463252751982,0.12497858781483123,1.9842169515864174,260456145367609.88,355257024785325.1,99.0,307856585076467.5,47400439708857.63,238887384118758.4,1.9842169515864174,3.813815313425636,4.008676028565705,99.0,3.9112456709956707,0.09743035757003457,0.4910267372332306,1.9842169515864174,1.0500187393759193,1.120756873899694,99.0,1.0853878066378067,0.03536906726188737,0.17825201641186042,1.9842169515864174,100.0,0.98,-0.4630584944295989,-0.37116638390618883,99.0,-0.41711243916789387,0.04594605526170501,0.2315576188630498,1.9842169515864174,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",7,"['nodes_T2W10', 'edges_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'asp_T2W10']",0.10414528934818451,0.1623013816530563,99.0,0.1332233355006204,0.029078046152435894,0.14654670765304909,1.9842169515864174,1.5677940597838544,1.622436478437927,99.0,1.5951152691108907,0.027321209327036248,0.13769265152781024,1.9842169515864174,completed,False,COMPLETE
5,1.2006375271537764,2026-06-09 19:06:31.298360,2026-06-09 19:06:33.079909,0 days 00:00:01.781549,6.0,2.0,3.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,,,,,,,,False,,,,,,,,,-0.19347711074649346,-0.1529137334222466,99.0,-0.17319542208437003,0.020281688662123425,0.10221507605762488,1.9842169515864174,1.1770432045628527,1.2242318497447,99.0,1.2006375271537764,0.023594322590923634,0.11890999405110185,1.9842169515864174,273940492920641.2,368917569736116.3,99.0,321429031328378.75,47488538407737.58,239331381428677.1,1.9842169515864174,3.822284433493871,4.075229505783225,99.0,3.948756969638548,0.12647253614467735,0.6373926804907109,1.9842169515864174,0.9342084403265246,1.0168329109152838,99.0,0.9755206756209043,0.041312235294379634,0.20820422515466241,1.9842169515864174,100.0,0.94,-0.3253812166565977,-0.24738121441923408,99.0,-0.2863812155379159,0.03900000111868182,0.19655109330408962,1.9842169515864174,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3,"['edges_T2W10', 'l3_T2W10', 'density_T2W10']",0.15347180991837459,0.20859844663512242,99.0,0.1810351282767485,0.02756331835837392,0.1389128257186622,1.9842169515864174,1.4946931003166644,1.5486690697718173,99.0,1.5216810850442408,0.02698798472757648,0.13601327569547825,1.9842169515864174,completed,False,COMPLETE
6,1.0690977001597446,2026-06-09 19:06:33.093691,2026-06-09 19:06:34.730748,0 days 00:00:01.637057,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,,,,,,True,,,,,,,,,-0.0520359942185989,-0.03829206401427305,99.0,-0.04516402911643597,0.0068719651021629255,0.034633133723954254,1.9842169515864174,1.0588292741500216,1.0793661261694676,99.0,1.0690977001597446,0.010268426009722924,0.05175052053412371,1.9842169515864174,268216566529763.56,354356094067674.06,99.0,311286330298718.8,43069763768955.25,217061767033691.53,1.9842169515864174,3.079102414349542,3.1678220135333195,99.0,3.1234622139414308,0.04435979959188868,0.2235632527805098,1.9842169515864174,0.9947828690466338,1.0161221797557818,99.0,1.0054525244012078,0.010669655354573962,0.05377262474268945,1.9842169515864174,100.0,0.56,-0.018696983965805124,0.0017503498479430456,99.0,-0.008473317058931038,0.010223666906874084,0.05152494488417749,1.9842169515864174,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.003703719902615324,0.0512626021354568,99.0,0.027483161019036063,0.02377944111642074,0.11984294911606638,1.9842169515864174,1.33698795819993,1.3641635981048255,99.0,1.3505757781523777,0.013587819952447797,0.06847950745297327,1.9842169515864174,completed,True,COMPLETE
7,1.0737555200773843,2026-06-09 19:06:34.744250,2026-06-09 19:06:39.072500,0 days 00:00:04.328250,,,,,,,,,,,,,,,XGBRegressor,,,,,,8,,,,,,,,,,,,,,,False,gblinear,0.6258911479126821,0.2554006816661351,5.0,367.0,0.00029870091504560114,5.103930927389519e-06,0.9812236474710556,-0.05777714202381331,-0.04096440868190205,99.0,-0.04937077535285768,0.008406366670955628,0.042366166987105845,1.9842169515864174,1.061038642821209,1.0864723973335595,99.0,1.0737555200773843,0.012716877256175306,0.06409015529278657,1.9842169515864174,288782807478078.56,382290182187010.06,99.0,335536494832544.3,46753687354465.74,235627900049363.66,1.9842169515864174,3.071967105568346,3.1478007939448984,99.0,3.109883949756622,0.03791684418827618,0.19109222989936142,1.9842169515864174,0.9646125248452316,0.9863270374754777,99.0,0.9754697811603547,0.010857256315123034,0.05471809071302642,1.9842169515864174,100.0,0.55,-0.030251715910981074,-0.0019241415596669541,99.0,-0.016087928735324015,0.01416378717565706,0.0713822506371234,1.9842169515864174,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",8,"['re_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'density_T2W10', 'asp_T2W10']",0.0677842884559478,0.12570127160488437,99.0,0.09674278003041609,0.02895849157446828,0.14594417990086941,1.9842169515864174,1.3394578364721665,1.3718614204094144,99.0,1.3556596284407905,0.01620179196862386,0.0816533290660088,1.9842169515864174,completed,False,COMPLETE
8,1.0315848459975439,2026-06-09 19:06:39.085504,2026-06-09 19:06:56.010151,0 days 00:00:16.924647,,,,,,14.0,log2,3.0,8.0,215.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,,,,,,,,False,,,,,,,,,-0.014413122950916818,-0.0016716413506314169,99.0,-0.008042382150774118,0.006370740800142701,0.032107077782241394,1.9842169515864174,1.0200890951412567,1.043080596853831,99.0,1.0315848459975439,0.011495750856287231,0.05793595729084045,1.9842169515864174,269695931720423.62,355367970874385.6,99.0,312531951297404.6,42836019576981.016,215883749721686.62,1.9842169515864174,3.079564148795862,3.1871668656274275,99.0,3.1333655072116446,0.0538013584157827,0.27114655165488605,1.9842169515864174,0.80914796388992,0.8395067018192542,99.0,0.8243273328545871,0.015179368964667147,0.07650055077158255,1.9842169515864174,100.0,0.15,0.04322833343672598,0.06273929404740931,99.0,0.05298381374206765,0.009755480305341666,0.04916539140310228,1.9842169515864174,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['edges_T2W10', 'l3_T2W10', 'lcc_T2W10', 'diameter_T2W10']",0.2472252395415515,0.291485265562206,99.0,0.26935525255187875,0.022130013010327243,0.11153020839094181,1.9842169515864174,1.294143724998808,1.3244574413003967,99.0,1.3093005831496023,0.015156858150794438,0.07638710141386634,1.9842169515864174,completed,False,COMPLETE
9,1.2988508966418884,2026-06-09 19:06:56.022542,2026-06-09 19:06:57.880514,0 days 00:00:01.857972,8.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,12,,,,,,,,,,,,,,,True,,,,,,,,,-0.29226017552496125,-0.249130664610495,99.0,-0.2706954200677281,0.021564755457233135,0.10868143949678347,1.9842169515864174,1.2771039229399426,1.3205978703438341,99.0,1.2988508966418884,0.021746973701945786,0.10959977780937052,1.9842169515864174,253195479723712.94,348889925135454.56,99.0,301042702429583.75,47847222705870.805,241139068324237.84,1.9842169515864174,3.9059620495583114,4.087299855203593,99.0,3.996630952380952,0.0906689028226407,0.4569505504433337,1.9842169515864174,1.0859415917667548,1.154245911046909,99.0,1.1200937514068319,0.03415215964007719,0.17211908008734586,1.9842169515864174,100.0,1.0,-0.5012522918762491,-0.4088673631196689,99.0,-0.455059827497959,0.046192464378290075,0.2327994645008872,1.9842169515864174,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",12,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.07509036937903275,0.13130933176973283,99.0,0.10319985057438279,0.028109481195350037,0.14166536160713675,1.9842169515864174,1.5911116843979867,1.6414089153323335,99.0,1.61626029986516,0.02514861546717337,0.12674327495824786,1.9842169515864174,completed,True,COMPLETE
10,1.0389434509694668,2026-06-09 19:06:57.892660,2026-06-09 19:07:00.417664,0 days 00:00:02.525004,,,,,,,,,,,,,,0.0016057856396189914,QuantileRegressor,,,,,,13,,,,,,,,,,,,,,,True,,,,,,,,,-0.025248109646714048,-0.005919092284471527,99.0,-0.015583600965592788,0.00966450868112126,0.04870691520599252,1.9842169515864174,1.0263386874309537,1.05154821450798,99.0,1.0389434509694668,0.012604763538513171,0.06352512777615087,1.9842169515864174,245667707885528.62,328202220064917.75,99.0,286934963975223.2,41267256089694.58,207977540241759.66,1.9842169515864174,3.1306590027752663,3.2790746792410324,99.0,3.2048668410081493,0.07420783823288307,0.3739905466161478,1.9842169515864174,0.9678207418594914,0.9864291620777209,99.0,0.9771249519686062,0.009304210109114735,0.046891092739006435,1.9842169515864174,100.0,0.3,0.005851524546685515,0.03629343895491015,99.0,0.02107248175079783,0.015220957204112316,0.07671014599458434,1.9842169515864174,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",13,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.14555030998332008,0.19676683112464988,99.0,0.17115857055398498,0.02560826057066491,0.12905978124111198,1.9842169515864174,1.3143701253228954,1.3461936900835827,99.0,1.330281907703239,0.015911782380343655,0.08019174701446782,1.9842169515864174,completed,True,COMPLETE
