number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.8947412353782782,2026-06-13 01:24:49.970664,2026-06-13 01:24:52.168166,0 days 00:00:02.197502,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,19,,,,,,,,False,,,,,,,,,-0.11323729978962216,-0.08302598428888677,98.0,-0.09813164203925447,0.015105657750367697,0.07573789964003598,1.9844674545084815,1.8600017270512332,1.9294807437053232,98.0,1.8947412353782782,0.03473950832704488,0.17417959804854405,1.9844674545084815,0.2786830547748397,0.2975706786600665,98.0,0.2881268667174531,0.009443811942613421,0.0473501050367448,1.9844674545084815,6.596680633876484,7.293931109225306,98.0,6.945305871550895,0.34862523767441106,1.7479638225171306,1.9844674545084815,1.5463601119271715,1.60979878900269,98.0,1.5780794504649307,0.031719338537759115,0.1590368402701728,1.9844674545084815,99.0,0.898989898989899,-0.23880446369670036,-0.15651562630143503,98.0,-0.1976600449990677,0.04114441869763267,0.20629302646507197,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",19,"['edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'diameter_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.03248374190599945,0.07608971439398757,98.0,0.05428672814999351,0.021802986243994054,0.10931747635818845,1.9844674545084815,2.387232280690264,2.4907943936204386,98.0,2.4390133371553513,0.05178105646508754,0.25962381265472356,1.9844674545084815,completed,False,COMPLETE
1,2.108590649663972,2026-06-13 01:24:52.187016,2026-06-13 01:25:02.115019,0 days 00:00:09.928003,,,,,,,,,,,,,,,XGBRegressor,,,,,,3,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.2413224690364961,-0.2051485839912405,98.0,-0.2232355265138683,0.018086942522627786,0.09068569275247466,1.9844674545084815,2.0732720450641775,2.1439092542637663,98.0,2.108590649663972,0.03531860459979428,0.17708311513546768,1.9844674545084815,0.30650729694584966,0.32506511900210033,98.0,0.315786207973975,0.009278911028125355,0.04652331224702047,1.9844674545084815,6.615769406692947,7.028089132040642,98.0,6.821929269366795,0.20615986267384784,1.033660052877566,1.9844674545084815,1.6740093794115767,1.780877615769112,98.0,1.7274434975903443,0.05343411817876757,0.26791205963069104,1.9844674545084815,99.0,1.0,-0.4822821520933348,-0.40503181924361575,98.0,-0.4436569856684753,0.03862516642485953,0.1936618071592738,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",3,"['z_lsc_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",-0.03302534930117633,0.015788931033909798,98.0,-0.008618209133633266,0.024407140167543064,0.12237438204004529,1.9844674545084815,2.6351855369206776,2.721934114208226,98.0,2.678559825564452,0.043374288643774454,0.21747331857695357,1.9844674545084815,completed,False,COMPLETE
2,1.745457754867507,2026-06-13 01:25:02.174842,2026-06-13 01:25:03.919880,0 days 00:00:01.745038,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,15,,,,,,,,True,,,,,,,,,-0.011413147973854771,-0.010579598109671138,98.0,-0.010996373041762954,0.00041677493209181754,0.002089657961334688,1.9844674545084815,1.7212807231260605,1.7696347866089535,98.0,1.745457754867507,0.024177031741446378,0.12122064685220726,1.9844674545084815,0.26071191057207027,0.27824311420278053,98.0,0.2694775123874254,0.008765601815355102,0.04394964334205982,1.9844674545084815,5.829263229205216,6.097549811380279,98.0,5.9634065202927475,0.13414329108753215,0.67257787020392,1.9844674545084815,1.2200890000603104,1.3033489724794582,98.0,1.2617189862698843,0.04162998620957399,0.20872760191326648,1.9844674545084815,99.0,1.0,-0.005189196964966591,-0.0029327054649945245,98.0,-0.004060951214980558,0.001128245749986033,0.005656884645070109,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",15,"['lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,2.2070918401901234,2.279383966166028,98.0,2.2432379031780756,0.03614606298795207,0.18123188915075839,1.9844674545084815,completed,True,COMPLETE
3,1.795458422514174,2026-06-13 01:25:03.939242,2026-06-13 01:25:10.221202,0 days 00:00:06.281960,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,False,,,,,,,,,-0.04807978159849376,-0.032111837109875585,98.0,-0.04009580935418467,0.00798397224430909,0.04003064934749998,1.9844674545084815,1.7677082055093196,1.8232086395190286,98.0,1.795458422514174,0.027750217004854496,0.13913615581895003,1.9844674545084815,0.2678592455999634,0.28639921049939016,98.0,0.27712922804967677,0.009269982449713408,0.04647854545918062,1.9844674545084815,6.002216945268249,6.313511387727709,98.0,6.157864166497979,0.1556472212297301,0.780395916256002,1.9844674545084815,1.4459916925604923,1.5109185094385191,98.0,1.4784551009995057,0.03246340843901343,0.16276751472590772,1.9844674545084815,99.0,0.8585858585858586,-0.07622689472329579,-0.049338444570120585,98.0,-0.06278266964670819,0.013444225076587605,0.06740768170547631,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['nodes_T2W10', 're_T2W10', 'pe_T2W10', 'l3_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_pe_T2W10', 'z_l3_T2W10']",-0.03916052401539035,0.011215390771956962,98.0,-0.013972566621716694,0.025187957393673657,0.12628930303767286,1.9844674545084815,2.267762849513311,2.3447657687864045,98.0,2.306264309149858,0.0385014596365468,0.19304155662315978,1.9844674545084815,completed,False,COMPLETE
4,2.4213564213564216,2026-06-13 01:25:10.233552,2026-06-13 01:25:12.316243,0 days 00:00:02.082691,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,8,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.43315813621785904,-0.37970682036202763,98.0,-0.40643247828994333,0.026725657927915723,0.1339991433282104,1.9844674545084815,2.3771783039914673,2.465534538721376,98.0,2.4213564213564216,0.044178117364954056,0.2215036163646151,1.9844674545084815,0.35181974662736726,0.37432688211666376,98.0,0.3630733143720155,0.011253567744648276,0.05642399679125328,1.9844674545084815,7.281241772557535,7.769263277947515,98.0,7.525252525252525,0.24401075269498979,1.2234397339137995,1.9844674545084815,2.116639125415899,2.287401278624505,98.0,2.202020202020202,0.08538107660430276,0.4280901578653534,1.9844674545084815,99.0,1.0,-0.9175984128308785,-0.7839303612070032,98.0,-0.8507643870189409,0.06683402581193769,0.33509753915620766,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['edges_T2W10', 'pe_T2W10', 'l3_T2W10', 'density_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_l2_T2W10', 'z_l3_T2W10']",0.04113074100387626,0.08311918423094203,98.0,0.062124962617409143,0.020994221613532885,0.10526243053187956,1.9844674545084815,2.9701439981416478,3.0744151010925806,98.0,3.022279549617114,0.05213555147546659,0.2614012067915879,1.9844674545084815,completed,True,COMPLETE
5,1.8750936501791153,2026-06-13 01:25:12.328858,2026-06-13 01:25:43.387001,0 days 00:00:31.058143,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,8,,,,,,,,False,,,,,,,,,-0.09566779996457041,-0.07622668505764961,98.0,-0.08594724251111001,0.009720557453460394,0.04873767279928386,1.9844674545084815,1.843959511844996,1.9062277885132346,98.0,1.8750936501791153,0.03113413833411936,0.15610271882872037,1.9844674545084815,0.27735811126133836,0.2965218526388742,98.0,0.2869399819501063,0.009581870688767941,0.04804231451437749,1.9844674545084815,6.317699603355673,6.7149432918292105,98.0,6.516321447592442,0.19862184423676826,0.9958653607623964,1.9844674545084815,1.5041055663704117,1.570798833238605,98.0,1.5374521998045083,0.0333466334340966,0.16719589561091436,1.9844674545084815,99.0,1.0,-0.16498240887841847,-0.12701035768022878,98.0,-0.14599638327932363,0.018986025599094836,0.09519358409615737,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",8,"['l1_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'z_re_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10']",-0.08037246522402014,-0.02999717569622823,98.0,-0.055184820460124184,0.025187644763895956,0.1262877355506346,1.9844674545084815,2.3512396204893187,2.4388011048699094,98.0,2.395020362679614,0.04378074219029539,0.21951122638762074,1.9844674545084815,completed,False,COMPLETE
6,1.745457754867507,2026-06-13 01:25:43.399319,2026-06-13 01:25:46.114441,0 days 00:00:02.715122,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,20,,,,,,,,False,,,,,,,,,-0.011413147973854771,-0.010579598109671138,98.0,-0.010996373041762954,0.00041677493209181754,0.002089657961334688,1.9844674545084815,1.7212807231260605,1.7696347866089535,98.0,1.745457754867507,0.024177031741446378,0.12122064685220726,1.9844674545084815,0.26071191057207027,0.27824311420278053,98.0,0.2694775123874254,0.008765601815355102,0.04394964334205982,1.9844674545084815,5.829263229205216,6.097549811380279,98.0,5.9634065202927475,0.13414329108753215,0.67257787020392,1.9844674545084815,1.2200890000603104,1.3033489724794582,98.0,1.2617189862698843,0.04162998620957399,0.20872760191326648,1.9844674545084815,99.0,1.0,-0.005189196964966591,-0.0029327054649945245,98.0,-0.004060951214980558,0.001128245749986033,0.005656884645070109,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",20,"['re_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,2.2070918401901234,2.279383966166028,98.0,2.2432379031780756,0.03614606298795207,0.18123188915075839,1.9844674545084815,completed,False,COMPLETE
7,1.9687359878854063,2026-06-13 01:25:46.127151,2026-06-13 01:25:48.191818,0 days 00:00:02.064667,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,12,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.15429175959831096,-0.12766628469288163,98.0,-0.1409790221455963,0.013312737452714652,0.06674841902222413,1.9844674545084815,1.936013183106209,2.0014587926646032,98.0,1.9687359878854063,0.03272280477919717,0.16406809589254714,1.9844674545084815,0.2931625718278826,0.31239347956354097,98.0,0.30277802569571177,0.009615453867829181,0.04821069642050611,1.9844674545084815,6.49211210285934,6.9292223737267085,98.0,6.710667238293024,0.21855513543368407,1.0958084174049232,1.9844674545084815,1.5778197051904606,1.6647899292222954,98.0,1.621304817206378,0.04348511201591735,0.21802897325785783,1.9844674545084815,99.0,0.9797979797979798,-0.2841488658606284,-0.22856826163938468,98.0,-0.25635856375000654,0.027790302110621855,0.1393371375814022,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",12,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l3_T2W10']",-0.054861916035807444,-0.006773850652327128,98.0,-0.030817883344067286,0.024044032691740158,0.12055380606676548,1.9844674545084815,2.459275398671121,2.547947409561754,98.0,2.5036114041164375,0.04433600544531645,0.22229524767140502,1.9844674545084815,completed,True,COMPLETE
8,1.7264481550195838,2026-06-13 01:25:48.291622,2026-06-13 01:25:50.619009,0 days 00:00:02.327387,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,3,,,,,,,,False,,,,,,,,,0.0,0.0,98.0,0.0,0.0,0.0,1.9844674545084815,1.7026152786961604,1.7502810313430073,98.0,1.7264481550195838,0.023832876323423475,0.11949509415257994,1.9844674545084815,0.2525534271094743,0.2692616505497592,98.0,0.26090753882961676,0.008354111720142467,0.04188648289919034,1.9844674545084815,5.80317141533832,6.09581848365158,98.0,5.94949494949495,0.1463235341566295,0.7336481024575325,1.9844674545084815,1.0636087692810063,1.1990174933452562,98.0,1.1313131313131313,0.06770436203212493,0.3394612973180146,1.9844674545084815,99.0,0.9797979797979798,-0.01423054888888975,-0.009545278810739554,98.0,-0.011887913849814653,0.0023426350390750987,0.011745682340670187,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,2.2162754063946752,2.286610869786728,98.0,2.2514431380907016,0.03516773169602643,0.17632665705646133,1.9844674545084815,completed,False,COMPLETE
9,1.8123828629301333,2026-06-13 01:25:50.645507,2026-06-13 01:25:53.209168,0 days 00:00:02.563661,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,14,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.05677637071103444,-0.04260632378629283,98.0,-0.049691347248663635,0.007085023462370806,0.03552343133997449,1.9844674545084815,1.7843710710648792,1.8403946547953873,98.0,1.8123828629301333,0.028011791865254147,0.14044765981650503,1.9844674545084815,0.270569115622522,0.2888784486223784,98.0,0.2797237821224502,0.009154666499928193,0.04590036554963545,1.9844674545084815,6.016350421980561,6.382517881079408,98.0,6.199434151529984,0.18308372954942312,0.917959175528134,1.9844674545084815,1.4634306818079583,1.5206328033608743,98.0,1.4920317425844163,0.028601060776458073,0.14340218125445234,1.9844674545084815,99.0,0.8383838383838383,-0.07889733326000616,-0.05185676306157637,98.0,-0.06537704816079126,0.013520285099214893,0.06778903725156131,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",14,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l2_T2W10', 'l3_T2W10', 'lsc_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10']",-0.015697353603595643,0.03027287230696476,98.0,0.007287759351684559,0.0229851129552802,0.11524451347903256,1.9844674545084815,2.2695118861026713,2.3504070422838885,98.0,2.30995946419328,0.04044757809060879,0.20279915384912506,1.9844674545084815,completed,True,COMPLETE
