subject,z_pe_T2W10,z_l1_T2W10,z_l2_T2W10,z_l3_T2W10,z_lsc_T2W10,z_density_T2W10,z_diameter_T2W10,z_asp_T2W10
CDMS-10-4A-JURAN,0.4003625051077743,-0.1158073847608759,0.1815457734533776,-0.0024995320777672,-0.1927289488672112,-0.2141738132795029,0.2788144589449428,0.2779671567348015
CDMS-10-5A-HEPIHO,-0.1069221256747005,-0.2737096618957843,-0.1082126929858219,0.154419697393952,0.2567307696506837,0.2578155302463765,-0.1957183359197417,-0.2059684307365753
CDMS-10-5A-KSRAGU,-0.1371806834445431,0.2763487395537625,-0.1337351884508965,0.2049287497603422,-0.1676577341728997,-0.1853081129004402,0.2060795105606332,0.2564586357979457
CDMS-10-5A-SROPU,0.017812096124653,-0.0573495730755086,-0.0306073123600054,-0.0485420298945921,-0.0231699434847057,-0.1034115777640735,0.0572988725136581,0.104748694337906
CDMS-10-5A-SZURO,-0.0368870387918725,-0.2444781938520446,-0.0924722890278031,-0.2170312957732948,0.406725386346959,0.1516737658738913,-0.1959168655995468,-0.2711666296426213
CDMS-10-5B-SRAJA,-0.0610309948663798,-0.1693519970167211,-0.0596111697442814,0.4562917223745178,-0.0276887005945707,0.0111211466805715,0.0436542249160639,0.0281634858393286
CDMS-10-5C-DAAUSA,-0.1049519094901377,-0.2493112240409318,-0.157535564981444,0.2677735694195852,0.2011654431220472,0.1831942004853309,-0.1385632825967098,-0.1475048717804088
CDMS-10-5C-ICAPA,-0.0717890151061034,0.5968379631332568,-0.0648187581193354,-0.2764426142003424,-0.2161891757945118,-0.4366672653826085,0.5360276881950973,0.6147264906600333
CDMS-10-5C-JFALGI,-0.2376791125752045,-0.2542253123788656,-0.2381462134592814,0.0597201991346437,0.3146725926727744,0.4059610875784115,-0.3454362018162748,-0.4219307578641608
CDMS-10-5C-MAORTO,-0.1652152638197268,-0.1264085637683718,-0.1652152638197268,-0.143582994858795,0.2760260911752241,0.0206397784889771,0.0696540972619898,0.0549873384621455
CDMS-10-5C-NBEMO,0.4138681635468145,0.065796169216892,0.3797959200324294,-0.1004437459375054,-0.2017291453742852,-0.366400449671161,0.27547177024345,0.3503434912241155
CDMS-10-6B-ASCACO,0.4815864988339251,0.0746022049275432,0.2156926325161567,-0.1880875532778443,-0.333978856611052,-0.4823988889596564,0.4685542189420009,0.5171946090149157
CDMS-10-6B-JJMOBE,-0.2464310512436259,-0.2518210657868967,-0.2464310512436259,-0.2155085058106536,0.5818487282021526,0.4072183639281388,-0.4321076616752816,-0.4610570739605006
CDMS-11-5A-EAARCA,0.1386211171534904,-0.03333606923241,0.1445222085103311,0.2195518522112556,-0.1393031957123815,-0.1288800108013306,0.1274727627641589,0.1482409069096142
CDMS-11-5A-MGTHAR,-0.2458536627772647,0.1705222609650586,-0.2427044264458946,0.0596750815403713,0.0175445385367865,0.0616862880643293,-0.0052360539691494,0.0084381624977121
CDMS-11-6A-DFVEBE,-0.2730527391495483,0.0319993564482864,-0.2668141915342208,0.2646302099072116,-0.1567750988631058,0.0216128001727719,0.2437582616812296,0.2013301154986715
CDMS-11-6A-NMREPR,-0.3225766658429577,0.1637351598081536,-0.322170139664174,0.645198909541188,-0.2082518718792544,-0.0715120595718139,0.215763225218371,0.2726255792404888
CDMS-11-6B-ARAHE,-0.1501266910373672,0.071804976315518,-0.2241293583157154,0.1147950201942389,-0.193417157375732,-0.1002897208418761,0.3513654186914111,0.3083216902831486
CDMS-11-6B-AVROTO,-0.0184023711155404,-0.0530818417002578,-0.0191785602802483,0.0813507415275096,-0.0807240631924995,0.008701164792456,0.0813665482531993,0.0907106251036862
CDMS-11-6B-EAFESA,-0.1271853095239001,0.4877450298275293,-0.127382966353253,-0.2903262328971485,-0.1336653973058625,-0.3590769042528396,0.2597972855093788,0.2264947467801185
CDMS-11-6B-EFRGR,-0.181859159667896,0.3981782836265036,-0.1829001188937173,-0.1880477902406089,-0.1748949331663721,-0.2789860181576307,0.2248745147224582,0.235763629512468
CDMS-11-6B-EROCO,-0.1404188342417767,0.287654144030673,-0.1360451468748196,0.1361227012036932,-0.2984760005748729,-0.173730386177101,0.2837151648622736,0.2989226592190152
CDMS-11-6B-JACUPE,-0.0532698722667887,0.3120839039289307,-0.1324491984226121,-0.280643839761923,-0.2148116835390851,-0.2872063447076931,0.2482219153033495,0.2620635365149139
CDMS-11-6B-JDCHBA,-0.2104920470719609,0.0830244629218325,-0.2083094264059954,0.6674366526808906,-0.2112769353330167,-0.0621358896876996,0.2308370721828905,0.2541306811357918
CDMS-11-6B-JFSAHE,0.204976679585579,-0.0767004967599008,0.2047467386601719,-0.0084163451319957,0.0105333635729926,-0.1337015511501837,0.0462614494266197,0.0705674695999602
CDMS-11-6B-JLPENA,-0.2258959030215522,0.2701811468801181,-0.2223234734582503,0.0194604583879664,-0.1717622884314109,-0.1569138582424276,0.2794800772502287,0.3014726992809612
CDMS-11-6B-JMARME,0.1226561267736232,0.0656682192787421,0.085278309921808,-0.0692413506534759,-0.1895536394675288,-0.2383830232239691,0.2198714811144268,0.2328862842080955
CDMS-11-6B-JPSAMA,0.1859822712747588,-0.1358872663030463,0.1885739266197949,0.1284832397767016,0.0490829901985903,-0.0083682103174299,-0.0323126750610254,-0.0033856426260262
CDMS-11-6B-LESTA,-0.0383376447601864,0.0167331807127901,-0.0374609188393731,-0.0580288450573884,0.0627031928709209,-0.0665880428437914,0.0619793316367965,0.0457440501575864
CDMS-11-6B-MAGIMU,-0.5228572587935332,1.1955122350558842,-0.5252178479932761,-0.4478071009330538,-0.9100565573822664,-0.8475841995272688,1.0528999490919433,1.059403731094979
CDMS-11-6B-MEBRTA,-0.0417607101062868,0.3937289842724097,-0.055950280294484,-0.2699995892510215,-0.3348154663145354,-0.392245111558024,0.4291673655665742,0.4064371351147837
CDMS-11-6B-MMAMO,0.0160349205574979,0.0860411878894029,-0.0991910342666091,-0.0225028240590753,-0.0578623478226749,-0.1126337809766545,0.175815218597559,0.1802462833286185
CDMS-11-6B-RSECA,0.1144831607785855,-0.0823500780792616,0.1191883208936804,0.126452477592856,-0.1247937499650748,-0.1507733655997007,0.2097334166321508,0.1813264043169382
CDMS-11-6B-SCAPA,-0.2381732704239866,-0.2332480357851762,-0.239346008111551,0.4430317891865565,0.1809762768422337,0.2867399364983192,-0.173727959661825,-0.1557453104619384
CDMS-11-6B-VZAPE,0.1640344937988468,0.5430215400619938,0.1733593127318398,-0.2238503284808992,-0.3876392871141018,-0.541980687404976,0.4414000004020532,0.4415352709550159
CDMS-11-6B-YLNIME,0.0144341190428495,-0.2435296962871733,0.015210318044791,0.0154666414878839,0.2333767710228854,0.1906116234666677,-0.2047123588785446,-0.2056508425209874
CDMS-11-7C-ICARE,0.2858021681168998,-0.3633143878585458,0.2859380496912352,0.6918763681770234,-0.1125826221475924,0.1050844639720763,0.0447132409539213,0.0656427155579787
CDMS-11-7C-SALMA,-0.1118070357445915,-0.1476725433251444,-0.1130843082275326,-0.3003858847479405,0.3591769281963513,0.1226715964797188,-0.269693301202713,-0.266220378968563
CDMS-11-7C-SPGAVE,-0.0907222526179248,0.3076502866343464,-0.0850486747904075,0.0243448261131201,-0.1897353186649613,-0.1661405770090392,0.1992331618806212,0.2022313851259568
CDMS-12-5A-SRIGO,0.351104437973795,-0.2904539248500131,0.1919892345537809,-0.0461549114754883,-0.0267242313430522,-0.050702884809334,0.1149019713748897,0.0903288056543782
CDMS-12-6A-FAROPA,-0.2411756301690522,0.349328763811624,-0.2378919034972233,-0.0286837418200629,-0.0742432739218557,-0.1392990936365299,0.148707667097447,0.1570082517394617
CDMS-12-6A-JGIGA,-0.1119500161308954,-0.0734616081386103,-0.1114411569162455,-0.2303962490697087,0.2512492013386039,0.0999607383911708,-0.0945271211061649,-0.1616253013379058
CDMS-12-6A-JSOTGU,-0.0399438426216142,-0.0542846219056428,-0.0399438426216142,-0.0302701315523658,0.1302966807337842,0.1002229657171592,0.3603527151048331,0.3271321596653154
CDMS-12-6A-SROAL,-0.2900013600302389,-0.0652225722480555,-0.2882205563568509,0.1346827989698284,0.3878374485689947,0.1634794804208168,-0.3239172903724601,-0.2211311552932362
CDMS-12-6B-IJDAGA,0.1777674168566829,0.3503178732986388,0.0668624086886262,0.0406954919643403,-0.421563837376434,-0.3920540023948637,0.4277792565117598,0.4561701542694042
CDMS-12-6B-SCLAG,0.41163375177156,-0.2653364209777847,0.2026802377736771,0.477281279164659,-0.3049407336298819,-0.1416892342639463,0.3028396025699963,0.3639731113311569
CDMS-12-7C-ARAHE,0.7299575637371077,-0.2870191063448939,0.3377495425320072,-0.2230497267751053,-0.2243162345025696,-0.3765934348140762,0.4109052367307984,0.4136125969297811
CDMS-12-7C-CATRAR,-0.3901131099678812,-0.4095814363616362,-0.3907129420799934,0.4054936882641332,0.4478006999055802,0.5687165823035738,-0.4697794482056333,-0.4853661309334875
CDMS-12-7C-DLOLO,0.2749390719705803,-0.2862191655566931,0.2792431377253522,-0.1274644139703808,0.0991345232572731,-0.0447531893915935,0.0290716817430097,0.0068073278930733
CDMS-12-7C-JSZAOR,-0.2651116889943341,0.6438912763153789,-0.3208293758170659,0.1936003457760514,-0.4958065570092063,-0.3043668781220265,0.5085996434158245,0.5274190287010164
CDMS-12-7C-MAROBE,-0.2540922679524114,0.0806491831791339,-0.2555633823486594,0.3070762759206865,-0.0646820274119563,0.0825368138002336,0.0418773963266463,0.0689257796139863
CDMS-12-7C-VMAPA,-0.094502047437889,-0.1015529876358748,-0.094502047437889,-0.08581340837554,0.2241490585201626,0.1599417911923283,-0.1865844898921478,-0.1671976674228237
CDMS-12-7C-VQURA,0.0932756814843623,-0.0690538485518745,0.109532889240415,-0.1340135998792378,-0.0878147405647794,-0.0828490842674208,0.121910314236184,0.1160602849796744
CDMS-13-6B-ASUMO,-0.4602286208815018,-0.38788461336248,-0.4650952003124925,1.2605997844445471,0.0819335214699006,0.513969953210689,-0.1059767901498571,-0.083848041458232
CDMS-13-6B-JDTAHE,0.2178072314346665,0.2046072740551593,0.1234140303163773,-0.1271898966868214,-0.3348822783040585,-0.3104500117809647,0.3612310984435142,0.3702367315562732
CDMS-13-7C-MVEAR,0.3731823318677827,0.168021159563784,0.1902074135065889,-0.3648240978067575,-0.3902767687731208,-0.4850894379584101,0.5267486733633447,0.5351837429448998
CDMS-13-7C-RAIZAC,-0.0908976562622578,0.0622124040757736,-0.1654908823957677,0.3577081053775146,-0.2578657405270029,-0.0361789132556989,0.2160327606570392,0.2194698791503145
CDMS-13-7C-SSOSLO,0.3232244748749721,-0.3640678346910966,0.1445652497702382,0.4255876435532169,-0.1455825187618563,-0.0050415976509462,0.1935043572137199,0.2117373308090477
CDMS-14-10A-IMORTO,0.0457187660999314,-0.2347981493029351,0.047713408310158,0.1185790229887439,0.2012280607007963,0.0578483501909174,-0.0863393950473269,-0.1316770936061699
CDMS-14-10A-JCVANI,-0.0858260220371754,-0.0908437126724902,-0.1860171736479053,0.4196973326065839,-0.1428401587018443,0.0323086100042023,0.1155792934503102,0.1136988403010511
CDMS-14-6B-KDCAHE,-0.3885262751415335,0.2036099336529709,-0.3915276756822393,0.3727415895392353,-0.056179225016567,0.143495194400308,0.0390381304096426,-0.0098698605790426
CDMS-15-10A-AMALOS,-0.0267484623897698,0.1561226307736325,-0.0798945405048461,-0.0022985114336284,-0.1765407759059396,-0.1077076577178134,0.1784223028406662,0.1897759579714348
CDMS-15-10A-JJMACH,0.0256296475034055,-0.1045103875696056,0.0289090638637365,-0.0044673697109293,0.0832959190538596,-0.0294658870343527,0.0006599187307311,0.0015288084703572
CDMS-15-10A-MAALCA,0.8389475268156924,-0.1335711947641378,0.7656333114138452,-0.1213573116099888,-0.2816399340774824,-0.5199894798903425,0.2741976645162475,0.3118017878170595
CDMS-15-10A-MAALRI,-0.1907814910734149,0.2468643713017299,-0.179682761269011,-0.0634830362136248,-0.0456401131540031,-0.1223882857264643,0.1535143830848015,0.1612537522518409
CDMS-15-10A-SGOMO,0.3798990379716671,-0.1837506369856592,0.2066262043211454,-0.2435566414237123,0.0023189329827617,-0.1392820581719865,0.0648477690947664,0.0678960921472129
CDMS-15-10A-SHEGA,-0.0064927662466185,0.0169836359960376,-0.1842291709803316,0.0215884338449829,-0.1627692281892533,-0.1754220415980659,0.3402652375050518,0.333855661226574
CDMS-15-11B-JEMOLO,-0.2231936517756376,0.3164843740832417,-0.3332342504182939,0.2352564479249067,-0.4269640879066019,-0.301619355424303,0.5668800676483567,0.5514473295083416
CDMS-15-11B-VSAHO,0.1074855509648734,0.2725265772090753,0.1152399552818368,-0.1323877830637529,-0.1804468709963329,-0.3350589968334845,0.2437904876444177,0.2542295223149834
CDMS-16-10A-SGALO,-0.139339468448509,-0.1442039042652548,-0.1395840339118231,0.1973198420499826,0.226743371765175,0.2385546286350068,-0.1234777628781715,-0.1330740986690936
CDMS-16-11B-NGABE,0.3400651584937013,-0.0698649849885607,0.3386430168207692,0.1201571834425299,-0.1883624304484022,-0.2117056723141458,0.2158501043145335,0.2039360739529009
CDMS-17-10A-ASSAMO,-0.2473125194619924,-0.2609755520754983,-0.2488883301207257,0.3079220333053977,0.1335700151576667,0.2777149270941005,-0.1436261706398752,-0.1692915458281092
CDMS-18-7C-VVECA,-0.2014189737631584,-0.1404975389670766,-0.2053858422777045,0.2536546257770631,0.0605084132686094,8.012992578446838e-05,0.0228086918902343,0.032304140240471
CDMS-8-4A-DBEVA,-0.1256367212494178,1.3189024352847845,-0.1082984651743327,-0.5254183741649933,-1.13900400059115,-1.0884276058333018,0.9502170591450312,0.9982078365545064
CDMS-8-4A-DJAVDA,-0.5824879285231715,0.4674955626960791,-0.5866611604520245,-0.5213450739822759,0.4466381377896229,0.0421256461448629,-0.1900168844938263,-0.1866620521304448
CDMS-8-4A-DOSTR,-0.164206611495133,0.3943687877830048,-0.1592497603127093,-0.1501783688790072,-0.3806038012801997,-0.4282962513486287,0.3389657647645249,0.3786035131512922
CDMS-8-4A-LGOPA,0.1078903416320418,-0.1683638352060261,0.1130436206891883,-0.003319938277804,-0.0340347813566602,-0.0012782404404101,-0.0123496754647759,0.0195534091768875
CDMS-8-4C-JDBUTU,-0.0428334105048508,0.7291404854171715,-0.3026077263600676,0.1787745990066969,-1.1179524110630144,-0.5593946443946308,0.8968614781942091,0.9463572489216108
CDMS-9-4A-ACDUTR,0.1480300790685425,0.2189830193412504,0.1418227240283041,-0.5228769819813609,-0.1971215164888673,-0.4158517616564443,0.2939050582852437,0.2576358090901238
CDMS-9-4A-CARGA,0.0438434121321901,-0.2803227784471778,0.0409206710984019,-0.0509579524369367,0.2580714215731071,0.1015108045486998,-0.2790581603308928,-0.2392948791223597
CDMS-9-4A-CRAAG,0.38895188967137,-0.0400284716299121,-0.1264426949278147,-0.5850110734232333,-0.1407132458176294,-0.3581845136028502,0.404883859772292,0.390667527630016
CDMS-9-4A-EROHI,-0.1106004225551283,0.1890885105789424,-0.0969462637036057,-0.1527302440964767,-0.1708825534797474,-0.2188489160913357,0.1725835553009496,0.1461352369718776
CDMS-9-4A-ILOSE,-0.1182992588972758,-0.2448154470229823,-0.1188297488589555,0.1151292779950597,0.1896771314349722,0.1936030936638229,-0.1842531451487958,-0.165052775673544
CDMS-9-4A-TGAFR,-0.2188614953432753,0.1933425332460597,-0.2145148784660214,0.2091585199427246,-0.0412784233005169,0.0294089226350298,0.0659372924157982,0.0704264187628442
CDMS-9-4C-SCAMO,-0.0270644676997202,-0.1310202676367427,-0.025742781977281,0.0222899684988517,0.1959884195412361,0.0594993126745923,-0.1071026353577776,-0.1005134904932779
CDMS-9-5A-ABERO,0.267461906109708,0.5201687849000709,0.1848435437534694,-0.0245927874289778,-0.7621654844601369,-0.8057823102001913,0.785004131678607,0.8910469263590409
CDMS-9-5A-VVAAR,-0.1320435635742081,0.0472112541742945,-0.1947543703134362,0.005026701993655,0.1761199723802504,0.0769766107378447,-0.0592747545760903,-0.0730937813359791
CDMS-9-5C-JDMADE,0.0375968766746743,0.283607554709993,-0.0934556952681935,0.0080811623775642,-0.3867969477879781,-0.3577923981513073,0.4543271842328555,0.4667596948205355
CDMS-9-5C-LVIZAC,0.0938053111946755,0.3658892336622804,-0.0567110751691657,0.2165901033181874,-0.7326660372123276,-0.6544769178064727,0.7622641906069476,0.8222247380045251
CDMS-9-5C-MLOGO,-0.3269990887907409,0.0166335984220299,-0.3563792056697422,0.5417878621526778,-0.1764846748024235,-0.0688786797065164,0.1808126015323481,0.2249028242385083
CDMS-9-5C-SCAAG,1.11409352248888,-0.7677020209108104,0.4900371360756435,0.6371178965157634,-0.4762335878211566,-0.4988111380422315,0.4027431925131701,0.5969450006014071
CDMS-XX-10A-VGILO,-0.0009337614499701,0.2040905273581137,-0.0007150466612729,-0.149009821455189,-0.1214312801246532,-0.1590526529863308,0.1521671990270625,0.1534092553881577
CDMS-XX-5C-MPCAQU,0.091559631155504,-0.1104559952711749,0.1011909670211956,0.0346559208006656,-0.030132293458127,-0.0333644954623798,-0.0032666833712993,0.0325666100015588
CDMS-XX-6B-SPUCA,0.2346497267420393,-0.3156383885588461,0.1398937761580523,-0.3064962415207277,0.0558935438540506,-0.1000924383809392,0.0313803152975714,0.0403780172460092
CSO-10-4A-KCOMO,-0.0540343189567857,-0.0763115287208508,-0.0548147800398663,-0.0264524756063444,0.0949741834790644,0.0615323573607264,-0.0660739570429037,-0.0569634953211302
CSO-10-4A-LRAVI,0.2809358387729461,-0.2342875571221147,0.2808345401047996,-0.2000446692709209,0.0506447272735424,-0.0338579512099447,-0.0079720632392324,-0.0250874219545948
CSO-10-4A-LSCAVA,0.0926713541652593,-0.2086659328863311,0.090581829875409,0.1121135321828303,0.0924170732219736,0.025000225384621,-0.0135677605188375,-0.0451148869186052
CSO-10-5A-ACAVA,-0.0742160386420071,0.0004962034694242,-0.072911716092875,-0.1582357766024739,-0.0071966303328617,0.1289709493969229,-0.0179441332750149,-0.0528458921098319
CSO-10-5A-ARACA,-0.0388728244134142,-0.1451089547129881,-0.1368700694701583,0.3007206025173077,-0.1489254802128298,-0.1148852537044187,0.0973879040304002,0.159076367409754
CSO-10-5A-DABRZA,0.3009228887497849,0.2582660439624711,0.1489519494267388,0.0349795616909251,-0.5562414099574047,-0.4973296146101056,0.561800218699693,0.6329701559523888
CSO-10-5A-GZAMA,-0.2969668903527886,-0.065971609497369,-0.2976024864415035,-0.0185731399341596,0.3262749563600302,0.2430331334214684,-0.2581863094849957,-0.2312307370569683
CSO-10-5A-IPECA,-0.1006081631602138,0.0253048733902416,-0.1008208694195786,0.1896948093966484,-0.0153028650454335,0.0332407942550973,-0.0063153220822805,0.0168185382732642
CSO-10-5A-JANORO,-0.026316245113939,-0.2680378274134705,-0.0270274408365418,0.1098695407644512,0.0797852219884248,0.0753792969733135,-0.0527783372551208,-0.0552277608397075
CSO-10-5A-JBUVE,0.2859963486212515,0.4336843937725537,0.2063658425711781,0.0404932476214907,-0.653197474056306,-0.682132350260702,0.6812562235351892,0.7221392375828353
CSO-10-5A-JJSEMO,0.3891235716406488,0.0214336942751755,0.2447612352064161,-0.0251803244291491,-0.3124128364253866,-0.440592074247377,0.4329258102221955,0.4982023663688307
CSO-10-5A-JLCARI,0.6614781923486621,-0.050401357870906,0.4718595614031873,-0.115690895245475,-0.4014256501457622,-0.5681186301417477,0.46499182484387,0.5018706391268808
CSO-10-5A-MAARAN,-0.1625180100804052,-0.3153885369013647,-0.164775760718473,0.1896016313668666,0.2310618789780113,0.287165080695432,-0.213022674711131,-0.2419713919316684
CSO-10-5A-RVMOIB,0.1435874447506359,-0.1127468404449781,0.0884719509943981,-0.1058180238064526,-0.0523042038708069,-0.0884621039821757,0.0936722233737602,0.1093055464063557
CSO-10-5A-SVHEES,0.050548324010028,0.3292180332384289,0.0367498068890472,-0.3436821085927397,-0.2242986211158816,-0.3554831614291455,0.3028671251165821,0.3061284367688776
CSO-11-5A-MDVOSPE,0.0188912016012815,-0.2756357187316536,-0.0661277178158553,0.4239846942919195,-0.065154755911941,0.0986720393341197,0.0564113867295426,0.0362996286851781
CSO-11-5A-MTAGA,-0.2897857532594968,0.170365454863565,-0.2904283071471947,0.0285927890976673,0.0376017997340857,0.0997872821152738,0.0084001809351436,-0.0282270293686841
