number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.0495924543768118,2026-06-10 23:55:22.335823,2026-06-10 23:55:24.055060,0 days 00:00:01.719237,,,,0.3470266988650412,0.020584494295802447,,,,,,,,,,ElasticNet,,,,,,22,,,,,,,,True,-0.03304582585422183,-0.017766248624956942,98.0,-0.025406037239589386,0.0076397886146324446,0.03830495519813012,1.9844674545084815,1.038735219327378,1.0604496894262456,98.0,1.0495924543768118,0.010857235049433877,0.05443683367725499,1.9844674545084815,260012287925373.88,346071634428881.5,98.0,303041961177127.7,43029673251753.805,215745459624592.75,1.9844674545084815,3.0808072797159247,3.2037280797333776,98.0,3.142267679724651,0.061460400008726615,0.30815484400764315,1.9844674545084815,0.9498990429190561,0.9727700842982998,98.0,0.961334563608678,0.011435520689621868,0.05733628635277757,1.9844674545084815,99.0,0.3333333333333333,0.010161988173664902,0.03404694541010188,98.0,0.02210446679188339,0.011942478618218486,0.059878110704440546,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",22,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.13079793116673016,0.18544393263535014,98.0,0.15812093190104015,0.02732300073430998,0.13699414627803458,1.9844674545084815,1.3164811655212574,1.3454691151869784,98.0,1.330975140354118,0.014493974832860426,0.072670997146726,1.9844674545084815,completed,True,COMPLETE
1,1.069665128963044,2026-06-10 23:55:24.073645,2026-06-10 23:55:25.658394,0 days 00:00:01.584749,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,False,-0.05199344422624088,-0.03811519392730595,98.0,-0.045054319076773416,0.006939125149467463,0.03479191524428809,1.9844674545084815,1.059353691752823,1.0799765661732652,98.0,1.069665128963044,0.010311437210220998,0.05170027081761736,1.9844674545084815,271377060813610.38,357484212517134.6,98.0,314430636665372.5,43053575851762.14,215865304304677.8,1.9844674545084815,3.077944993747238,3.167529497730224,98.0,3.122737245738731,0.0447922519914931,0.2245828114237745,1.9844674545084815,0.9949841362590697,1.0165104055717877,98.0,1.0057472709154287,0.010763134656358976,0.053965025945041455,1.9844674545084815,99.0,0.5555555555555556,-0.018341552069294345,0.002245493019002639,98.0,-0.008048029525145852,0.010293522544148491,0.051610448897678046,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10']",0.004184710986226421,0.05215370948400529,98.0,0.028169210235115854,0.023984499248889433,0.1202553127476153,1.9844674545084815,1.337803170517783,1.365046364633491,98.0,1.351424767575637,0.01362159705785399,0.0682970028815622,1.9844674545084815,completed,False,COMPLETE
2,1.0539087925476665,2026-06-10 23:55:25.698786,2026-06-10 23:55:37.270197,0 days 00:00:11.571411,,,,,,,,,,,,,,,RandomForestRegressor,3.0,sqrt,5.0,12.0,126.0,16,,,,,,,,False,-0.03702732196367421,-0.02180171385282635,98.0,-0.02941451790825028,0.007612804055423931,0.0381696579558028,1.9844674545084815,1.0422314671656443,1.0655861179296886,98.0,1.0539087925476665,0.011677325382022178,0.058548665173227064,1.9844674545084815,278360298551532.75,366451390462113.0,98.0,322405844506822.9,44045545955290.125,220838919713453.38,1.9844674545084815,3.1908990981881775,3.3312104211363094,98.0,3.2610547596622435,0.07015566147406578,0.3517518095346623,1.9844674545084815,0.8409746460356985,0.8732339892809985,98.0,0.8571043176583485,0.01612967162264997,0.08087217854206075,1.9844674545084815,99.0,0.3434343434343434,-0.0014681628258656002,0.024596138183948953,98.0,0.011563987679041677,0.013032150504907277,0.06534159076988791,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",16,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10']",0.17134214254159297,0.217064213628419,98.0,0.19420317808500598,0.022861035543413025,0.11462240468225654,1.9844674545084815,1.3226770386657658,1.353746943429095,98.0,1.3382119910474304,0.015534952381664587,0.07789032982470495,1.9844674545084815,completed,False,COMPLETE
3,1.0353685198901366,2026-06-10 23:55:37.282788,2026-06-10 23:55:52.547927,0 days 00:00:15.265139,,,,,,5.0,sqrt,4.0,12.0,296.0,,,,,ExtraTreesRegressor,,,,,,21,,,,,,,,False,-0.01591092392106648,-0.006396758050822961,98.0,-0.01115384098594472,0.004757082935121759,0.023851425464131777,1.9844674545084815,1.02492172219657,1.045815317583703,98.0,1.0353685198901366,0.010446797693566401,0.05237895153925568,1.9844674545084815,284838382428164.44,374768149246372.8,98.0,329803265837268.6,44964883409104.21,225448364000022.25,1.9844674545084815,3.0971374136520087,3.1913251276667927,98.0,3.1442312706594007,0.04709385700739189,0.2361227743029747,1.9844674545084815,0.8993382284318542,0.9196632214475814,98.0,0.9095007249397178,0.010162496507863593,0.05095350055750161,1.9844674545084815,99.0,0.25252525252525254,0.017042343459306983,0.03186028656870524,98.0,0.02445131501400611,0.007408971554699128,0.037147667007881524,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",21,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l1_T2W10', 'l2_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.16969559077166027,0.21867451383486072,98.0,0.1941850523032605,0.024489461531600237,0.12278713117763522,1.9844674545084815,1.315869563791792,1.3442410496462136,98.0,1.3300553067190029,0.01418574292721079,0.07112556049499325,1.9844674545084815,completed,False,COMPLETE
4,1.2312739757672275,2026-06-10 23:55:52.581096,2026-06-10 23:55:54.196115,0 days 00:00:01.615019,12.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,True,-0.22306252460893988,-0.18351768780203592,98.0,-0.2032901062054879,0.019772418403451994,0.09913646035340604,1.9844674545084815,1.2101408469547084,1.2524071045797467,98.0,1.2312739757672275,0.021133128812519122,0.10595889404707089,1.9844674545084815,234047584364960.22,319572459942280.6,98.0,276810022153620.4,42762437788660.19,214405574065253.25,1.9844674545084815,3.6900537656287757,3.8956605200855106,98.0,3.792857142857143,0.10280337722836759,0.5154434183436559,1.9844674545084815,1.008769347235227,1.0721429503437367,98.0,1.040456148789482,0.031686801554254934,0.1588737038591702,1.9844674545084815,99.0,0.9393939393939394,-0.3566006157884362,-0.27657164931285644,98.0,-0.3165861325506463,0.04001448323778991,0.20062766982376948,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3,"['edges_T2W10', 're_T2W10', 'asp_T2W10']",0.0827909573686716,0.13825740616266466,98.0,0.11052418176566813,0.027733224396996523,0.139050956984855,1.9844674545084815,1.5145860541680405,1.5646732640418908,98.0,1.5396296591049656,0.02504360493692516,0.12556553767355,1.9844674545084815,completed,True,COMPLETE
5,1.0340508555881116,2026-06-10 23:55:54.208331,2026-06-10 23:55:55.807034,0 days 00:00:01.598703,,,,,,,,,,,,,,,LinearRegression,,,,,,9,,,,,,,,True,-0.021045026275352728,0.0003420941460301006,98.0,-0.010351466064661313,0.010693560210691413,0.05361618827967381,1.9844674545084815,1.0212699314878215,1.0468317796884017,98.0,1.0340508555881116,0.012780924100290029,0.06408197264969284,1.9844674545084815,245699992443120.7,332290758567238.94,98.0,288995375505179.8,43295383062059.11,217077695749549.72,1.9844674545084815,3.1967244141010456,3.331217870246383,98.0,3.2639711421737143,0.06724672807266882,0.33716677724706207,1.9844674545084815,0.8891771129826134,0.925087166279426,98.0,0.9071321396310197,0.01795502664840631,0.09002428287494248,1.9844674545084815,99.0,0.32323232323232326,0.008755662125725674,0.04300328775002828,98.0,0.025879474937876977,0.017123812812151303,0.08585667950737919,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",9,"['nodes_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_lsc_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.16367908745410562,0.20832223519128648,98.0,0.18600066132269605,0.022321573868590433,0.11191761056719297,1.9844674545084815,1.3116360308478714,1.3434600629873872,98.0,1.3275480469176293,0.015912016069757978,0.07978088052025635,1.9844674545084815,completed,True,COMPLETE
6,1.0322546002614439,2026-06-10 23:55:55.825511,2026-06-10 23:55:57.417585,0 days 00:00:01.592074,,,,2.7293781650374753,0.4722149251619493,,,,,,,,,,ElasticNet,,,,,,4,,,,,,,,True,-0.008774517233966519,-0.007307379942279476,98.0,-0.008040948588122997,0.0007335686458435219,0.0036780224599369973,1.9844674545084815,1.0226964071461264,1.0418127933767614,98.0,1.0322546002614439,0.009558193115317581,0.04792359808962206,1.9844674545084815,302668413340937.56,397512391490111.2,98.0,350090402415524.4,47421989074586.79,237767987903374.22,1.9844674545084815,2.9843885683830167,3.0416200204998236,98.0,3.01300429444142,0.028615726058403256,0.14347571116427238,1.9844674545084815,0.9620448713524847,0.9700908571904299,98.0,0.9660678642714573,0.004022992918972516,0.020170788917966784,1.9844674545084815,99.0,1.0,-0.0040202152711158335,-0.002354630224295667,98.0,-0.0031874227477057503,0.0008327925234100832,0.0041755187097013285,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",4,"['z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,1.3349089651858284,1.3635379675582484,98.0,1.3492234663720384,0.01431450118621002,0.07177113848034591,1.9844674545084815,completed,True,COMPLETE
7,1.0681857709226028,2026-06-10 23:55:57.459833,2026-06-10 23:56:04.748181,0 days 00:00:07.288348,,,,,,,,,,,,,,,RandomForestRegressor,14.0,sqrt,3.0,5.0,64.0,17,,,,,,,,False,-0.053744868238645445,-0.03347791090506786,98.0,-0.04361138957185665,0.010133478666788794,0.050808008691380115,1.9844674545084815,1.055380719776156,1.0809908220690496,98.0,1.0681857709226028,0.012805051146446754,0.06420294267500565,1.9844674545084815,265712717244020.47,351006389287540.25,98.0,308359553265780.4,42646836021759.91,213825961104043.97,1.9844674545084815,3.2859251462566714,3.427958169104892,98.0,3.356941657680782,0.07101651142411032,0.3560680047112686,1.9844674545084815,0.8167321064320738,0.8559828881876879,98.0,0.8363574973098808,0.019625390877807035,0.09839928252469812,1.9844674545084815,99.0,0.5454545454545454,-0.0355801347992275,0.0010893749806981066,98.0,-0.0172453799092647,0.018334754889962807,0.09192819331199666,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",17,"['nodes_T2W10', 'edges_T2W10', 're_T2W10', 'pe_T2W10', 'l3_T2W10', 'lcc_T2W10', 'lsc_T2W10', 'atd_T2W10', 'density_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10']",0.16156877957117424,0.20881228690831563,98.0,0.18519053323974494,0.02362175366857069,0.1184365512735326,1.9844674545084815,1.3396144915199792,1.3737903803805163,98.0,1.3567024359502478,0.017087944430268447,0.0856768398769448,1.9844674545084815,completed,False,COMPLETE
8,1.0260397493601494,2026-06-10 23:56:04.760385,2026-06-10 23:56:12.649726,0 days 00:00:07.889341,,,,,,18.0,sqrt,5.0,7.0,134.0,,,,,ExtraTreesRegressor,,,,,,6,,,,,,,,True,-0.005592015008159267,0.0015040517081488201,98.0,-0.0020439816500052235,0.0035480333581540437,0.017789400424673973,1.9844674545084815,1.016180979220161,1.0358985195001378,98.0,1.0260397493601494,0.009858770139988447,0.049430654114909565,1.9844674545084815,289125532256815.3,379893456995990.56,98.0,334509494626402.94,45383962369587.64,227549574074742.25,1.9844674545084815,3.051239560455941,3.128782790912182,98.0,3.0900111756840616,0.03877161522812073,0.19439608334552796,1.9844674545084815,0.9269368203404904,0.9416917307131976,98.0,0.934314275526844,0.00737745518635353,0.036989647835050786,1.9844674545084815,99.0,0.06060606060606061,0.03369246925474791,0.043654529409014216,98.0,0.038673499331881064,0.004981030077133149,0.02497426873561518,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",6,"['edges_T2W10', 'l2_T2W10', 'diameter_T2W10', 'asp_T2W10', 'z_l2_T2W10', 'z_l3_T2W10']",0.22800046910200686,0.2746664536801653,98.0,0.2513334613910861,0.02333299228907923,0.11698873743177451,1.9844674545084815,1.3064743159680192,1.33469647737057,98.0,1.3205853966692946,0.014111080701275525,0.0707512133286377,1.9844674545084815,completed,True,COMPLETE
9,1.0241187384044526,2026-06-10 23:56:12.668902,2026-06-10 23:56:14.802295,0 days 00:00:02.133393,,,,,,,,,,,,,,5.18260989109199,QuantileRegressor,,,,,,8,,,,,,,,False,0.0,0.0,98.0,0.0,0.0,0.0,1.9844674545084815,1.0142445249741314,1.0339929518347737,98.0,1.0241187384044526,0.009874213430321107,0.04950808486255764,1.9844674545084815,305901430884989.94,401528566240617.56,98.0,353714998562803.75,47813567677813.83,239731314588150.53,1.9844674545084815,2.951594894990265,3.0080010646056943,98.0,2.9797979797979797,0.028203084807714735,0.14140677897022574,1.9844674545084815,1.0,1.0,98.0,1.0,0.0,0.0,1.9844674545084815,99.0,0.9393939393939394,-0.005464225809889945,-0.0036532722000295697,98.0,-0.004558749004959757,0.0009054768049301876,0.004539948707398303,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",8,"['z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,1.335779145669776,1.3645398079803412,98.0,1.3501594768250587,0.014380331155282654,0.07210120180319649,1.9844674545084815,completed,False,COMPLETE
