number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.06765024683674,2026-06-09 20:19:06.725398,2026-06-09 20:19:08.579581,0 days 00:00:01.854183,,,,,,,,,,,,,,,Ridge,,,,,,3,,,,,,,,0.001267425589893723,auto,False,-0.04950199905521883,-0.03606709104506848,98.0,-0.04278454505014365,0.006717454005075177,0.03368048354336357,1.9844674545084815,1.0563593532424354,1.0789411404310445,98.0,1.06765024683674,0.011290893594304477,0.056611143984838526,1.9844674545084815,297873678142899.4,392466982332695.0,98.0,345170330237797.2,47296652094897.84,237139563789327.56,1.9844674545084815,3.067504769062822,3.1318427697088485,98.0,3.099673769385835,0.03216900032301343,0.16129138884570385,1.9844674545084815,0.9492437756006115,0.9702252776220078,98.0,0.9597345266113096,0.010490751010698159,0.05259932803505511,1.9844674545084815,99.0,0.6666666666666666,-0.0368195346472491,-0.01649641515386485,98.0,-0.026657974900556974,0.010161559746692125,0.05094880375284975,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",3,"['z_pe_T2W10', 'z_l2_T2W10', 'z_asp_T2W10']",0.004708109980472049,0.05407277397002093,98.0,0.029390441975246488,0.024682331994774438,0.12375415982510073,1.9844674545084815,1.349470953387804,1.3788934552273266,98.0,1.3641822043075653,0.0147112509197613,0.07376039257298458,1.9844674545084815,completed,False,COMPLETE
1,1.0937648919019867,2026-06-09 20:19:08.601614,2026-06-09 20:19:19.947075,0 days 00:00:11.345461,,,,,,,,,,,,,,,RandomForestRegressor,11.0,sqrt,1.0,8.0,90.0,10,,,,,,,,,,False,-0.07772771469693474,-0.059348730013745236,98.0,-0.06853822235533999,0.009189492341594753,0.0460749780123703,1.9844674545084815,1.0814709265064872,1.106058857297486,98.0,1.0937648919019867,0.012293965395499444,0.06164042193261973,1.9844674545084815,268936586627468.62,355727556942938.4,98.0,312332071785203.5,43395485157734.88,217579595276292.6,1.9844674545084815,3.24582457576498,3.3928631389173094,98.0,3.3193438573411447,0.07351928157616472,0.3686165847023491,1.9844674545084815,0.8744520559669593,0.9110173521331681,98.0,0.8927347040500637,0.018282648083104393,0.09166693622715974,1.9844674545084815,99.0,0.7171717171717171,-0.07613583841521437,-0.042063880818407014,98.0,-0.05909985961681069,0.017035978798403677,0.085416290626065,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.04948853325115554,0.10102972538617408,98.0,0.07525912931866481,0.025770596067509265,0.12921058128550625,1.9844674545084815,1.368261015047311,1.400745220479053,98.0,1.384503117763182,0.01624210271587104,0.08143589413760238,1.9844674545084815,completed,False,COMPLETE
2,1.0548747915339656,2026-06-09 20:19:19.959752,2026-06-09 20:19:21.738563,0 days 00:00:01.778811,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,False,-0.03850653105962901,-0.022222595939892335,98.0,-0.03036456349976067,0.008141967559868336,0.0408228183183037,1.9844674545084815,1.0428796814298984,1.0668699016380327,98.0,1.0548747915339656,0.011995110104067114,0.06014199846484028,1.9844674545084815,272892015206333.22,361307851778581.6,98.0,317099933492457.44,44207918286124.21,221653034497480.66,1.9844674545084815,3.0822914980780114,3.1961221181058024,98.0,3.139206808091907,0.0569153100138953,0.2853663249261032,1.9844674545084815,0.9198999323334617,0.9432400215069444,98.0,0.931569976920203,0.011670044586741387,0.058512160166203274,1.9844674545084815,99.0,0.3939393939393939,0.001509336150394008,0.027153267838474708,98.0,0.014331301994434357,0.01282196584404035,0.06428775087667128,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['z_pe_T2W10', 'z_l2_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.15437512799507758,0.20704473163645382,98.0,0.1807099298157657,0.026334801820688116,0.13203943914901442,1.9844674545084815,1.3209891342236315,1.3516421385944761,98.0,1.3363156364090538,0.015326502185422246,0.07684518632259138,1.9844674545084815,completed,False,COMPLETE
3,1.0345747054130503,2026-06-09 20:19:21.756231,2026-06-09 20:19:39.094444,0 days 00:00:17.338213,,,,,,3.0,log2,1.0,4.0,235.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,,,True,-0.013975727253536477,-0.006544591919230871,98.0,-0.010260159586383674,0.0037155676671528034,0.018629396728767515,1.9844674545084815,1.0241136608925765,1.045035749933524,98.0,1.0345747054130503,0.010461044520473878,0.052450383367272646,1.9844674545084815,291655549254970.5,383818680050617.4,98.0,337737114652793.94,46081565397823.47,231047269376346.97,1.9844674545084815,3.0508908881990204,3.122683397141151,98.0,3.0867871426700857,0.035896254471065384,0.17997938014427511,1.9844674545084815,0.9569090838249491,0.9675723240884092,98.0,0.9622407039566792,0.005331620131730007,0.026732083907166068,1.9844674545084815,99.0,0.26262626262626265,0.004305136620638576,0.0154049870962868,98.0,0.009855061858462688,0.005549925237824112,0.02782663870838684,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.077699159979254,0.1275003969039132,98.0,0.1025997784415836,0.024900618462329608,0.12484862117499256,1.9844674545084815,1.3258560802006565,1.3545575390928917,98.0,1.340206809646774,0.014350729446117575,0.07195278249468516,1.9844674545084815,completed,True,COMPLETE
4,1.1049398955729346,2026-06-09 20:19:39.114449,2026-06-09 20:19:40.817680,0 days 00:00:01.703231,,,,,,,,,,,euclidean,17.0,distance,,KNeighborsRegressor,,,,,,2,,,,,0.3113095956122124,0.00210664860170422,LinearSVR,,,True,-0.0872071412340191,-0.07057930511970592,98.0,-0.07889322317686251,0.008313918057156594,0.04168495684427125,1.9844674545084815,1.0912040297723204,1.1186757613735487,98.0,1.1049398955729346,0.013735865800614176,0.06886993222460609,1.9844674545084815,284570389587131.3,373785015161185.06,98.0,329177702374158.2,44607312787026.875,223655549126505.12,1.9844674545084815,3.252069098512842,3.414160381671172,98.0,3.333114740092007,0.08104564157916475,0.40635282287099955,1.9844674545084815,0.8856358033542768,0.9274476133657346,98.0,0.9065417083600057,0.02090590500572888,0.10481962198365563,1.9844674545084815,99.0,0.8585858585858586,-0.09829478346273515,-0.06823454381771746,98.0,-0.0832646636402263,0.015030119822508846,0.07535916181254544,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",2,"['z_diameter_T2W10', 'z_asp_T2W10']",0.03550886744337778,0.07928899046207069,98.0,0.057398928952724235,0.02189006150934646,0.10975406096889363,1.9844674545084815,1.3843359442209628,1.4172856277898092,98.0,1.400810786005386,0.01647484178442324,0.08260281904134534,1.9844674545084815,completed,True,COMPLETE
5,1.0753941595763294,2026-06-09 20:19:40.830045,2026-06-09 20:20:03.495506,0 days 00:00:22.665461,,,,,,,,,,,,,,,RandomForestRegressor,11.0,log2,3.0,7.0,204.0,7,,,,,,,,,,True,-0.05852616618178162,-0.04216804576851617,98.0,-0.050347105975148895,0.008179060206632728,0.04100879626143275,1.9844674545084815,1.063059321042801,1.087728998109858,98.0,1.0753941595763294,0.012334838533528462,0.061845354791365305,1.9844674545084815,274542740365862.03,363354730654104.0,98.0,318948735509983.0,44405995144120.97,222646167364641.4,1.9844674545084815,3.235862453462067,3.365788304670634,98.0,3.3008253790663504,0.06496292560428359,0.3257160741392138,1.9844674545084815,0.8630389872753417,0.900193412590812,98.0,0.8816161999330768,0.018577212657735192,0.09314384657158709,1.9844674545084815,99.0,0.6363636363636364,-0.0394126137086842,-0.011523464546082005,98.0,-0.025468039127383102,0.013944574581301097,0.06991637223714216,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",7,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10']",0.08738768474926062,0.1380553094135437,98.0,0.11272149708140215,0.02533381233214154,0.12702060165930457,1.9844674545084815,1.3471431127390758,1.378676512751011,98.0,1.3629098127450434,0.015766700005967527,0.07905228374960739,1.9844674545084815,completed,True,COMPLETE
6,1.0322546002614439,2026-06-09 20:20:03.507700,2026-06-09 20:20:05.436846,0 days 00:00:01.929146,,,,4.4513143156492045,0.808120379564417,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,,,True,-0.008774517233966519,-0.007307379942279476,98.0,-0.008040948588122997,0.0007335686458435219,0.0036780224599369973,1.9844674545084815,1.0226964071461264,1.0418127933767614,98.0,1.0322546002614439,0.009558193115317581,0.04792359808962206,1.9844674545084815,302668413340937.56,397512391490111.2,98.0,350090402415524.4,47421989074586.79,237767987903374.22,1.9844674545084815,2.9843885683830167,3.0416200204998236,98.0,3.01300429444142,0.028615726058403256,0.14347571116427238,1.9844674545084815,0.9620448713524847,0.9700908571904299,98.0,0.9660678642714573,0.004022992918972516,0.020170788917966784,1.9844674545084815,99.0,1.0,-0.0040202152711158335,-0.002354630224295667,98.0,-0.0031874227477057503,0.0008327925234100832,0.0041755187097013285,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,1.3349089651858284,1.3635379675582484,98.0,1.3492234663720384,0.01431450118621002,0.07177113848034591,1.9844674545084815,completed,True,COMPLETE
7,1.109833256260968,2026-06-09 20:20:05.479694,2026-06-09 20:20:07.954050,0 days 00:00:02.474356,,,,,,,,,,,manhattan,9.0,distance,,KNeighborsRegressor,,,,,,8,12.0,3.0,5.0,40.0,,,ExtraTrees,,,False,-0.09379751142438651,-0.07434103312767927,98.0,-0.08406927227603289,0.009728239148353624,0.048776187867379764,1.9844674545084815,1.0965760067019275,1.1230905058200087,98.0,1.109833256260968,0.013257249559040703,0.06647020958627871,1.9844674545084815,272331741204482.97,361563907153592.75,98.0,316947824179037.9,44616082974554.9,223699521762043.34,1.9844674545084815,3.1933876706073177,3.312065442619981,98.0,3.2527265566136494,0.05933888600633191,0.2975178351958693,1.9844674545084815,0.9080251291046677,0.951538404125192,98.0,0.9297817666149298,0.021756637510262175,0.10908508953982946,1.9844674545084815,99.0,0.797979797979798,-0.08154966840602387,-0.04929857974175625,98.0,-0.06542412407389006,0.016125544332133816,0.08085148481789038,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.03611485320659771,0.08320748449151294,98.0,0.05966116884905532,0.023546315642457613,0.11805831434103917,1.9844674545084815,1.3733108704982175,1.4040827572364898,98.0,1.3886968138673537,0.015385943369136183,0.07714321706584064,1.9844674545084815,completed,True,COMPLETE
8,1.0642251360375763,2026-06-09 20:20:07.969324,2026-06-09 20:20:09.735825,0 days 00:00:01.766501,,,,,,,,,,,,,,,Ridge,,,,,,6,,,,,,,,0.0018088133565708241,svd,True,-0.04888847796006217,-0.030362895672259502,98.0,-0.039625686816160834,0.009262791143901331,0.046442489141284585,1.9844674545084815,1.0517678541534128,1.0766824179217398,98.0,1.0642251360375763,0.012457281884163441,0.062459270607229465,1.9844674545084815,267547631033428.25,355796685246732.9,98.0,311672158140080.56,44124527106652.305,221234921437719.72,1.9844674545084815,3.0720570989016536,3.1849633064828367,98.0,3.128510202692245,0.056453103790591534,0.28304888008973195,1.9844674545084815,0.9433952475471195,0.9699280715242329,98.0,0.9566616595356762,0.013266411988556742,0.06651614887463096,1.9844674545084815,99.0,0.40404040404040403,-0.0058391668752387285,0.023793015482739346,98.0,0.008976924303750309,0.014816091178989037,0.07428604866574443,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.13608006137626977,0.18929383059928623,98.0,0.162686945987778,0.026606884611508223,0.1334036286100402,1.9844674545084815,1.3240640840632278,1.3548770206498761,98.0,1.339470552356552,0.015406468293324172,0.07724612649712519,1.9844674545084815,completed,True,COMPLETE
9,1.057575550261843,2026-06-09 20:20:09.751529,2026-06-09 20:20:11.459470,0 days 00:00:01.707941,,,,,,,,,,,,,,,LinearRegression,,,,,,2,,,,,,,,,,True,-0.038850969331504365,-0.026801291128038838,98.0,-0.0328261302297716,0.006024839101732762,0.030207798083025754,1.9844674545084815,1.046301629491099,1.0688494710325869,98.0,1.057575550261843,0.011273920770744008,0.056526044346764205,1.9844674545084815,303477329604125.4,399292118070598.9,98.0,351384723837362.1,47907394233236.73,240201749332246.1,1.9844674545084815,3.066565732772269,3.133620451848515,98.0,3.100093092310392,0.03352735953812334,0.16810203394367107,1.9844674545084815,0.9507098306879243,0.9705271471671972,98.0,0.9606184889275607,0.009908658239636532,0.04968078687621132,1.9844674545084815,99.0,0.5959595959595959,-0.026434043984477754,-0.009493974917809294,98.0,-0.017964009451143525,0.00847003453333423,0.04246770554679698,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['z_l2_T2W10', 'z_asp_T2W10']",0.014243279211732261,0.06345460229390229,98.0,0.03884894075281728,0.024605661541085018,0.12336974365317047,1.9844674545084815,1.3438418769322074,1.3735403251533385,98.0,1.358691101042773,0.014849224110565587,0.07445217308667298,1.9844674545084815,completed,True,COMPLETE
