number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.498106753294462,2026-06-09 19:40:07.742191,2026-06-09 19:40:09.396112,0 days 00:00:01.653921,,,,,,,,,,,,,,,Ridge,,,,,,3,,,,,,,,0.001267425589893723,auto,False,0.002195821228429329,0.014436474363464475,98.0,0.008316147795946902,0.006120326567517573,0.030686560426248802,1.9844674545084815,6.439260668186362,6.556952838402562,98.0,6.498106753294462,0.05884608510809982,0.2950469924434633,1.9844674545084815,165578225747718.94,385096632784369.3,98.0,275337429266044.12,109759203518325.2,550319071040706.5,1.9844674545084815,16.490820659450872,17.14456568530918,98.0,16.817693172380025,0.3268725129291549,1.638898351097097,1.9844674545084815,6.0267366634946775,6.184380155661,98.0,6.105558409577839,0.07882174608316139,0.39520248591317136,1.9844674545084815,99.0,0.42424242424242425,-0.003151497487868058,0.020588470004512558,98.0,0.00871848625832225,0.011869983746190308,0.059514630382509266,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",3,"['z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10']",0.08707977596055841,0.1379506016422861,98.0,0.11251518880142225,0.025435412840863838,0.12753001404373376,1.9844674545084815,7.634591943082127,7.7766403302718965,98.0,7.705616136677012,0.07102419359488421,0.3561065221653713,1.9844674545084815,completed,False,COMPLETE
1,6.6420111135165,2026-06-09 19:40:09.414682,2026-06-09 19:40:21.618113,0 days 00:00:12.203431,,,,,,,,,,,,,,,RandomForestRegressor,11.0,sqrt,1.0,8.0,90.0,10,,,,,,,,,,False,-0.022791008481929012,-0.004725825588307605,98.0,-0.013758417035118308,0.009032591446810703,0.04528829633197164,1.9844674545084815,6.5708111754297205,6.71321105160328,98.0,6.6420111135165,0.07119993808677968,0.356987683311045,1.9844674545084815,181591072688104.72,422896171075698.5,98.0,302243621881901.6,120652549193796.9,604936958930627.2,1.9844674545084815,16.759524084119224,17.366290635510456,98.0,17.06290735981484,0.3033832756956152,1.5211262208387157,1.9844674545084815,5.951664855590152,6.177716672780943,98.0,6.064690764185547,0.11302590859539614,0.5666979262596904,1.9844674545084815,99.0,0.6666666666666666,-0.0483319857358951,-0.016470866398921452,98.0,-0.03240142606740828,0.015930559668486825,0.07987385583074598,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.09475784727594427,0.1411513614250874,98.0,0.11795460435051584,0.023196757074571563,0.11630567091627841,1.9844674545084815,7.783914817356405,7.935699158637559,98.0,7.859806987996982,0.07589217064057663,0.3805139569841349,1.9844674545084815,completed,False,COMPLETE
2,6.5369992552065135,2026-06-09 19:40:21.636269,2026-06-09 19:40:24.450588,0 days 00:00:02.814319,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,False,-0.004093349694324032,0.008796923380459051,98.0,0.0023517868430675097,0.006445136537391542,0.032315117441569695,1.9844674545084815,6.477415981716305,6.596582528696722,98.0,6.5369992552065135,0.059583273490208526,0.2987431638133323,1.9844674545084815,165259345485011.7,384410923362146.56,98.0,274835134423579.12,109575788938567.44,549399453023154.44,1.9844674545084815,16.568330220309726,17.20962148417516,98.0,16.888975852242442,0.32064563193271733,1.6076775399432657,1.9844674545084815,5.998893303452753,6.174473583720067,98.0,6.08668344358641,0.08779014013365635,0.4401689044401732,1.9844674545084815,99.0,0.47474747474747475,-0.016584415613555333,0.008054544624002818,98.0,-0.004264935494776257,0.012319480118779076,0.061768349599394055,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_diameter_T2W10']",0.06412777082416664,0.11270684739744675,98.0,0.0884173091108067,0.024289538286640062,0.12178474075460745,1.9844674545084815,7.684761883157493,7.826084236055402,98.0,7.755423059606447,0.07066117644895414,0.35428639909490156,1.9844674545084815,completed,False,COMPLETE
3,6.513156124428426,2026-06-09 19:40:24.487916,2026-06-09 19:40:41.871461,0 days 00:00:17.383545,,,,,,3.0,log2,1.0,4.0,235.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,,,True,0.0028821240675995217,0.009424337324154607,98.0,0.006153230695877064,0.0032711066282775426,0.016400924052334658,1.9844674545084815,6.460165790927156,6.566146457929697,98.0,6.513156124428426,0.05299033350127038,0.26568697814655307,1.9844674545084815,165199440998898.28,384074024024346.75,98.0,274636732511622.53,109437291512724.25,548705044059820.2,1.9844674545084815,16.23205142229385,16.7191439030358,98.0,16.475597662664825,0.24354624037097383,1.2211107265736838,1.9844674545084815,6.097935637140804,6.254753384106362,98.0,6.176344510623583,0.07840887348277888,0.3931323937603732,1.9844674545084815,99.0,0.23232323232323232,0.019241946481046834,0.030818497214089576,98.0,0.025030221847568205,0.00578827536652137,0.029021696773701686,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.09769060667251257,0.1489994914075594,98.0,0.12334504904003597,0.025654442367523404,0.12862820100007089,1.9844674545084815,7.582039661947556,7.7087133271137755,98.0,7.645376494530666,0.06333683258310999,0.3175630448518919,1.9844674545084815,completed,True,COMPLETE
4,6.4718067563324695,2026-06-09 19:40:41.883763,2026-06-09 19:40:43.649022,0 days 00:00:01.765259,,,,,,,,,,,euclidean,17.0,distance,,KNeighborsRegressor,,,,,,2,,,,,0.3113095956122124,0.00210664860170422,LinearSVR,,,True,0.0030784940757036545,0.02262452632495046,98.0,0.012851510200327059,0.009773016124623404,0.049000694088224224,1.9844674545084815,6.3839134999231275,6.5597000127418115,98.0,6.4718067563324695,0.0878932564093418,0.44068591669268026,1.9844674545084815,170413359837304.88,397877290018135.5,98.0,284145324927720.2,113731965090415.3,570238006198192.5,1.9844674545084815,17.037072546934077,17.646936472041467,98.0,17.342004509487772,0.3049319625536937,1.5288911451981426,1.9844674545084815,5.874438347625504,6.108836499441835,98.0,5.991637423533669,0.11719907590816561,0.5876216710140636,1.9844674545084815,99.0,0.47474747474747475,-0.02096062924038066,0.0151816638184291,98.0,-0.0028894827109757814,0.01807114652940488,0.09060649359615841,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",2,"['z_l1_T2W10', 'z_l3_T2W10']",0.12805493058456927,0.18324375061903178,98.0,0.15564934060180052,0.027594410017231247,0.13835495885375737,1.9844674545084815,7.653623309918903,7.8428264345505365,98.0,7.74822487223472,0.09460156231581662,0.47432053280113035,1.9844674545084815,completed,True,COMPLETE
5,6.586578709555616,2026-06-09 19:40:43.666477,2026-06-09 19:41:05.913935,0 days 00:00:22.247458,,,,,,,,,,,,,,,RandomForestRegressor,11.0,log2,3.0,7.0,204.0,7,,,,,,,,,,True,-0.013563386851722897,0.0030309331794077096,98.0,-0.005266226836157594,0.008297160015565304,0.041600934096425415,1.9844674545084815,6.518970089709168,6.654187329402065,98.0,6.586578709555616,0.06760861984644866,0.33898125784076044,1.9844674545084815,188147387458617.12,438096845000513.25,98.0,313122116229565.2,124974728770948.06,626607832748254.9,1.9844674545084815,16.804073847368784,17.48970636203071,98.0,17.146890104699747,0.3428162573309614,1.7188383135499739,1.9844674545084815,5.934165396405565,6.147826805211648,98.0,6.040996100808607,0.10683070440304132,0.5356359386836328,1.9844674545084815,99.0,0.5555555555555556,-0.033879848762841405,-0.004403159787073594,98.0,-0.0191415042749575,0.014738344487883907,0.07389623637252456,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",7,"['z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.10157427132855344,0.14751223744550268,98.0,0.12454325438702807,0.022968983058474623,0.11516364017145114,1.9844674545084815,7.734670730890666,7.887278896126969,98.0,7.8109748135088175,0.07630408261815151,0.3825792326929889,1.9844674545084815,completed,True,COMPLETE
6,6.62135222443178,2026-06-09 19:41:05.925779,2026-06-09 19:41:07.708601,0 days 00:00:01.782822,,,,4.4513143156492045,0.808120379564417,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,,,True,-0.01243427499627487,-0.008341505604845149,98.0,-0.01038789030056001,0.00204638469571486,0.010260319760335162,1.9844674545084815,6.571370871729848,6.671333577133711,98.0,6.62135222443178,0.04998135270193115,0.25060032057988063,1.9844674545084815,163233331668260.44,379444316652481.4,98.0,271338824160370.9,108105492492110.48,542027568491999.3,1.9844674545084815,16.17670435944791,16.560608892835397,98.0,16.368656626141654,0.1919522666937424,0.9624249238782207,1.9844674545084815,6.294150453660629,6.458163101048136,98.0,6.376156777354383,0.08200632369375355,0.4111695641730414,1.9844674545084815,99.0,1.0,-0.002254088561994036,-0.0013618225040156738,98.0,-0.0018079555330048549,0.00044613302898918104,0.002236855828066499,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,7.6913141469183035,7.809836129397553,98.0,7.750575138157928,0.05926099123962451,0.2971272804698941,1.9844674545084815,completed,True,COMPLETE
7,6.693519507401536,2026-06-09 19:41:07.720654,2026-06-09 19:41:09.596226,0 days 00:00:01.875572,,,,,,,,,,,manhattan,9.0,distance,,KNeighborsRegressor,,,,,,8,12.0,3.0,5.0,40.0,,,ExtraTrees,,,False,-0.03151330649893248,-0.011441028002165878,98.0,-0.021477167250549177,0.0100361392483833,0.05031996088677291,1.9844674545084815,6.6139801314552145,6.773058883347858,98.0,6.693519507401536,0.07953937594632146,0.3988005932880976,1.9844674545084815,177674543395751.62,413794360117394.4,98.0,295734451756573.0,118059908360821.38,591937778460926.8,1.9844674545084815,17.069496898570826,17.929752959485377,98.0,17.4996249290281,0.4301280304572742,2.1566087449814226,1.9844674545084815,6.151648894008904,6.407434503828252,98.0,6.279541698918578,0.12789280490967408,0.6412387055900175,1.9844674545084815,99.0,0.7575757575757576,-0.08239566878299752,-0.04380600187628632,98.0,-0.06310083532964192,0.019294833453355597,0.09674190848299097,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['z_re_T2W10', 'z_pe_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.0653751354358543,0.11847126116699047,98.0,0.09192319830142238,0.02654806286556808,0.13310870365117453,1.9844674545084815,7.8870719717507365,8.061644970169242,98.0,7.97435847095999,0.08728649920925315,0.43764371113727735,1.9844674545084815,completed,True,COMPLETE
8,6.6031492634987075,2026-06-09 19:41:09.608136,2026-06-09 19:41:11.313584,0 days 00:00:01.705448,,,,,,,,,,,,,,,Ridge,,,,,,6,,,,,,,,0.0018088133565708241,svd,True,-0.015732315784786004,0.0003035530890308112,98.0,-0.007714381347877597,0.008017934436908408,0.04020093158063082,1.9844674545084815,6.5349969566980874,6.6713015702993275,98.0,6.6031492634987075,0.0681523068006197,0.34170723698387995,1.9844674545084815,170207710874621.7,395898365506829.44,98.0,283053038190725.56,112845327316103.89,565792514060240.0,1.9844674545084815,16.78295573910044,17.418081710725797,98.0,17.10051872491312,0.3175629858126767,1.5922215335697796,1.9844674545084815,6.046817115201676,6.2550022426118455,98.0,6.1509096789067605,0.10409256370508466,0.5219072398868464,1.9844674545084815,99.0,0.5858585858585859,-0.042390170396722486,-0.011574503368322808,98.0,-0.026982336882522648,0.01540783351419984,0.07725297154574053,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.037046310733178774,0.08999955057520242,98.0,0.0635229306541906,0.026476619921011822,0.1327504975634814,1.9844674545084815,7.7610316148236045,7.921415649940734,98.0,7.841223632382169,0.08019201755856487,0.40207285761090067,1.9844674545084815,completed,True,COMPLETE
9,6.474981186637315,2026-06-09 19:41:11.326420,2026-06-09 19:41:13.141077,0 days 00:00:01.814657,,,,,,,,,,,,,,,LinearRegression,,,,,,2,,,,,,,,,,True,0.0060793096805743865,0.017772082712580014,98.0,0.0119256961965772,0.005846386516002814,0.02931305888981249,1.9844674545084815,6.415169686759344,6.534792686515286,98.0,6.474981186637315,0.05981149987797072,0.2998874626937383,1.9844674545084815,168802927962738.0,392512630386000.8,98.0,280657779174369.4,111854851211631.4,560826389377945.7,1.9844674545084815,16.432146498391123,17.13274056437032,98.0,16.78244353138072,0.3502970329895995,1.756345997454024,1.9844674545084815,6.0176447325105284,6.22380395649913,98.0,6.120724344504829,0.10307961199430105,0.5168284252943693,1.9844674545084815,99.0,0.35353535353535354,0.004081335243178339,0.026532135256447785,98.0,0.015306735249813061,0.011225400006634722,0.05628276723673717,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['z_pe_T2W10', 'z_density_T2W10']",0.10249937361978957,0.15319715401787215,98.0,0.12784826381883085,0.025348890199041282,0.12709620021905685,1.9844674545084815,7.6117757039793625,7.748215179779808,98.0,7.679995441879585,0.06821973790022288,0.3420453281771772,1.9844674545084815,completed,True,COMPLETE
