number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,2.8816239184388395,2026-06-09 20:07:24.550219,2026-06-09 20:07:26.157306,0 days 00:00:01.607087,,,,,,,,,,,,,,,Ridge,,,,,,3,,,,,,,,0.001267425589893723,auto,False,-0.018517760385474147,-0.004799365629252948,98.0,-0.011658563007363548,0.006859197378110599,0.03439116728444963,1.9844674545084815,2.8528797195700215,2.9103681173076574,98.0,2.8816239184388395,0.028744198868818092,0.14411985794572818,1.9844674545084815,991701114675539.0,1194913670194907.5,98.0,1093307392435223.2,101606277759684.22,509441309669104.8,1.9844674545084815,7.9507077767335135,8.322656704633612,98.0,8.136682240683562,0.18597446395004927,0.9324529602767851,1.9844674545084815,2.4614919552079972,2.5550638083235913,98.0,2.5082778817657942,0.046785926557796974,0.23457884911461518,1.9844674545084815,99.0,0.46464646464646464,-0.01539183953431057,0.008304725682822043,98.0,-0.0035435569257442645,0.011848282608566307,0.05940582356253473,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",3,"['z_pe_T2W10', 'z_l2_T2W10', 'z_density_T2W10']",0.04869129114914014,0.10538752048898303,98.0,0.07703940581906159,0.02834811466992145,0.14213394076153224,1.9844674545084815,3.4513520612117237,3.525793535475308,98.0,3.4885727983435157,0.03722073713179221,0.18662017238853568,1.9844674545084815,completed,False,COMPLETE
1,2.9663354459267497,2026-06-09 20:07:26.192116,2026-06-09 20:07:37.423914,0 days 00:00:11.231798,,,,,,,,,,,,,,,RandomForestRegressor,11.0,sqrt,1.0,8.0,90.0,10,,,,,,,,,,False,-0.05105556675773133,-0.03157559121228523,98.0,-0.04131557898500828,0.00973998777272305,0.04883509401685733,1.9844674545084815,2.9301685307238468,3.0025023611296526,98.0,2.9663354459267497,0.036166915202902744,0.18133643957744658,1.9844674545084815,1010309414871918.1,1223283516811172.5,98.0,1116796465841545.4,106487050969627.23,533912902872746.94,1.9844674545084815,8.338574830222562,8.798325700136658,98.0,8.56845026517961,0.22987543495704885,1.1525669990810423,1.9844674545084815,2.625180158630984,2.722933326435811,98.0,2.6740567425333976,0.04887658390241347,0.24506114646074792,1.9844674545084815,99.0,0.7676767676767676,-0.08117820297533652,-0.04610990062375335,98.0,-0.06364405179954494,0.017534151175791587,0.08791406531059506,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.030956772213623786,0.08438278519922474,98.0,0.057669778706424264,0.02671300649280048,0.13393571059731607,1.9844674545084815,3.547347384296484,3.6320384862270054,98.0,3.589692935261745,0.04234555096526058,0.2123153550947404,1.9844674545084815,completed,False,COMPLETE
2,2.8773715903061423,2026-06-09 20:07:37.440991,2026-06-09 20:07:39.111479,0 days 00:00:01.670488,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,False,-0.01731728407091341,-0.0030548433480725576,98.0,-0.010186063709492984,0.007131220361420426,0.03575505687801608,1.9844674545084815,2.8482954688414823,2.9064477117708023,98.0,2.8773715903061423,0.029076121464660182,0.14578407678793892,1.9844674545084815,982075005944330.4,1184118728276694.5,98.0,1083096867110512.5,101021861166182.12,506511117151963.0,1.9844674545084815,8.026211018464918,8.340261253895124,98.0,8.183236136180021,0.157025117715103,0.7873045188106303,1.9844674545084815,2.477949676746654,2.5703565036832288,98.0,2.5241530902149414,0.04620341346828749,0.2316582005310603,1.9844674545084815,99.0,0.5555555555555556,-0.02183762693028625,0.00456324820531109,98.0,-0.00863718936248758,0.01320043756779867,0.06618536128889589,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['z_pe_T2W10', 'z_l2_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.05067575321694265,0.10692604800822234,98.0,0.07880090061258249,0.02812514739563984,0.1410160104256525,1.9844674545084815,3.4596565697543165,3.5334960232567525,98.0,3.4965762965055345,0.03691972675121803,0.18511094357034788,1.9844674545084815,completed,False,COMPLETE
3,2.864530890863923,2026-06-09 20:07:39.170065,2026-06-09 20:07:56.225307,0 days 00:00:17.055242,,,,,,3.0,log2,1.0,4.0,235.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,,,True,-0.0091983542341195,-0.0019368431912832927,98.0,-0.005567598712701397,0.0036307555214181043,0.018204159119915006,1.9844674545084815,2.83977560863418,2.889286173093666,98.0,2.864530890863923,0.024755282229743034,0.12411992328049441,1.9844674545084815,977058810693053.9,1180676167460727.5,98.0,1078867489076890.6,101808678383836.77,510456121364992.4,1.9844674545084815,7.955126589184341,8.315808110291394,98.0,8.135467349737867,0.1803407605535262,0.9042062682426559,1.9844674545084815,2.5227407197776213,2.5896957256393005,98.0,2.556218222708461,0.03347750293083976,0.16785205908118986,1.9844674545084815,99.0,0.2828282828282828,0.005385714485681977,0.016090741620495112,98.0,0.010738228053088545,0.005352513567406568,0.026836841009475525,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.051374212245729745,0.10859759961366863,98.0,0.07998590592969919,0.028611693683969444,0.14345549333759935,1.9844674545084815,3.4313983588327015,3.498924159466458,98.0,3.4651612591495797,0.03376290031687803,0.16928300627584406,1.9844674545084815,completed,True,COMPLETE
4,2.8520196494040517,2026-06-09 20:07:56.259464,2026-06-09 20:07:58.182529,0 days 00:00:01.923065,,,,,,,,,,,euclidean,17.0,distance,,KNeighborsRegressor,,,,,,2,,,,,0.3113095956122124,0.00210664860170422,LinearSVR,,,True,-0.009330165523184587,0.007275148609392039,98.0,-0.0010275084568962746,0.008302657066288313,0.041628495628856226,1.9844674545084815,2.8177077081992925,2.886331590608811,98.0,2.8520196494040517,0.0343119412047594,0.17203582938039397,1.9844674545084815,953623175170441.0,1167755654280553.8,98.0,1060689414725497.4,107066239555056.31,536816882804028.9,1.9844674545084815,8.326842545003467,8.685491923525896,98.0,8.506167234264682,0.17932468926121384,0.8991118124542343,1.9844674545084815,2.501203917114676,2.609374160495526,98.0,2.555289038805101,0.054085121690425016,0.2711761107197621,1.9844674545084815,99.0,0.5050505050505051,-0.012765133813197575,0.015516769745576408,98.0,0.0013758179661894161,0.014140951779386991,0.07090098321972972,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",2,"['z_l2_T2W10', 'z_l3_T2W10']",0.12804276258404323,0.1719784158393442,98.0,0.15001058921169372,0.021967826627650486,0.11014396565380961,1.9844674545084815,3.437973320749194,3.5218262677540224,98.0,3.479899794251608,0.041926473502414095,0.21021415252898681,1.9844674545084815,completed,True,COMPLETE
5,2.9036752738981315,2026-06-09 20:07:58.200111,2026-06-09 20:08:20.453181,0 days 00:00:22.253070,,,,,,,,,,,,,,,RandomForestRegressor,11.0,log2,3.0,7.0,204.0,7,,,,,,,,,,True,-0.028662509070510628,-0.009842716465885493,98.0,-0.01925261276819806,0.009409896302312567,0.047180056211080706,1.9844674545084815,2.8679874011983704,2.9393631465978927,98.0,2.9036752738981315,0.03568787269976106,0.17893457971633772,1.9844674545084815,1028296834926666.5,1243077672345849.5,98.0,1135687253636258.0,107390418709591.53,538442276989262.6,1.9844674545084815,8.150867048230255,8.625302229093277,98.0,8.388084638661766,0.2372175904315119,1.1893796585266654,1.9844674545084815,2.558457599352997,2.660263528802611,98.0,2.609360564077804,0.05090296472480674,0.25522116927439725,1.9844674545084815,99.0,0.6464646464646465,-0.045575928218680686,-0.012935655275127012,98.0,-0.02925579174690385,0.01632013647177684,0.08182714573822764,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",7,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.07047110106931753,0.12469491356363627,98.0,0.0975830073164769,0.02711190624715936,0.135935744628362,1.9844674545084815,3.4898826529145013,3.573405768002852,98.0,3.5316442104586767,0.041761557544175563,0.20938728431175832,1.9844674545084815,completed,True,COMPLETE
6,2.888588932215964,2026-06-09 20:08:20.466762,2026-06-09 20:08:22.325579,0 days 00:00:01.858817,,,,4.4513143156492045,0.808120379564417,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,,,True,-0.016168645119859052,-0.012000469153169574,98.0,-0.014084557136514313,0.00208408798334474,0.010449359381237585,1.9844674545084815,2.866188072293882,2.9109897921380457,98.0,2.888588932215964,0.022400859922081563,0.11231514103302254,1.9844674545084815,1006997647577968.6,1216769917529587.0,98.0,1111883782553777.8,104886134975809.16,525886108086603.2,1.9844674545084815,7.901373232130305,8.26919472286879,98.0,8.085283977499547,0.18391074536924218,0.9221057305605128,1.9844674545084815,2.5278005416992126,2.5850041519438047,98.0,2.5564023468215087,0.028601805122295827,0.14340591331241956,1.9844674545084815,99.0,1.0,-0.0029239255974476954,-0.0015435514944414181,98.0,-0.002233738545944557,0.0006901870515031388,0.0034605125115008415,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,3.4563038644361925,3.519404894129375,98.0,3.487854379282784,0.03155051484659153,0.15819037916336007,1.9844674545084815,completed,True,COMPLETE
7,3.007494765446644,2026-06-09 20:08:22.379995,2026-06-09 20:08:24.743984,0 days 00:00:02.363989,,,,,,,,,,,manhattan,9.0,distance,,KNeighborsRegressor,,,,,,8,12.0,3.0,5.0,40.0,,,ExtraTrees,,,False,-0.06680569018930096,-0.04378431735646286,98.0,-0.055295003772881914,0.011510686416419048,0.05771315801018002,1.9844674545084815,2.9631520198731707,3.0518375110201177,98.0,3.007494765446644,0.04434274557347364,0.2223290418403427,1.9844674545084815,963199357641728.0,1173525424712192.2,98.0,1068362391176960.1,105163033535232.16,527274443215772.9,1.9844674545084815,8.47343940749587,8.93392316033382,98.0,8.703681283914845,0.2302418764189741,1.1544042912483805,1.9844674545084815,2.6578935758982376,2.7855738721860805,98.0,2.721733724042159,0.06384014814392155,0.32008660682198137,1.9844674545084815,99.0,0.797979797979798,-0.11813969640639609,-0.07738636544812037,98.0,-0.09776303092725823,0.02037666547913786,0.10216608045551429,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_diameter_T2W10']",0.031162985704536444,0.08436018766774668,98.0,0.057761586686141564,0.02659860098160512,0.1333620955142542,1.9844674545084815,3.5987657081406956,3.6943895373696636,98.0,3.6465776227551796,0.047811914614484,0.23972302633307138,1.9844674545084815,completed,True,COMPLETE
8,2.9134601791966497,2026-06-09 20:08:24.803584,2026-06-09 20:08:26.780420,0 days 00:00:01.976836,,,,,,,,,,,,,,,Ridge,,,,,,6,,,,,,,,0.0018088133565708241,svd,True,-0.031038153115295793,-0.01495585452121185,98.0,-0.02299700381825382,0.00804114929704197,0.04031732801804582,1.9844674545084815,2.88389919531212,2.9430211630811796,98.0,2.9134601791966497,0.02956098388452989,0.14821511699169457,1.9844674545084815,958121430449041.8,1159202150071340.8,98.0,1058661790260191.2,100540359811149.56,504096928911592.6,1.9844674545084815,8.075682297349038,8.39777642303489,98.0,8.236729360191964,0.1610470628429248,0.8074700542333618,1.9844674545084815,2.4958007371524147,2.5968973206440538,98.0,2.5463490288982342,0.05054829174581976,0.2534428828249446,1.9844674545084815,99.0,0.6464646464646465,-0.047784342572804915,-0.016684946136129232,98.0,-0.032234644354467074,0.015549698218337843,0.07796426362596827,1.9844674545084815,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['z_pe_T2W10', 'z_l2_T2W10', 'z_lsc_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.00015514514263259907,0.053683919899660176,98.0,0.026919532521146386,0.026764387378513787,0.13419332800331588,1.9844674545084815,3.4984909096919226,3.5738152055770667,98.0,3.5361530576344946,0.037662147942572166,0.18883335159856146,1.9844674545084815,completed,True,COMPLETE
9,2.861782824621087,2026-06-09 20:08:26.792923,2026-06-09 20:08:28.609715,0 days 00:00:01.816792,,,,,,,,,,,,,,,LinearRegression,,,,,,2,,,,,,,,,,True,-0.011034228525249067,0.0017796604189222196,98.0,-0.004627284053163423,0.006406944472085643,0.03212362714985344,1.9844674545084815,2.8332797191529724,2.890285930089201,98.0,2.861782824621087,0.028503105468114284,0.14291104545386993,1.9844674545084815,981106331065878.2,1182791442166654.5,98.0,1081948886616266.4,100842555550388.14,505612100971514.4,1.9844674545084815,7.960006150633769,8.336405165930488,98.0,8.148205658282128,0.18819950764835916,0.9436090541789647,1.9844674545084815,2.4555810624391134,2.5439704828999594,98.0,2.4997757726695364,0.044194710230422846,0.22158681093981228,1.9844674545084815,99.0,0.40404040404040403,-0.003879711190699981,0.018860466735522042,98.0,0.00749037777241103,0.011370088963111011,0.05700821976887573,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['z_pe_T2W10', 'z_l2_T2W10']",0.06736499902911033,0.12731331567757187,98.0,0.0973391573533411,0.02997415832423076,0.15028672252950248,1.9844674545084815,3.432320845125317,3.5068654522265996,98.0,3.4695931486759584,0.037272303550641095,0.18687872003472986,1.9844674545084815,completed,True,COMPLETE
