number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,2.8797102890651,2026-06-09 20:45:13.004820,2026-06-09 20:45:14.623576,0 days 00:00:01.618756,,,,,,,,,,,,,,,Ridge,,,,,,3,,,,,,,,0.001267425589893723,auto,False,-0.017428144868932217,-0.003249903718662562,99.0,-0.01033902429379739,0.007089120575134828,0.03572754768306433,1.9842169515864174,2.8508331055913096,2.9085874725388905,99.0,2.8797102890651,0.028877183473790535,0.14553440565409292,1.9842169515864174,992042372699359.1,1193315210997551.8,99.0,1092678791848455.5,100636419149096.36,507184554938086.44,1.9842169515864174,7.946222912127421,8.293107142227612,99.0,8.119665027177517,0.1734421150500949,0.8741086246210366,1.9842169515864174,2.4697694115428233,2.5601615611983757,99.0,2.5149654863705995,0.045196074827776,0.22777788886261113,1.9842169515864174,100.0,0.49,-0.014280600177964516,0.009974202747660754,99.0,-0.0021531987151518816,0.012127401462812635,0.06111933200206035,1.9842169515864174,Ridge,"{'mode': 'original', 'type': 'Ridge'}",3,"['z_pe_T2W10', 'z_l2_T2W10', 'z_asp_T2W10']",0.0585387048807654,0.11506844839071761,99.0,0.08680357663574151,0.028264871754976106,0.14244849451758704,1.9842169515864174,3.4518819430172916,3.525814613104305,99.0,3.4888482780607983,0.03696633504350697,0.1863018810213859,1.9842169515864174,completed,False,COMPLETE
1,2.9668549217391957,2026-06-09 20:45:14.642888,2026-06-09 20:45:26.927171,0 days 00:00:12.284283,,,,,,,,,,,,,,,RandomForestRegressor,11.0,sqrt,1.0,8.0,90.0,10,,,,,,,,,,False,-0.05051755661565895,-0.031139084181556205,99.0,-0.04082832039860758,0.009689236217051374,0.04883153633630967,1.9842169515864174,2.9310411857922434,3.002668657686148,99.0,2.9668549217391957,0.03581373594695221,0.18049304496828575,1.9842169515864174,1010533448135818.1,1221367180492039.0,99.0,1115950314313928.5,105416866178110.4,531276915529966.2,1.9842169515864174,8.343102875967435,8.798261762682419,99.0,8.570682319324927,0.22757944335749186,1.146948387753355,1.9842169515864174,2.6184546221954914,2.717959076301984,99.0,2.6682068492487376,0.04975222705324639,0.25073985490078887,1.9842169515864174,100.0,0.77,-0.08043904982143102,-0.0456455360239241,99.0,-0.06304229292267756,0.017396756898753456,0.08767567923882737,1.9842169515864174,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.03204219945110803,0.08503713167495883,99.0,0.05853966556303343,0.026497466111925397,0.13354117396658763,1.9842169515864174,3.5495839011560455,3.6337849421923187,99.0,3.591684421674182,0.04210052051813675,0.2121770025423713,1.9842169515864174,completed,False,COMPLETE
2,2.878985724122681,2026-06-09 20:45:26.939628,2026-06-09 20:45:28.695983,0 days 00:00:01.756355,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,,,False,-0.01713946445066862,-0.00301558110701902,99.0,-0.01007752277884382,0.007061941671824799,0.03559057222134227,1.9842169515864174,2.8500278039428055,2.9079436443025566,99.0,2.878985724122681,0.028957920179875373,0.14594130020269705,1.9842169515864174,981945372124669.2,1181983682869737.8,99.0,1081964527497203.5,100019155372534.2,504073686562183.06,1.9842169515864174,8.037153610162793,8.35096019160477,99.0,8.194056900883782,0.15690329072098758,0.790756729477291,1.9842169515864174,2.480048837902288,2.5717824321525784,99.0,2.525915635027433,0.0458667971251451,0.23115817596696656,1.9842169515864174,100.0,0.55,-0.0213860940969268,0.004779734411201502,99.0,-0.008303179842862649,0.013082914254064151,0.06593489811486654,1.9842169515864174,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['z_pe_T2W10', 'z_l2_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.051295677061340784,0.1069901385339688,99.0,0.07914290779765479,0.027847230736314003,0.14034367922343188,1.9842169515864174,3.4621127516707317,3.535811575980929,99.0,3.4989621638258304,0.036849412155098495,0.18571261638318695,1.9842169515864174,completed,False,COMPLETE
3,2.866023408936393,2026-06-09 20:45:28.713736,2026-06-09 20:45:47.445637,0 days 00:00:18.731901,,,,,,3.0,log2,1.0,4.0,235.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,,,True,-0.009028262759846743,-0.001817777618474234,99.0,-0.005423020189160488,0.003605242570686254,0.018169598681252053,1.9842169515864174,2.8413417098821756,2.8907051079906103,99.0,2.866023408936393,0.02468169905421722,0.1243901229373318,1.9842169515864174,977095767018996.9,1178678757590955.0,99.0,1077887262304976.0,100791495285979.08,507966103229762.5,1.9842169515864174,7.968573856612384,8.329675895827545,99.0,8.149124876219965,0.18055101960758094,0.9099358790540879,1.9842169515864174,2.522382106890189,2.5887095127619486,99.0,2.555545809826069,0.0331637029358797,0.16713748418168045,1.9842169515864174,100.0,0.29,0.005312788282143005,0.01591991892749119,99.0,0.010616353604817098,0.005303565322674093,0.02672875724821218,1.9842169515864174,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.05295434611324979,0.10987941627004588,99.0,0.08141688119164783,0.028462535078398042,0.1434446724973382,1.9842169515864174,3.4343432365831044,3.502376619344414,99.0,3.468359927963759,0.034016691380654884,0.17143635101725102,1.9842169515864174,completed,True,COMPLETE
4,3.0287038231391104,2026-06-09 20:45:47.463837,2026-06-09 20:45:49.248223,0 days 00:00:01.784386,,,,,,,,,,,euclidean,17.0,distance,,KNeighborsRegressor,,,,,,2,,,,,0.3113095956122124,0.00210664860170422,LinearSVR,,,True,-0.07286582360654979,-0.051921843691781135,99.0,-0.06239383364916547,0.01047198995738433,0.05277643631162301,1.9842169515864174,2.9899247224952075,3.0674829237830132,99.0,3.0287038231391104,0.03877910064390304,0.19543780539168584,1.9842169515864174,989075399739636.0,1194452827690418.8,99.0,1091764113715027.4,102688713975391.44,517527651869368.1,1.9842169515864174,8.445460798552281,8.895886699082757,99.0,8.670673748817519,0.22521295026523852,1.135021803362665,1.9842169515864174,2.6656957622344244,2.7670380028127335,99.0,2.716366882523579,0.05067112028915465,0.25537086682301635,1.9842169515864174,100.0,0.91,-0.134178668148414,-0.09695131318545201,99.0,-0.11556499066693302,0.018613677481481,0.09380868088340352,1.9842169515864174,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'LinearSVR'}",2,"['z_l1_T2W10', 'z_density_T2W10']",-0.03434196677264173,0.0218829479206472,99.0,-0.006229509425997263,0.028112457346644464,0.14168036072954646,1.9842169515864174,3.6338902003727496,3.72630653143454,99.0,3.680098365903645,0.04620816553089537,0.2328785947219688,1.9842169515864174,completed,True,COMPLETE
5,2.9347649023565183,2026-06-09 20:45:49.260330,2026-06-09 20:46:12.680698,0 days 00:00:23.420368,,,,,,,,,,,,,,,RandomForestRegressor,11.0,log2,3.0,7.0,204.0,7,,,,,,,,,,True,-0.03846970841659007,-0.020760985298488147,99.0,-0.02961534685753911,0.008854361559050965,0.044623958846696385,1.9842169515864174,2.9013855836801943,2.9681442210328424,99.0,2.9347649023565183,0.033379318676323995,0.16822413824071317,1.9842169515864174,981760582045572.8,1187390410307194.5,99.0,1084575496176383.6,102814914130810.81,518163671813248.2,1.9842169515864174,8.198546938840474,8.614459171675351,99.0,8.406503055257913,0.20795611641743791,1.0480513043252313,1.9842169515864174,2.6313571399316222,2.7294488365458127,99.0,2.6804029882387175,0.049045848307095276,0.24717986744283296,1.9842169515864174,100.0,0.66,-0.04852587050722894,-0.018038336671561666,99.0,-0.033282103589395304,0.015243766917833638,0.07682510173923254,1.9842169515864174,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",7,"['z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.05796925202753419,0.10523927542790437,99.0,0.08160426372771928,0.023635011700185095,0.11911505786344823,1.9842169515864174,3.5020490304835548,3.5809199839407295,99.0,3.541484507212142,0.039435476728587375,0.19874579086252636,1.9842169515864174,completed,True,COMPLETE
6,2.8903825003055115,2026-06-09 20:46:12.740382,2026-06-09 20:46:14.615903,0 days 00:00:01.875521,,,,4.4513143156492045,0.808120379564417,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,,,True,-0.016098352525652435,-0.011967505680802319,99.0,-0.014032929103227376,0.0020654234224250574,0.010409262055611983,1.9842169515864174,2.867925793765349,2.912839206845674,99.0,2.8903825003055115,0.022456706540162383,0.11317666912485472,1.9842169515864174,1007145265989695.5,1214814003665732.8,99.0,1110979634827714.1,103834368838018.67,523301490570379.44,1.9842169515864174,7.9148399448907,8.282884606007505,99.0,8.098862275449102,0.1840223305584023,0.9274304929774596,1.9842169515864174,2.528096415672811,2.5847179555846744,99.0,2.5564071856287427,0.028310769955931913,0.1426798109616841,1.9842169515864174,100.0,1.0,-0.0030903312519515963,-0.0016328443404349832,99.0,-0.0023615877961932897,0.0007287434557583064,0.0036727004835618547,1.9842169515864174,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l2_T2W10', 'z_l3_T2W10', 'z_lsc_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",,,,,,,,3.4592024280460905,3.522960944242074,99.0,3.4910816861440823,0.03187925809799185,0.16066417572183228,1.9842169515864174,completed,True,COMPLETE
7,2.9929970266085495,2026-06-09 20:46:14.628301,2026-06-09 20:46:16.558559,0 days 00:00:01.930258,,,,,,,,,,,manhattan,9.0,distance,,KNeighborsRegressor,,,,,,8,12.0,3.0,5.0,40.0,,,ExtraTrees,,,False,-0.06138468390018723,-0.03817744421014722,99.0,-0.049781064055167225,0.01160361984502001,0.05847959234368351,1.9842169515864174,2.9509397471941297,3.0350543060229693,99.0,2.9929970266085495,0.042057279414419675,0.21195907726115393,1.9842169515864174,957513115906312.5,1162752572757957.0,99.0,1060132844332134.8,102619728425822.23,517179980464212.3,1.9842169515864174,8.512025357739912,9.037776726159407,99.0,8.77490104194966,0.2628756842097476,1.3248333757030637,1.9842169515864174,2.649692761478623,2.7764010450732455,99.0,2.7130469032759343,0.06335414179731126,0.31929039688255095,1.9842169515864174,100.0,0.75,-0.1040959516300074,-0.06311939497203978,99.0,-0.08360767330102359,0.020488278328983815,0.10325624076844553,1.9842169515864174,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['z_re_T2W10', 'z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_l3_T2W10', 'z_atd_T2W10', 'z_density_T2W10', 'z_asp_T2W10']",0.03572300626664297,0.09372140514205658,99.0,0.06472220570434978,0.028999199437706805,0.1461493382289745,1.9842169515864174,3.578351215566718,3.6732490814234557,99.0,3.625800148495087,0.04744893292836872,0.23913177886335685,1.9842169515864174,completed,True,COMPLETE
8,2.906632212218905,2026-06-09 20:46:16.571794,2026-06-09 20:46:18.240756,0 days 00:00:01.668962,,,,,,,,,,,,,,,Ridge,,,,,,6,,,,,,,,0.0018088133565708241,svd,True,-0.027364191029755916,-0.012131148944032702,99.0,-0.01974766998689431,0.007616521042861606,0.038385525518124713,1.9842169515864174,2.8761722440667743,2.937092180371036,99.0,2.906632212218905,0.03045996815213085,0.15351127873278955,1.9842169515864174,966523299662271.1,1166069800000213.2,99.0,1066296549831242.2,99773250168971.08,502834380530821.25,1.9842169515864174,8.114589993438361,8.428916974091052,99.0,8.271753483764707,0.15716349032634586,0.792068076027124,1.9842169515864174,2.4799960039847737,2.58216927018309,99.0,2.531082637083932,0.05108663309915822,0.2574649564318737,1.9842169515864174,100.0,0.65,-0.039452013808311884,-0.012094191157530342,99.0,-0.025773102482921112,0.01367891132539077,0.06893858715627962,1.9842169515864174,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['z_pe_T2W10', 'z_l1_T2W10', 'z_l2_T2W10', 'z_density_T2W10', 'z_diameter_T2W10', 'z_asp_T2W10']",0.017131441236921736,0.06987479801621857,99.0,0.04350311962657016,0.02637167838964842,0.13290723259149553,1.9842169515864174,3.491369112161013,3.566882211691142,99.0,3.5291256619260776,0.03775654976506428,0.19028438263707623,1.9842169515864174,completed,True,COMPLETE
9,2.8632584564247976,2026-06-09 20:46:18.253905,2026-06-09 20:46:20.249691,0 days 00:00:01.995786,,,,,,,,,,,,,,,LinearRegression,,,,,,2,,,,,,,,,,True,-0.01082622768727376,0.0018711912694441887,99.0,-0.004477518208914785,0.006348709478358974,0.03199604495507946,1.9842169515864174,2.834893856707643,2.891623056141952,99.0,2.8632584564247976,0.028364599717154586,0.14295110065699507,1.9842169515864174,980827289980750.9,1180524089390412.2,99.0,1080675689685581.5,99848399704830.64,503213117018277.8,1.9842169515864174,7.974636827354264,8.352003013148988,99.0,8.163319920251626,0.1886830928973619,0.9509196700819754,1.9842169515864174,2.457288220774223,2.5449391988500967,99.0,2.50111370981216,0.043825489037936725,0.22087044968997693,1.9842169515864174,100.0,0.4,-0.003536646300550111,0.018991814863009875,99.0,0.007727584281229881,0.011264230581779992,0.056769148014656545,1.9842169515864174,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['z_pe_T2W10', 'z_l2_T2W10']",0.069687623982115,0.1297830249897409,99.0,0.09973532448592795,0.03004770050381295,0.15143354399723916,1.9842169515864174,3.434891617870881,3.5093587367754013,99.0,3.472125177323141,0.03723355945225995,0.18764863097501028,1.9842169515864174,completed,True,COMPLETE
