subject,nodes_T2W20,re_T2W20,pe_T2W20,l1_T2W20,l2_T2W20,l3_T2W20,lsc_T2W20,asp_T2W20
CDMS-10-4A-JURAN,16.565891472868216,0.5426356589147286,0.937984496124031,0.2945736434108527,0.627906976744186,0.3953488372093023,9.310077519379846,4.093888436438296
CDMS-10-5A-HEPIHO,16.203389830508474,0.5254237288135594,0.1525423728813559,0.0,0.1525423728813559,0.4661016949152542,11.61864406779661,3.3778620282424656
CDMS-10-5A-KSRAGU,16.04040404040404,0.5757575757575758,0.3232323232323232,0.6363636363636364,0.3232323232323232,0.7171717171717171,10.767676767676768,3.78123027035683
CDMS-10-5A-SROPU,16.805194805194805,0.7792207792207793,0.6233766233766234,0.2857142857142857,0.474025974025974,0.2077922077922078,8.688311688311689,4.304212208578237
CDMS-10-5A-SZURO,16.47826086956522,0.5652173913043478,0.1304347826086956,0.0,0.0869565217391304,0.0,10.565217391304348,3.4793803028457755
CDMS-10-5B-SRAJA,16.045454545454547,0.7727272727272727,0.3863636363636363,0.2329545454545454,0.3863636363636363,1.494318181818182,8.948863636363637,3.913450840534906
CDMS-10-5C-DAAUSA,16.251851851851853,0.837037037037037,0.4888888888888889,0.1185185185185185,0.2740740740740741,1.5629629629629629,10.74074074074074,3.625043286988592
CDMS-10-5C-ICAPA,15.969696969696969,0.0606060606060606,0.2727272727272727,1.303030303030303,0.2727272727272727,0.1515151515151515,9.93939393939394,3.7871803262670136
CDMS-10-5C-JFALGI,17.61904761904762,0.0,0.0,0.0,0.0,0.3333333333333333,11.206349206349206,3.833726609552203
CDMS-10-5C-MAORTO,17.555555555555557,0.5555555555555556,0.0,0.0,0.0,0.0,6.888888888888889,3.8100840336134447
CDMS-10-5C-NBEMO,16.776315789473685,0.0394736842105263,0.6447368421052632,0.5,0.6052631578947368,0.2236842105263158,9.013157894736842,3.9541592351576873
CDMS-10-6B-ASCACO,15.850467289719626,0.616822429906542,1.439252336448598,0.7102803738317757,0.8130841121495327,0.3644859813084112,10.158878504672897,3.731863145759589
