subject,edges_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20,y_true,y_pred
CDMS-10-4A-JURAN,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-10-5A-HEPIHO,0.011852252850264922,0.0,0.0,0.0,3,2.914626490897678
CDMS-10-5A-KSRAGU,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-10-5A-SROPU,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-10-5A-SZURO,-0.1217758483533693,0.0,0.0,0.0,2,2.7809983896940436
CDMS-10-5B-SRAJA,0.09722576195258714,0.0,0.0,0.0,1,3.0
CDMS-10-5C-DAAUSA,0.09722576195258714,0.0,0.0,0.0,1,3.0
CDMS-10-5C-ICAPA,-0.26528826722810717,0.0,0.0,0.0,3,2.6374859708193057
CDMS-10-5C-JFALGI,0.09722576195258714,0.0,0.0,0.0,6,3.0
CDMS-10-5C-MAORTO,-0.46244501994041576,0.0,0.0,0.0,2,2.440329218106997
CDMS-10-5C-NBEMO,-0.21758905286222685,0.0,0.0,0.0,1,2.685185185185186
CDMS-10-6B-ASCACO,0.03249748227103666,0.0,0.0,0.0,2,2.9352717203184495
CDMS-10-6B-JJMOBE,-0.2569409047140785,0.0,0.0,0.0,4,2.6458333333333344
CDMS-11-5A-EAARCA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-11-5A-MGTHAR,0.014547123718393618,0.0,0.0,0.0,3,2.9173213617658065
CDMS-11-6A-DFVEBE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-11-6A-NMREPR,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-11-6B-ARAHE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-11-6B-AVROTO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-11-6B-EAFESA,0.09722576195258714,0.0,0.0,0.0,6,3.0
CDMS-11-6B-EFRGR,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-11-6B-EROCO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-11-6B-JACUPE,0.034262798989623366,0.0,0.0,0.0,1,2.9370370370370362
CDMS-11-6B-JDCHBA,0.027673651702802893,0.0,0.0,0.0,0,2.9304478897502158
CDMS-11-6B-JFSAHE,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-11-6B-JLPENA,-0.5966517890678205,0.0,0.0,0.0,0,2.3061224489795924
CDMS-11-6B-JMARME,0.05480390747399566,0.0,0.0,0.0,4,2.9575781455214085
CDMS-11-6B-JPSAMA,0.09722576195258714,0.0,0.0,0.0,6,3.0
CDMS-11-6B-LESTA,-0.1993766255588918,0.0,0.0,0.0,3,2.703397612488521
CDMS-11-6B-MAGIMU,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-11-6B-MEBRTA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-11-6B-MMAMO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-11-6B-RSECA,0.09722576195258714,0.0,0.0,0.0,5,3.0
CDMS-11-6B-SCAPA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-11-6B-VZAPE,0.09722576195258714,0.0,0.0,0.0,5,3.0
CDMS-11-6B-YLNIME,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-11-7C-ICARE,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-11-7C-SALMA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-11-7C-SPGAVE,-0.2074337362552976,0.0,0.0,0.0,2,2.6953405017921153
CDMS-12-5A-SRIGO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-12-6A-FAROPA,0.09722576195258714,0.0,0.0,0.0,6,3.0
CDMS-12-6A-JGIGA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-12-6A-JSOTGU,-0.4274655960721021,0.0,0.0,0.0,3,2.4753086419753108
CDMS-12-6A-SROAL,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-12-6B-IJDAGA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-12-6B-SCLAG,-0.00032249052524457866,0.0,0.0,0.0,3,2.9024517475221683
CDMS-12-7C-ARAHE,-0.3924861722037907,0.0,0.0,0.0,6,2.510288065843622
CDMS-12-7C-CATRAR,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-12-7C-DLOLO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-12-7C-JSZAOR,-0.041878458546981356,0.0,0.0,0.0,2,2.8608957795004315
CDMS-12-7C-MAROBE,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-12-7C-VMAPA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-12-7C-VQURA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-13-6B-ASUMO,-0.4179257531989258,0.0,0.0,0.0,1,2.484848484848487
CDMS-13-6B-JDTAHE,-0.08085130501336657,0.0,0.0,0.0,3,2.8219229330340463
CDMS-13-7C-MVEAR,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-13-7C-RAIZAC,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-13-7C-SSOSLO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-14-10A-IMORTO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-14-10A-JCVANI,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-14-6B-KDCAHE,-0.2063456666188408,0.0,0.0,0.0,0,2.696428571428572
CDMS-15-10A-AMALOS,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-15-10A-JJMACH,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-15-10A-MAALCA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-15-10A-MAALRI,0.026855391582218502,0.0,0.0,0.0,3,2.9296296296296314
CDMS-15-10A-SGOMO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-15-10A-SHEGA,0.0329087567753672,0.0,0.0,0.0,3,2.93568299482278
CDMS-15-11B-JEMOLO,-0.03569604874700172,0.0,0.0,0.0,3,2.867078189300411
CDMS-15-11B-VSAHO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-16-10A-SGALO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-16-11B-NGABE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-17-10A-ASSAMO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-18-7C-VVECA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-8-4A-DJAVDA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-8-4A-DOSTR,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-8-4A-LGOPA,-0.18445065130277172,0.0,0.0,0.0,2,2.718323586744641
CDMS-8-4C-JDBUTU,-0.7060947999886618,0.0,0.0,0.0,1,2.196679438058751
CDMS-9-4A-ACDUTR,-0.05475380382008277,0.0,0.0,0.0,3,2.84802043422733
CDMS-9-4A-CARGA,0.09722576195258714,0.0,0.0,0.0,5,3.0
CDMS-9-4A-CRAAG,0.09722576195258714,0.0,0.0,0.0,2,3.0
CDMS-9-4A-EROHI,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-9-4A-ILOSE,0.02292164417020892,0.0,0.0,0.0,2,2.925695882217622
CDMS-9-4A-TGAFR,-0.1920635273367015,0.0,0.0,0.0,2,2.7107107107107113
CDMS-9-4C-SCAMO,0.028865973592798078,0.0,0.0,0.0,0,2.931640211640211
CDMS-9-5A-ABERO,0.09722576195258714,0.0,0.0,0.0,1,3.0
CDMS-9-5A-VVAAR,0.09722576195258714,0.0,0.0,0.0,4,3.0
CDMS-9-5C-JDMADE,0.04260036029522318,0.0,0.0,0.0,5,2.945374598342636
CDMS-9-5C-LVIZAC,-0.07824479056714218,0.0,0.0,0.0,5,2.8245294474802707
CDMS-9-5C-MLOGO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-9-5C-SCAAG,-0.15462608989926308,0.0,0.0,0.0,3,2.74814814814815
CDMS-XX-10A-VGILO,0.026663820700992602,0.0,0.0,0.0,2,2.9294380587484055
CDMS-XX-5C-MPCAQU,0.09722576195258714,0.0,0.0,0.0,3,3.0
CDMS-XX-6B-SPUCA,0.08655407331479426,0.0,0.0,0.0,6,2.989328311362207
CSO-10-4A-KCOMO,-0.026103753129504526,0.0,0.0,0.0,4,2.8766704849179083
CSO-10-4A-LRAVI,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-10-4A-LSCAVA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-10-5A-ACAVA,-0.19455382250992415,0.0,0.0,0.0,3,2.7082204155374887
CSO-10-5A-ARACA,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-10-5A-DABRZA,0.02963840057991618,0.0,0.0,0.0,2,2.932412638627329
CSO-10-5A-GZAMA,0.08108141247490241,0.0,0.0,0.0,1,2.9838556505223153
CSO-10-5A-IPECA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-10-5A-JANORO,0.05393872491554941,0.0,0.0,0.0,3,2.9567129629629623
CSO-10-5A-JBUVE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-10-5A-JJSEMO,-0.18760668954653026,0.0,0.0,0.0,3,2.7151675485008826
CSO-10-5A-JLCARI,0.060188724915552605,0.0,0.0,0.0,2,2.9629629629629655
CSO-10-5A-MAARAN,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-10-5A-RVMOIB,0.035241497895786456,0.0,0.0,0.0,1,2.9380157359431993
CSO-10-5A-SVHEES,0.030393566628774682,0.0,0.0,0.0,3,2.9331678046761875
CSO-11-5A-MDVOSPE,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-11-5A-MTAGA,-0.26898738997484894,0.0,0.0,0.0,3,2.633786848072564
CSO-11-6A-CAPAMU,0.03858378664394513,0.0,0.0,0.0,5,2.941358024691358
CSO-11-6A-DSCACH,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-11-6A-EROMO,0.024280865836958654,0.0,0.0,0.0,3,2.9270551038843715
CSO-11-6A-FSOVRE,-0.15551289219451636,0.0,0.0,0.0,2,2.7472613458528965
CSO-11-6B-ANREVA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-11-6B-DISEMO,-0.8609062831359764,0.0,0.0,0.0,2,2.0418679549114365
CSO-11-6B-LHFDLACH,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-11-6B-RJGIHE,0.09722576195258714,0.0,0.0,0.0,6,3.0
CSO-11-6B-SFLVA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-11-6B-VCOMA,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-12-6A-DGISE,-0.5324038676770408,0.0,0.0,0.0,2,2.370370370370372
CSO-12-6A-FJOVRE,-0.02954530441579495,0.0,0.0,0.0,2,2.873228933631618
CSO-12-6B-GQULO,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-12-6B-LJHEFE,0.042999286673483184,0.0,0.0,0.0,4,2.945773524720896
CSO-12-6B-VPAMA,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-12-7A-DALRE,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-12-7A-ESALA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-12-7A-IMERO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-12-7A-JHEZA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-12-7A-LSARAR,-0.10215695409679482,0.0,0.0,0.0,2,2.800617283950618
CSO-12-7A-SCAHO,0.030018104857289174,0.0,0.0,0.0,4,2.932792342904702
CSO-12-7B-DVAGRO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-12-7B-SMUGU,0.028035692762518494,0.0,0.0,0.0,2,2.9308099308099314
CSO-12-7B-SSARA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-12-7B-VHOMA,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-12-8A-YTOME,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-13-6A-ANASA,0.03220965889300542,0.0,0.0,0.0,5,2.9349838969404183
CSO-13-6B-JETAVE,-0.07169926063097254,0.0,0.0,0.0,4,2.8310749774164403
CSO-13-6B-LFMIES,-0.37499646026963385,0.0,0.0,0.0,6,2.527777777777779
CSO-13-6B-LJMAHU,-0.1620334973066706,0.0,0.0,0.0,2,2.7407407407407423
CSO-13-7A-CAPAMU,0.01177602650285392,0.0,0.0,0.0,1,2.914550264550267
CSO-13-7A-CDDITR,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-13-7A-JJATFL,-0.06767723628374211,0.0,0.0,0.0,2,2.8350970017636707
CSO-13-7A-KRAMA,-0.49742444380872497,0.0,0.0,0.0,1,2.405349794238688
CSO-13-7A-RXCHLU,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-13-7A-YAMEZA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-13-8A-KIGAGU,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-13-8A-MBUAN,-0.6823156842555234,0.0,0.0,0.0,2,2.2204585537918895
CSO-13-8A-MGAAN,-0.006886224049163392,0.0,0.0,0.0,3,2.8958880139982495
CSO-13-8A-MGAHE,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-13-8A-MJAGA,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-13-8A-VHODU,0.015845061524268456,0.0,0.0,0.0,2,2.9186192995716813
CSO-13-8B-FCJISA,0.005084840543374103,0.0,0.0,0.0,1,2.907859078590787
CSO-13-8B-JEMABE,-0.06326806520790562,0.0,0.0,0.0,2,2.8395061728395072
CSO-13-9B-DMLLLU,-0.4938551148425736,0.0,0.0,0.0,2,2.4089191232048393
CSO-14-7A-MVEBE,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-14-7B-EVEGO,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-14-8A-AQUMA,-0.00864116692319028,0.0,0.0,0.0,4,2.8941330711242226
CSO-14-8A-MCIDOS,0.09722576195258714,0.0,0.0,0.0,1,3.0
CSO-14-8A-SZARA,-0.054204148970991906,0.0,0.0,0.0,2,2.848570089076421
CSO-14-8B-JLLORA,0.09722576195258714,0.0,0.0,0.0,6,3.0
CSO-14-9A-AEDCAGO,-0.05231127508444988,0.0,0.0,0.0,3,2.850462962962963
CSO-14-9A-HASACA,0.02044166077824494,0.0,0.0,0.0,5,2.923215898825658
CSO-14-9A-JSMAAL,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-14-9A-MARJA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-14-9A-SORZU,-0.018919509532486778,0.0,0.0,0.0,3,2.883854728514926
CSO-14-9B-ERAGA,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-14-9B-MFEGA,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-15-10A-LJRAGU,-0.10105539212967107,0.0,0.0,0.0,1,2.801718845917742
CSO-15-10A-MAARLO,-0.1264584485737279,0.0,0.0,0.0,3,2.776315789473685
CSO-15-10A-SFEGA,-0.16788145052304637,0.0,0.0,0.0,4,2.7348927875243665
CSO-15-10B-MEBUAR,0.09722576195258714,0.0,0.0,0.0,3,3.0
CSO-15-10B-YVBUAN,0.09722576195258714,0.0,0.0,0.0,5,3.0
CSO-15-10C-ALBAHO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-15-10C-SSCAMO,0.09722576195258714,0.0,0.0,0.0,4,3.0
CSO-15-11C-JETALO,0.09722576195258714,0.0,0.0,0.0,2,3.0
CSO-15-7B-JCRAGA,0.09722576195258714,0.0,0.0,0.0,3,3.0
