split,subject,set
0,CDMS-15-10A-SGOMO,TRAIN
0,CDMS-17-10A-ASSAMO,TRAIN
0,CDMS-15-10A-MAALCA,TRAIN
0,CSO-15-10C-ALBAHO,TRAIN
0,CSO-16-10A-MSACO,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CSO-13-6B-JETAVE,TRAIN
0,CSO-16-9A-JPROSO,TRAIN
0,CDMS-14-10A-JCVANI,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CDMS-12-6B-SCLAG,TRAIN
0,CDMS-9-4C-SCAMO,TRAIN
0,CSO-12-7A-SCAHO,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CDMS-15-10A-MAALRI,TRAIN
0,CSO-15-9B-KSBEJA,TRAIN
0,CSO-9-2A-EXMOCO,TRAIN
0,CSO-16-10B-VVILI,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CSO-12-7B-VHOMA,TRAIN
0,CSO-10-5A-GZAMA,TRAIN
0,CSO-9-4A-MLORO,TRAIN
0,CDMS-10-6B-ASCACO,TRAIN
0,CSO-11-6A-CAPAMU,TRAIN
0,CDMS-12-7C-CATRAR,TRAIN
0,CSO-16-11A-JAVABO,TRAIN
0,CSO-11-6B-VCOMA,TRAIN
0,CDMS-11-6B-RSECA,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CSO-16-10A-YKMUJO,TRAIN
0,CSO-14-9A-SORZU,TRAIN
0,CSO-14-9A-HASACA,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CDMS-12-6A-JGIGA,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CSO-10-4A-LRAVI,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CDMS-12-6A-FAROPA,TRAIN
0,CSO-14-9A-MARJA,TRAIN
0,CDMS-15-11B-JEMOLO,TRAIN
0,CSO-11-6B-LHFDLACH,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CSO-9-4A-GSBRCO,TRAIN
0,CDMS-11-6B-JACUPE,TRAIN
0,CSO-8-3A-DAPAVA,TRAIN
0,CDMS-8-4A-DOSTR,TRAIN
0,CDMS-10-5A-SROPU,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CSO-15-8B-KEPOGO,TRAIN
0,CDMS-10-5B-SRAJA,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CSO-10-4A-KCOMO,TRAIN
0,CSO-9-4A-MPAME,TRAIN
0,CSO-9-4A-DKVIMO,TRAIN
0,CDMS-13-6B-ASUMO,TRAIN
0,CDMS-12-7C-MAROBE,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CDMS-8-4A-LGOPA,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CSO-18-11A-ADBAHO,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CSO-16-10A-JEGAHE,TRAIN
0,CDMS-XX-5C-MPCAQU,TRAIN
0,CSO-17-11A-SPUVA,TRAIN
0,CSO-11-6A-FSOVRE,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CDMS-12-7C-DLOLO,TRAIN
0,CDMS-11-6B-JLPENA,TRAIN
0,CSO-13-6B-LJMAHU,TRAIN
0,CSO-11-5A-MDVOSPE,TRAIN
0,CDMS-9-5C-JDMADE,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CSO-11-6B-SFLVA,TRAIN
0,CSO-15-9B-AMSAGO,TRAIN
0,CDMS-13-7C-SSOSLO,TRAIN
0,CSO-9-4A-KEMOCO,TRAIN
0,CSO-15-8A-VBMABR,TRAIN
0,CDMS-9-4A-EROHI,TRAIN
0,CSO-17-11C-SARJA,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CDMS-10-5C-DAAUSA,TRAIN
0,CDMS-12-5A-SRIGO,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CDMS-11-6B-VZAPE,TRAIN
0,CDMS-11-6A-NMREPR,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CSO-14-9B-ERAGA,TRAIN
0,CSO-14-8B-JLLORA,TRAIN
0,CSO-14-8A-SZARA,TRAIN
0,CSO-9-4A-YVDITR,TRAIN
0,CDMS-10-5C-JFALGI,TRAIN
0,CSO-17-11B-CDBEBU,TRAIN
0,CSO-15-10C-SSCAMO,TRAIN
0,CSO-14-7B-EVEGO,TRAIN
0,CSO-10-5A-JBUVE,TRAIN
0,CSO-9-4A-DVGATO,TRAIN
0,CSO-16-11B-KRORE,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CSO-13-8A-MBUAN,TRAIN
0,CSO-13-8B-FCJISA,TRAIN
0,CSO-13-6B-LFMIES,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CDMS-12-7C-JSZAOR,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CDMS-12-7C-ARAHE,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CSO-15-10B-MEBUAR,TRAIN
0,CSO-16-10C-ACALGU,TRAIN
0,CSO-12-7A-IMERO,TRAIN
0,CSO-10-5A-RVMOIB,TRAIN
0,CSO-12-7B-SSARA,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CDMS-10-5A-HEPIHO,TRAIN
0,CDMS-12-7C-VMAPA,TRAIN
0,CSO-13-9B-DMLLLU,TRAIN
0,CSO-16-10B-JESUGU,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CDMS-12-6B-IJDAGA,TRAIN
0,CDMS-12-6A-SROAL,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CDMS-9-4A-ACDUTR,TRAIN
0,CDMS-10-5C-NBEMO,TRAIN
0,CSO-15-10A-SFEGA,TRAIN
0,CSO-13-7A-KRAMA,TRAIN
0,CDMS-9-5C-SCAAG,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CSO-12-7A-DALRE,TRAIN
0,CSO-17-11A-JDAMO,TRAIN
0,CSO-10-5A-ACAVA,TRAIN
0,CDMS-11-6B-ARAHE,TRAIN
0,CSO-10-5A-JANORO,TRAIN
0,CDMS-11-6B-JPSAMA,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CDMS-11-6A-DFVEBE,TRAIN
0,CSO-16-11B-YAROMO,TRAIN
0,CSO-12-7B-SMUGU,TRAIN
0,CDMS-11-6B-JFSAHE,TRAIN
0,CSO-17-10A-YVGOCA,TRAIN
0,CDMS-13-7C-MVEAR,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CDMS-9-4A-TGAFR,TRAIN
0,CDMS-11-6B-EAFESA,TRAIN
0,CDMS-10-6B-JJMOBE,TRAIN
0,CDMS-XX-6B-SPUCA,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CDMS-11-6B-SCAPA,TRAIN
0,CSO-12-7A-ESALA,TRAIN
0,CDMS-14-10A-IMORTO,TRAIN
0,CDMS-11-6B-EROCO,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CDMS-16-11B-NGABE,VALIDATION
0,CSO-15-10A-MAARLO,VALIDATION
0,CSO-17-11A-DJAPA,VALIDATION
0,CSO-16-10B-LTVIFA,VALIDATION
0,CSO-15-10A-LJRAGU,VALIDATION
0,CDMS-8-4C-JDBUTU,VALIDATION
0,CSO-8-4A-JRAAR,VALIDATION
0,CDMS-9-5C-LVIZAC,VALIDATION
0,CDMS-9-5A-ABERO,VALIDATION
0,CSO-12-6B-GQULO,VALIDATION
0,CSO-11-6A-DSCACH,VALIDATION
0,CSO-15-10B-YVBUAN,VALIDATION
0,CDMS-9-4A-CARGA,VALIDATION
0,CSO-13-8A-KIGAGU,VALIDATION
0,CSO-14-8A-AQUMA,VALIDATION
0,CSO-12-6B-LJHEFE,VALIDATION
0,CDMS-10-5A-KSRAGU,VALIDATION
0,CSO-15-9B-RMCHLU,VALIDATION
0,CSO-14-9A-JSMAAL,VALIDATION
0,CDMS-11-6B-AVROTO,VALIDATION
0,CDMS-9-4A-CRAAG,VALIDATION
0,CSO-9-4A-FAGIGA,VALIDATION
0,CSO-10-5A-JLCARI,VALIDATION
0,CDMS-15-10A-SHEGA,VALIDATION
0,CDMS-11-5A-MGTHAR,VALIDATION
0,CDMS-15-10A-AMALOS,VALIDATION
0,CSO-16-9A-JALEMO,VALIDATION
0,CSO-13-7A-YAMEZA,VALIDATION
0,CSO-15-7B-JCRAGA,VALIDATION
0,CSO-16-11A-VZAOR,VALIDATION
0,CSO-10-5A-SVHEES,VALIDATION
0,CSO-11-6B-DISEMO,VALIDATION
0,CDMS-15-10A-JJMACH,VALIDATION
0,CDMS-11-6B-JDCHBA,VALIDATION
0,CSO-11-6A-EROMO,VALIDATION
0,CDMS-XX-10A-VGILO,VALIDATION
0,CSO-17-10B-YCQUVE,VALIDATION
0,CSO-12-7A-LSARAR,VALIDATION
0,CSO-15-9B-JCAPA,VALIDATION
0,CSO-15-11C-JETALO,VALIDATION
0,CSO-10-5A-MAARAN,VALIDATION
0,CDMS-11-6B-JMARME,VALIDATION
0,CSO-13-8B-JEMABE,VALIDATION
0,CSO-17-10B-EHECO,VALIDATION
0,CSO-9-4A-NSARPA,VALIDATION
0,CSO-15-9B-ALRIHE,VALIDATION
0,CSO-13-8A-MGAHE,VALIDATION
0,CSO-14-9B-MFEGA,TEST
0,CDMS-11-6B-YLNIME,TEST
0,CDMS-16-10A-SGALO,TEST
0,CSO-16-9A-JSMAGU,TEST
0,CSO-13-7A-CAPAMU,TEST
0,CSO-11-6B-ANREVA,TEST
0,CDMS-13-6B-JDTAHE,TEST
0,CSO-16-10C-MAVAVE,TEST
0,CSO-13-8A-MJAGA,TEST
0,CSO-8-4A-ARAGR,TEST
0,CDMS-8-4A-DJAVDA,TEST
0,CSO-12-7A-JHEZA,TEST
0,CSO-17-11A-RLPAIG,TEST
0,CDMS-10-5A-SZURO,TEST
0,CSO-9-4A-DSMOMU,TEST
0,CDMS-11-6B-MEBRTA,TEST
0,CDMS-9-5C-MLOGO,TEST
0,CSO-16-11A-JDMUVA,TEST
0,CSO-16-9B-SJPAJI,TEST
0,CSO-13-8A-MGAAN,TEST
0,CSO-8-3A-KVPECO,TEST
0,CSO-13-6A-ANASA,TEST
0,CDMS-12-7C-VQURA,TEST
1,CDMS-11-6B-MMAMO,TRAIN
1,CSO-10-5A-ACAVA,TRAIN
1,CSO-15-8A-VBMABR,TRAIN
1,CSO-13-8A-MGAHE,TRAIN
1,CDMS-11-6B-JPSAMA,TRAIN
1,CDMS-XX-6B-SPUCA,TRAIN
1,CDMS-11-6B-JMARME,TRAIN
1,CDMS-11-6B-JFSAHE,TRAIN
1,CSO-10-5A-RVMOIB,TRAIN
1,CSO-11-6B-RJGIHE,TRAIN
1,CDMS-10-5A-SZURO,TRAIN
1,CSO-9-4A-MPAME,TRAIN
1,CSO-13-8A-VHODU,TRAIN
1,CDMS-10-5A-KSRAGU,TRAIN
1,CSO-15-10C-ALBAHO,TRAIN
1,CDMS-11-6B-LESTA,TRAIN
1,CSO-9-4A-YVDITR,TRAIN
1,CSO-12-7A-ESALA,TRAIN
1,CDMS-17-10A-ASSAMO,TRAIN
1,CDMS-12-7C-VMAPA,TRAIN
1,CSO-16-11B-YAROMO,TRAIN
1,CSO-14-9B-ERAGA,TRAIN
1,CSO-13-8A-MGAAN,TRAIN
1,CSO-13-7A-CDDITR,TRAIN
1,CSO-15-10A-LJRAGU,TRAIN
1,CSO-9-4A-DSMOMU,TRAIN
1,CSO-17-11A-JDAMO,TRAIN
1,CDMS-11-6B-RSECA,TRAIN
1,CSO-13-6A-ANASA,TRAIN
1,CDMS-12-7C-JSZAOR,TRAIN
1,CSO-11-6A-EROMO,TRAIN
1,CSO-12-7A-IMERO,TRAIN
1,CSO-10-5A-JBUVE,TRAIN
1,CSO-17-10B-EHECO,TRAIN
1,CSO-10-5A-MAARAN,TRAIN
1,CSO-8-3A-DAPAVA,TRAIN
1,CSO-12-8A-YTOME,TRAIN
1,CDMS-10-6B-JJMOBE,TRAIN
1,CSO-10-5A-JLCARI,TRAIN
1,CSO-9-4A-SLOCA,TRAIN
1,CSO-13-7A-JJATFL,TRAIN
1,CSO-13-6B-LFMIES,TRAIN
1,CSO-12-6B-LJHEFE,TRAIN
1,CDMS-11-6B-YLNIME,TRAIN
1,CSO-12-7B-SMUGU,TRAIN
1,CSO-9-4A-AGAPE,TRAIN
1,CSO-17-11C-JDAAG,TRAIN
1,CSO-14-7B-EVEGO,TRAIN
1,CSO-10-5A-IPECA,TRAIN
1,CDMS-13-6B-JDTAHE,TRAIN
1,CSO-14-8A-AQUMA,TRAIN
1,CDMS-10-5A-HEPIHO,TRAIN
1,CSO-16-9A-JSMAGU,TRAIN
1,CSO-13-8B-JEMABE,TRAIN
1,CSO-16-10B-VVILI,TRAIN
1,CDMS-11-5A-EAARCA,TRAIN
1,CDMS-11-6B-SCAPA,TRAIN
1,CDMS-15-10A-JJMACH,TRAIN
1,CDMS-15-10A-SHEGA,TRAIN
1,CSO-11-6A-CAPAMU,TRAIN
1,CSO-8-4A-ARAGR,TRAIN
1,CDMS-10-5C-ICAPA,TRAIN
1,CDMS-13-7C-RAIZAC,TRAIN
1,CSO-17-11A-SPUVA,TRAIN
1,CSO-15-9B-JCAPA,TRAIN
1,CSO-9-4A-KEMOCO,TRAIN
1,CSO-12-7A-SCAHO,TRAIN
1,CSO-14-9A-MARJA,TRAIN
1,CDMS-9-5A-ABERO,TRAIN
1,CSO-13-6B-JETAVE,TRAIN
1,CSO-10-4A-LRAVI,TRAIN
1,CSO-16-10C-MAVAVE,TRAIN
1,CDMS-9-5A-VVAAR,TRAIN
1,CDMS-13-7C-SSOSLO,TRAIN
1,CSO-13-7A-KRAMA,TRAIN
1,CSO-16-9B-SJPAJI,TRAIN
1,CSO-10-5A-DABRZA,TRAIN
1,CSO-16-9A-JPROSO,TRAIN
1,CSO-8-3A-KVPECO,TRAIN
1,CDMS-12-7C-MAROBE,TRAIN
1,CSO-16-11B-KRORE,TRAIN
1,CDMS-9-4C-SCAMO,TRAIN
1,CSO-9-4A-MLORO,TRAIN
1,CDMS-14-10A-IMORTO,TRAIN
1,CDMS-12-7C-VQURA,TRAIN
1,CDMS-10-5B-SRAJA,TRAIN
1,CSO-15-9B-RMCHLU,TRAIN
1,CDMS-11-6B-VZAPE,TRAIN
1,CDMS-11-6A-NMREPR,TRAIN
1,CSO-12-6A-DGISE,TRAIN
1,CDMS-10-4A-JURAN,TRAIN
1,CSO-11-6B-SFLVA,TRAIN
1,CSO-17-11C-MAPAMA,TRAIN
1,CSO-13-8A-MJAGA,TRAIN
1,CSO-17-11C-MCAAG,TRAIN
1,CDMS-15-10A-AMALOS,TRAIN
1,CDMS-11-6B-JLPENA,TRAIN
1,CDMS-12-6A-SROAL,TRAIN
1,CDMS-15-10A-MAALRI,TRAIN
1,CDMS-12-6B-SCLAG,TRAIN
1,CDMS-11-6B-EROCO,TRAIN
1,CSO-14-9A-JSMAAL,TRAIN
1,CSO-10-5A-GZAMA,TRAIN
1,CSO-17-11C-SARJA,TRAIN
1,CDMS-10-5C-JFALGI,TRAIN
1,CSO-10-4A-LSCAVA,TRAIN
1,CSO-9-4A-DVGATO,TRAIN
1,CSO-18-11A-ADBAHO,TRAIN
1,CSO-12-7A-DALRE,TRAIN
1,CSO-12-6A-FJOVRE,TRAIN
1,CSO-8-4A-JRAAR,TRAIN
1,CSO-11-6B-DISEMO,TRAIN
1,CDMS-9-5C-JDMADE,TRAIN
1,CSO-16-10C-ACALGU,TRAIN
1,CSO-10-5A-ARACA,TRAIN
1,CSO-15-9B-ALRIHE,TRAIN
1,CDMS-15-11B-JEMOLO,TRAIN
1,CSO-15-10A-MAARLO,TRAIN
1,CSO-18-9B-MAMOLO,TRAIN
1,CDMS-11-7C-ICARE,TRAIN
1,CSO-16-9A-JALEMO,TRAIN
1,CSO-9-2A-EXMOCO,TRAIN
1,CSO-9-4A-LCOMO,TRAIN
1,CDMS-8-4C-JDBUTU,TRAIN
1,CDMS-16-11B-NGABE,TRAIN
1,CSO-16-10B-LTVIFA,TRAIN
1,CDMS-10-6B-ASCACO,TRAIN
1,CSO-17-11A-NPAHE,TRAIN
1,CSO-13-8A-MBUAN,TRAIN
1,CSO-15-9B-KSBEJA,TRAIN
1,CSO-17-11B-CDBEBU,TRAIN
1,CDMS-10-5A-SROPU,TRAIN
1,CDMS-10-5C-DAAUSA,TRAIN
1,CSO-11-6B-VCOMA,TRAIN
1,CDMS-16-10A-SGALO,TRAIN
1,CDMS-10-5C-NBEMO,TRAIN
1,CSO-14-8B-JLLORA,TRAIN
1,CDMS-11-6B-ARAHE,TRAIN
1,CDMS-14-6B-KDCAHE,TRAIN
1,CDMS-XX-5C-MPCAQU,TRAIN
1,CSO-9-4A-NSARPA,TRAIN
1,CSO-9-4A-GSBRCO,TRAIN
1,CDMS-XX-10A-VGILO,TRAIN
1,CDMS-11-6B-MEBRTA,TRAIN
1,CDMS-15-10A-SGOMO,TRAIN
1,CDMS-12-7C-ARAHE,TRAIN
1,CDMS-9-4A-CARGA,TRAIN
1,CDMS-11-6B-EFRGR,TRAIN
1,CDMS-9-5C-LVIZAC,TRAIN
1,CSO-15-9B-AMSAGO,TRAIN
1,CSO-11-6A-DSCACH,TRAIN
1,CDMS-11-7C-SPGAVE,TRAIN
1,CDMS-9-4A-ACDUTR,TRAIN
1,CSO-11-6B-ANREVA,TRAIN
1,CSO-15-11C-JETALO,TRAIN
1,CSO-15-7B-JCRAGA,TRAIN
1,CSO-16-11A-JAVABO,TRAIN
1,CSO-14-9B-MFEGA,TRAIN
1,CDMS-9-4A-EROHI,TRAIN
1,CSO-12-7A-LSARAR,TRAIN
1,CDMS-12-7C-DLOLO,VALIDATION
1,CSO-14-9A-SORZU,VALIDATION
1,CDMS-12-7C-CATRAR,VALIDATION
1,CDMS-11-6B-AVROTO,VALIDATION
1,CSO-13-7A-RXCHLU,VALIDATION
1,CDMS-9-4A-ILOSE,VALIDATION
1,CSO-15-10B-MEBUAR,VALIDATION
1,CSO-13-6B-LJMAHU,VALIDATION
1,CDMS-12-6A-FAROPA,VALIDATION
1,CSO-17-11A-DJAPA,VALIDATION
1,CSO-16-11A-JDMUVA,VALIDATION
1,CDMS-11-6B-JDCHBA,VALIDATION
1,CSO-16-10B-JESUGU,VALIDATION
1,CDMS-13-7C-MVEAR,VALIDATION
1,CSO-14-9A-HASACA,VALIDATION
1,CSO-18-11B-YLLRE,VALIDATION
1,CDMS-8-4A-LGOPA,VALIDATION
1,CSO-16-10A-JEGAHE,VALIDATION
1,CSO-11-5A-MTAGA,VALIDATION
1,CSO-10-5A-SVHEES,VALIDATION
1,CDMS-18-7C-VVECA,VALIDATION
1,CSO-17-10A-YVGOCA,VALIDATION
1,CSO-16-11B-LLOZA,VALIDATION
1,CDMS-9-4A-TGAFR,VALIDATION
1,CDMS-11-6B-JACUPE,VALIDATION
1,CDMS-9-5C-SCAAG,VALIDATION
1,CSO-9-4A-DKVIMO,VALIDATION
1,CDMS-9-4A-CRAAG,VALIDATION
1,CSO-13-7A-YAMEZA,VALIDATION
1,CSO-13-8B-FCJISA,VALIDATION
1,CSO-12-7A-JHEZA,VALIDATION
1,CSO-16-10A-YKMUJO,VALIDATION
1,CSO-15-10B-YVBUAN,VALIDATION
1,CSO-10-4A-KCOMO,VALIDATION
1,CDMS-11-6A-DFVEBE,VALIDATION
1,CSO-11-6B-LHFDLACH,VALIDATION
1,CSO-17-11A-RLPAIG,VALIDATION
1,CSO-10-5A-JJSEMO,VALIDATION
1,CSO-17-10B-YCQUVE,VALIDATION
1,CDMS-14-10A-JCVANI,VALIDATION
1,CSO-12-7B-VHOMA,VALIDATION
1,CSO-10-5A-JANORO,VALIDATION
1,CDMS-15-10A-MAALCA,VALIDATION
1,CSO-12-7B-DVAGRO,VALIDATION
1,CSO-9-4A-FAGIGA,VALIDATION
1,CSO-11-6A-FSOVRE,VALIDATION
1,CSO-11-5A-MDVOSPE,VALIDATION
1,CSO-15-10C-SSCAMO,TEST
1,CDMS-11-6B-EAFESA,TEST
1,CDMS-11-7C-SALMA,TEST
1,CDMS-11-5A-MGTHAR,TEST
1,CSO-13-9B-DMLLLU,TEST
1,CDMS-9-5C-MLOGO,TEST
1,CDMS-12-5A-SRIGO,TEST
1,CDMS-8-4A-DJAVDA,TEST
1,CDMS-8-4A-DOSTR,TEST
1,CDMS-13-6B-ASUMO,TEST
1,CSO-12-6B-GQULO,TEST
1,CDMS-15-11B-VSAHO,TEST
1,CSO-15-10A-SFEGA,TEST
1,CSO-13-7A-CAPAMU,TEST
1,CSO-14-9A-AEDCAGO,TEST
1,CSO-16-11A-VZAOR,TEST
1,CSO-12-7B-SSARA,TEST
1,CSO-14-8A-SZARA,TEST
1,CSO-16-10A-MSACO,TEST
1,CDMS-12-6B-IJDAGA,TEST
1,CSO-15-8B-KEPOGO,TEST
1,CSO-13-8A-KIGAGU,TEST
1,CDMS-12-6A-JGIGA,TEST
2,CDMS-15-11B-JEMOLO,TRAIN
2,CDMS-10-5C-ICAPA,TRAIN
2,CSO-10-4A-LRAVI,TRAIN
2,CDMS-12-7C-VMAPA,TRAIN
2,CSO-13-8A-KIGAGU,TRAIN
2,CSO-12-7A-SCAHO,TRAIN
2,CDMS-11-7C-ICARE,TRAIN
2,CSO-13-6B-LFMIES,TRAIN
2,CSO-9-4A-MLORO,TRAIN
2,CSO-15-10C-ALBAHO,TRAIN
2,CSO-9-4A-KEMOCO,TRAIN
2,CDMS-9-4C-SCAMO,TRAIN
2,CDMS-12-6B-IJDAGA,TRAIN
2,CSO-13-8A-MGAAN,TRAIN
2,CDMS-8-4A-DJAVDA,TRAIN
2,CDMS-15-10A-AMALOS,TRAIN
2,CSO-9-4A-LCOMO,TRAIN
2,CSO-15-9B-ALRIHE,TRAIN
2,CSO-10-5A-ARACA,TRAIN
2,CSO-17-10A-YVGOCA,TRAIN
2,CSO-16-11A-JAVABO,TRAIN
2,CSO-12-7B-SSARA,TRAIN
2,CSO-17-11C-JDAAG,TRAIN
2,CDMS-13-7C-MVEAR,TRAIN
2,CSO-15-8B-KEPOGO,TRAIN
2,CDMS-11-6B-MEBRTA,TRAIN
2,CSO-11-6A-FSOVRE,TRAIN
2,CSO-16-10C-ACALGU,TRAIN
2,CDMS-10-5A-KSRAGU,TRAIN
2,CSO-17-11C-SARJA,TRAIN
2,CDMS-13-6B-JDTAHE,TRAIN
2,CSO-10-5A-DABRZA,TRAIN
2,CSO-9-4A-DSMOMU,TRAIN
2,CSO-17-11A-SPUVA,TRAIN
2,CSO-10-4A-KCOMO,TRAIN
2,CDMS-10-6B-JJMOBE,TRAIN
2,CSO-14-9A-MARJA,TRAIN
2,CDMS-11-6B-SCAPA,TRAIN
2,CSO-16-11B-LLOZA,TRAIN
2,CDMS-12-7C-CATRAR,TRAIN
2,CDMS-XX-6B-SPUCA,TRAIN
2,CDMS-10-4A-JURAN,TRAIN
2,CSO-12-7B-DVAGRO,TRAIN
2,CDMS-11-6B-EROCO,TRAIN
2,CSO-11-5A-MDVOSPE,TRAIN
2,CSO-15-10A-SFEGA,TRAIN
2,CDMS-13-7C-SSOSLO,TRAIN
2,CDMS-11-6B-EFRGR,TRAIN
2,CSO-9-4A-GSBRCO,TRAIN
2,CSO-9-4A-YVDITR,TRAIN
2,CSO-15-10B-MEBUAR,TRAIN
2,CSO-12-8A-YTOME,TRAIN
2,CSO-13-6A-ANASA,TRAIN
2,CSO-17-11C-MAPAMA,TRAIN
2,CSO-13-7A-KRAMA,TRAIN
2,CSO-13-7A-CDDITR,TRAIN
2,CSO-15-10C-SSCAMO,TRAIN
2,CDMS-9-5C-JDMADE,TRAIN
2,CDMS-9-4A-ACDUTR,TRAIN
2,CDMS-11-5A-EAARCA,TRAIN
2,CDMS-12-7C-JSZAOR,TRAIN
2,CSO-9-4A-DKVIMO,TRAIN
2,CDMS-15-10A-MAALRI,TRAIN
2,CSO-10-5A-JJSEMO,TRAIN
2,CDMS-12-6A-JGIGA,TRAIN
2,CSO-16-10A-JEGAHE,TRAIN
2,CDMS-15-10A-SGOMO,TRAIN
2,CSO-8-3A-KVPECO,TRAIN
2,CSO-12-7A-ESALA,TRAIN
2,CSO-16-9A-JSMAGU,TRAIN
2,CSO-9-2A-EXMOCO,TRAIN
2,CSO-12-6A-FJOVRE,TRAIN
2,CDMS-10-5C-DAAUSA,TRAIN
2,CDMS-11-6A-NMREPR,TRAIN
2,CDMS-12-7C-MAROBE,TRAIN
2,CDMS-10-6B-ASCACO,TRAIN
