number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.081592044897936,2026-06-13 08:46:19.922470,2026-06-13 08:46:21.681253,0 days 00:00:01.758783,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,11,,,,,,,,False,,,,,,,,,-0.07381028934301058,-0.04619328087760476,98.0,-0.06000178511030767,0.013808504232702907,0.06923413233892498,1.9844674545084815,1.0642043849822065,1.0989797048136654,98.0,1.081592044897936,0.0173876599157295,0.08717957625119249,1.9844674545084815,207339628574826.06,303375786422651.8,98.0,255357707498738.94,48018078923912.875,240756708681428.66,1.9844674545084815,3.262887588641278,3.5225191222387293,98.0,3.3927033554400037,0.12981576679872578,0.6508801986631058,1.9844674545084815,0.9137688707988124,0.9612459173880131,98.0,0.9375073940934128,0.023738523294600383,0.11902201973597185,1.9844674545084815,99.0,0.48484848484848486,-0.0652557883138892,-0.004549844616510815,98.0,-0.03490281646520001,0.03035297184868919,0.15218604668816232,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",11,"['nodes_T2W30', 'edges_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'diameter_T2W30', 'asp_T2W30']",0.1703550470159087,0.21842859622262317,98.0,0.19439182161926594,0.02403677460335724,0.12051741490931915,1.9844674545084815,1.3319033781784626,1.3780306993217526,98.0,1.3549670387501076,0.02306366057164496,0.11563834151244298,1.9844674545084815,completed,False,COMPLETE
1,1.4634180588327677,2026-06-13 08:46:21.701160,2026-06-13 08:46:29.782886,0 days 00:00:08.081726,,,,,,,,,,,,,,,XGBRegressor,,,,,,2,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.4620375397525633,-0.4100470707416683,98.0,-0.4360423052471158,0.02599523450544748,0.13033689062926487,1.9844674545084815,1.4374023323480658,1.4894337853174695,98.0,1.4634180588327677,0.02601572648470177,0.1304396348787266,1.9844674545084815,245404226820313.47,360583637174159.56,98.0,302993931997236.5,57589705176923.04,288747658861984.1,1.9844674545084815,4.35075955979759,4.539618458281566,98.0,4.445189009039578,0.09442944924198796,0.4734575791364972,1.9844674545084815,1.171791439363191,1.2425647188740738,98.0,1.2071780791186324,0.03538663975544137,0.1774242349910574,1.9844674545084815,99.0,1.0,-0.9779987484657865,-0.8540025389640565,98.0,-0.9160006437149215,0.061998104750864966,0.3108508290795315,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",2,"['diameter_T2W30', 'asp_T2W30']",-0.16360708120368922,-0.11119749692464241,98.0,-0.13740228906416582,0.026204792139523408,0.13138758668770428,1.9844674545084815,1.8107241395442222,1.8686197483926443,98.0,1.8396719439684333,0.028947804424211045,0.14514071101782497,1.9844674545084815,completed,False,COMPLETE
2,1.0252793896410919,2026-06-13 08:46:29.795561,2026-06-13 08:46:31.552383,0 days 00:00:01.756822,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,9,,,,,,,,True,,,,,,,,,-0.0054689517160101215,-0.003956499775436555,98.0,-0.004712725745723338,0.0007562259702867834,0.0037916234823587923,1.9844674545084815,1.015002632713697,1.0355561465684868,98.0,1.0252793896410919,0.01027675692739487,0.05152638816890521,1.9844674545084815,234005775143992.12,337727794571837.6,98.0,285866784857914.9,51861009713922.734,260024688355487.28,1.9844674545084815,2.9824193499749483,3.0221261045705057,98.0,3.002272727272727,0.01985337729777866,0.0995423782362822,1.9844674545084815,1.0025463229174085,1.0095748892038037,98.0,1.006060606060606,0.0035142831431975623,0.01762018102122619,1.9844674545084815,99.0,1.0,-0.0044599973303533595,-0.002586511906912857,98.0,-0.0035232546186331083,0.000936742711720251,0.004696712096967546,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",9,"['l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30']",,,,,,,,1.323557059402904,1.3516975355953957,98.0,1.3376272974991499,0.014070238096245795,0.07054643355857412,1.9844674545084815,completed,True,COMPLETE
3,1.0531366989671118,2026-06-13 08:46:31.569841,2026-06-13 08:46:37.567559,0 days 00:00:05.997718,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,6,,,,,,,,False,,,,,,,,,-0.04098195152068705,-0.022868111672781785,98.0,-0.03192503159673442,0.009056919923952633,0.045410276307330584,1.9844674545084815,1.0388031624409795,1.0674702354932442,98.0,1.0531366989671118,0.014333536526132304,0.07186657932035917,1.9844674545084815,203569327008414.97,296451744705528.8,98.0,250010535856971.9,46441208848556.93,232850477156371.28,1.9844674545084815,3.0837495738718084,3.234109162905448,98.0,3.158929368388628,0.07517979451681972,0.3769421912087753,1.9844674545084815,0.8527465659043885,0.895005040152532,98.0,0.8738758030284602,0.021129237124071772,0.10593938160253345,1.9844674545084815,99.0,0.30303030303030304,0.008729635495072099,0.038993475583877446,98.0,0.023861555539474773,0.015131920044402674,0.07586957553411545,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",6,"['nodes_T2W30', 'edges_T2W30', 'l1_T2W30', 'l3_T2W30', 'lsc_T2W30', 'density_T2W30']",0.19531571975778933,0.23860868656641127,98.0,0.2169622031621003,0.021646483404310957,0.10853279047683315,1.9844674545084815,1.300824248799575,1.336006602052828,98.0,1.3184154254262015,0.017591176626626653,0.08819998386797592,1.9844674545084815,completed,False,COMPLETE
4,1.3696539866752633,2026-06-13 08:46:37.583267,2026-06-13 08:46:40.412437,0 days 00:00:02.829170,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,5,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.3731640542006664,-0.31631056228333493,98.0,-0.34473730824200066,0.028426745958665733,0.1425281883179047,1.9844674545084815,1.3427226134919907,1.3965853598585358,98.0,1.3696539866752633,0.026931373183272645,0.13503057417499148,1.9844674545084815,171344205916268.28,250656532861625.78,98.0,211000369388947.03,39656163472678.74,198831098839737.3,1.9844674545084815,3.8492693204793693,4.049720578510529,98.0,3.9494949494949494,0.10022562901557987,0.502518907629606,1.9844674545084815,0.9959399574976886,1.064666103108372,98.0,1.0303030303030303,0.03436307280534168,0.17229219690157924,1.9844674545084815,99.0,1.0,-0.7267520835952681,-0.6016609427765955,98.0,-0.6642065131859318,0.06254557040933632,0.31359575417864943,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",5,"['edges_T2W30', 're_T2W30', 'l1_T2W30', 'l3_T2W30', 'lsc_T2W30']",0.13546112666767074,0.18319064915045358,98.0,0.15932588790906216,0.023864761241391433,0.1196549611876337,1.9844674545084815,1.6827411320064891,1.7402159708722136,98.0,1.7114785514393513,0.028737419432862316,0.14408586669235016,1.9844674545084815,completed,True,COMPLETE
5,1.0996584765394868,2026-06-13 08:46:40.425044,2026-06-13 08:47:08.299262,0 days 00:00:27.874218,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,5,,,,,,,,False,,,,,,,,,-0.09041949705916336,-0.06507792114273261,98.0,-0.07774870910094799,0.012670787958215367,0.06352976365535173,1.9844674545084815,1.0830477073304208,1.1162692457485528,98.0,1.0996584765394868,0.016610769209066106,0.08328434233652786,1.9844674545084815,183864462264131.25,266946648618201.44,98.0,225405555441166.34,41541093177035.09,208281903242716.0,1.9844674545084815,3.159176238745099,3.3063292210619384,98.0,3.2327527299035186,0.07357649115841969,0.36890342647189533,1.9844674545084815,0.9135651331188849,0.9710035694727842,98.0,0.9422843512958345,0.028719218176949664,0.14399460784639878,1.9844674545084815,99.0,0.6161616161616161,-0.062092286403534785,-0.02040635076780249,98.0,-0.04124931858566864,0.02084296781786615,0.10450406270800228,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",5,"['edges_T2W30', 're_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30']",0.16377933044093387,0.20641399531411878,98.0,0.18509666287752632,0.02131733243659245,0.10688246823522946,1.9844674545084815,1.3421933727802418,1.3784912911887526,98.0,1.3603423319844972,0.01814895920425538,0.09099663672371645,1.9844674545084815,completed,False,COMPLETE
6,1.0259455567155127,2026-06-13 08:47:08.363084,2026-06-13 08:47:10.318020,0 days 00:00:01.954936,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,12,,,,,,,,False,,,,,,,,,-0.0062078583565231904,-0.00452107718691764,98.0,-0.005364467771720415,0.0008433905848027754,0.00422865607871918,1.9844674545084815,1.0156513168245047,1.0362397966065207,98.0,1.0259455567155127,0.010294239891007868,0.05161404558610701,1.9844674545084815,233958015229096.94,337637437573929.8,98.0,285797726401513.4,51839711172416.45,259917900102652.5,1.9844674545084815,2.9875046576888686,3.0283552971808505,98.0,3.0079299774348596,0.02042531974599091,0.10241002693178647,1.9844674545084815,1.000054655402843,1.0068181757790735,98.0,1.0034364155909583,0.0033817601881151174,0.01695572731534298,1.9844674545084815,99.0,0.9191919191919192,-0.004619925757970788,-0.0026604009631039727,98.0,-0.0036401633605373804,0.0009797623974334077,0.004912407480308907,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",12,"['edges_T2W30', 're_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30']",-0.04645236139660907,0.02799907669328073,23.0,-0.009226642351664172,0.0372257190449449,0.0881576695041861,2.0686576104190486,1.3236283338484445,1.3517838642830335,98.0,1.337706099065739,0.01407776521729451,0.07058417361253186,1.9844674545084815,completed,False,COMPLETE
7,1.1246278533741862,2026-06-13 08:47:10.330400,2026-06-13 08:47:13.884836,0 days 00:00:03.554436,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,8,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.11614609865551707,-0.08816754830608799,98.0,-0.10215682348080253,0.013989275174714547,0.07014049548379228,1.9844674545084815,1.1063097639722188,1.1429459427761537,98.0,1.1246278533741862,0.018318089401967403,0.09184463461643323,1.9844674545084815,197922499537550.75,289475300682267.0,98.0,243698900109908.88,45776400572358.13,229517210685311.16,1.9844674545084815,3.2721298877141844,3.4688677614871715,98.0,3.370498824600678,0.09836893688649362,0.49320968293651,1.9844674545084815,0.9135325486244097,0.9657078240732142,98.0,0.939620186348812,0.026087637724402247,0.13080018894035245,1.9844674545084815,99.0,0.7171717171717171,-0.10983399907536479,-0.05800658140056089,98.0,-0.08392029023796284,0.02591370883740195,0.12992813101306286,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['nodes_T2W30', 'edges_T2W30', 're_T2W30', 'l1_T2W30', 'l3_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30']",0.16255830383504832,0.2089062024073684,98.0,0.18573225312120836,0.02317394928616004,0.11619131548612965,1.9844674545084815,1.3658015708453954,1.4093767719813306,98.0,1.387589171413363,0.02178760056796768,0.10924033448154614,1.9844674545084815,completed,True,COMPLETE
8,1.0204169353105523,2026-06-13 08:47:13.899099,2026-06-13 08:47:16.534247,0 days 00:00:02.635148,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,2,,,,,,,,False,,,,,,,,,-8.967198126691061e-17,-3.5929007377551536e-17,98.0,-6.280049432223107e-17,2.6871486944679538e-17,1.3473031198162398e-16,1.9844674545084815,1.01043877742961,1.0303950931914947,98.0,1.0204169353105523,0.009978157880942364,0.050029249481761316,1.9844674545084815,233086797526571.25,336033464861964.1,98.0,284560131194267.7,51473333667696.445,258080928608830.88,1.9844674545084815,2.969853864095874,3.009944115702106,98.0,2.98989898989899,0.020045125803115984,0.10050378152592125,1.9844674545084815,0.9999999999999999,1.0000000000000002,98.0,1.0,1.2037127321273503e-16,6.035266759507749e-16,1.9844674545084815,99.0,0.9292929292929293,-0.0029192784860056185,-0.001750504277915215,98.0,-0.002334891381960417,0.0005843871040452017,0.0029300446606523563,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",2,"['diameter_T2W30', 'asp_T2W30']",,,,,,,,1.3228306945049204,1.3508119442221607,98.0,1.3368213193635405,0.013990624858620215,0.0701472626319617,1.9844674545084815,completed,False,COMPLETE
9,1.0572923285139249,2026-06-13 08:47:16.551641,2026-06-13 08:47:18.919862,0 days 00:00:02.368221,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,9,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.044588398133097756,-0.027273236200995584,98.0,-0.03593081716704667,0.008657580966051088,0.043408040164043975,1.9844674545084815,1.0429071071644824,1.0716775498633673,98.0,1.0572923285139249,0.01438522134944233,0.07212572063187687,1.9844674545084815,199069583284872.94,289342493611059.8,98.0,244206038447966.38,45136455163093.445,226308603553932.78,1.9844674545084815,3.0073241736131218,3.132893817316101,98.0,3.0701089954646115,0.06278482185148992,0.3147953313181568,1.9844674545084815,0.8627941063250292,0.9074614759125111,98.0,0.8851277911187702,0.022333684793740993,0.1119783332479765,1.9844674545084815,99.0,0.25252525252525254,0.03330984306386743,0.0601831409091427,98.0,0.046746491986505066,0.013436648922637637,0.06736969580661625,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",9,"['nodes_T2W30', 'edges_T2W30', 're_T2W30', 'l1_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30']",0.21543909528295335,0.25726997213619995,98.0,0.23635453370957665,0.02091543842662331,0.10486742137689364,1.9844674545084815,1.2864044310984157,1.3193813770964886,98.0,1.3028929040974522,0.016488472999036462,0.08267116426545999,1.9844674545084815,completed,True,COMPLETE
