number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.741801210552909,2026-06-13 10:23:44.538931,2026-06-13 10:23:47.625329,0 days 00:00:03.086398,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,19,,,,,,,,False,,,,,,,,,-0.08655197421327009,-0.05161727471171808,98.0,-0.06908462446249408,0.017467349750776004,0.0875791312277996,1.9844674545084815,6.621946304873471,6.861656116232347,98.0,6.741801210552909,0.119854905679438,0.6009376730049568,1.9844674545084815,154958536844498.62,351769092770077.0,98.0,253363814807287.8,98405277962789.19,493391892598265.25,1.9844674545084815,19.058881531996438,22.685431144384605,98.0,20.87215633819052,1.8132748061940824,9.091535606120177,1.9844674545084815,6.150539613775995,6.4224202810124575,98.0,6.286479947394226,0.1359403336182314,0.6815880191883735,1.9844674545084815,99.0,0.8383838383838383,-0.30014120077082207,-0.15371605741405014,98.0,-0.2269286290924361,0.07321257167838596,0.3670787792098337,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",19,"['nodes_T2W30', 'edges_T2W30', 're_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l3_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.04496549860595066,0.10099305416549224,98.0,0.07297927638572145,0.028013777779770793,0.14045761694626668,1.9844674545084815,8.027910505365359,8.451804555850668,98.0,8.239857530608013,0.21194702524265494,1.062676170221163,1.9844674545084815,completed,False,COMPLETE
1,7.3050484662859905,2026-06-13 10:23:47.644412,2026-06-13 10:23:58.307553,0 days 00:00:10.663141,,,,,,,,,,,,,,,XGBRegressor,,,,,,3,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.1758872918639515,-0.14211001079260197,98.0,-0.15899865132827673,0.016888640535674758,0.08467755480005117,1.9844674545084815,7.196185601067356,7.413911331504625,98.0,7.3050484662859905,0.10886286521863485,0.5458249416682985,1.9844674545084815,156917696749707.2,370877000454989.8,98.0,263897348602348.5,106979651852641.31,536382742773588.4,1.9844674545084815,19.25795924777693,20.33299550390246,98.0,19.795477375839695,0.5375181280627647,2.6950494119944377,1.9844674545084815,6.617380627167261,6.952135795605388,98.0,6.7847582113863245,0.1673775842190631,0.8392105054324097,1.9844674545084815,99.0,0.98989898989899,-0.41158842558654013,-0.3336447806908302,98.0,-0.37261660313868517,0.03897182244785495,0.1953998975829498,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",3,"['z_lsc_T2W30', 'z_density_T2W30', 'z_asp_T2W30']",-0.006589296441507846,0.043015362338971096,98.0,0.018213032948731625,0.02480232939023947,0.12435581192426703,1.9844674545084815,8.629218076306397,8.878799073790308,98.0,8.754008575048353,0.12479049874195583,0.6256841261690989,1.9844674545084815,completed,False,COMPLETE
2,6.368452985311538,2026-06-13 10:23:58.320462,2026-06-13 10:24:00.576514,0 days 00:00:02.256052,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,15,,,,,,,,True,,,,,,,,,-0.012243049872032953,-0.00747570590083828,98.0,-0.009859377886435617,0.0023836719855973364,0.011951436514940362,1.9844674545084815,6.32024434362953,6.4166616269935455,98.0,6.368452985311538,0.048208641682007496,0.24171216678105012,1.9844674545084815,180901443948906.75,408685930945462.75,98.0,294793687447184.75,113892243498278.0,571041622311425.0,1.9844674545084815,16.095897939819963,16.594898971342715,98.0,16.34539845558134,0.24950051576137516,1.250964726935659,1.9844674545084815,6.123401937906105,6.269941876764098,98.0,6.1966719073351015,0.07326996942899652,0.3673665644322416,1.9844674545084815,99.0,0.2828282828282828,0.0009089225319971806,0.003895332831302774,98.0,0.0024021276816499773,0.0014932051496527967,0.007486745935550909,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",15,"['pe_T2W30', 'l2_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.06074277746766648,0.1159276943484436,96.0,0.08833523590805505,0.027592458440388566,0.1369049609127257,1.984984311522457,7.424717137081589,7.5534739898538765,98.0,7.489095563467733,0.06437842638614415,0.32278546735235963,1.9844674545084815,completed,True,COMPLETE
3,6.426851028468029,2026-06-13 10:24:00.620267,2026-06-13 10:24:07.223680,0 days 00:00:06.603413,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,False,,,,,,,,,-0.027323439473603762,-0.010808610213566185,98.0,-0.019066024843584974,0.008257414630018788,0.041401655649142756,1.9844674545084815,6.356150476876372,6.497551580059686,98.0,6.426851028468029,0.07070055159165742,0.35448382119036115,1.9844674545084815,179494508316377.94,406010394312606.94,98.0,292752451314492.44,113257942998114.5,567861318056098.0,1.9844674545084815,16.91869989747504,18.069172453634412,98.0,17.493936175554726,0.5752362780796862,2.884163551067256,1.9844674545084815,5.819237644181181,6.005460538525915,98.0,5.912349091353548,0.09311144717236718,0.46684927977450025,1.9844674545084815,99.0,0.6262626262626263,-0.04441297713660785,-0.013490208560094938,98.0,-0.028951592848351394,0.015461384288256457,0.07752146850351434,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['nodes_T2W30', 'pe_T2W30', 'l2_T2W30', 'lsc_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_pe_T2W30', 'z_l2_T2W30', 'z_lsc_T2W30']",0.07248918935258235,0.12265298580064753,98.0,0.09757108757661494,0.025081898224032593,0.12575753547885968,1.9844674545084815,7.509515016920679,7.695544782865891,98.0,7.602529899893285,0.09301488297260634,0.46636511882029563,1.9844674545084815,completed,False,COMPLETE
4,8.575972490866107,2026-06-13 10:24:07.236309,2026-06-13 10:24:09.609406,0 days 00:00:02.373097,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,8,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.3848368810587547,-0.3376206523606836,98.0,-0.36122876670971915,0.023608114349035553,0.11836816541234192,1.9844674545084815,8.434648697275112,8.717296284457102,98.0,8.575972490866107,0.14132379359099612,0.7085800216467556,1.9844674545084815,326092840047367.25,769560454210833.6,98.0,547826647129100.44,221733807081733.2,1111745883899072.4,1.9844674545084815,24.93432428013681,26.45961511380258,98.0,25.696969696969695,0.7626454168328857,3.8238097933614648,1.9844674545084815,7.10639681708958,7.519865809173046,98.0,7.313131313131313,0.20673449604173272,1.0365411935114865,1.9844674545084815,99.0,1.0,-1.0950317034289412,-0.9630347277607918,98.0,-1.0290332155948665,0.06599848783407475,0.33090825507744703,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['pe_T2W30', 'l2_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_density_T2W30']",-0.010572107147229115,0.03932433423966265,98.0,0.014376113546216769,0.024948220693445884,0.1250872928742,1.9844674545084815,10.46693854954917,10.800451233668351,98.0,10.63369489160876,0.16675634205959167,0.8360956740822116,1.9844674545084815,completed,True,COMPLETE
5,6.397646684877801,2026-06-13 10:24:09.621679,2026-06-13 10:24:40.043483,0 days 00:00:30.421804,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,8,,,,,,,,False,,,,,,,,,-0.025932998365485842,-0.0026643961755927013,98.0,-0.014298697270539272,0.011634301094946571,0.05833294671922348,1.9844674545084815,6.3079537615428665,6.487339608212735,98.0,6.397646684877801,0.08969292333493395,0.44970922406853236,1.9844674545084815,221531881445670.3,502520033811402.3,98.0,362025957628536.3,140494076182866.0,704419921184727.1,1.9844674545084815,17.008030665715232,18.171626322220973,98.0,17.589828493968103,0.5817978282528699,2.9170623520802432,1.9844674545084815,5.471532881016236,5.723835121893014,98.0,5.597684001454625,0.1261511204383892,0.6325061150685903,1.9844674545084815,99.0,0.6868686868686869,-0.08139410946253442,-0.035178225893140014,98.0,-0.05828616767783722,0.0231079417846972,0.11586036203783243,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",8,"['re_T2W30', 'lcc_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l2_T2W30', 'z_density_T2W30', 'z_asp_T2W30']",0.12205279986347692,0.17268209700918405,98.0,0.14736744843633048,0.02531464857285357,0.1269245169404751,1.9844674545084815,7.593248163039175,7.8140594454612975,98.0,7.703653804250236,0.11040564121106108,0.5535602296784212,1.9844674545084815,completed,False,COMPLETE
6,6.373862818649224,2026-06-13 10:24:40.056175,2026-06-13 10:24:41.897762,0 days 00:00:01.841587,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,20,,,,,,,,False,,,,,,,,,-0.013962127099329669,-0.007704063433456207,98.0,-0.010833095266392938,0.003129031832936731,0.015688578600800838,1.9844674545084815,6.327752660691241,6.419972976607207,98.0,6.373862818649224,0.046110157957982824,0.23119062893655867,1.9844674545084815,179934872119579.97,406571787814777.25,98.0,293253329967178.6,113318457847598.66,568164732026724.4,1.9844674545084815,16.06841109799512,16.60885388706932,98.0,16.33863249253222,0.2702213945370976,1.3548566502867503,1.9844674545084815,6.132766735845527,6.26895086181057,98.0,6.200858798828048,0.06809206298252111,0.3414051819310986,1.9844674545084815,99.0,0.36363636363636365,-0.0059544733457781475,0.0034191147536069243,98.0,-0.0012676792960856118,0.004686794049692536,0.023499005686163556,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",20,"['re_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.018257316291372675,0.07148851545387254,97.0,0.044872915872622605,0.02661559958124993,0.1327545297733075,1.9847231860139845,7.4393632600384105,7.563431450891148,98.0,7.501397355464779,0.06203409542636896,0.3110312818750566,1.9844674545084815,completed,False,COMPLETE
7,6.825427710236289,2026-06-13 10:24:41.954086,2026-06-13 10:24:43.751699,0 days 00:00:01.797613,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,12,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.09585858834845504,-0.06890727482476425,98.0,-0.08238293158660964,0.013475656761845391,0.06756527628777867,1.9844674545084815,6.728488575620696,6.922366844851882,98.0,6.825427710236289,0.0969391346155933,0.4860408311931354,1.9844674545084815,240259309150650.3,546087367589420.94,98.0,393173338370035.6,152914029219385.3,766692029566830.6,1.9844674545084815,18.728751281648268,20.00104648394181,98.0,19.36489888279504,0.6361476011467717,3.1895653912012567,1.9844674545084815,5.886322594080512,6.168132980771863,98.0,6.027227787426187,0.1409051933456751,0.7064812117906509,1.9844674545084815,99.0,0.9595959595959596,-0.25036329841448046,-0.19276632237108804,98.0,-0.22156481039278425,0.028798488021696204,0.14439205704358773,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",12,"['nodes_T2W30', 'pe_T2W30', 'l2_T2W30', 'lcc_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l2_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30']",-0.0044202976424397265,0.04714328823190729,98.0,0.021361495294733784,0.02578179293717351,0.12926672100513498,1.9844674545084815,8.152249699869149,8.39598380199753,98.0,8.27411675093334,0.12186705106419125,0.6110263210949676,1.9844674545084815,completed,True,COMPLETE
8,6.284835014369711,2026-06-13 10:24:43.763773,2026-06-13 10:24:46.188713,0 days 00:00:02.424940,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,3,,,,,,,,False,,,,,,,,,-0.0009469050743699768,0.007673605896034006,98.0,0.0033633504108320144,0.004310255485201991,0.02161108789540771,1.9844674545084815,6.233314889904074,6.336355138835348,98.0,6.284835014369711,0.05152012446563688,0.25831553188245554,1.9844674545084815,165270130767563.56,373474368253178.9,98.0,269372249510371.22,104102118742807.66,521955147664189.2,1.9844674545084815,16.99012648557546,17.657775756167503,98.0,17.32395112087148,0.3338246352960214,1.6737554327818824,1.9844674545084815,5.834518467224137,5.990733042223524,98.0,5.91262575472383,0.07810728749969321,0.39162027894238527,1.9844674545084815,99.0,0.5757575757575758,-0.01745175663086026,-0.0005922880624981402,98.0,-0.0090220223466792,0.00842973428418106,0.042265645082018015,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['pe_T2W30', 'diameter_T2W30', 'z_pe_T2W30']",0.06272718047036113,0.11243890587969038,95.0,0.08758304317502576,0.024855862704664625,0.1226730134085724,1.9852510035054978,7.458079431757585,7.602855003003428,98.0,7.530467217380506,0.07238778562292102,0.36294340394014146,1.9844674545084815,completed,False,COMPLETE
9,6.3345619839072365,2026-06-13 10:24:46.205865,2026-06-13 10:24:48.281545,0 days 00:00:02.075680,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,14,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.012793744570373654,0.004367120355366564,98.0,-0.0042133121075035454,0.00858043246287011,0.04302122711108984,1.9844674545084815,6.258409792532371,6.410714175282102,98.0,6.3345619839072365,0.07615219137486616,0.3818176687855935,1.9844674545084815,189315947621605.3,428742238409900.56,98.0,309029093015752.94,119713145394147.61,600226904467916.1,1.9844674545084815,16.94768816202418,17.81358917756196,98.0,17.38063866979307,0.4329505077688906,2.170760297128053,1.9844674545084815,5.802774038163721,6.013531280972825,98.0,5.908152659568273,0.10537862140455174,0.5283553741278835,1.9844674545084815,99.0,0.5959595959595959,-0.04268470745833303,-0.011074132525099641,98.0,-0.026879419991716336,0.015805287466616694,0.07924575650467093,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",14,"['nodes_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30']",0.05741129343910281,0.11256878182984811,98.0,0.08499003763447546,0.027578744195372647,0.1382764123605617,1.9844674545084815,7.5009235887618475,7.688647106111245,98.0,7.594785347436546,0.09386175867469823,0.4706112488460511,1.9844674545084815,completed,True,COMPLETE
