number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,2.8450518692312246,2026-06-11 18:08:51.377621,2026-06-11 18:08:52.982508,0 days 00:00:01.604887,,,,0.3470266988650412,0.020584494295802447,,,,,,,,,,ElasticNet,,,,,,22,,,,,,,,True,-0.0327603770292242,-0.01826931463429849,98.0,-0.025514845831761345,0.007245531197462855,0.03632819727157089,1.9844674545084815,2.814552296544854,2.875551441917595,98.0,2.8450518692312246,0.030499572686370532,0.1529210851561949,1.9844674545084815,801263324264379.2,1026067089763575.5,98.0,913665207013977.4,112401882749598.14,563569137850547.0,1.9844674545084815,8.288706183034286,8.733395515663865,98.0,8.511050849349076,0.22234466631479047,1.1148086565404263,1.9844674545084815,2.457388781917845,2.546747897002284,98.0,2.5020683394600645,0.04467955754221955,0.22401777539355852,1.9844674545084815,99.0,0.5858585858585859,-0.030822060163814887,-0.003298698680298872,98.0,-0.01706037942205688,0.013761680741758008,0.06899936514661953,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",22,"['nodes_T2W30', 'edges_T2W30', 're_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.02475319522300997,0.08079588638800983,98.0,0.052774540805509904,0.028021345582499933,0.14049556097313842,1.9844674545084815,3.4360685030063647,3.5175552772136247,98.0,3.4768118901099947,0.04074338710363,0.2042823036537255,1.9844674545084815,completed,True,COMPLETE
1,2.870089957314133,2026-06-11 18:08:53.000933,2026-06-11 18:08:54.652086,0 days 00:00:01.651153,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,False,-0.0419739568236915,-0.02711278342234029,98.0,-0.03454337012301589,0.007430586700675605,0.03725604267637112,1.9844674545084815,2.839021191177021,2.901158723451245,98.0,2.870089957314133,0.031068766137111844,0.15577495071838546,1.9844674545084815,797283646346102.8,1018767354489404.2,98.0,908025500417753.5,110741854071650.81,555245959377441.7,1.9844674545084815,8.190704693556423,8.696617201291623,98.0,8.443660947424023,0.25295625386760084,1.2682913703825622,1.9844674545084815,2.5410093966679055,2.618898976894588,98.0,2.5799541867812468,0.03894479011334148,0.19526436080115245,1.9844674545084815,99.0,0.6060606060606061,-0.04897413856272632,-0.019510361106761624,98.0,-0.03424224983474397,0.014731888727982347,0.07386386799084899,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['atd_T2W30', 'density_T2W30', 'asp_T2W30', 'z_diameter_T2W30']",0.04371147066606382,0.10047121221860605,98.0,0.07209134144233494,0.02837987077627112,0.14229316195106376,1.9844674545084815,3.464788749614367,3.546308943568041,98.0,3.505548846591204,0.0407600969768367,0.20436608489124858,1.9844674545084815,completed,False,COMPLETE
2,2.8272809754068398,2026-06-11 18:08:54.664154,2026-06-11 18:09:06.223242,0 days 00:00:11.559088,,,,,,,,,,,,,,,RandomForestRegressor,3.0,sqrt,5.0,12.0,126.0,16,,,,,,,,False,-0.02607557270007606,-0.012182559196584088,98.0,-0.019129065948330075,0.0069465067517459865,0.03482892568513035,1.9844674545084815,2.7973738001073474,2.857188150706332,98.0,2.8272809754068398,0.029907175299492186,0.1499508779281568,1.9844674545084815,781258416635268.2,995974309742735.5,98.0,888616363189001.9,107357946553733.6,538279465616060.2,1.9844674545084815,8.38191748474187,8.872113979863549,98.0,8.62701573230271,0.24509824756083984,1.228892298666023,1.9844674545084815,2.4976387589008815,2.59153073794691,98.0,2.5445847484238957,0.046945989523014,0.23538138502506892,1.9844674545084815,99.0,0.5252525252525253,-0.018519662743952846,0.005686682145247774,98.0,-0.006416490299352536,0.01210317244460031,0.06068380967474747,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",16,"['re_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'atd_T2W30', 'density_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30']",0.06309639920728877,0.11650864410545614,98.0,0.08980252165637245,0.02670612244908369,0.13390119485356256,1.9844674545084815,3.420046884177663,3.4973280202932946,98.0,3.4586874522354787,0.03864056805781597,0.1937390290419898,1.9844674545084815,completed,False,COMPLETE
3,2.8307715732587404,2026-06-11 18:09:06.241146,2026-06-11 18:09:21.246293,0 days 00:00:15.005147,,,,,,5.0,sqrt,4.0,12.0,296.0,,,,,ExtraTreesRegressor,,,,,,21,,,,,,,,False,-0.024997076561995027,-0.015885539356594654,98.0,-0.02044130795929484,0.004555768602700188,0.022842060300627087,1.9844674545084815,2.805370047022471,2.8561730994950096,98.0,2.8307715732587404,0.025401526236269102,0.1273601107995089,1.9844674545084815,794650096970302.2,1014496915731999.8,98.0,904573506351151.0,109923409380848.77,551142378925847.2,1.9844674545084815,8.237154630604572,8.659584129989685,98.0,8.448369380297128,0.2112147496925576,1.0590046311833627,1.9844674545084815,2.499820042031877,2.5705567545528347,98.0,2.5351883982923558,0.03536835626047897,0.17733256380868223,1.9844674545084815,99.0,0.5353535353535354,-0.010634921276003602,0.0037450451203562,98.0,-0.003444938077823701,0.007189983198179901,0.03604968647353598,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",21,"['nodes_T2W30', 'edges_T2W30', 're_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'lcc_T2W30', 'lsc_T2W30', 'atd_T2W30', 'density_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.02574872887347644,0.0806176693423604,98.0,0.053183199107918425,0.027434470234441986,0.13755304056476084,1.9844674545084815,3.4201358528189867,3.488838895589541,98.0,3.454487374204264,0.034351521385277035,0.17223427951009496,1.9844674545084815,completed,False,COMPLETE
4,3.3038908938328677,2026-06-11 18:09:21.258814,2026-06-11 18:09:23.431537,0 days 00:00:02.172723,12.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,3,,,,,,,,True,-0.21344460684115713,-0.17054130848857324,98.0,-0.19199295766486518,0.02145164917629195,0.10755591575532104,1.9844674545084815,3.245200808488667,3.362580979177068,98.0,3.3038908938328677,0.05869008534420056,0.29426482892186595,1.9844674545084815,760269159524390.4,986441798466605.1,98.0,873355478995497.8,113086319471107.38,567000818918679.2,1.9844674545084815,9.678789165003037,10.233291963744756,98.0,9.956040564373897,0.2772513993708598,1.3901042250277766,1.9844674545084815,2.728280246450107,2.9169337987639383,98.0,2.8226070226070226,0.09432677615691576,0.47294278898690956,1.9844674545084815,99.0,1.0,-0.47102074421541834,-0.3809852039141211,98.0,-0.4260029740647697,0.045017770150648624,0.22571353158090973,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",3,"['re_T2W30', 'density_T2W30', 'z_pe_T2W30']",0.030229585812229905,0.08531309054579575,98.0,0.057771338179012824,0.02754175236678292,0.13809093990729088,1.9844674545084815,4.038471527859768,4.164688828050068,98.0,4.101580177954918,0.06310865009514997,0.3164189660796644,1.9844674545084815,completed,True,COMPLETE
5,2.8952506647474223,2026-06-11 18:09:23.445191,2026-06-11 18:09:25.215238,0 days 00:00:01.770047,,,,,,,,,,,,,,,LinearRegression,,,,,,9,,,,,,,,True,-0.052686190007204516,-0.0347134106424565,98.0,-0.04369980032483051,0.008986389682374007,0.04505664639948103,1.9844674545084815,2.8620844495118907,2.928416879982954,98.0,2.8952506647474223,0.033166215235531454,0.16629130107805926,1.9844674545084815,797155940299725.8,1019269469878832.0,98.0,908212705089278.9,111056764789553.14,556824882767750.75,1.9844674545084815,8.421591550064896,8.904344975327696,98.0,8.662968262696296,0.24137671263140034,1.2102329828222016,1.9844674545084815,2.4571856085515797,2.569736808632795,98.0,2.5134612085921875,0.05627560004060761,0.28215889824159396,1.9844674545084815,99.0,0.7373737373737373,-0.07523839074339836,-0.03928236873043468,98.0,-0.05726037973691652,0.017978011006481838,0.0901395236035478,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",9,"['density_T2W30', 'diameter_T2W30', 'asp_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",-0.013695119159137313,0.04698876376977626,98.0,0.016646822305319473,0.030341941464456786,0.15213074170589735,1.9844674545084815,3.499917596927889,3.586202344237121,98.0,3.543059970582505,0.043142373654616366,0.21631052550536767,1.9844674545084815,completed,True,COMPLETE
6,2.842690199871051,2026-06-11 18:09:25.228620,2026-06-11 18:09:26.823739,0 days 00:00:01.595119,,,,2.7293781650374753,0.4722149251619493,,,,,,,,,,ElasticNet,,,,,,4,,,,,,,,True,-0.02755519711983186,-0.022224814139467534,98.0,-0.024890005629649697,0.0026651914901821626,0.013362940491616862,1.9844674545084815,2.8215289358540447,2.8638514638880572,98.0,2.842690199871051,0.02116126401700615,0.10609996048250887,1.9844674545084815,810474097363813.0,1034121620419843.8,98.0,922297858891828.4,111823761528015.33,560670509549574.94,1.9844674545084815,8.032606328245683,8.371181550542195,98.0,8.201893939393939,0.16928761114825616,0.8487871442166076,1.9844674545084815,2.507701932417171,2.560227360512121,98.0,2.533964646464646,0.026262714047474833,0.1316779999701896,1.9844674545084815,99.0,1.0,-0.003353588108895636,-0.0018691280680252064,98.0,-0.002611358088460421,0.0007422300204352147,0.0037214495208708,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",4,"['z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,3.422096112587575,3.4847467609984357,98.0,3.4534214367930054,0.03132532420543027,0.15706130114093955,1.9844674545084815,completed,True,COMPLETE
7,2.93114892374026,2026-06-11 18:09:26.836344,2026-06-11 18:09:33.895683,0 days 00:00:07.059339,,,,,,,,,,,,,,,RandomForestRegressor,14.0,sqrt,3.0,5.0,64.0,17,,,,,,,,False,-0.06688013411161295,-0.046665487356725315,98.0,-0.056772810734169135,0.01010732337744382,0.05067686930558161,1.9844674545084815,2.896207251924992,2.9660905955555283,98.0,2.93114892374026,0.034941671815268034,0.17519322077421134,1.9844674545084815,784569818066558.5,1002409883691975.0,98.0,893489850879266.8,108920032812708.25,546111572914295.7,1.9844674545084815,8.568540410991718,9.120484249069593,98.0,8.844512330030655,0.27597191903893836,1.3836890688941017,1.9844674545084815,2.5783748083944933,2.6891449360869344,98.0,2.633759872240714,0.05538506384622037,0.2776938599075513,1.9844674545084815,99.0,0.7676767676767676,-0.08727639353562781,-0.05188018505126467,98.0,-0.06957828929344624,0.017698104242181576,0.08873610570718878,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",17,"['nodes_T2W30', 're_T2W30', 'pe_T2W30', 'l1_T2W30', 'l2_T2W30', 'l3_T2W30', 'atd_T2W30', 'density_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.04452258270386507,0.09667965671031033,98.0,0.0706011197070877,0.026078537003222626,0.1307545590499667,1.9844674545084815,3.521233145676633,3.6055996196935993,98.0,3.563416382685116,0.04218323700848293,0.21150153299101215,1.9844674545084815,completed,False,COMPLETE
8,2.803142903569973,2026-06-11 18:09:33.933475,2026-06-11 18:09:41.726123,0 days 00:00:07.792648,,,,,,18.0,sqrt,5.0,7.0,134.0,,,,,ExtraTreesRegressor,,,,,,6,,,,,,,,True,-0.014725150859228424,-0.006389813506497795,98.0,-0.01055748218286311,0.004167668676365315,0.020896175271533236,1.9844674545084815,2.779437107073999,2.8268487000659466,98.0,2.803142903569973,0.0237057964959739,0.11885793161542298,1.9844674545084815,793571743764986.1,1012569222102490.9,98.0,903070482933738.5,109498739168752.34,549013135007085.2,1.9844674545084815,8.059362656641543,8.38115212267904,98.0,8.220257389660292,0.16089473301874832,0.8067062913356237,1.9844674545084815,2.433967835498317,2.5003087101275123,98.0,2.4671382728129148,0.03317043731459773,0.16631247006029612,1.9844674545084815,99.0,0.29292929292929293,0.009302479371509752,0.022055978340336648,98.0,0.0156792288559232,0.006376749484413448,0.031972233216286186,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",6,"['re_T2W30', 'l1_T2W30', 'z_re_T2W30', 'z_pe_T2W30', 'z_l2_T2W30', 'z_density_T2W30']",0.09715975893491641,0.1542947964460581,98.0,0.12572727769048725,0.028567518755570835,0.14323400571031758,1.9844674545084815,3.388807664496867,3.4536203900000926,98.0,3.42121402724848,0.032406362751612815,0.16248149470489012,1.9844674545084815,completed,True,COMPLETE
9,2.775843541800988,2026-06-11 18:09:41.743826,2026-06-11 18:09:43.897969,0 days 00:00:02.154143,,,,,,,,,,,,,,5.18260989109199,QuantileRegressor,,,,,,8,,,,,,,,False,-0.0011921229762182559,-5.3948525937446215e-05,98.0,-0.000623035751077851,0.0005690872251404048,0.0028533329601659607,1.9844674545084815,2.753966520212264,2.797720563389712,98.0,2.775843541800988,0.021877021588723955,0.10968868041971515,1.9844674545084815,723290170390649.0,922125554202054.2,98.0,822707862296351.6,99417691905702.67,498468010889154.5,1.9844674545084815,8.631891612753979,8.964067983205616,98.0,8.797979797979798,0.16608818522581809,0.8327456183576328,1.9844674545084815,2.3349805958059435,2.533706272880925,98.0,2.4343434343434343,0.09936283853749082,0.49819298288539576,1.9844674545084815,99.0,1.0,-0.026454705387593716,-0.022577342390407006,98.0,-0.02451602388900036,0.0019386814985933548,0.009720309251074085,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",8,"['z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,3.4578292060769256,3.5247731115997807,98.0,3.491301158838353,0.03347195276142776,0.16782423121822237,1.9844674545084815,completed,False,COMPLETE
