subject,pe_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,0.26978443947661646,0.0,0.0,2,5.3720783860102745
CDMS-10-5A-HEPIHO,-0.1831156589343177,0.0,0.0,7,4.91917828759934
CDMS-10-5A-KSRAGU,-0.102794333196079,0.0,0.0,5,4.999499613337579
CDMS-10-5A-SROPU,0.13166635486085365,0.0,0.0,6,5.233960301394512
CDMS-10-5A-SZURO,-0.19447706705685963,0.0,0.0,5,4.9078168794767985
CDMS-10-5B-SRAJA,-0.051076932729452906,0.0,0.0,13,5.051217013804205
CDMS-10-5C-DAAUSA,0.04528500083476317,0.0,0.0,8,5.147578947368421
CDMS-10-5C-ICAPA,-0.13045800215766779,0.0,0.0,7,4.97183594437599
CDMS-10-5C-JFALGI,-0.28650447284944747,0.0,0.0,10,4.815789473684211
CDMS-10-5C-NBEMO,0.13040756248364005,0.0,0.0,5,5.232701509017298
CDMS-10-6B-ASCACO,0.7988496738177755,0.0,0.0,6,5.901143620351434
CDMS-10-6B-JJMOBE,-0.28650447284944747,0.0,0.0,1,4.815789473684211
CDMS-11-5A-EAARCA,0.10735767539866536,0.0,0.0,8,5.2096516219323235
CDMS-11-5A-MGTHAR,-0.13864021410405325,0.0,0.0,9,4.963653732429605
CDMS-11-6A-DFVEBE,0.05185891814552246,0.0,0.0,1,5.1541528646791805
CDMS-11-6A-NMREPR,-0.2327356514874861,0.0,0.0,8,4.869558295046172
CDMS-11-6B-ARAHE,0.030308392647628857,0.0,0.0,5,5.132602339181287
CDMS-11-6B-AVROTO,-0.10494362890092734,0.0,0.0,8,4.997350317632731
CDMS-11-6B-EAFESA,-0.16566040463695852,0.0,0.0,0,4.9366335418967
CDMS-11-6B-EFRGR,-0.11383449497057097,0.0,0.0,3,4.988459451563087
CDMS-11-6B-EROCO,-0.014317595399411687,0.0,0.0,6,5.087976351134246
CDMS-11-6B-JACUPE,0.32939746147353954,0.0,0.0,9,5.431691408007198
CDMS-11-6B-JDCHBA,-0.1806540205077667,0.0,0.0,3,4.921639926025891
CDMS-11-6B-JFSAHE,-0.08711176029884005,0.0,0.0,3,5.015182186234818
CDMS-11-6B-JLPENA,-0.1596182012263334,0.0,0.0,4,4.942675745307325
CDMS-11-6B-JMARME,0.053636036795706055,0.0,0.0,5,5.155929983329364
CDMS-11-6B-JPSAMA,-0.049725626695601655,0.0,0.0,0,5.052568319838056
CDMS-11-6B-LESTA,-0.13920535186611627,0.0,0.0,8,4.963088594667542
CDMS-11-6B-MEBRTA,0.033242399529004096,0.0,0.0,8,5.135536346062662
CDMS-11-6B-MMAMO,0.011066377352981327,0.0,0.0,2,5.113360323886639
