number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.7514813017518263,2026-06-11 16:47:36.370278,2026-06-11 16:47:38.078757,0 days 00:00:01.708479,,,,0.3470266988650412,0.020584494295802447,,,,,,,,,,ElasticNet,,,,,,9,,,,,,,,True,-0.030502479015099494,-0.02101458879834973,98.0,-0.025758533906724612,0.004743945108374881,0.023785554025755055,1.9844674545084815,1.7303343047348063,1.7726282987688462,98.0,1.7514813017518263,0.021146997017019834,0.10602842750916969,1.9844674545084815,0.26158754341747936,0.2799747498455628,98.0,0.2707811466315211,0.00919360321404174,0.04609558941837249,1.9844674545084815,5.79999995522631,6.032141490849288,98.0,5.916070723037799,0.11607076781148878,0.5819644737703971,1.9844674545084815,1.4088730149978497,1.4592336753432058,98.0,1.4340533451705277,0.02518033017267801,0.12625106109496192,1.9844674545084815,99.0,0.6464646464646465,-0.024168821574821666,-0.009121395443009658,98.0,-0.016645108508915662,0.007523713065906003,0.03772296675344347,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",9,"['z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.03323134375843137,0.07993820307220088,98.0,0.05658477341531613,0.02335342965688476,0.11709120786618668,1.9844674545084815,2.216678450298214,2.2816467982863187,98.0,2.2491626242922664,0.03248417399405245,0.1628716306505173,1.9844674545084815,completed,True,COMPLETE
1,1.7350917199689164,2026-06-11 16:47:38.098125,2026-06-11 16:47:39.832484,0 days 00:00:01.734359,,,,,,,,,,,,,,,LinearRegression,,,,,,3,,,,,,,,False,-0.02235247758994951,-0.010328585359277977,98.0,-0.016340531474613743,0.006011946115335767,0.03014315424388064,1.9844674545084815,1.7142326519527347,1.7559507879850982,98.0,1.7350917199689164,0.02085906801618165,0.10458478711102764,1.9844674545084815,0.259446361490016,0.27775007993962986,98.0,0.2685982207148229,0.009151859224806958,0.04588629021939111,1.9844674545084815,5.827698241299796,6.041646738771284,98.0,5.93467249003554,0.10697424873574432,0.5363556522137432,1.9844674545084815,1.3957883489332936,1.44953576339299,98.0,1.4226620561631418,0.026873707229848172,0.13474144421684692,1.9844674545084815,99.0,0.494949494949495,-0.024099569217497594,-0.0008166180254436002,98.0,-0.012458093621470597,0.011641475596026997,0.05836891878027349,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",3,"['z_pe_T2W30', 'z_l2_T2W30', 'z_diameter_T2W30']",0.10130860827367033,0.148095493690305,98.0,0.12470205098198767,0.02339344270831733,0.11729182835711617,1.9844674545084815,2.211413987262176,2.2752434810001216,98.0,2.2433287341311487,0.031914746868973026,0.16001659347409708,1.9844674545084815,completed,False,COMPLETE
2,1.7508909506244945,2026-06-11 16:47:39.849773,2026-06-11 16:47:50.886622,0 days 00:00:11.036849,,,,,,,,,,,,,,,RandomForestRegressor,3.0,sqrt,5.0,12.0,126.0,7,,,,,,,,False,-0.03174093721233722,-0.019274575553362334,98.0,-0.025507756382849776,0.006233180829487443,0.03125239773755795,1.9844674545084815,1.7291088152022325,1.7726730860467566,98.0,1.7508909506244945,0.02178213542226202,0.10921293291692621,1.9844674545084815,0.26032996128724056,0.2787753371293466,98.0,0.2695526492082936,0.009222687921053014,0.04624141654202926,1.9844674545084815,5.769826294538479,6.0247798519434905,98.0,5.897303073240985,0.12747677870250607,0.6391528016428459,1.9844674545084815,1.3516661644373298,1.4211640644520855,98.0,1.3864151144447077,0.03474895000737799,0.17422693746595438,1.9844674545084815,99.0,0.5656565656565656,-0.0254125992668344,-0.00398854228189241,98.0,-0.014700570774363405,0.010712028492470995,0.053708785960295276,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",7,"['z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.041139590868551054,0.09631779390496946,98.0,0.06872869238676026,0.0275891015182092,0.13832834269623445,1.9844674545084815,2.2133168975216257,2.2796678980341394,98.0,2.2464923977778826,0.03317550025625667,0.16633785502357182,1.9844674545084815,completed,False,COMPLETE
3,1.7395541816898648,2026-06-11 16:47:50.899398,2026-06-11 16:48:05.653413,0 days 00:00:14.754015,,,,,,5.0,sqrt,4.0,12.0,296.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,False,-0.022749949126456222,-0.014725513761493617,98.0,-0.01873773144397492,0.004012217682481302,0.020116763214918575,1.9844674545084815,1.7188053350674908,1.7603030283122387,98.0,1.7395541816898648,0.020748846622373963,0.10403215067504137,1.9844674545084815,0.25961631717886713,0.277848279630706,98.0,0.2687322984047866,0.009115981225919431,0.04570640237048479,1.9844674545084815,5.812878919107155,6.068792759996247,98.0,5.940835839551701,0.12795692044454554,0.6415601729518305,1.9844674545084815,1.3144495170157309,1.369292062193931,98.0,1.341870789604831,0.027421272589100067,0.13748686920334713,1.9844674545084815,99.0,0.6565656565656566,-0.017338233877112266,-0.004152558871955968,98.0,-0.010745396374534118,0.00659283750257815,0.03305567181284608,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.0254951546143617,0.07428527682122416,98.0,0.04989021571779293,0.02439506110343123,0.12231381910656923,1.9844674545084815,2.2104502547278133,2.2751483798073857,98.0,2.2427993172675995,0.03234906253978606,0.16219419852988037,1.9844674545084815,completed,False,COMPLETE
4,2.0790428772698277,2026-06-11 16:48:05.665604,2026-06-11 16:48:07.318812,0 days 00:00:01.653208,12.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,2,,,,,,,,True,-0.23967149054664724,-0.19904000039793726,98.0,-0.21935574547229225,0.020315745074354984,0.10186063308078057,1.9844674545084815,2.0438706965290803,2.114215058010575,98.0,2.0790428772698277,0.035172180740747384,0.17634896401641886,1.9844674545084815,0.3009044169193998,0.32076874375160397,98.0,0.3108365803355019,0.009932163416102107,0.0497986389238077,1.9844674545084815,6.67439112790973,7.087481567296298,98.0,6.880936347603014,0.20654521969328415,1.0355921853107228,1.9844674545084815,1.6945360703022874,1.8090634166305333,98.0,1.7517997434664103,0.05726367316412303,0.2871129746745786,1.9844674545084815,99.0,0.98989898989899,-0.42686771035826204,-0.34360088420157714,98.0,-0.3852342972799196,0.04163341307834244,0.2087447838094244,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",2,"['z_l3_T2W30', 'z_asp_T2W30']",-0.00011513934971887213,0.05378031304207988,98.0,0.026832586846180503,0.026947726195899375,0.1351125661577044,1.9844674545084815,2.5718362117232574,2.653632749148597,98.0,2.612734480435927,0.04089826871266996,0.20505886088515551,1.9844674545084815,completed,True,COMPLETE
5,1.749910449202079,2026-06-11 16:48:07.331080,2026-06-11 16:48:09.109340,0 days 00:00:01.778260,,,,,,,,,,,,,,,LinearRegression,,,,,,4,,,,,,,,True,-0.0316489120493399,-0.01866643155275516,98.0,-0.02515767180104753,0.0064912402482923725,0.032546275745759086,1.9844674545084815,1.7292009496213487,1.7706199487828091,98.0,1.749910449202079,0.020709499580730192,0.10383486947481851,1.9844674545084815,0.2617433013028652,0.27985281630143694,98.0,0.2707980588021511,0.009054757499285861,0.0453994341775076,1.9844674545084815,5.838355657195273,6.04700498329603,98.0,5.9426803202456515,0.10432466305037867,0.523070957297296,1.9844674545084815,1.4211567672649095,1.474888842420001,98.0,1.4480228048424553,0.02686603757754577,0.13470298952881196,1.9844674545084815,99.0,0.5959595959595959,-0.04008022047655954,-0.016100087204450025,98.0,-0.028090153840504783,0.011990066636054758,0.06011671114002,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['z_pe_T2W30', 'z_l2_T2W30', 'z_lsc_T2W30', 'z_diameter_T2W30']",0.05187752774921431,0.09723260514467064,98.0,0.07455506644694247,0.022677538697728164,0.11370237419352097,1.9844674545084815,2.228953584971663,2.2913521603313436,98.0,2.260152872651503,0.031199287679840326,0.15642936959026754,1.9844674545084815,completed,True,COMPLETE
6,1.7315374489576618,2026-06-11 16:48:09.122822,2026-06-11 16:48:10.729276,0 days 00:00:01.606454,,,,2.7293781650374753,0.4722149251619493,,,,,,,,,,ElasticNet,,,,,,2,,,,,,,,True,-0.014287447729857438,-0.01332426360814942,98.0,-0.01380585566900343,0.000481592060854009,0.0024146430281403123,1.9844674545084815,1.7107080928548595,1.7523668050604642,98.0,1.7315374489576618,0.020829356102802288,0.10443581525221633,1.9844674545084815,0.2574208198595858,0.275705751903954,98.0,0.2665632858817699,0.009142466022184128,0.04583919386322423,1.9844674545084815,5.818692730126622,6.091534542600651,98.0,5.955113636363636,0.1364209062370148,0.68399755086006,1.9844674545084815,1.2135022006041323,1.2303109307089992,98.0,1.2219065656565657,0.008404365052433563,0.042138446891790915,1.9844674545084815,99.0,1.0,-0.006447825628203835,-0.003645824529835433,98.0,-0.005046825079019634,0.0014010005491842008,0.0070244434729871625,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",2,"['z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,2.204547475458181,2.26980500127433,98.0,2.2371762383662555,0.03262876290807442,0.1635965815821635,1.9844674545084815,completed,True,COMPLETE
7,1.8079828829387432,2026-06-11 16:48:10.746796,2026-06-11 16:48:17.383859,0 days 00:00:06.637063,,,,,,,,,,,,,,,RandomForestRegressor,14.0,sqrt,3.0,5.0,64.0,8,,,,,,,,False,-0.06865928951741282,-0.04970501447710726,98.0,-0.05918215199726004,0.009477137520152779,0.04751719536070376,1.9844674545084815,1.7836149153157803,1.832350850561706,98.0,1.8079828829387432,0.024367967622962863,0.12217797574651676,1.9844674545084815,0.26753776056948847,0.2861948508593382,98.0,0.27686630571441334,0.009328545144924885,0.04677217156973306,1.9844674545084815,5.912307955005394,6.20708117474957,98.0,6.059694564877482,0.14738660987208796,0.7389782326099382,1.9844674545084815,1.434697409296736,1.5031250079374456,98.0,1.4689112086170908,0.034213799320354954,0.1715437581105198,1.9844674545084815,99.0,0.7575757575757576,-0.0783741843853741,-0.04615031921271255,98.0,-0.06226225179904332,0.016111932586330768,0.08078323720798199,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",8,"['z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.0035387830705061914,0.053302750041473265,98.0,0.028420766555989727,0.024881983485483535,0.12475518770592513,1.9844674545084815,2.262807890434258,2.330788338981773,98.0,2.2967981147080154,0.03399022427375751,0.17042278047941983,1.9844674545084815,completed,False,COMPLETE
8,1.7283125195458329,2026-06-11 16:48:17.396126,2026-06-11 16:48:25.046140,0 days 00:00:07.650014,,,,,,18.0,sqrt,5.0,7.0,134.0,,,,,ExtraTreesRegressor,,,,,,3,,,,,,,,True,-0.014037015113023516,-0.009903824884688784,98.0,-0.01197041999885615,0.0020665951141673653,0.010361652298761148,1.9844674545084815,1.7074950469698582,1.7491299921218075,98.0,1.7283125195458329,0.0208174725759746,0.10437623271849827,1.9844674545084815,0.2575343608694759,0.2759368917719933,98.0,0.2667356263207346,0.0092012654512587,0.046134006928086176,1.9844674545084815,5.797209590799638,6.061307376297967,98.0,5.929258483548803,0.13204889274916476,0.6620768159778195,1.9844674545084815,1.288438388182711,1.3331973282535885,98.0,1.3108178582181498,0.02237947003543879,0.11220789478697127,1.9844674545084815,99.0,0.3434343434343434,0.0005567477830569077,0.006883545131491961,98.0,0.003720146457274434,0.0031633986742175264,0.015860889692372246,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",3,"['z_l3_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.07911351403323724,0.1278412675072787,98.0,0.10347739077025797,0.02436387673702073,0.12215746455037792,1.9844674545084815,2.1948021675782043,2.2597221147790747,98.0,2.2272621411786395,0.03245997360043516,0.16275029287010911,1.9844674545084815,completed,True,COMPLETE
9,1.7079303675048356,2026-06-11 16:48:25.064974,2026-06-11 16:48:27.284887,0 days 00:00:02.219913,,,,,,,,,,,,,,5.18260989109199,QuantileRegressor,,,,,,4,,,,,,,,False,0.0,0.0,98.0,0.0,0.0,0.0,1.9844674545084815,1.6874905981416963,1.728370136867975,98.0,1.7079303675048356,0.020439769363139366,0.1024824755249899,1.9844674545084815,0.24769877534444404,0.26502057064376067,98.0,0.25635967299410234,0.008660897649658312,0.04342466960543163,1.9844674545084815,5.777847217965754,6.080738640620104,98.0,5.929292929292929,0.15144571132717455,0.7593300652619515,1.9844674545084815,1.0,1.0,98.0,1.0,0.0,0.0,1.9844674545084815,99.0,0.9696969696969697,-0.017081892832884867,-0.011545748963829566,98.0,-0.014313820898357216,0.002768071934527651,0.013878770314953832,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",4,"['z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,2.2153886891578116,2.278487658939916,98.0,2.246938174048864,0.03154948489105226,0.15818521509367467,1.9844674545084815,completed,False,COMPLETE
