number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.097715965789122,2026-06-13 10:10:22.896374,2026-06-13 10:10:24.531165,0 days 00:00:01.634791,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,8,,,,,,,,False,,,,,,,,,-0.08633879918091712,-0.06551331335182266,98.0,-0.07592605626636989,0.010412742914547227,0.052208205089267094,1.9844674545084815,1.0831608807470512,1.1122710508311928,98.0,1.097715965789122,0.014555085042070821,0.07297739617738362,1.9844674545084815,239733578888469.38,346953079453185.1,98.0,293343329170827.25,53609750282357.88,268792657275303.22,1.9844674545084815,3.1557192433520385,3.246155408693917,98.0,3.2009373260229776,0.04521808267093908,0.22671787378229666,1.9844674545084815,1.0051049022766887,1.0338756169579097,98.0,1.0194902596172992,0.014385357340610487,0.07212640247477416,1.9844674545084815,99.0,0.6464646464646465,-0.0688706047425538,-0.03340282469131433,98.0,-0.05113671471693406,0.01773389002561973,0.08891553119923748,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",8,"['z_re_T2W30', 'z_pe_T2W30', 'z_l1_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",0.00017824520990929182,0.056374035887516126,98.0,0.02827614054871271,0.028097895338803417,0.14087937198330389,1.9844674545084815,1.3504291199656662,1.384417718663488,98.0,1.3674234193145771,0.016994299348910846,0.08520731502136727,1.9844674545084815,completed,False,COMPLETE
1,1.3743649938500269,2026-06-13 10:10:24.567324,2026-06-13 10:10:32.805934,0 days 00:00:08.238610,,,,,,,,,,,,,,,XGBRegressor,,,,,,2,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.3712146678323108,-0.3264945843796094,98.0,-0.3488546261059601,0.022360041726350723,0.11211048364816456,1.9844674545084815,1.3526322268306372,1.3960977608694165,98.0,1.3743649938500269,0.02173276701938963,0.10896540585097987,1.9844674545084815,232221063944133.25,343355540822291.5,98.0,287788302383212.4,55567238439079.11,278607260784157.53,1.9844674545084815,4.0338871335864175,4.269419294376585,98.0,4.1516532139815014,0.11776608039508409,0.5904645613823851,1.9844674545084815,1.1416496912222076,1.2050724660923628,98.0,1.1733610786572852,0.03171138743507769,0.15899697442474822,1.9844674545084815,99.0,1.0,-0.6903308636368122,-0.5902002822665202,98.0,-0.6402655729516662,0.05006529068514598,0.25102117524597795,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",2,"['z_diameter_T2W30', 'z_asp_T2W30']",-0.025171363068520185,0.017761142180429783,98.0,-0.003705110444045201,0.021466252624474984,0.10762913563830549,1.9844674545084815,1.6784223157381624,1.7257576140047453,98.0,1.7020899648714538,0.023667649133291353,0.11866666545713125,1.9844674545084815,completed,False,COMPLETE
2,1.0252793896410919,2026-06-13 10:10:32.819508,2026-06-13 10:10:34.621586,0 days 00:00:01.802078,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,True,,,,,,,,,-0.0054689517160101215,-0.003956499775436555,98.0,-0.004712725745723338,0.0007562259702867834,0.0037916234823587923,1.9844674545084815,1.015002632713697,1.0355561465684868,98.0,1.0252793896410919,0.01027675692739487,0.05152638816890521,1.9844674545084815,234005775143992.12,337727794571837.6,98.0,285866784857914.9,51861009713922.734,260024688355487.28,1.9844674545084815,2.9824193499749483,3.0221261045705057,98.0,3.002272727272727,0.01985337729777866,0.0995423782362822,1.9844674545084815,1.0025463229174085,1.0095748892038037,98.0,1.006060606060606,0.0035142831431975623,0.01762018102122619,1.9844674545084815,99.0,1.0,-0.0044599973303533595,-0.002586511906912857,98.0,-0.0035232546186331083,0.000936742711720251,0.004696712096967546,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,1.323557059402904,1.3516975355953957,98.0,1.3376272974991499,0.014070238096245795,0.07054643355857412,1.9844674545084815,completed,True,COMPLETE
3,1.08086262304564,2026-06-13 10:10:34.640789,2026-06-13 10:10:40.499459,0 days 00:00:05.858670,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,False,,,,,,,,,-0.06712620784810412,-0.05158121526212999,98.0,-0.05935371155511705,0.007772496292987064,0.03897033508365279,1.9844674545084815,1.0679283028340847,1.0937969432571952,98.0,1.08086262304564,0.012934320211555363,0.06485108177901247,1.9844674545084815,230071020827425.6,331164042933812.75,98.0,280617531880619.16,50546511053193.57,253433954652359.16,1.9844674545084815,3.1175874631250844,3.1893971741574862,98.0,3.1534923186412853,0.0359048555162009,0.1800225047207774,1.9844674545084815,0.9788264761228819,1.0030746073481855,98.0,0.9909505417355337,0.012124065612651799,0.06078856543521791,1.9844674545084815,99.0,0.7474747474747475,-0.054186788592416796,-0.030079202746503858,98.0,-0.04213299566946033,0.012053792922956467,0.06043622686065628,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['z_re_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_asp_T2W30']",0.0051776828870357255,0.0545041738478638,98.0,0.029840928367449764,0.02466324548041404,0.12365846240278419,1.9844674545084815,1.3470930807242372,1.3773052342044214,98.0,1.3621991574643293,0.015106076740092105,0.07574000040269206,1.9844674545084815,completed,False,COMPLETE
4,1.4908661078873846,2026-06-13 10:10:40.512735,2026-06-13 10:10:42.471517,0 days 00:00:01.958782,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,4,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.49071958328291526,-0.43583421881299494,98.0,-0.4632769010479551,0.027442682234960165,0.1375942145196702,1.9844674545084815,1.4643080357671339,1.5174241800076353,98.0,1.4908661078873846,0.02655807212025067,0.13315888881617358,1.9844674545084815,227655319096754.94,337593376880974.44,98.0,282624347988864.7,54969028892109.74,275607912104291.25,1.9844674545084815,4.370902704553509,4.699804366153562,98.0,4.5353535353535355,0.16445083080002695,0.8245361257804085,1.9844674545084815,1.1129754801157825,1.2708629037226011,98.0,1.1919191919191918,0.07894371180340921,0.39581400694934926,1.9844674545084815,99.0,1.0,-1.070738139985438,-0.9450957430544908,98.0,-1.0079169415199645,0.06282119846547368,0.31497771916148515,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",4,"['z_re_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_asp_T2W30']",-0.0283874708171606,0.017715197207421533,98.0,-0.005336136804869536,0.023051334012291067,0.1155765376684343,1.9844674545084815,1.8555679217728018,1.9110822868944464,98.0,1.883325104333624,0.027757182560822276,0.13917108025504826,1.9844674545084815,completed,True,COMPLETE
5,1.1447038703325136,2026-06-13 10:10:42.498864,2026-06-13 10:11:09.805359,0 days 00:00:27.306495,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,4,,,,,,,,False,,,,,,,,,-0.13393610466403244,-0.11059867994462047,98.0,-0.12226739230432646,0.01166871235970599,0.05850548054462226,1.9844674545084815,1.1297406650794384,1.159667075585589,98.0,1.1447038703325136,0.014963205253075313,0.07502366043763248,1.9844674545084815,245217819534496.0,354510239608225.1,98.0,299864029571360.56,54646210036864.57,273989338291451.16,1.9844674545084815,3.3883354147629947,3.512615894191048,98.0,3.4504756544770214,0.0621402397140268,0.3115634762050782,1.9844674545084815,0.9806864326967057,1.0241260733515987,98.0,1.0024062530241522,0.021719820327446508,0.10890049273886897,1.9844674545084815,99.0,0.9090909090909091,-0.16914143899047154,-0.12839101805364264,98.0,-0.1487662285220571,0.02037521046841444,0.10215878521170786,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",4,"['z_re_T2W30', 'z_pe_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30']",-0.01820802743364396,0.032317913320323084,98.0,0.007054942943339563,0.025262970376983523,0.12666540885812178,1.9844674545084815,1.4114613176648008,1.4466286429727457,98.0,1.4290449803187733,0.017583662653972574,0.08816230973844263,1.9844674545084815,completed,False,COMPLETE
6,1.0252793896410919,2026-06-13 10:11:09.817914,2026-06-13 10:11:11.776874,0 days 00:00:01.958960,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,8,,,,,,,,False,,,,,,,,,-0.0054689517160101215,-0.003956499775436555,98.0,-0.004712725745723338,0.0007562259702867834,0.0037916234823587923,1.9844674545084815,1.015002632713697,1.0355561465684868,98.0,1.0252793896410919,0.01027675692739487,0.05152638816890521,1.9844674545084815,234005775143992.12,337727794571837.6,98.0,285866784857914.9,51861009713922.734,260024688355487.28,1.9844674545084815,2.9824193499749483,3.0221261045705057,98.0,3.002272727272727,0.01985337729777866,0.0995423782362822,1.9844674545084815,1.0025463229174085,1.0095748892038037,98.0,1.006060606060606,0.0035142831431975623,0.01762018102122619,1.9844674545084815,99.0,1.0,-0.0044599973303533595,-0.002586511906912857,98.0,-0.0035232546186331083,0.000936742711720251,0.004696712096967546,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",8,"['z_pe_T2W30', 'z_l1_T2W30', 'z_l2_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_density_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,1.323557059402904,1.3516975355953957,98.0,1.3376272974991499,0.014070238096245795,0.07054643355857412,1.9844674545084815,completed,False,COMPLETE
7,1.1733861531607113,2026-06-13 10:11:11.789161,2026-06-13 10:11:13.767714,0 days 00:00:01.978553,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,6,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.1652706765976261,-0.13610414983716942,98.0,-0.15068741321739776,0.014583263380228343,0.07311867887971053,1.9844674545084815,1.1565761944319801,1.1901961118894424,98.0,1.1733861531607113,0.016809958728731204,0.08428305395167585,1.9844674545084815,242622304592155.75,351267900019972.6,98.0,296945102306064.2,54322797713908.445,272367788904910.5,1.9844674545084815,3.57096848500075,3.750391003009,98.0,3.660679744004875,0.08971125900412494,0.4498011568460366,1.9844674545084815,0.9760512752802605,1.026691602936971,98.0,1.0013714391086157,0.02532016382835525,0.12695216974941453,1.9844674545084815,99.0,0.9494949494949495,-0.23455883821054646,-0.1806529782579095,98.0,-0.20760590823422798,0.026952929976318474,0.1351386572691041,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",6,"['z_re_T2W30', 'z_l1_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",-0.04311560053831533,0.00995561551613151,98.0,-0.016579992511091907,0.026535608027223417,0.13304625663217212,1.9844674545084815,1.4448187749672659,1.48296053725446,98.0,1.463889656110863,0.019070881143597045,0.09561903930106247,1.9844674545084815,completed,True,COMPLETE
8,1.0204169353105523,2026-06-13 10:11:13.780063,2026-06-13 10:11:16.641009,0 days 00:00:02.860946,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,2,,,,,,,,False,,,,,,,,,-2.8746563529297255e-17,-2.6536836318182855e-18,98.0,-1.570012358055777e-17,1.3046439948739483e-17,6.541323627389446e-17,1.9844674545084815,1.01043877742961,1.0303950931914947,98.0,1.0204169353105523,0.009978157880942364,0.050029249481761316,1.9844674545084815,233086797526571.25,336033464861964.1,98.0,284560131194267.7,51473333667696.43,258080928608830.8,1.9844674545084815,2.969853864095874,3.009944115702106,98.0,2.98989898989899,0.02004512580311598,0.10050378152592122,1.9844674545084815,1.0,1.0,98.0,1.0,5.061258929250186e-17,2.5376526277146434e-16,1.9844674545084815,99.0,0.9292929292929293,-0.0029192784860056177,-0.0017505042779152114,98.0,-0.0023348913819604146,0.0005843871040452032,0.002930044660652364,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",2,"['z_diameter_T2W30', 'z_asp_T2W30']",,,,,,,,1.3228306945049204,1.3508119442221607,98.0,1.3368213193635405,0.013990624858620215,0.0701472626319617,1.9844674545084815,completed,False,COMPLETE
9,1.1148606565088741,2026-06-13 10:11:16.713117,2026-06-13 10:11:19.496200,0 days 00:00:02.783083,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,6,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.09977513909755388,-0.08560697262857604,98.0,-0.09269105586306496,0.007084083234488915,0.03551871715366534,1.9844674545084815,1.1021973479428953,1.127523965074853,98.0,1.1148606565088741,0.012663308565978797,0.06349226290775482,1.9844674545084815,245904250141361.2,353650524923659.06,98.0,299777387532510.1,53873137391148.92,270113247662147.47,1.9844674545084815,3.2904250847558085,3.391305188303707,98.0,3.3408651365297577,0.050440051773949335,0.2529001809934826,1.9844674545084815,0.9794110727847337,1.013552930496775,98.0,0.9964820016407543,0.017070928856020604,0.08559152589221156,1.9844674545084815,99.0,0.9494949494949495,-0.10463131770480873,-0.08046376015175054,98.0,-0.09254753892827963,0.0120837787765291,0.06058657222171476,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",6,"['z_re_T2W30', 'z_l1_T2W30', 'z_l3_T2W30', 'z_lsc_T2W30', 'z_diameter_T2W30', 'z_asp_T2W30']",-0.1007839640457972,-0.054316194544005963,98.0,-0.07755007929490158,0.02323388475089562,0.11649182449328704,1.9844674545084815,1.379295871590398,1.4105214051575503,98.0,1.3949086383739742,0.015612766783576074,0.07828048161153318,1.9844674545084815,completed,True,COMPLETE
