subject,pe_T2W40,lsc_T2W40,y_true,y_pred
CDMS-10-4A-JURAN,-0.9025711007804398,-0.748153089894731,2,3.9067450432646535
CDMS-10-5A-HEPIHO,-0.596360316869976,1.2855443570344065,7,6.2466532741042515
CDMS-10-5A-KSRAGU,-0.4341878145136701,0.8100168908329417,5,5.933298310259093
CDMS-10-5A-SROPU,0.12322855236872066,-0.4962419280781739,6,5.18445585823037
CDMS-10-5A-SZURO,0.5115582551528735,0.5054831495926536,5,6.574510638685349
CDMS-10-5B-SRAJA,0.38881379305412694,1.4181933281686852,13,7.364476355162629
CDMS-10-5C-DAAUSA,0.5596578081973225,0.0022934008271270545,8,6.119420442964273
CDMS-10-5C-ICAPA,0.2156631227157911,-0.31017985889919303,7,5.462952497756418
CDMS-10-5C-JFALGI,-0.016381750807108034,1.4431386303140141,10,6.984226113446727
CDMS-10-5C-NBEMO,-0.6608206254754188,-0.7739275248148327,5,4.122721083649573
CDMS-10-6B-ASCACO,2.065891273239545,0.17445450460623793,6,7.797815011785596
CDMS-10-6B-JJMOBE,-0.5411625604459323,0.6614389950473929,1,5.677745668541281
CDMS-11-5A-EAARCA,0.4004880997323663,0.46630879171850514,8,6.424266125390694
CDMS-11-5A-MGTHAR,-0.401969339640968,0.9861206311451988,9,6.141620525444053
CDMS-11-6A-DFVEBE,-0.5830564434732088,-0.4406461454952711,1,4.533766644971343
CDMS-11-6A-NMREPR,0.8653499449495531,1.328104231290093,8,7.750923410179466
CDMS-11-6B-ARAHE,-0.06910517325789568,0.7014260089402922,5,6.18979006962222
CDMS-11-6B-AVROTO,-0.426906672640705,-0.7675887522468767,8,4.362973809052243
CDMS-11-6B-EAFESA,-1.5953347201722554,1.0741884769671892,0,5.036322990734755
CDMS-11-6B-EFRGR,-0.8978480475484028,0.9747197087337881,3,5.6343408951252085
CDMS-11-6B-EROCO,0.10688866820305423,-0.9948675703976407,6,4.6694903317452345
CDMS-11-6B-JACUPE,-0.13358432229185396,0.28873792303368906,9,5.71262283468166
CDMS-11-6B-JDCHBA,-0.7224359724926502,-0.5873969834187361,3,4.247636278028434
CDMS-11-6B-JFSAHE,-0.5208670213666996,-0.508585276713048,3,4.528016935860074
CDMS-11-6B-JLPENA,-0.271003250106953,0.33380323496576075,4,5.620269218798633
CDMS-11-6B-JMARME,0.08432314789311596,-0.64380732244361,5,4.997985059389329
CDMS-11-6B-JPSAMA,-0.5522207490009793,-1.8214098759848885,0,3.1838386089539505
CDMS-11-6B-LESTA,0.25463953816391294,0.08905025405528993,8,5.901159026159027
CDMS-11-6B-MEBRTA,0.4071533745593221,-0.27761444600078544,8,5.68700816249836
CDMS-11-6B-MMAMO,-0.183671694000615,-1.0883343829074235,2,4.285463157031785
CDMS-11-6B-RSECA,-0.33606562485142455,-0.9652190091610049,1,4.256184599927392
CDMS-11-6B-SCAPA,-0.45881025318622193,-0.6031254046608561,5,4.495533576092743
CDMS-11-6B-VZAPE,0.4383218269224697,-0.7108742710435405,8,5.2849167898187535
CDMS-11-6B-YLNIME,-0.4373455068711048,-2.1104247040190613,0,3.0096990230496576
CDMS-11-7C-ICARE,1.5154311524892663,1.285679622886214,7,8.3585800093153
CDMS-11-7C-SALMA,-1.3891737340811552,1.1824132140853394,7,5.350708713944009
CDMS-11-7C-SPGAVE,0.13620391322246841,-0.14324240506488248,5,5.550430742097409
