split,subject,set
0,CSO-10-4A-KCOMO,TRAIN
0,CSO-17-11A-DJAPA,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CSO-12-6A-FJOVRE,TRAIN
0,CDMS-9-5A-ABERO,TRAIN
0,CSO-9-4A-MPAME,TRAIN
0,CDMS-12-7C-VQURA,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CDMS-9-5C-MLOGO,TRAIN
0,CSO-14-9A-MARJA,TRAIN
0,CDMS-11-6B-JLPENA,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CSO-14-8A-SZARA,TRAIN
0,CSO-12-7A-JHEZA,TRAIN
0,CSO-12-8A-YTOME,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CSO-15-10B-MEBUAR,TRAIN
0,CSO-15-9B-JCAPA,TRAIN
0,CSO-16-10C-MAVAVE,TRAIN
0,CDMS-13-7C-SSOSLO,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CSO-10-5A-JLCARI,TRAIN
0,CSO-12-7A-ESALA,TRAIN
0,CDMS-11-6B-VZAPE,TRAIN
0,CSO-13-8A-VHODU,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CSO-9-4A-DSMOMU,TRAIN
0,CSO-16-11A-VZAOR,TRAIN
0,CSO-15-10A-SFEGA,TRAIN
0,CDMS-8-4A-DOSTR,TRAIN
0,CSO-14-9B-ERAGA,TRAIN
0,CDMS-15-10A-SHEGA,TRAIN
0,CDMS-11-6B-ARAHE,TRAIN
0,CSO-15-9B-RMCHLU,TRAIN
0,CSO-13-8A-MBUAN,TRAIN
0,CSO-13-7A-CAPAMU,TRAIN
0,CDMS-10-5A-HEPIHO,TRAIN
0,CSO-11-6B-SFLVA,TRAIN
0,CDMS-17-10A-ASSAMO,TRAIN
0,CDMS-12-7C-JSZAOR,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CDMS-10-5A-SZURO,TRAIN
0,CSO-12-6B-GQULO,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CSO-9-4A-DKVIMO,TRAIN
0,CSO-16-10A-YKMUJO,TRAIN
0,CSO-13-6B-LFMIES,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CDMS-8-4C-JDBUTU,TRAIN
0,CSO-11-6A-CAPAMU,TRAIN
0,CSO-12-7A-LSARAR,TRAIN
0,CDMS-11-7C-SPGAVE,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CDMS-11-7C-ICARE,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CSO-13-8A-KIGAGU,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CSO-15-11C-JETALO,TRAIN
0,CSO-16-10B-LTVIFA,TRAIN
0,CSO-13-9B-DMLLLU,TRAIN
0,CDMS-12-6A-SROAL,TRAIN
0,CDMS-XX-10A-VGILO,TRAIN
0,CDMS-11-6B-SCAPA,TRAIN
0,CSO-9-4A-NSARPA,TRAIN
0,CSO-8-3A-DAPAVA,TRAIN
0,CDMS-8-4A-DJAVDA,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-17-11C-JDAAG,TRAIN
0,CDMS-10-5B-SRAJA,TRAIN
0,CSO-15-9B-AMSAGO,TRAIN
0,CDMS-9-5C-JDMADE,TRAIN
0,CDMS-11-6B-JACUPE,TRAIN
0,CDMS-12-7C-CATRAR,TRAIN
0,CSO-16-10B-VVILI,TRAIN
0,CSO-16-11B-LLOZA,TRAIN
0,CSO-17-10A-YVGOCA,TRAIN
0,CSO-14-9A-HASACA,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CDMS-11-6B-JPSAMA,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CSO-16-10A-MSACO,TRAIN
0,CDMS-11-7C-SALMA,TRAIN
0,CSO-13-7A-JJATFL,TRAIN
0,CDMS-11-6B-JDCHBA,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CSO-17-11A-NPAHE,TRAIN
0,CSO-10-5A-RVMOIB,TRAIN
0,CSO-10-5A-SVHEES,TRAIN
0,CSO-17-11A-SPUVA,TRAIN
0,CSO-11-6B-ANREVA,TRAIN
0,CDMS-16-10A-SGALO,TRAIN
0,CSO-13-6A-ANASA,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CDMS-9-4A-ACDUTR,TRAIN
0,CSO-9-4A-AGAPE,TRAIN
0,CSO-10-4A-LRAVI,TRAIN
0,CDMS-12-6B-SCLAG,TRAIN
0,CSO-12-7B-SMUGU,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CSO-18-11B-YLLRE,TRAIN
0,CSO-12-7B-VHOMA,TRAIN
0,CSO-14-8A-AQUMA,TRAIN
0,CSO-11-6B-VCOMA,TRAIN
0,CSO-13-8A-MJAGA,TRAIN
0,CSO-9-4A-DVGATO,TRAIN
0,CSO-8-4A-ARAGR,TRAIN
0,CDMS-9-5C-LVIZAC,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CSO-16-10B-JESUGU,TRAIN
0,CDMS-11-5A-EAARCA,TRAIN
0,CDMS-15-11B-JEMOLO,TRAIN
0,CSO-12-6A-DGISE,TRAIN
0,CDMS-13-6B-JDTAHE,TRAIN
0,CSO-9-4A-FAGIGA,TRAIN
0,CSO-14-9A-SORZU,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CSO-10-5A-MAARAN,TRAIN
0,CSO-17-11B-CDBEBU,TRAIN
0,CSO-17-11A-RLPAIG,TRAIN
0,CSO-12-7B-SSARA,TRAIN
0,CSO-12-7B-DVAGRO,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CSO-11-6A-FSOVRE,TRAIN
0,CDMS-11-6B-YLNIME,TRAIN
0,CSO-16-9A-JPROSO,TRAIN
0,CDMS-16-11B-NGABE,TRAIN
0,CDMS-10-6B-JJMOBE,TRAIN
0,CDMS-14-10A-JCVANI,TRAIN
