split,subject,set
0,CDMS-11-6B-JLPENA,TRAIN
0,CSO-13-6B-JETAVE,TRAIN
0,CSO-18-9B-MAMOLO,TRAIN
0,CDMS-11-6B-JDCHBA,TRAIN
0,CDMS-15-10A-MAALRI,TRAIN
0,CSO-16-11A-VZAOR,TRAIN
0,CSO-17-11A-DJAPA,TRAIN
0,CSO-10-5A-ARACA,TRAIN
0,CSO-9-2A-EXMOCO,TRAIN
0,CDMS-10-6B-ASCACO,TRAIN
0,CSO-9-4A-SLOCA,TRAIN
0,CDMS-11-6B-EROCO,TRAIN
0,CSO-10-5A-JANORO,TRAIN
0,CSO-16-11A-JDMUVA,TRAIN
0,CSO-14-8A-AQUMA,TRAIN
0,CSO-15-9B-KSBEJA,TRAIN
0,CDMS-13-7C-RAIZAC,TRAIN
0,CDMS-12-6A-FAROPA,TRAIN
0,CDMS-XX-5C-MPCAQU,TRAIN
0,CSO-13-8A-MGAAN,TRAIN
0,CSO-13-7A-RXCHLU,TRAIN
0,CSO-10-5A-JBUVE,TRAIN
0,CDMS-11-6B-RSECA,TRAIN
0,CDMS-12-7C-CATRAR,TRAIN
0,CSO-12-7B-SMUGU,TRAIN
0,CSO-16-9A-JALEMO,TRAIN
0,CDMS-12-7C-DLOLO,TRAIN
0,CDMS-18-7C-VVECA,TRAIN
0,CSO-13-7A-CDDITR,TRAIN
0,CSO-15-7B-JCRAGA,TRAIN
0,CDMS-11-6B-MMAMO,TRAIN
0,CSO-13-8A-MGAHE,TRAIN
0,CSO-15-10A-LJRAGU,TRAIN
0,CSO-13-8A-KIGAGU,TRAIN
0,CSO-15-9B-RMCHLU,TRAIN
0,CSO-10-5A-DABRZA,TRAIN
0,CSO-17-11C-MCAAG,TRAIN
0,CDMS-10-4A-JURAN,TRAIN
0,CSO-15-8A-VBMABR,TRAIN
0,CDMS-15-10A-AMALOS,TRAIN
0,CSO-11-6B-SFLVA,TRAIN
0,CDMS-14-6B-KDCAHE,TRAIN
0,CDMS-11-6A-NMREPR,TRAIN
0,CDMS-11-6B-EFRGR,TRAIN
0,CSO-12-7A-DALRE,TRAIN
0,CSO-14-8A-SZARA,TRAIN
0,CDMS-11-6B-LESTA,TRAIN
0,CSO-8-3A-KVPECO,TRAIN
0,CSO-16-10A-MSACO,TRAIN
0,CSO-15-10A-SFEGA,TRAIN
0,CSO-10-5A-IPECA,TRAIN
0,CSO-18-11A-ADBAHO,TRAIN
0,CSO-15-10A-MAARLO,TRAIN
0,CSO-17-11C-MAPAMA,TRAIN
0,CSO-11-5A-MTAGA,TRAIN
0,CSO-10-5A-RVMOIB,TRAIN
0,CSO-10-4A-LSCAVA,TRAIN
0,CDMS-10-6B-JJMOBE,TRAIN
0,CSO-17-10B-YCQUVE,TRAIN
0,CSO-13-6B-LJMAHU,TRAIN
0,CDMS-9-5A-VVAAR,TRAIN
0,CDMS-11-5A-MGTHAR,TRAIN
0,CDMS-10-5A-KSRAGU,TRAIN
0,CSO-13-8B-JEMABE,TRAIN
0,CSO-12-6B-LJHEFE,TRAIN
0,CDMS-10-5C-ICAPA,TRAIN
0,CDMS-9-4A-ILOSE,TRAIN
0,CSO-14-9A-AEDCAGO,TRAIN
0,CSO-11-6A-FSOVRE,TRAIN
0,CSO-8-4A-ARAGR,TRAIN
0,CSO-16-9A-JPROSO,TRAIN
0,CSO-17-11A-RLPAIG,TRAIN
0,CSO-10-5A-JLCARI,TRAIN
0,CDMS-9-5C-JDMADE,TRAIN
0,CSO-12-7B-VHOMA,TRAIN
0,CSO-10-5A-JJSEMO,TRAIN
0,CDMS-15-10A-JJMACH,TRAIN
0,CSO-9-4A-LCOMO,TRAIN
0,CSO-11-6A-DSCACH,TRAIN
0,CDMS-XX-6B-SPUCA,TRAIN
0,CSO-11-6B-RJGIHE,TRAIN
0,CSO-15-10C-SSCAMO,TRAIN
0,CDMS-12-5A-SRIGO,TRAIN
0,CDMS-15-11B-VSAHO,TRAIN
0,CDMS-11-6B-ARAHE,TRAIN
0,CSO-9-4A-DSMOMU,TRAIN
0,CSO-13-8A-MBUAN,TRAIN
