subject,nodes_T6W30,lcc_T6W30
CDMS-10-4A-JURAN,23.808,23.808
CDMS-10-5A-HEPIHO,24.403508771929825,24.37231968810916
CDMS-10-5A-KSRAGU,22.93170731707317,22.93170731707317
CDMS-10-5A-SROPU,22.56476683937824,22.56476683937824
CDMS-10-5A-SZURO,23.13586956521739,23.13586956521739
CDMS-10-5B-SRAJA,22.397489539748957,22.397489539748957
CDMS-10-5C-DAAUSA,22.085995085995087,22.085995085995087
CDMS-10-5C-ICAPA,20.17721518987342,20.025316455696203
CDMS-10-5C-JFALGI,21.216216216216218,21.216216216216218
CDMS-10-5C-MAORTO,20.43367346938776,20.43367346938776
CDMS-10-5C-NBEMO,21.42162162162162,21.42162162162162
CDMS-10-6B-ASCACO,22.073469387755104,22.073469387755104
CDMS-10-6B-JJMOBE,23.181518151815183,23.181518151815183
CDMS-11-4A-GACHSA,21.696691176470587,21.696691176470587
CDMS-11-5A-EAARCA,22.107142857142858,22.107142857142858
CDMS-11-5A-MGTHAR,20.083650190114067,20.083650190114067
CDMS-11-6A-DFVEBE,22.682926829268293,22.5993031358885
CDMS-11-6A-NMREPR,23.365930599369086,23.365930599369086
CDMS-11-6B-ARAHE,22.16358024691358,22.15432098765432
CDMS-11-6B-AVROTO,23.808823529411764,23.808823529411764
CDMS-11-6B-EAFESA,23.2512908777969,23.2512908777969
CDMS-11-6B-EFRGR,21.27945205479452,21.27945205479452
CDMS-11-6B-EROCO,22.11,22.09
CDMS-11-6B-JACUPE,19.96064400715564,19.930232558139537
CDMS-11-6B-JDCHBA,21.1957671957672,21.1957671957672
CDMS-11-6B-JFSAHE,24.00550964187328,23.988980716253444
CDMS-11-6B-JLPENA,22.054313099041533,21.95527156549521
CDMS-11-6B-JMARME,22.56942496493689,22.55680224403927
CDMS-11-6B-JPSAMA,23.80701754385965,23.79649122807017
CDMS-11-6B-LESTA,22.17843866171004,22.17843866171004
CDMS-11-6B-MAGIMU,21.27181208053691,21.27181208053691
CDMS-11-6B-MEBRTA,21.71518987341772,21.71518987341772
CDMS-11-6B-MMAMO,23.55431754874652,23.55431754874652
CDMS-11-6B-RSECA,22.23472668810289,22.23472668810289
CDMS-11-6B-SCAPA,23.640243902439025,23.640243902439025
CDMS-11-6B-VZAPE,22.01271186440678,22.01271186440678
CDMS-11-6B-YLNIME,23.498360655737702,23.498360655737702
CDMS-11-7C-ICARE,21.984848484848484,21.984848484848484
CDMS-11-7C-IMOIB,24.0,24.0
CDMS-11-7C-SALMA,22.75354107648725,22.75354107648725
CDMS-11-7C-SPGAVE,22.47435897435897,22.46581196581197
CDMS-12-5A-SRIGO,23.63225806451613,23.63225806451613
CDMS-12-6A-FAROPA,24.19219219219219,24.19219219219219
CDMS-12-6A-JGIGA,21.556451612903224,21.556451612903224
CDMS-12-6A-JSOTGU,21.61834862385321,21.61834862385321
CDMS-12-6A-SROAL,23.774111675126903,23.774111675126903
CDMS-12-6B-IJDAGA,21.65,21.65
CDMS-12-6B-SCLAG,22.103982300884955,22.103982300884955
