number,value,datetime_start,datetime_complete,duration,params_bag_n_estimators,params_dt_max_depth,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_min_samples_split,params_et_n_estimators,params_gpr_alpha,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_regressor,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_svc_C,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_stack_final_estimator,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_clf,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.524123314306677,2026-06-20 16:47:46.366056,2026-06-20 16:47:52.884139,0 days 00:00:06.518083,,,,,,,,,,,,,Ridge,,,,6,,,,,,0.29110519961044856,sparse_cg,,,,,,,True,-0.018161999039250105,-0.012854678133981865,398.0,-0.015508338586615985,0.00265366045263412,0.02696255397706747,1.9659423239762661,6.496104702242128,6.552141926371226,398.0,6.524123314306677,0.028018612064548504,0.28468349799727105,1.9659423239762661,203038846370798.4,301671622869478.3,398.0,252355234620138.34,49316388249339.945,501079849461124.44,1.9659423239762661,16.45517925932341,16.68424483818997,398.0,16.56971204875669,0.11453278943328161,1.1637120017271243,1.9659423239762661,6.131933425886831,6.216579777485554,398.0,6.174256601686192,0.04232317579936147,0.4300252169935537,1.9659423239762661,399.0,0.7243107769423559,-0.03919940352706873,-0.029156479882847128,398.0,-0.03417794170495793,0.0050214618221108,0.051020632759572374,1.9659423239762661,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['nodes_T6W30', 're_T6W30', 'pe_T6W30', 'l2_T6W30', 'diameter_T6W30', 'asp_T6W30']",0.01795159037535425,0.04200637042461268,398.0,0.029978980399983465,0.012027390024629214,0.1222044638078722,1.9659423239762661,7.691954906182323,7.761240105748376,398.0,7.7265975059653496,0.034642599783026515,0.3519866174395535,1.9659423239762661,completed,True,COMPLETE
1,7.118123554107409,2026-06-20 16:47:52.914470,2026-06-20 16:48:40.427429,0 days 00:00:47.512959,79.0,,,,,,,,,,,,BaggingRegressor,,,,3,,,,1.7123375973163988,LinearSVC,,,,,,0.03334792728637585,,,True,-0.11362856581802468,-0.10228436528382968,398.0,-0.10795646555092718,0.005672100267097501,0.057631453738984206,1.9659423239762661,7.074248804120699,7.161998304094118,398.0,7.118123554107409,0.04387474998670957,0.4457900081273521,1.9659423239762661,258331066625911.3,385905970188871.2,398.0,322118518407391.25,63787451781479.945,648113291966398.1,1.9659423239762661,19.220191419519665,19.605163106034723,398.0,19.412677262777194,0.19248584325752757,1.9557550904829375,1.9659423239762661,6.428925078234626,6.56761690964647,398.0,6.498270993940548,0.06934591570592233,0.7045901420636264,1.9659423239762661,399.0,0.9974937343358395,-0.28435537419341944,-0.26063573567934945,398.0,-0.27249555493638444,0.011859819257034998,0.12050185869056984,1.9659423239762661,BaggingRegressor,"{'mode': 'proxy', 'type': 'LinearSVC', 'C': 1.7123375973163988, 'epsilon': 0.03334792728637585}",3,"['l1_T6W30', 'l3_T6W30', 'diameter_T6W30']",-0.11309104419851243,-0.09003630239353869,398.0,-0.10156367329602556,0.011527370902486874,0.11712401255535936,1.9659423239762661,8.513014218051007,8.614381376034379,398.0,8.563697797042693,0.05068357899168548,0.5149712100347227,1.9659423239762661,completed,True,COMPLETE
2,6.798517006479717,2026-06-20 16:48:40.446364,2026-06-20 16:50:18.855093,0 days 00:01:38.408729,,,,,,19.0,8.0,399.0,,,,,ExtraTreesRegressor,,,,8,,,,,,,,,,,,,,False,-0.06270839317919324,-0.0538487895828623,398.0,-0.05827859138102777,0.004429801798165468,0.04500906284833379,1.9659423239762661,6.762630511379056,6.834403501580377,398.0,6.798517006479717,0.035886495100660484,0.3646252331336735,1.9659423239762661,210729628177468.88,313830539935168.94,398.0,262280084056318.9,51550455878850.016,523779124716665.1,1.9659423239762661,17.503270821566787,17.781214191335444,398.0,17.642242506451115,0.13897168488432912,1.412023739230954,1.9659423239762661,6.294299223270629,6.409533385261378,398.0,6.351916304266004,0.05761708099537448,0.5854191536813945,1.9659423239762661,399.0,0.9548872180451128,-0.15155443989263825,-0.1341801313778467,398.0,-0.14286728563524248,0.00868715425739577,0.08826595178732903,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",8,"['edges_T6W30', 'pe_T6W30', 'l1_T6W30', 'l2_T6W30', 'l3_T6W30', 'lsc_T6W30', 'diameter_T6W30', 'asp_T6W30']",-0.055057429892764555,-0.03251095120064824,398.0,-0.043784190546706396,0.011273239346058157,0.11454190533788025,1.9659423239762661,8.07626893556628,8.159944585119685,398.0,8.118106760342982,0.04183782477670232,0.42509380117007023,1.9659423239762661,completed,False,COMPLETE
3,6.454764949270249,2026-06-20 16:50:18.872269,2026-06-20 16:50:25.039323,0 days 00:00:06.167054,,,,,,,,,,,,,LinearRegression,,,,2,,,,,,,,,,,,,,False,-0.006578376416617943,-0.002868164054969826,398.0,-0.004723270235793884,0.0018551061808240584,0.018848832179719933,1.9659423239762661,6.4299086598916935,6.479621238648805,398.0,6.454764949270249,0.024856289378555742,0.2525526743158357,1.9659423239762661,196730443224698.9,292242243737259.4,398.0,244486343480979.16,47755900256280.25,485224489480282.6,1.9659423239762661,16.46365159500725,16.715150914167758,398.0,16.589401254587504,0.12574965958025283,1.2776811670328285,1.9659423239762661,6.205343644445927,6.291679210880476,398.0,6.2485114276632014,0.04316778321727461,0.4386068624230997,1.9659423239762661,399.0,0.5137844611528822,-0.011236546235424662,-0.004377071908173276,398.0,-0.007806809071798969,0.0034297371636256933,0.03484789220475382,1.9659423239762661,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['atd_T6W30', 'density_T6W30']",0.05707043283508313,0.08348224927725971,398.0,0.07027634105617142,0.01320590822108829,0.13417881435202042,1.9659423239762661,7.596413787927953,7.661689945082892,398.0,7.6290518665054226,0.032638078577469136,0.3316196518206597,1.9659423239762661,completed,False,COMPLETE
4,6.502159089780523,2026-06-20 16:50:25.065815,2026-06-20 16:50:31.514155,0 days 00:00:06.448340,,,,,,,,,,,,,LinearRegression,,,,5,,,,,,,,,,,,,,True,-0.014650494142862756,-0.00941216038305107,398.0,-0.012031327262956913,0.0026191668799058427,0.026612081551092667,1.9659423239762661,6.473511723804747,6.5308064557562995,398.0,6.502159089780523,0.028647365975776443,0.29107196086671905,1.9659423239762661,202135869361754.38,300330494215709.44,398.0,251233181788731.9,49097312426977.53,498853926517722.4,1.9659423239762661,16.507472406737417,16.74100402205948,398.0,16.62423821439845,0.11676580766103169,1.1864006145214712,1.9659423239762661,6.0988904813092235,6.180933234979876,398.0,6.13991185814455,0.04102137683532658,0.4167982704939591,1.9659423239762661,399.0,0.6766917293233082,-0.03238684285361633,-0.022644998413817653,398.0,-0.02751592063371699,0.004870922219899336,0.04949107303527388,1.9659423239762661,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",5,"['re_T6W30', 'pe_T6W30', 'atd_T6W30', 'diameter_T6W30', 'asp_T6W30']",0.03388456408337888,0.05786154033758681,398.0,0.045873052210482844,0.011988488127103968,0.12180920053641874,1.9659423239762661,7.6669793152821715,7.737402993688709,398.0,7.7021911544854404,0.03521183920326913,0.3577703824946987,1.9659423239762661,completed,True,COMPLETE
5,6.879578172123681,2026-06-20 16:50:31.531235,2026-06-20 16:51:40.712721,0 days 00:01:09.181486,,,,,,10.0,2.0,285.0,,,,,ExtraTreesRegressor,,,,3,,,,,,,,,,,,,,True,-0.07619458566087302,-0.06569345663504995,398.0,-0.07094402114796149,0.005250564512911538,0.05334843383935053,1.9659423239762661,6.839679044944894,6.919477299302468,398.0,6.879578172123681,0.039899127178787096,0.4053956372331155,1.9659423239762661,169414104701846.7,252756717225286.8,398.0,211085410963566.75,41671306261720.05,423401887480082.44,1.9659423239762661,17.910589171222068,18.245690811509565,398.0,18.078139991365816,0.16755082014374956,1.7024024409541314,1.9659423239762661,6.372474147237676,6.5072049421910885,398.0,6.439839544714382,0.06736539747670661,0.684467059020056,1.9659423239762661,399.0,0.9624060150375939,-0.18904653802046548,-0.1685387834602787,398.0,-0.1787926607403721,0.010253877280093388,0.10418466287362005,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",3,"['pe_T6W30', 'lsc_T6W30', 'asp_T6W30']",-0.0839500142578538,-0.05993213064752943,398.0,-0.07194107245269162,0.012008941805162182,0.12201702041711476,1.9659423239762661,8.197497736056992,8.285368436963036,398.0,8.241433086510014,0.04393535045302198,0.4464057400090861,1.9659423239762661,completed,True,COMPLETE
6,6.7633890736017666,2026-06-20 16:51:40.730096,2026-06-20 16:52:53.221412,0 days 00:01:12.491316,,,,,,,,,,,,,RandomForestRegressor,6.0,8.0,164.0,10,,,,,,,,,,,,,,False,-0.05675746795794507,-0.048929417802887405,398.0,-0.05284344288041624,0.003914025077528835,0.03976850629691974,1.9659423239762661,6.730488947764439,6.796289199439094,398.0,6.7633890736017666,0.032900125837327425,0.33428218665304876,1.9659423239762661,193202335046097.3,288133003423767.7,398.0,240667669234932.5,47465334188835.17,482272188906328.06,1.9659423239762661,17.481311069507385,17.78178508793882,398.0,17.631548078723103,0.15023700921572017,1.5264852239521047,1.9659423239762661,6.3730522527640225,6.484368195696577,398.0,6.4287102242303,0.05565797146627708,0.565513594033459,1.9659423239762661,399.0,0.9548872180451128,-0.12677121454937465,-0.11166206492539422,398.0,-0.11921663973738443,0.007554574811990208,0.07675836256288539,1.9659423239762661,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['re_T6W30', 'pe_T6W30', 'l1_T6W30', 'l2_T6W30', 'l3_T6W30', 'lcc_T6W30', 'lsc_T6W30', 'atd_T6W30', 'diameter_T6W30', 'asp_T6W30']",-0.08691337899741632,-0.06405387144122678,398.0,-0.07548362521932155,0.011429753778094767,0.11613217240380733,1.9659423239762661,7.995887051509312,8.07403213267701,398.0,8.034959592093161,0.03907254058384835,0.39699709262631266,1.9659423239762661,completed,False,COMPLETE
7,6.551101798698693,2026-06-20 16:52:53.238904,2026-06-20 16:53:29.345971,0 days 00:00:36.107067,,,,,,,,,,,,,RandomForestRegressor,3.0,2.0,89.0,5,,,,,,,,,,,,,,False,-0.023061772741025312,-0.016246056780561895,398.0,-0.019653914760793603,0.003407857980231709,0.034625588457245775,1.9659423239762661,6.519142373255106,6.58306122414228,398.0,6.551101798698693,0.03195942544358688,0.3247241872046638,1.9659423239762661,178086151534644.16,265008675352759.22,398.0,221547413443701.7,43461261909057.54,441588756757192.75,1.9659423239762661,16.96679245439911,17.2620239561048,398.0,17.114408205251955,0.1476157508528459,1.4998518918591905,1.9659423239762661,6.210720424220472,6.31137950831198,398.0,6.261049966266226,0.05032954204575397,0.5113740127161739,1.9659423239762661,399.0,0.7694235588972431,-0.05411757903922378,-0.04159559133222639,398.0,-0.04785658518572509,0.006260993853498695,0.06361491522303726,1.9659423239762661,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",5,"['pe_T6W30', 'l2_T6W30', 'lsc_T6W30', 'atd_T6W30', 'diameter_T6W30']",0.018668597142957363,0.04276304460852072,398.0,0.03071582087573904,0.012047223732781678,0.12240598447570872,1.9659423239762661,7.738347908140792,7.815405865379228,398.0,7.77687688676001,0.038528978619218154,0.3914742237164359,1.9659423239762661,completed,False,COMPLETE
8,6.4901465417316375,2026-06-20 16:53:29.363315,2026-06-20 16:54:26.614182,0 days 00:00:57.250867,,,,,,2.0,3.0,276.0,,,,,ExtraTreesRegressor,,,,11,,,,,,,,,,,,,,False,-0.012240520271208746,-0.00818325649712377,398.0,-0.010211888384166258,0.002028631887042487,0.020611942533826803,1.9659423239762661,6.464355614367008,6.515937469096267,398.0,6.4901465417316375,0.025790927364629557,0.26204907658671334,1.9659423239762661,197226436824738.12,293025725828289.4,398.0,245126081326513.75,47899644501775.625,486685004888052.5,1.9659423239762661,16.509339333385398,16.77968865179404,398.0,16.64451399258972,0.13517465920432034,1.3734440069415705,1.9659423239762661,6.183312458768106,6.265429221404417,398.0,6.224370840086261,0.04105838131815516,0.41717425505696865,1.9659423239762661,399.0,0.7293233082706767,-0.02631562247234959,-0.019222452081804686,398.0,-0.022769037277077138,0.0035465851952724515,0.03603512825722711,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",11,"['nodes_T6W30', 'edges_T6W30', 're_T6W30', 'pe_T6W30', 'l2_T6W30', 'l3_T6W30', 'lsc_T6W30', 'atd_T6W30', 'density_T6W30', 'diameter_T6W30', 'asp_T6W30']",0.0017120523063627307,0.024170671379006872,398.0,0.012941361842684802,0.011229309536322072,0.11409555589440276,1.9659423239762661,7.652529073512308,7.7182170487304385,398.0,7.685373061121373,0.03284398760906517,0.33371179340315293,1.9659423239762661,completed,False,COMPLETE
9,6.664338540248644,2026-06-20 16:54:26.631706,2026-06-20 16:54:34.289192,0 days 00:00:07.657486,,,,,,,,,,,,,SVR,,,,8,,,,,,,,,15.01455544253768,,0.0401698606222607,scale,linear,,-0.04199898129737467,-0.032721170563188684,398.0,-0.03736007593028168,0.004638905367092997,0.047133662571862654,1.9659423239762661,6.62721477389414,6.701462306603148,398.0,6.664338540248644,0.03712376635450364,0.3771965449354173,1.9659423239762661,174192346680412.88,259046082016957.12,398.0,216619214348685.0,42426867668272.14,431078779671367.94,1.9659423239762661,17.58982071845054,17.894315297497833,398.0,17.742068007974186,0.15224728952364827,1.5469107050108226,1.9659423239762661,5.956711718657086,6.069295956875752,398.0,6.013003837766419,0.05629211910933326,0.5719568599902471,1.9659423239762661,399.0,0.8872180451127819,-0.12504257279141628,-0.10490599004161091,398.0,-0.1149742814165136,0.010068291374902685,0.10229901469993594,1.9659423239762661,SVR,"{'mode': 'original', 'type': 'SVR'}",8,"['edges_T6W30', 're_T6W30', 'pe_T6W30', 'l2_T6W30', 'lcc_T6W30', 'atd_T6W30', 'diameter_T6W30', 'asp_T6W30']",0.005715251715766773,0.030285951538756222,398.0,0.018000601627261498,0.012285349911494724,0.12482546883005786,1.9659423239762661,7.97137142435746,8.059657290802821,398.0,8.015514357580141,0.04414293322268112,0.44851488763047387,1.9659423239762661,completed,True,COMPLETE
