subject,re_T6W30,lcc_T6W30,lsc_T6W30,atd_T6W30,density_T6W30,diameter_T6W30,asp_T6W30,y_true,y_pred
CDMS-10-4A-JURAN,-0.0,-0.3454295618497416,-0.0,-0.0,-0.0,-0.12514661428635554,-0.0,6,13.990655542807167
CDMS-10-5A-HEPIHO,-0.0,-0.46291329812601884,-0.0,-0.0,-0.0,-0.39747453742907646,-0.0,25,13.600843883388169
CDMS-10-5A-KSRAGU,-0.0,-0.08842494360458238,-0.0,-0.0,-0.0,0.16923030372578823,0.0,19,14.542037079064471
CDMS-10-5A-SROPU,0.0,0.019193662856560278,0.0,0.0,-0.0,-0.15625101461858612,-0.0,19,14.32417436718124
CDMS-10-5A-SZURO,0.0,-0.14830292919853535,-0.0,-0.0,-0.0,-0.15804144697876168,-0.0,12,14.154887342765967
CDMS-10-5B-SRAJA,-0.0,0.06825379923555457,-0.0,0.0,0.0,0.49554178074823524,0.0,30,15.025027298927055
CDMS-10-5C-DAAUSA,0.0,0.1596108477790972,0.0,0.0,0.0,0.20246396728711294,0.0,18,14.823306534009475
CDMS-10-5C-ICAPA,0.0,0.8270918474152744,0.0,0.0,0.0,0.9000490157394511,0.0,16,16.18837258209799
CDMS-10-5C-JFALGI,-0.0,0.4147050540191936,-0.0,0.0,0.0,0.8411865446216131,0.0,19,15.717123317584072
CDMS-10-5C-MAORTO,0.0,0.6442141025683975,0.0,0.0,0.0,0.5885357410140664,0.0,28,15.693981562525728
CDMS-10-5C-NBEMO,0.0,0.3544624674607983,0.0,0.0,0.0,0.34987761530620415,0.0,22,15.165571801710268
CDMS-10-6B-ASCACO,-0.0,0.16328446317854217,-0.0,0.0,0.0,0.8334664464700628,0.0,14,15.45798262859187
CDMS-10-6B-JJMOBE,-0.0,-0.16169103319686162,-0.0,-0.0,-0.0,0.15591644128697144,0.0,13,14.455457127033375
CDMS-11-4A-GACHSA,0.0,0.27378834189500595,0.0,0.0,0.0,0.046214335214537605,0.0,10,14.78123439605281
CDMS-11-5A-EAARCA,0.0,0.15340849671938558,-0.0,0.0,0.0,0.26958153346470265,0.0,26,14.884221749127352
CDMS-11-5A-MGTHAR,0.0,0.746871126892958,0.0,0.0,0.0,0.6497901476054193,0.0,16,15.857892993441641
CDMS-11-6A-DFVEBE,-0.0,0.00906464104323725,-0.0,-0.0,-0.0,0.12403030015199011,0.0,7,14.594326660138492
CDMS-11-6A-NMREPR,0.0,-0.2157766733107866,-0.0,-0.0,-0.0,-0.04127184640613818,-0.0,23,14.204183199226339
CDMS-11-6B-ARAHE,0.0,0.16220191242188958,0.0,0.0,0.0,0.10556867588527924,0.0,13,14.729002307250434
CDMS-11-6B-AVROTO,-0.0,-0.3456710917246429,0.0,-0.0,-0.0,-0.8608350382956088,-0.0,15,13.254725588923012
CDMS-11-6B-EAFESA,0.0,-0.18215441621286788,-0.0,-0.0,-0.0,-0.2676003585870616,-0.0,2,14.011476944143336
CDMS-11-6B-EFRGR,0.0,0.3961588503707196,0.0,0.0,0.0,0.2972046469372554,0.0,10,15.15459521625124
CDMS-11-6B-EROCO,-0.0,0.1584362614622293,0.0,0.0,0.0,0.2883486684071976,0.0,13,14.90801664881269
CDMS-11-6B-JACUPE,0.0,0.8327900794611797,0.0,0.0,0.0,0.5964790711476783,0.0,22,15.890500869552122
CDMS-11-6B-JDCHBA,0.0,0.42070247108815034,0.0,0.0,0.0,0.15429947083635992,0.0,13,15.036233660867776
CDMS-11-6B-JFSAHE,-0.0,-0.3985087222680372,-0.0,-0.0,-0.0,-0.20624528055063895,-0.0,12,13.856477716124589
CDMS-11-6B-JLPENA,0.0,0.2850928302064025,0.0,0.0,0.0,0.013657204154302022,0.0,7,14.75998175330397
CDMS-11-6B-JMARME,0.0,0.03386980541352456,-0.0,0.0,0.0,0.03250296214091824,0.0,8,14.527604486497708
CDMS-11-6B-JPSAMA,-0.0,-0.3420541969814452,-0.0,-0.0,-0.0,-0.34922897087722365,-0.0,0,13.769948551084596
CDMS-11-6B-LESTA,-0.0,0.132498415655979,-0.0,0.0,0.0,0.22917049629520933,0.0,21,14.822900630894454
CDMS-11-6B-MAGIMU,0.0,0.3983995499745563,-0.0,0.0,0.0,0.6451784780580737,0.0,26,15.504809746975894
CDMS-11-6B-MEBRTA,0.0,0.2683629279442107,-0.0,0.0,0.0,0.27346735393944754,0.0,17,15.003062000826922
CDMS-11-6B-MMAMO,-0.0,-0.2710279802661369,-0.0,-0.0,-0.0,-0.15662670048743557,-0.0,9,14.033577038189692
CDMS-11-6B-RSECA,-0.0,0.11598990997434987,-0.0,0.0,0.0,0.4546542897388053,0.0,1,15.03187591865642
CDMS-11-6B-SCAPA,-0.0,-0.29622900060808616,-0.0,-0.0,-0.0,0.005826343437616518,-0.0,10,14.170829061772796
CDMS-11-6B-VZAPE,0.0,0.18110381098081238,-0.0,0.0,0.0,0.22972840172948916,0.0,21,14.872063931653567
CDMS-11-6B-YLNIME,-0.0,-0.2546165914617897,-0.0,-0.0,-0.0,-0.05124646090235837,-0.0,8,14.155368666579117
CDMS-11-7C-ICARE,0.0,0.18927575782679248,0.0,0.0,0.0,-0.0027286313217290675,0.0,17,14.647778845448329
CDMS-11-7C-IMOIB,-0.0,-0.4017405269695894,-0.0,-0.0,-0.0,-0.4702245703012056,-0.0,7,13.58926662167247
CDMS-11-7C-SALMA,0.0,-0.0361712302755816,-0.0,-0.0,-0.0,-0.0009107787589961771,-0.0,18,14.424149709908686
CDMS-11-7C-SPGAVE,0.0,0.07077625210320693,0.0,0.0,-0.0,-0.531781492591327,-0.0,8,14.000226478455145
CDMS-12-5A-SRIGO,-0.0,-0.2938868639376231,-0.0,-0.0,-0.0,-0.13830622313668497,-0.0,15,14.029038631868957
CDMS-12-6A-FAROPA,-0.0,-0.4581078594218892,-0.0,-0.0,-0.0,-0.12092807230590075,-0.0,23,13.882195787215474
CDMS-12-6A-JGIGA,-0.0,0.3149186813349249,-0.0,0.0,0.0,0.6401204300914655,0.0,1,15.416270830369655
CDMS-12-6A-JSOTGU,0.0,0.2967651374566573,-0.0,0.0,0.0,0.42574196089761346,0.0,21,15.183738817297534
CDMS-12-6A-SROAL,-0.0,-0.3354905812252676,-0.0,-0.0,-0.0,-0.24227252736753466,-0.0,24,13.883468610350462
CDMS-12-6B-IJDAGA,0.0,0.2874822231952141,0.0,0.0,0.0,-0.00822431556805441,-0.0,25,14.740489626570424
CDMS-12-6B-SCLAG,0.0,0.154335444496459,0.0,0.0,0.0,0.17417175148491112,0.0,31,14.789738914924635
CDMS-12-7C-ARAHE,-0.0,0.16480271966302557,-0.0,0.0,0.0,0.4877119078543267,0.0,22,15.113746346460616
