subject,nodes_T6W30,z_asp_T6W30,y_true,y_pred
CDMS-10-4A-JURAN,-1.1726157345158974,0.0,6,12.356994028479555
CDMS-10-5A-HEPIHO,-1.7683980520460594,0.0,25,11.761211710949393
CDMS-10-5A-KSRAGU,-0.29592052853764983,0.0,19,13.233689234457803
CDMS-10-5A-SROPU,0.07118850243136876,0.0,19,13.600798265426821
CDMS-10-5A-SZURO,-0.5001765581463395,0.0,12,13.029433204849113
CDMS-10-5B-SRAJA,0.23854264050788743,0.0,30,13.76815240350334
CDMS-10-5C-DAAUSA,0.5501801785308231,0.0,18,14.079789941526275
CDMS-10-5C-ICAPA,2.459836868357648,0.0,16,15.9894466313531
CDMS-10-5C-JFALGI,1.420358579255847,0.0,19,14.9499683422513
CDMS-10-5C-MAORTO,2.203260785315738,0.0,28,15.73287054831119
CDMS-10-5C-NBEMO,1.2148588213445137,0.0,22,14.744468584339966
CDMS-10-6B-ASCACO,0.5627116304218092,0.0,14,14.092321393417262
CDMS-10-6B-JJMOBE,-0.5458461133185928,0.0,13,12.98376364967686
CDMS-11-4A-GACHSA,0.9396629139209729,0.0,10,14.469272676916425
CDMS-11-5A-EAARCA,0.5290226932024602,0.0,26,14.058632456197913
CDMS-11-5A-MGTHAR,2.553444846986892,0.0,16,16.083054609982344
CDMS-11-6A-DFVEBE,-0.04702576398137026,0.0,7,13.482583999014082
CDMS-11-6A-NMREPR,-0.7303432703109678,0.0,23,12.799266492684485
CDMS-11-6B-ARAHE,0.47255937904507306,0.0,13,14.002169142040525
CDMS-11-6B-AVROTO,-1.1734396422140243,0.0,15,12.356170120781428
CDMS-11-6B-EAFESA,-0.6156508892433408,0.0,2,12.913958873752112
CDMS-11-6B-EFRGR,1.3570936934388804,0.0,10,14.886703456434333
CDMS-11-6B-EROCO,0.5261642379232434,0.0,13,14.055774000918696
CDMS-11-6B-JACUPE,2.6765075325557746,0.0,22,16.206117295551227
CDMS-11-6B-JDCHBA,1.440816992915913,0.0,13,14.970426755911365
CDMS-11-6B-JFSAHE,-1.3702161019940817,0.0,12,12.15939366100137
CDMS-11-6B-JLPENA,0.5818767185330458,0.0,7,14.111486481528498
CDMS-11-6B-JMARME,0.06652823717333689,0.0,8,13.59613800016879
CDMS-11-6B-JPSAMA,-1.1716328270865546,0.0,0,12.357976935908898
CDMS-11-6B-LESTA,0.45769413906955947,0.0,21,13.987303902065012
CDMS-11-6B-MAGIMU,1.36473717710129,0.0,26,14.894346940096742
CDMS-11-6B-MEBRTA,0.921155719639458,0.0,17,14.45076548263491
CDMS-11-6B-MMAMO,-0.918816754805249,0.0,9,12.610793008190203
CDMS-11-6B-RSECA,0.40138025689977397,0.0,1,13.930990019895226
CDMS-11-6B-SCAPA,-1.0047825785729465,0.0,10,12.524827184422506
CDMS-11-6B-VZAPE,0.623497062600336,0.0,21,14.153106825595788
CDMS-11-6B-YLNIME,-0.862834158124862,0.0,8,12.66677560487059
