number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.1444051199191518,2026-06-12 13:02:40.843948,2026-06-12 13:02:44.924956,0 days 00:00:04.081008,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,19,,,,,,,,False,,,,,,,,,-0.08452289471206847,-0.057929708176288036,98.0,-0.07122630144417826,0.013296593267890216,0.06666747407628336,1.9844674545084815,1.128051675131399,1.1607585647069047,98.0,1.1444051199191518,0.016353444787752865,0.081994149514843,1.9844674545084815,339204677087223.2,436122614537022.44,98.0,387663645812122.8,48458968724899.64,242967275612791.75,1.9844674545084815,3.4757080225625687,3.6435340170252797,98.0,3.559621019793924,0.08391299723135569,0.4207293894665616,1.9844674545084815,0.952109539445529,0.9924935669337842,98.0,0.9723015531896566,0.02019201374412765,0.10124025949454214,1.9844674545084815,99.0,0.7373737373737373,-0.11403267837724335,-0.06031446816134594,98.0,-0.08717357326929465,0.026859105107948707,0.13466823098368425,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",19,"['nodes_T6W40', 'edges_T6W40', 're_T6W40', 'pe_T6W40', 'l1_T6W40', 'l2_T6W40', 'lcc_T6W40', 'lsc_T6W40', 'atd_T6W40', 'asp_T6W40', 'z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.06754576892107891,0.11745633486624052,98.0,0.09250105189365972,0.024955282972580803,0.12512270226829525,1.9844674545084815,1.4308390121478827,1.4694224186540021,98.0,1.4501307154009424,0.019291703253059678,0.0967262140458613,1.9844674545084815,completed,False,COMPLETE
1,1.2049780141707576,2026-06-12 13:02:44.943890,2026-06-12 13:02:52.671903,0 days 00:00:07.728013,,,,,,,,,,,,,,,XGBRegressor,,,,,,3,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.14387053739672945,-0.11121199176657982,98.0,-0.12754126458165463,0.01632927281507481,0.08187295423350892,1.9844674545084815,1.1843982785752616,1.2255577497662535,98.0,1.2049780141707576,0.020579735595495943,0.10318424890251517,1.9844674545084815,301613285053280.44,385807291977420.94,98.0,343710288515350.7,42097003462070.27,211069168654964.2,1.9844674545084815,3.59873783069351,3.7706961840218196,98.0,3.6847170073576647,0.08597917666415499,0.43108895759035615,1.9844674545084815,0.9795002344341018,1.0291457383861415,98.0,1.0043229864101217,0.02482275197601989,0.1244582082434336,1.9844674545084815,99.0,0.898989898989899,-0.2039374753157527,-0.13968029107810734,98.0,-0.17180888319693002,0.03212859211882268,0.1610887871077187,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",3,"['z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.13228777325168548,0.18259992374403702,98.0,0.15744384849786125,0.025156075246175767,0.12612944989341338,1.9844674545084815,1.4814847241197158,1.53005097699532,98.0,1.5057678505575178,0.02428312643780202,0.12175259253757327,1.9844674545084815,completed,False,COMPLETE
2,1.0844478397419572,2026-06-12 13:02:52.684778,2026-06-12 13:02:54.295566,0 days 00:00:01.610788,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,15,,,,,,,,True,,,,,,,,,-0.015362925360866643,-0.013601939939541534,98.0,-0.014482432650204088,0.0008804927106625554,0.004414681548860102,1.9844674545084815,1.0733265229737856,1.0955691565101289,98.0,1.0844478397419572,0.011121316768171546,0.05576090675245988,1.9844674545084815,370261102803136.9,472582158246560.1,98.0,421421630524848.5,51160527721711.64,256512558284590.84,1.9844674545084815,3.0623906010794792,3.073713295024417,98.0,3.068051948051948,0.005661346972469041,0.028385293504868705,1.9844674545084815,0.933402966543196,0.9519649988247691,98.0,0.9426839826839826,0.009281016140786635,0.04653386702153648,1.9844674545084815,99.0,1.0,-0.003151138210298774,-0.0019109951987363633,98.0,-0.0025310667045175686,0.0006200715057812055,0.0031089618373857154,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",15,"['lcc_T6W40', 'lsc_T6W40', 'atd_T6W40', 'density_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,1.3812301907536824,1.4121686825828264,98.0,1.3966994366682544,0.015469245914571893,0.07756088572550665,1.9844674545084815,completed,True,COMPLETE
3,1.100895029907754,2026-06-12 13:02:54.313384,2026-06-12 13:03:00.469728,0 days 00:00:06.156344,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,False,,,,,,,,,-0.03850437549517867,-0.02088279186479026,98.0,-0.029693583679984467,0.008810791815194206,0.044176220411996675,1.9844674545084815,1.0858651767696368,1.1159248830458712,98.0,1.100895029907754,0.01502985313811714,0.07535782468998989,1.9844674545084815,343763352819525.5,440682321686450.4,98.0,392222837252987.94,48459484433462.43,242969861311740.94,1.9844674545084815,3.0892408772251665,3.164548682218344,98.0,3.1268947797217552,0.03765390249658876,0.18879200995222614,1.9844674545084815,0.9552948200472832,0.9909547402060214,98.0,0.9731247801266523,0.017829960079369083,0.08939721456645822,1.9844674545084815,99.0,0.35353535353535354,-0.0017974621480630181,0.028043432010577893,98.0,0.013122984931257436,0.014920447079320455,0.07480927624290531,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['edges_T6W40', 're_T6W40', 'pe_T6W40', 'l3_T6W40', 'lsc_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.13167418643310513,0.19158057481564594,98.0,0.16162738062437554,0.02995319419127039,0.15018161095975607,1.9844674545084815,1.3671028856308072,1.401899328458066,98.0,1.3845011070444366,0.017398221413629456,0.08723253029538006,1.9844674545084815,completed,False,COMPLETE
4,1.392949098831452,2026-06-12 13:03:00.491142,2026-06-12 13:03:02.655589,0 days 00:00:02.164447,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,8,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.32555237083284017,-0.2826460121443568,98.0,-0.3040991914885985,0.021453179344241652,0.10756358782816436,1.9844674545084815,1.3683235716556057,1.417574626007298,98.0,1.392949098831452,0.024625527175846276,0.12346934748881258,1.9844674545084815,341372521562835.4,454272332391311.4,98.0,397822426977073.4,56449905414238.01,283032843826281.7,1.9844674545084815,3.930192340037664,4.110211700366376,98.0,4.02020202020202,0.09000968016435594,0.4512974036336675,1.9844674545084815,1.0009321845023358,1.079875896305745,98.0,1.0404040404040404,0.039471855901704614,0.19790700347467466,1.9844674545084815,99.0,1.0,-0.6652146830122863,-0.576010182525176,98.0,-0.6206124327687311,0.04460225024355515,0.2236301661596909,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['edges_T6W40', 're_T6W40', 'pe_T6W40', 'l3_T6W40', 'lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.0647402870095459,0.11125440873170656,98.0,0.08799734787062623,0.023257060861080328,0.11660802664325122,1.9844674545084815,1.7430374298788955,1.7962835750584285,98.0,1.769660502468662,0.026623072589766515,0.1334847931308418,1.9844674545084815,completed,True,COMPLETE
5,1.144379868533585,2026-06-12 13:03:02.668560,2026-06-12 13:03:33.524698,0 days 00:00:30.856138,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,8,,,,,,,,False,,,,,,,,,-0.08399503383423901,-0.05747702102185806,98.0,-0.07073602742804853,0.013259006406190472,0.06647901820059468,1.9844674545084815,1.1268098865422072,1.161949850524963,98.0,1.144379868533585,0.017569981991377864,0.08809371658826472,1.9844674545084815,342782432871451.5,440832241050548.5,98.0,391807336961000.0,49024904089548.48,245804805534286.0,1.9844674545084815,3.2419347671540932,3.3896747200521316,98.0,3.3158047436031124,0.07386997644901909,0.3703749254196788,1.9844674545084815,0.9859883084406716,1.033424160876678,98.0,1.009706234658675,0.023717926218003244,0.1189187485414319,1.9844674545084815,99.0,0.494949494949495,-0.06125913064223308,-0.012630767808967297,98.0,-0.03694494922560019,0.024314181416632892,0.12190829836044344,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",8,"['re_T6W40', 'pe_T6W40', 'l3_T6W40', 'lsc_T6W40', 'z_l3_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.10548892341377858,0.16023272815423156,98.0,0.13286082578400507,0.02737190237022649,0.13723933303219546,1.9844674545084815,1.3970881565203712,1.4377950806679978,98.0,1.4174416185941845,0.020353462073813177,0.10204974145109423,1.9844674545084815,completed,False,COMPLETE
6,1.0844478397419572,2026-06-12 13:03:33.537590,2026-06-12 13:03:35.243278,0 days 00:00:01.705688,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,20,,,,,,,,False,,,,,,,,,-0.015362925360866643,-0.013601939939541534,98.0,-0.014482432650204088,0.0008804927106625554,0.004414681548860102,1.9844674545084815,1.0733265229737856,1.0955691565101289,98.0,1.0844478397419572,0.011121316768171546,0.05576090675245988,1.9844674545084815,370261102803136.9,472582158246560.1,98.0,421421630524848.5,51160527721711.64,256512558284590.84,1.9844674545084815,3.0623906010794792,3.073713295024417,98.0,3.068051948051948,0.005661346972469041,0.028385293504868705,1.9844674545084815,0.933402966543196,0.9519649988247691,98.0,0.9426839826839826,0.009281016140786635,0.04653386702153648,1.9844674545084815,99.0,1.0,-0.003151138210298774,-0.0019109951987363633,98.0,-0.0025310667045175686,0.0006200715057812055,0.0031089618373857154,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",20,"['re_T6W40', 'pe_T6W40', 'l1_T6W40', 'l2_T6W40', 'l3_T6W40', 'lcc_T6W40', 'lsc_T6W40', 'atd_T6W40', 'density_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,1.3812301907536824,1.4121686825828264,98.0,1.3966994366682544,0.015469245914571893,0.07756088572550665,1.9844674545084815,completed,False,COMPLETE
7,1.1748416161664859,2026-06-12 13:03:35.255544,2026-06-12 13:03:37.121389,0 days 00:00:01.865845,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,12,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.11189843702948556,-0.08559369063099855,98.0,-0.09874606383024205,0.013152373199243506,0.06594437248972863,1.9844674545084815,1.1557611841510969,1.1939220481818749,98.0,1.1748416161664859,0.019080432015389056,0.09566692619094255,1.9844674545084815,340066055217525.6,442232788942826.0,98.0,391149422080175.8,51083366862650.22,256125683280780.38,1.9844674545084815,3.3985996147444624,3.5583136312865147,98.0,3.4784566230154885,0.0798570082710263,0.40039316247829665,1.9844674545084815,0.9790874930428926,1.0284569558078234,98.0,1.003772224425358,0.02468473138246543,0.12376619005821875,1.9844674545084815,99.0,0.7474747474747475,-0.10921384119128123,-0.06079348608931019,98.0,-0.08500366364029571,0.024210177550985517,0.12138683584164747,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",12,"['nodes_T6W40', 'edges_T6W40', 're_T6W40', 'pe_T6W40', 'l2_T6W40', 'l3_T6W40', 'lsc_T6W40', 'diameter_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.1265228877660176,0.17545890066559472,98.0,0.15099089421580617,0.024468006449788554,0.12267955805107063,1.9844674545084815,1.428786440732535,1.4721377542119845,98.0,1.4504620974722597,0.021675656739724693,0.10867906197233798,1.9844674545084815,completed,True,COMPLETE
8,1.0691225985343633,2026-06-12 13:03:37.134365,2026-06-12 13:03:39.230531,0 days 00:00:02.096166,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,3,,,,,,,,False,,,,,,,,,-3.70327549340163e-17,-3.3389914159893928e-18,98.0,-2.0185873175002847e-17,1.6846881759013454e-17,8.446818145874219e-17,1.9844674545084815,1.0575870578016928,1.0806581392670338,98.0,1.0691225985343633,0.011535540732670513,0.05783777447779656,1.9844674545084815,378756762949842.4,482894502655208.75,98.0,430825632802525.56,52068869852683.17,261066873382366.94,1.9844674545084815,3.0,3.0,98.0,3.0,6.326573661562732e-17,3.1720657846433045e-16,1.9844674545084815,0.9999999999999999,1.0,98.0,1.0,6.326573661562732e-17,3.1720657846433045e-16,1.9844674545084815,99.0,0.9191919191919192,-0.004402232239554245,-0.0028129100148472953,98.0,-0.0036075711272007703,0.0007946611123534752,0.003984332530889086,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,1.3817940130923385,1.413236739470511,98.0,1.3975153762814247,0.01572136318908618,0.07882497055717957,1.9844674545084815,completed,False,COMPLETE
9,1.1157659099035626,2026-06-12 13:03:39.247893,2026-06-12 13:03:41.187364,0 days 00:00:01.939471,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,14,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.052295677666351154,-0.034978501418686456,98.0,-0.043637089542518805,0.008658588123832349,0.04341308992859043,1.9844674545084815,1.1007620800520803,1.130769739755045,98.0,1.1157659099035626,0.015003829851482303,0.07522734714945344,1.9844674545084815,347475885377357.9,445810462939641.9,98.0,396643174158499.9,49167288781142.03,246518704767302.06,1.9844674545084815,3.07956633728737,3.1657062496392734,98.0,3.1226362934633216,0.04306995617595178,0.21594743322418916,1.9844674545084815,0.9528794782539607,0.9939830642749194,98.0,0.9734312712644401,0.020551793010479345,0.1030441482372781,1.9844674545084815,99.0,0.40404040404040403,0.0015294610186287558,0.030165265846322224,98.0,0.01584736343247549,0.014317902413846733,0.07178819181504073,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",14,"['nodes_T6W40', 'edges_T6W40', 're_T6W40', 'pe_T6W40', 'l2_T6W40', 'l3_T6W40', 'lcc_T6W40', 'lsc_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.1593703978571548,0.207864064411669,98.0,0.1836172311344119,0.024246833277257095,0.12157062311946538,1.9844674545084815,1.3652719231876589,1.4001431534714197,98.0,1.3827075383295393,0.01743561514188034,0.08742001782384358,1.9844674545084815,completed,True,COMPLETE
