subject,lcc_T6W40,lsc_T6W40,z_asp_T6W40,y_true,y_pred
CDMS-10-4A-JURAN,-1.0463913288667133,-0.14322425213416956,0.0,6,12.388717354919862
CDMS-10-5A-HEPIHO,-1.4507433455155807,-0.13920726776847925,0.0,25,11.988382322636689
CDMS-10-5A-KSRAGU,-0.5312879194334217,-0.1345659025742476,0.0,19,12.91247911391308
CDMS-10-5A-SROPU,-0.5071200988372917,-0.012130621798710273,0.0,19,13.059082215284747
CDMS-10-5A-SZURO,-0.5063803731640766,-0.03839055062173902,0.0,12,13.033562012134933
CDMS-10-5B-SRAJA,-0.5488472623972491,-0.08851316266740739,0.0,30,12.940972510856092
CDMS-10-5C-DAAUSA,0.25663186424071593,0.04457399052480415,0.0,18,13.879538790686269
CDMS-10-5C-ICAPA,2.2030071599123184,0.21892901284077393,0.0,16,16.00026910867384
CDMS-10-5C-JFALGI,1.1921325357988923,0.07111434068056788,0.0,19,14.841579812400209
CDMS-10-5C-MAORTO,1.6788430072045177,0.16110197622318512,0.0,28,15.418277919348451
CDMS-10-5C-NBEMO,0.9354231184459537,0.09985429214413333,0.0,22,14.61361034651084
CDMS-10-6B-ASCACO,0.5875502489345346,-0.02557172849126932,0.0,14,14.140311456364014
CDMS-10-6B-JJMOBE,-0.4799751182301754,-0.047455936432104606,0.0,13,13.050901881258469
CDMS-11-4A-GACHSA,1.1123355978332745,0.04594433878620108,0.0,10,14.736612872540228
CDMS-11-5A-EAARCA,0.4261981996600639,-0.028070398116341266,0.0,26,13.976460737464475
CDMS-11-5A-MGTHAR,1.9234326609706993,0.17857144680698878,0.0,16,15.680337043698437
CDMS-11-6A-DFVEBE,0.07934913032043589,0.05859074925424501,0.0,7,13.716272815495426
CDMS-11-6A-NMREPR,-0.1882713492411989,-0.0424225156906948,0.0,23,13.347639070988858
CDMS-11-6B-ARAHE,0.38716114878656777,-0.0012471816995862084,0.0,13,13.96424690300773
CDMS-11-6B-AVROTO,-0.949842092480285,-0.015138634496942527,0.0,15,12.613352208943521
CDMS-11-6B-EAFESA,-0.461184295503104,-0.07445671057646486,0.0,2,13.042691929841183
CDMS-11-6B-EFRGR,1.1880054897855772,0.07954449572054467,0.0,10,14.84588292142687
CDMS-11-6B-EROCO,0.8136894273041567,0.03931170808011142,0.0,13,14.431334071305017
CDMS-11-6B-JACUPE,2.2480077211609535,0.24438869055752743,0.0,22,16.07072934763923
CDMS-11-6B-JDCHBA,1.239677787185947,0.12170246633370141,0.0,13,14.939713189440393
