number,value,datetime_start,datetime_complete,duration,params_bag_n_estimators,params_dt_max_depth,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_min_samples_split,params_et_n_estimators,params_gpr_alpha,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_regressor,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_svc_C,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_stack_final_estimator,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_clf,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,1.7900020868140583,2026-06-21 04:08:21.811906,2026-06-21 04:08:28.501076,0 days 00:00:06.689170,,,,,,,,,,,,,Ridge,,,,6,,,,,,0.29110519961044856,sparse_cg,,,,,,,True,-0.0334709486765939,-0.02542368450752661,398.0,-0.029447316592060253,0.004023632084533644,0.040882169817698544,1.9659423239762661,1.7770575133415256,1.802946660286591,398.0,1.7900020868140583,0.012944573472532679,0.1315235190006428,1.9659423239762661,0.2765421199732616,0.28609275445741955,398.0,0.2813174372153406,0.004775317242078966,0.048519677326979954,1.9659423239762661,5.973675562418827,6.1299348007691306,398.0,6.051805181593979,0.07812961917515192,0.7938370834620899,1.9659423239762661,1.4413626110844018,1.470681196353697,398.0,1.4560219037190494,0.014659292634647667,0.14894594692209917,1.9659423239762661,399.0,0.6340852130325815,-0.04147328177740968,-0.026888953426306803,398.0,-0.03418111760185824,0.007292164175551437,0.07409213563769086,1.9659423239762661,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['nodes_T6W50', 'pe_T6W50', 'l2_T6W50', 'lcc_T6W50', 'atd_T6W50', 'density_T6W50']",0.060358446814525527,0.08458453496437994,398.0,0.07247149088945273,0.012113044074927208,0.12307475297852387,1.9659423239762661,2.271621690953391,2.307264446939687,398.0,2.289443068946539,0.017821377993147803,0.18107435923424128,1.9659423239762661,completed,True,COMPLETE
1,1.8956618401302336,2026-06-21 04:08:28.597724,2026-06-21 04:09:15.113742,0 days 00:00:46.516018,79.0,,,,,,,,,,,,BaggingRegressor,,,,3,,,,1.7123375973163988,LinearSVC,,,,,,0.03334792728637585,,,True,-0.09797610159536985,-0.08348727406111683,398.0,-0.09073168782824334,0.007244413767126503,0.07360696694803943,1.9659423239762661,1.8795681054678377,1.9117555747926296,398.0,1.8956618401302336,0.016093734662395887,0.16352061511740054,1.9659423239762661,0.2886912579150772,0.29825817712200065,398.0,0.29347471751853893,0.0047834596034617045,0.04860240790317895,1.9659423239762661,6.275347230117383,6.434782524649281,398.0,6.355064877383332,0.07971764726594856,0.8099722649894409,1.9659423239762661,1.543187382346664,1.5868529082532536,398.0,1.5650201452999588,0.021832762953294917,0.22183209197408843,1.9659423239762661,399.0,0.8947368421052632,-0.18039052299143038,-0.15333537399402125,398.0,-0.16686294849272582,0.013527574498704564,0.13744710904444127,1.9659423239762661,BaggingRegressor,"{'mode': 'proxy', 'type': 'LinearSVC', 'C': 1.7123375973163988, 'epsilon': 0.03334792728637585}",3,"['pe_T6W50', 'lcc_T6W50', 'atd_T6W50']",0.09123287486571563,0.11549920216533527,398.0,0.10336603851552545,0.01213316364980982,0.12327917819925231,1.9659423239762661,2.407697022688441,2.4464236653687896,398.0,2.4270603440286154,0.019363321340174277,0.19674129608085736,1.9659423239762661,completed,True,COMPLETE
2,1.8138053842819333,2026-06-21 04:09:15.131250,2026-06-21 04:10:53.716625,0 days 00:01:38.585375,,,,,,19.0,8.0,399.0,,,,,ExtraTreesRegressor,,,,8,,,,,,,,,,,,,,False,-0.04906090756210701,-0.03775503961175255,398.0,-0.04340797358692978,0.005652933975177229,0.0574367143630676,1.9659423239762661,1.7995453925600755,1.828065376003791,398.0,1.8138053842819333,0.01425999172185772,0.1448888444380552,1.9659423239762661,0.27683528876219954,0.2860494385095622,398.0,0.2814423636358809,0.004607074873681341,0.046810248400363595,1.9659423239762661,5.766923532235705,5.861865235450789,398.0,5.814394383843247,0.047470851607542545,0.4823282487159258,1.9659423239762661,1.476117785022198,1.513006235654143,398.0,1.4945620103381705,0.018444225315972496,0.1874028081299781,1.9659423239762661,399.0,0.6917293233082706,-0.06424524914461956,-0.04427060068751669,398.0,-0.05425792491606812,0.009987324228551437,0.10147634688209299,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",8,"['re_T6W50', 'pe_T6W50', 'l1_T6W50', 'l2_T6W50', 'l3_T6W50', 'lsc_T6W50', 'atd_T6W50', 'asp_T6W50']",0.11498097802811494,0.1382516908668274,398.0,0.12661633444747117,0.011635356419356228,0.11822120090304017,1.9659423239762661,2.2913308247934285,2.3266941575461217,398.0,2.309012491169775,0.01768166637634655,0.17965481740646605,1.9659423239762661,completed,False,COMPLETE
3,1.7625047082100493,2026-06-21 04:10:53.734391,2026-06-21 04:11:00.058530,0 days 00:00:06.324139,,,,,,,,,,,,,LinearRegression,,,,2,,,,,,,,,,,,,,False,-0.016404638059463173,-0.010738835203816233,398.0,-0.013571736631639703,0.0028329014278234694,0.02878373440112958,1.9659423239762661,1.7504817057795778,1.7745277106405208,398.0,1.7625047082100493,0.012023002430471594,0.12215988359634329,1.9659423239762661,0.27395346535094484,0.2836039773603182,398.0,0.27877872135563153,0.004825256004686707,0.04902708081977521,1.9659423239762661,5.932368149345603,6.077230205987082,398.0,6.004799177666342,0.072431028320739,0.7359364717418473,1.9659423239762661,1.394175145661315,1.4213868961417966,398.0,1.4077810209015558,0.01360587524024084,0.13824268481903615,1.9659423239762661,399.0,0.46115288220551376,-0.012289437151596819,-0.0019722016869414046,398.0,-0.007130819419269112,0.005158617732327707,0.05241420729501315,1.9659423239762661,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['atd_T6W50', 'density_T6W50']",0.10617420273600253,0.1313335303762535,398.0,0.11875386655612802,0.012579663820125486,0.12781584939656238,1.9659423239762661,2.242981947647407,2.2780841455882417,398.0,2.2605330466178244,0.017551098970417133,0.17832818546057294,1.9659423239762661,completed,False,COMPLETE
4,1.7879183750593834,2026-06-21 04:11:00.085538,2026-06-21 04:11:06.493183,0 days 00:00:06.407645,,,,,,,,,,,,,LinearRegression,,,,5,,,,,,,,,,,,,,True,-0.032416687306084935,-0.024170511836479152,398.0,-0.028293599571282045,0.004123087734802892,0.04189269033702389,1.9659423239762661,1.7750016747415016,1.8008350753772653,398.0,1.7879183750593834,0.012916700317881759,0.13124031342472198,1.9659423239762661,0.2762801890387435,0.2858399533122862,398.0,0.28106007117551485,0.004779882136771324,0.0485660590030607,1.9659423239762661,6.076112404855599,6.2455783049931375,398.0,6.160845354924368,0.0847329500687694,0.8609303189477628,1.9659423239762661,1.4234527253423523,1.4516300678804919,398.0,1.437541396611422,0.014088671269069816,0.14314814059213385,1.9659423239762661,399.0,0.6015037593984962,-0.04590012456559748,-0.029718248184363714,398.0,-0.0378091863749806,0.008090938190616882,0.0822080901394443,1.9659423239762661,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",5,"['nodes_T6W50', 'pe_T6W50', 'l2_T6W50', 'lcc_T6W50', 'atd_T6W50']",0.07838325963430749,0.10209343426145141,398.0,0.09023834694787945,0.011855087313571966,0.12045377971312879,1.9659423239762661,2.274965215685916,2.311168427661352,398.0,2.293066821673634,0.018101605987718084,0.18392161967480994,1.9659423239762661,completed,True,COMPLETE
5,1.8047700148052503,2026-06-21 04:11:06.510922,2026-06-21 04:12:15.167470,0 days 00:01:08.656548,,,,,,10.0,2.0,285.0,,,,,ExtraTreesRegressor,,,,3,,,,,,,,,,,,,,True,-0.045151431665025187,-0.031512243149846055,398.0,-0.03833183740743562,0.006819594257589568,0.06929058240644102,1.9659423239762661,1.789318764147972,1.8202212654625287,398.0,1.8047700148052503,0.01545125065727834,0.15699264743781707,1.9659423239762661,0.27600748869643255,0.28533937024818645,398.0,0.2806734294723095,0.004665940775876947,0.04740835621923783,1.9659423239762661,5.936884077300148,6.06692704179517,398.0,6.001905559547659,0.06502148224751145,0.6606516756984587,1.9659423239762661,1.4314296316828568,1.4702700426048625,398.0,1.4508498371438596,0.019420205461002923,0.1973192679825594,1.9659423239762661,399.0,0.6090225563909775,-0.06604017815449348,-0.04072994680264109,398.0,-0.05338506247856729,0.012655115675926198,0.1285824790279748,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",3,"['re_T6W50', 'l2_T6W50', 'lsc_T6W50']",0.18334456702595794,0.20726185862811294,398.0,0.19530321282703544,0.0119586458010775,0.12150598716731902,1.9659423239762661,2.2872361232280323,2.325452505768559,398.0,2.3063443144982956,0.01910819127026312,0.19414904345323722,1.9659423239762661,completed,True,COMPLETE
6,1.817855261732965,2026-06-21 04:12:15.184836,2026-06-21 04:13:28.332633,0 days 00:01:13.147797,,,,,,,,,,,,,RandomForestRegressor,6.0,8.0,164.0,10,,,,,,,,,,,,,,False,-0.05101372066607433,-0.0402526060217043,398.0,-0.04563316334388932,0.005380557322185013,0.054669227587920574,1.9659423239762661,1.8036703016403934,1.8320402218255367,398.0,1.817855261732965,0.014184960092571726,0.14412648452399654,1.9659423239762661,0.27916152717538834,0.2886572149205212,398.0,0.2839093710479548,0.004747843872566414,0.04824053377352389,1.9659423239762661,5.856167866534117,5.950045770581484,398.0,5.9031068185578,0.04693895202368384,0.4769238755882581,1.9659423239762661,1.4709922962398347,1.5069077407861924,398.0,1.4889500185130136,0.017957722273178805,0.1824596871898775,1.9659423239762661,399.0,0.7142857142857143,-0.06554442426329761,-0.047007637970042045,398.0,-0.056276031116669824,0.009268393146627781,0.09417163761421488,1.9659423239762661,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['re_T6W50', 'pe_T6W50', 'l1_T6W50', 'l2_T6W50', 'l3_T6W50', 'lcc_T6W50', 'lsc_T6W50', 'atd_T6W50', 'density_T6W50', 'asp_T6W50']",0.08822989643186231,0.11228780889130884,398.0,0.10025885266158557,0.012028956229723256,0.12222037725653717,1.9659423239762661,2.2941622362574754,2.330591013672103,398.0,2.3123766249647892,0.01821438870731394,0.1850675500675869,1.9659423239762661,completed,False,COMPLETE
7,1.789609424241274,2026-06-21 04:13:28.350591,2026-06-21 04:14:04.790697,0 days 00:00:36.440106,,,,,,,,,,,,,RandomForestRegressor,3.0,2.0,89.0,5,,,,,,,,,,,,,,False,-0.0337604890231602,-0.02472896383958024,398.0,-0.02924472643137022,0.004515762591789983,0.0458824686888255,1.9659423239762661,1.7761628094508366,1.8030560390317112,398.0,1.789609424241274,0.013446614790437263,0.13662451680135382,1.9659423239762661,0.2759248498283483,0.2855292127686272,398.0,0.28072703129848775,0.004802181470139471,0.04879263169023115,1.9659423239762661,5.834182648521759,5.935882623508698,398.0,5.885032636015229,0.05084998749346964,0.5166620059340792,1.9659423239762661,1.4351390835126463,1.4668837573361093,398.0,1.4510114204243778,0.015872336911731445,0.16127110018915647,1.9659423239762661,399.0,0.5739348370927319,-0.031231809474359426,-0.015594897288556548,398.0,-0.023413353381457988,0.00781845609290144,0.07943953199171878,1.9659423239762661,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",5,"['re_T6W50', 'l1_T6W50', 'l2_T6W50', 'lsc_T6W50', 'density_T6W50']",0.09062903923190066,0.11551867918056502,398.0,0.10307385920623284,0.012444819974332175,0.1264457666238894,1.9659423239762661,2.2591308420187834,2.2956128889409486,398.0,2.277371865479866,0.018241023461082462,0.18533817285409934,1.9659423239762661,completed,False,COMPLETE
8,1.758322140893297,2026-06-21 04:14:04.876284,2026-06-21 04:15:02.225990,0 days 00:00:57.349706,,,,,,2.0,3.0,276.0,,,,,ExtraTreesRegressor,,,,11,,,,,,,,,,,,,,False,-0.014134049859002594,-0.00826540855952065,398.0,-0.011199729209261622,0.0029343206497409718,0.02981420581752667,1.9659423239762661,1.7463275632745605,1.7703167185120334,398.0,1.758322140893297,0.011994577618736417,0.12187107290093689,1.9659423239762661,0.272323266042602,0.2817041472683974,398.0,0.2770137066554997,0.004690440612897687,0.04765728715440904,1.9659423239762661,5.833202447135195,5.9473750885277585,398.0,5.890288767831477,0.05708632069628158,0.5800263562724526,1.9659423239762661,1.411077539550874,1.434704552021854,398.0,1.422891045786364,0.011813506235489978,0.12003129459032517,1.9659423239762661,399.0,0.3659147869674185,0.0038389022473890103,0.013820540192112828,398.0,0.00882972121975092,0.004990818972361909,0.05070928565804492,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",11,"['nodes_T6W50', 'edges_T6W50', 're_T6W50', 'pe_T6W50', 'l2_T6W50', 'l3_T6W50', 'lcc_T6W50', 'lsc_T6W50', 'atd_T6W50', 'density_T6W50', 'asp_T6W50']",0.14989684031528586,0.17380483473138938,398.0,0.16185083752333762,0.011953997208051775,0.12145875507315675,1.9659423239762661,2.225187732666307,2.2599970395390985,398.0,2.242592386102703,0.017404653436395738,0.17684022357312312,1.9659423239762661,completed,False,COMPLETE
9,1.8289521701436202,2026-06-21 04:15:02.253213,2026-06-21 04:15:11.835933,0 days 00:00:09.582720,,,,,,,,,,,,,SVR,,,,8,,,,,,,,,15.01455544253768,,0.0401698606222607,scale,linear,,-0.056501437044368275,-0.047204639841434054,398.0,-0.051853038442901164,0.004648398601467113,0.04723011871189932,1.9659423239762661,1.8151752652093993,1.8427290750778411,398.0,1.8289521701436202,0.013776904934220974,0.13998043440604277,1.9659423239762661,0.2815211423123978,0.2912780909042315,398.0,0.28639961660831464,0.0048784742959168586,0.04956780600880078,1.9659423239762661,6.115642972804319,6.302916925759058,398.0,6.209279949281688,0.09363697647736936,0.9513998032470081,1.9659423239762661,1.437782299980549,1.4749921240599162,398.0,1.4563872120202326,0.01860491203968352,0.18903546782355568,1.9659423239762661,399.0,0.7844611528822055,-0.08406101442895027,-0.06502209534044127,398.0,-0.07454155488469577,0.0095194595442545,0.09672260124300874,1.9659423239762661,SVR,"{'mode': 'original', 'type': 'SVR'}",8,"['nodes_T6W50', 'edges_T6W50', 'pe_T6W50', 'lcc_T6W50', 'lsc_T6W50', 'atd_T6W50', 'diameter_T6W50', 'asp_T6W50']",0.011243196362240093,0.03453703033153814,398.0,0.022890113346889115,0.011646916984649022,0.11833866218766041,1.9659423239762661,2.3137430842869167,2.3523252196732383,398.0,2.3330341519800775,0.0192910676931608,0.1960071618943577,1.9659423239762661,completed,True,COMPLETE
