subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,y_true,y_pred
CDMS-10-4A-JURAN,1.0408088261937634e-05,0.0003769235278176503,0.0005265195898568403,0.00017530796537912574,6.714393606886016e-05,0.00016912594745860095,0.0015551295698166955,0.00045005729616757426,7,8.00462954708312
CDMS-10-5A-HEPIHO,2.8466337713625343e-05,0.00034076047021965164,0.0002994461257388994,0.00013111597281387834,0.0,0.00023347778119302138,0.0008344191057513788,2.780923496224709e-05,11,8.003194426190685
CDMS-10-5A-KSRAGU,0.0,0.0005083681599950503,0.0008191185212218511,0.0,8.403255914966488e-05,0.0005213833780561888,0.0002287197242088214,0.0010565975980673533,9,8.004517151102991
CDMS-10-5A-SROPU,0.0,-0.0008669262750068742,-0.0009990798513364934,-0.00010062509346599286,-3.1361222290394574e-05,0.0006666077565923243,-0.00015558767053862105,0.0003056547365607957,10,8.000117613542807
CDMS-10-5A-SZURO,0.0,-8.440269403917717e-05,0.0004626796004461224,0.0002192301221645566,0.0,0.00040582588565412487,0.001080519076131626,0.0012624753751930414,10,8.004645258527843
CDMS-10-5B-SRAJA,0.0,0.0003591595951302119,0.0007372573012022466,0.00016967335406953835,5.172857985428852e-05,-0.0002929491279830931,-0.000556404447427171,0.0006145877140556329,4,8.002381984131194
CDMS-10-5C-DAAUSA,0.0,-0.0005007827259962613,-0.0008422250381501069,0.0,0.0,-0.0002583142641153107,-0.0010440810200931178,-0.0004741281640871091,3,7.9981793999498505
CDMS-10-5C-ICAPA,-7.696739125958346e-05,-0.0007424896264673688,-0.0007040244435928211,-4.533643580111956e-05,-1.3440279729787924e-05,-2.904660635455977e-05,-0.0009221532787799301,-0.0017642748568126988,7,7.9970011982434945
CDMS-10-5C-JFALGI,0.0,-0.00018455093454995827,-0.00022589600912538695,6.993960539818985e-05,-1.659412543083584e-05,-0.0001456170899646208,-0.001523610543235532,-0.0009870954109022479,12,7.998285506654482
CDMS-10-5C-MAORTO,0.0,-0.0009269956983865335,-0.00085605818607854,-2.5925637362696034e-05,0.0,-8.091295000810357e-05,-0.0010203801969069681,-0.0015783043945949882,4,7.996810354098955
CDMS-10-5C-NBEMO,0.0,-0.00048510847918198136,-0.0005671886846383353,-9.818268535977288e-05,0.0,-0.00020957781424106614,-0.0010210405427960097,-0.0005705306475194004,9,7.998347302308556
CDMS-10-6B-ASCACO,0.0,-0.00048410237588902014,-0.000189058248364877,9.193863452002871e-05,-8.813476912685867e-05,-0.0004271935935035749,-0.0015428613856759018,-0.0004514562867223459,9,7.99820806313753
CDMS-10-6B-JJMOBE,1.242718042684032e-05,0.0003604658276084558,0.0003852198578749272,0.0002702017410698406,6.756039210766114e-05,0.00013929952329792226,0.0012958095985203387,0.0012879241710839562,9,8.005117839454282
CDMS-11-4A-GACHSA,0.0,-0.0011185366062717245,-0.0009021989919883574,-2.7873578080098854e-05,-2.96343585635418e-05,-5.910712414989047e-05,-0.0010727110781774414,-0.0008140621048169233,2,7.997274807320244
CDMS-11-5A-EAARCA,0.0,-0.0006403083634902175,-0.0005031829937187718,6.38693036697168e-05,-4.3568058836225124e-05,-0.00016764991446475082,-0.0013418612708397837,-0.0004249694398673365,6,7.998241260424745
CDMS-11-5A-MGTHAR,0.0,-0.0010459318347145147,-0.0008067296251604852,-4.0375203477763764e-05,0.0,-0.00011115124364185203,-0.0010889680452978836,-0.0015198973673761595,9,7.996685877842624
CDMS-11-6A-DFVEBE,3.1603482454474214e-05,0.0006144308018247029,0.0008518543937234776,-0.001153141374364996,5.845418395470775e-05,0.00017914180835875988,0.0006871690779983854,0.0007273798489790248,11,8.003295823385221
CDMS-11-6A-NMREPR,0.0,-0.0004492244194417329,0.00022090775274237148,0.00025054420699227305,0.0,0.0006049985895930052,0.0013204257748714067,0.0012355241188951548,9,8.004482107185945
CDMS-11-6B-ARAHE,0.0,-0.0007812187483680404,-0.00019168487689756407,-0.000323523065711644,-6.135828821667087e-05,0.00019920376541401798,-0.0010588059158438059,-0.00043623973545038044,7,7.998645304297218
CDMS-11-6B-AVROTO,0.0,0.00048440655057771905,0.000629159081572034,0.0001475984273438123,-0.00018455604591693367,0.00014317330599513645,0.001174057720017818,0.0010353557310319493,10,8.004728125932914
CDMS-11-6B-EAFESA,0.0,-0.0005813388539565299,-0.000740610172744439,6.254633742092666e-05,4.577267996783777e-05,0.00036259484968280674,-5.114942102067433e-05,0.0005221248016009809,7,8.000918871383243
CDMS-11-6B-EFRGR,0.0,-0.0010687675831920073,-0.0008405455954842517,-4.729022454427745e-05,-7.400941977563758e-05,-0.00045751801974170715,-0.0010518466770182671,-0.000879343202278066,7,7.996879610440258
CDMS-11-6B-EROCO,0.0,-0.0002836017713265153,-0.00022685700763344126,0.0,-2.326842902448294e-05,-0.00010130723548528043,-0.0015330468657130487,-0.000826384166844007,8,7.998304465686266
CDMS-11-6B-JACUPE,-5.3919896296867214e-05,-0.00035502206325426264,-0.0006031701380606983,0.0,0.00014054353974568426,-0.00013053935002855922,-0.0007369971202691214,-0.0016216811876750819,8,7.9979381449464535
CDMS-11-6B-JDCHBA,0.0,-0.0006290253308809777,-0.0008054470875011096,-4.612468748620151e-05,0.00012680443850587994,-0.00015051177497200165,-0.0008430181693866021,-0.0008332767983520801,6,7.998118331752219
CDMS-11-6B-JFSAHE,2.5169129981671493e-05,0.00039192620500050357,0.0004371680590464207,0.0001394461634315514,4.8482213979404184e-05,0.0003031240737432596,0.0007083695963556974,0.00018531672334431098,8,8.003537933327175
CDMS-11-6B-JLPENA,-0.00011204118711631952,0.0001895325168961852,0.00010054232252600841,0.0,0.0,-0.00039866248814277077,-0.001213530235204298,-0.0019694266108178614,6,7.997895345480433
CDMS-11-6B-JMARME,0.0,-0.00015459460245084404,-0.00045579779034448964,0.00018940106222025077,0.0,-3.4775432948248126e-05,-0.00038110911113209514,0.00023295736614537772,4,8.000695012653782
