subject,lcc_T6W50,lsc_T6W50
CDMS-10-4A-JURAN,35.33712121212121,33.04545454545455
CDMS-10-5A-HEPIHO,36.13859910581222,33.27123695976155
CDMS-10-5A-KSRAGU,34.20905923344948,32.31010452961672
CDMS-10-5A-SROPU,34.34803921568628,31.348039215686278
CDMS-10-5A-SZURO,34.29857819905213,32.0260663507109
CDMS-10-5B-SRAJA,34.66990291262136,32.15533980582524
CDMS-10-5C-DAAUSA,32.94368932038835,30.071844660194174
CDMS-10-5C-ICAPA,29.253246753246756,26.55194805194805
CDMS-10-5C-JFALGI,31.19371727748691,29.031413612565444
CDMS-10-5C-MAORTO,30.38630806845966,28.058679706601467
CDMS-10-5C-NBEMO,31.60246913580247,29.523456790123458
CDMS-10-6B-ASCACO,31.98566308243728,30.315412186379927
CDMS-10-6B-JJMOBE,34.467032967032964,31.73351648351648
CDMS-11-4A-GACHSA,30.981081081081083,29.24054054054054
CDMS-11-5A-EAARCA,32.34222222222222,30.386666666666667
CDMS-11-5A-MGTHAR,30.197183098591548,27.79225352112676
CDMS-11-6A-DFVEBE,33.60436137071651,30.7196261682243
CDMS-11-6A-NMREPR,33.80952380952381,31.478835978835978
CDMS-11-6B-ARAHE,32.523668639053255,30.18639053254438
CDMS-11-6B-AVROTO,35.30232558139535,31.68217054263566
CDMS-11-6B-EAFESA,34.088010204081634,31.581632653061224
CDMS-11-6B-EFRGR,31.21578947368421,29.18947368421053
CDMS-11-6B-EROCO,31.765182186234817,29.518218623481783
CDMS-11-6B-JACUPE,29.43342776203966,26.97308781869688
CDMS-11-6B-JDCHBA,31.18483412322275,28.761453396524487
CDMS-11-6B-JFSAHE,35.73368146214099,32.942558746736296
CDMS-11-6B-JLPENA,33.20789473684211,29.74736842105263
CDMS-11-6B-JMARME,33.35012285012285,30.95577395577396
CDMS-11-6B-JPSAMA,35.515228426395936,31.84010152284264
CDMS-11-6B-LESTA,31.88339222614841,30.14840989399293
CDMS-11-6B-MAGIMU,30.220338983050848,28.70508474576271
CDMS-11-6B-MEBRTA,32.90706319702602,30.557620817843866
CDMS-11-6B-MMAMO,34.785714285714285,32.45039682539682
CDMS-11-6B-RSECA,32.648648648648646,30.45675675675676
CDMS-11-6B-SCAPA,35.260416666666664,32.796875
CDMS-11-6B-VZAPE,32.25278810408922,30.21189591078067
CDMS-11-6B-YLNIME,34.04522613065327,32.10552763819096
CDMS-11-7C-ICARE,33.82334384858044,29.6403785488959
CDMS-11-7C-IMOIB,35.00624024960999,32.4789391575663
CDMS-11-7C-SALMA,33.2687338501292,31.36950904392765
CDMS-11-7C-SPGAVE,33.28431372549019,30.323529411764707
CDMS-12-5A-SRIGO,34.82142857142857,31.810924369747895
CDMS-12-6A-FAROPA,34.81203007518797,32.83458646616541
CDMS-12-6A-JGIGA,31.555891238670696,29.459214501510573
CDMS-12-6A-JSOTGU,32.26658767772512,30.240521327014218
CDMS-12-6A-SROAL,35.07488986784141,32.548458149779734
CDMS-12-6B-IJDAGA,32.22174840085288,29.22174840085288
CDMS-12-6B-SCLAG,32.5171102661597,29.769961977186316
CDMS-12-7C-ARAHE,32.15942028985507,30.231884057971016
CDMS-12-7C-CATRAR,34.312056737588655,31.888297872340427
CDMS-12-7C-DLOLO,33.69191919191919,31.154040404040405
CDMS-12-7C-JSZAOR,37.75757575757576,34.08080808080808
CDMS-12-7C-MAROBE,36.39325842696629,33.390449438202246
CDMS-12-7C-VMAPA,33.37410071942446,31.39568345323741
CDMS-12-7C-VQURA,34.70779220779221,31.26298701298701
CDMS-13-6B-ASUMO,33.474489795918366,28.290816326530614
CDMS-13-6B-JDTAHE,34.15878378378378,30.96283783783784
CDMS-13-7C-MVEAR,31.113345521023767,29.404021937842774
CDMS-13-7C-RAIZAC,35.06521739130435,31.85507246376812
CDMS-13-7C-SSOSLO,32.2814371257485,29.940119760479043
CDMS-14-10A-IMORTO,33.880195599022,30.3960880195599
CDMS-14-10A-JCVANI,36.118,32.856
CDMS-14-5A-LSDUCO,31.049875311720697,29.14214463840399
CDMS-14-6B-KDCAHE,33.436105476673426,29.912778904665316
CDMS-15-10A-AMALOS,33.892857142857146,31.76428571428572
CDMS-15-10A-JJMACH,36.51718061674009,33.797356828193834
CDMS-15-10A-MAALCA,35.15419501133787,32.50340136054422
CDMS-15-10A-MAALRI,36.45647969052224,32.91682785299807
CDMS-15-10A-SGOMO,36.09711286089239,33.54068241469816
CDMS-15-10A-SHEGA,34.83916083916084,32.15151515151515
CDMS-15-11B-JEMOLO,34.98529411764706,32.148395721925134
CDMS-15-11B-VSAHO,34.31772575250836,31.585284280936456
CDMS-16-10A-SGALO,35.310421286031044,32.56541019955654
CDMS-16-11B-NGABE,36.31712062256809,33.14007782101167
CDMS-17-10A-ASSAMO,37.26797385620915,34.673202614379086
CDMS-18-7C-VVECA,32.755319148936174,30.56382978723404
CDMS-8-4A-DBEVA,29.421768707482997,27.816326530612244
CDMS-8-4A-DJAVDA,28.76356589147287,26.42635658914729
CDMS-8-4A-DOSTR,31.021052631578947,28.36390977443609
CDMS-8-4A-LGOPA,31.07474226804124,28.72938144329897
CDMS-8-4C-JDBUTU,30.066473988439306,28.395953757225435
CDMS-9-4A-ACDUTR,32.18855218855219,30.151515151515152
CDMS-9-4A-CARGA,33.11611374407583,30.90521327014218
CDMS-9-4A-CRAAG,30.498293515358363,28.37883959044369
CDMS-9-4A-EROHI,33.20867208672087,31.173441734417345
CDMS-9-4A-ILOSE,32.33967391304348,30.296195652173918
CDMS-9-4A-TGAFR,30.645522388059703,28.899253731343283
CDMS-9-4C-SCAMO,37.82775119617225,34.32057416267943
CDMS-9-5A-ABERO,32.36401673640167,29.65062761506276
CDMS-9-5A-PAGACO,33.07333333333333,31.03
CDMS-9-5A-VVAAR,31.024752475247524,29.405940594059405
CDMS-9-5C-JDMADE,33.4954128440367,28.137614678899084
CDMS-9-5C-LVIZAC,34.52278820375335,31.648793565683647
CDMS-9-5C-MLOGO,31.37003058103976,29.33333333333333
CDMS-9-5C-SCAAG,33.266666666666666,30.50175438596491
CDMS-XX-10A-VGILO,34.25684210526316,31.02947368421053
CDMS-XX-5C-MJSARU,34.41463414634146,31.945121951219512
CDMS-XX-5C-MPCAQU,32.21527777777778,30.02430555555556
CDMS-XX-6A-MAGICA,34.77857142857143,32.12619047619047
CDMS-XX-6B-SPUCA,34.67445482866044,32.26791277258567
CSO-10-4A-ICAPA,31.70385395537525,29.50101419878296
CSO-10-4A-KCOMO,31.00204081632653,28.66734693877551
CSO-10-4A-LRAVI,28.92258064516129,26.954838709677414
CSO-10-4A-LSCAVA,35.363013698630134,30.89041095890411
CSO-10-5A-ACAVA,35.129692832764505,31.935153583617748
CSO-10-5A-ARACA,32.550135501355015,28.62330623306233
CSO-10-5A-DABRZA,30.36694214876033,28.02644628099173
CSO-10-5A-GZAMA,33.715220949263504,31.51554828150573
CSO-10-5A-IPECA,33.83399209486166,31.33596837944664
CSO-10-5A-JANORO,34.13851351351352,31.625
CSO-10-5A-JBUVE,35.32631578947368,32.21052631578947
CSO-10-5A-JJSEMO,31.405693950177938,29.587188612099645
CSO-10-5A-JLCARI,34.0,31.57309941520468
CSO-10-5A-MAARAN,30.992628992628998,29.415233415233416
CSO-10-5A-MAOSMO,36.20634920634921,33.45124716553288
CSO-10-5A-RVMOIB,35.04899777282851,32.4097995545657
CSO-10-5A-SVHEES,32.59659090909091,30.57765151515152
CSO-11-5A-MDVOSPE,33.50837988826816,31.30167597765363
CSO-11-5A-MTAGA,36.51367781155015,33.26139817629179
CSO-11-6A-CAPAMU,35.02569169960474,30.81620553359684
CSO-11-6A-DSCACH,35.65853658536585,33.08943089430894
CSO-11-6A-EROMO,33.42056074766355,30.80373831775701
CSO-11-6A-FSOVRE,31.1137339055794,28.57510729613734
CSO-11-6B-ANREVA,33.089635854341736,30.904761904761905
CSO-11-6B-DISEMO,35.41150442477876,30.43362831858407
CSO-11-6B-LHFDLACH,34.771844660194176,30.3373786407767
CSO-11-6B-RJGIHE,33.04696132596685,30.685082872928177
CSO-11-6B-SFLVA,30.693103448275863,28.910344827586208
CSO-11-6B-VCOMA,34.58657243816254,31.671378091872796
CSO-12-6A-DGISE,32.95238095238095,29.297619047619047
CSO-12-6A-FJOVRE,32.240625,29.771875
CSO-12-6B-GQULO,32.54849498327759,29.809364548494983
CSO-12-6B-LJHEFE,35.59053497942387,32.89300411522634
CSO-12-6B-VPAMA,29.88050314465409,23.58490566037736
CSO-12-7A-DALRE,30.21764705882353,28.00392156862745
CSO-12-7A-ESALA,31.72772277227723,29.76732673267327
CSO-12-7A-IMERO,33.77213114754098,31.22622950819672
CSO-12-7A-JHEZA,35.661818181818184,30.385454545454547
CSO-12-7A-LSARAR,31.68281938325991,29.59911894273128
CSO-12-7A-SCAHO,32.928,30.46133333333333
CSO-12-7B-DVAGRO,35.890243902439025,30.63719512195122
CSO-12-7B-SMUGU,33.4014598540146,30.956204379562045
CSO-12-7B-SSARA,35.92219020172911,33.0
CSO-12-7B-VHOMA,37.09841827768014,33.339191564147626
CSO-12-8A-YTOME,34.16254416961131,31.79151943462897
CSO-13-6A-ANASA,36.1213282247765,33.42017879948914
CSO-13-6B-JETAVE,31.706611570247933,29.820247933884296
CSO-13-6B-LFMIES,34.25660377358491,28.57358490566038
CSO-13-6B-LJMAHU,32.654761904761905,29.074404761904763
CSO-13-7A-CAPAMU,34.110344827586204,30.94137931034483
CSO-13-7A-CDDITR,35.54545454545455,32.764462809917354
CSO-13-7A-JJATFL,32.7148288973384,30.80988593155893
CSO-13-7A-KRAMA,31.75757575757576,29.818181818181817
CSO-13-7A-RXCHLU,33.365546218487395,31.57563025210084
CSO-13-7A-YAMEZA,34.932432432432435,32.68783783783784
CSO-13-7A-YBOSO,31.174863387978142,20.989071038251367
CSO-13-8A-KIGAGU,32.959514170040485,31.22672064777328
CSO-13-8A-MBUAN,35.3630017452007,32.14310645724258
CSO-13-8A-MGAAN,35.88461538461539,33.3974358974359
CSO-13-8A-MGAHE,34.32142857142857,31.849206349206348
CSO-13-8A-MJAGA,30.3277027027027,28.155405405405407
CSO-13-8A-VHODU,33.38716814159292,31.418141592920357
CSO-13-8B-FCJISA,35.778688524590166,32.881147540983605
CSO-13-8B-JEMABE,30.381615598885794,27.785515320334262
CSO-13-9B-DMLLLU,31.31336405529954,29.46082949308756
CSO-14-7A-MVEBE,32.61333333333334,30.433333333333334
CSO-14-7B-EALHU,32.718120805369125,30.84899328859061
CSO-14-7B-EVEGO,35.811695906432746,33.095906432748535
CSO-14-8A-AQUMA,31.9800796812749,30.358565737051794
CSO-14-8A-MCIDOS,31.933753943217667,27.649842271293377
CSO-14-8A-SZARA,33.95795795795796,31.426426426426428
CSO-14-8B-JLLORA,32.89928057553957,30.33812949640288
CSO-14-9A-AEDCAGO,35.505399568034555,31.50323974082073
CSO-14-9A-HASACA,34.95111111111111,31.16888888888889
CSO-14-9A-JSMAAL,34.542857142857144,31.73469387755102
CSO-14-9A-MARJA,34.58563535911602,31.87292817679558
CSO-14-9A-SORZU,33.20578778135048,29.070739549839228
CSO-14-9B-ERAGA,31.0,28.43250688705234
CSO-14-9B-MFEGA,32.153543307086615,30.263779527559056
CSO-15-10A-LJRAGU,33.439071566731144,30.87620889748549
CSO-15-10A-MAARLO,33.17821782178218,30.480198019801986
CSO-15-10A-SFEGA,31.36577181208054,29.241610738255037
CSO-15-10B-MEBUAR,33.98776758409786,31.23547400611621
CSO-15-10B-YVBUAN,34.20860927152318,31.90397350993377
CSO-15-10C-ALBAHO,33.82303370786517,31.412921348314608
CSO-15-10C-SSCAMO,34.70464135021097,31.824894514767934
CSO-15-11C-JETALO,32.73767885532592,30.255961844197135
CSO-15-7B-JCRAGA,34.056,30.808
CSO-15-8A-VBMABR,32.154639175257735,30.527835051546397
CSO-15-8B-KEPOGO,36.25856697819314,33.386292834890966
CSO-15-9B-ALRIHE,35.27076923076923,32.76307692307692
CSO-15-9B-AMSAGO,35.876254180602004,32.558528428093645
CSO-15-9B-JCAPA,34.31457800511509,32.08695652173913
CSO-15-9B-KSBEJA,30.62762762762763,29.066066066066067
CSO-15-9B-RMCHLU,32.61093247588425,30.916398713826368
CSO-15-9B-SJAGRO,37.63513513513514,33.891891891891895
CSO-16-10A-JEGAHE,33.02372262773723,31.05109489051095
CSO-16-10A-MSACO,35.71098265895954,32.82658959537572
CSO-16-10A-SARI,32.41304347826087,26.24223602484472
CSO-16-10A-SMOUT,35.385356454720615,32.447013487475914
CSO-16-10A-YKMUJO,31.796812749003983,30.10358565737052
CSO-16-10B-JESUGU,36.175324675324674,33.9025974025974
CSO-16-10B-LTVIFA,39.19551282051282,35.35897435897436
CSO-16-10B-VVILI,35.37162162162162,32.914414414414416
