number,value,datetime_start,datetime_complete,duration,params_bag_n_estimators,params_dt_max_depth,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_min_samples_split,params_et_n_estimators,params_gpr_alpha,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_regressor,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_svc_C,params_rfe_proxy_type,params_ridge_alpha,params_ridge_solver,params_stack_final_estimator,params_svr_C,params_svr_degree,params_svr_epsilon,params_svr_gamma,params_svr_kernel,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_clf,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,2.856884376074897,2026-06-21 05:22:32.732288,2026-06-21 05:22:39.354167,0 days 00:00:06.621879,,,,,,,,,,,,,Ridge,,,,6,,,,,,0.29110519961044856,sparse_cg,,,,,,,True,-0.017416514250279274,-0.01159360882263187,398.0,-0.014505061536455572,0.0029114527138237025,0.029581855836238954,1.9659423239762661,2.843471843086083,2.870296909063711,398.0,2.856884376074897,0.013412532988814351,0.13627822818142835,1.9659423239762661,901241895477360.6,1005939140754986.4,398.0,953590518116173.5,52348622638812.875,531888909194493.7,1.9659423239762661,8.337100481719704,8.552371891946416,398.0,8.44473618683306,0.10763570511335664,1.0936340804633962,1.9659423239762661,2.5316712414645255,2.5740630404755227,398.0,2.552867140970024,0.021195899505498723,0.21536123204542604,1.9659423239762661,399.0,0.6416040100250626,-0.03034914113637061,-0.01969271959757248,398.0,-0.025020930366971544,0.005328210769399066,0.054137359709494945,1.9659423239762661,Ridge,"{'mode': 'original', 'type': 'Ridge'}",6,"['nodes_T6W50', 're_T6W50', 'lcc_T6W50', 'density_T6W50', 'diameter_T6W50', 'asp_T6W50']",0.05759489783691751,0.08144548285511127,398.0,0.0695201903460144,0.011925292509096885,0.12116710057975746,1.9659423239762661,3.4712915559079534,3.5084585157843504,398.0,3.489875035846152,0.01858347993819838,0.18881770665800737,1.9659423239762661,completed,True,COMPLETE
1,3.2331529991521375,2026-06-21 05:22:39.382882,2026-06-21 05:23:26.381934,0 days 00:00:46.999052,79.0,,,,,,,,,,,,BaggingRegressor,,,,3,,,,1.7123375973163988,LinearSVC,,,,,,0.03334792728637585,,,True,-0.15603652466236817,-0.14143977485940795,398.0,-0.14873814976088806,0.007298374901480123,0.07415523980496393,1.9659423239762661,3.2117691159544557,3.2545368823498193,398.0,3.2331529991521375,0.02138388319768174,0.21727124296723097,1.9659423239762661,850018624408495.2,953280297593315.0,398.0,901649461000905.1,51630836592409.85,524595834075965.75,1.9659423239762661,9.349330958509354,9.600067854980066,398.0,9.47469940674471,0.12536844823535667,1.2738078638552384,1.9659423239762661,2.8659617586767103,2.9321410933901664,398.0,2.8990514260334384,0.03308966735672781,0.3362080258999861,1.9659423239762661,399.0,0.9899749373433584,-0.3251391436990442,-0.2948674880540728,398.0,-0.3100033158765585,0.015135827822485692,0.1537877893331359,1.9659423239762661,BaggingRegressor,"{'mode': 'proxy', 'type': 'LinearSVC', 'C': 1.7123375973163988, 'epsilon': 0.03334792728637585}",3,"['lcc_T6W50', 'diameter_T6W50', 'asp_T6W50']",-0.08610421314465924,-0.06064762188004266,398.0,-0.07337591751235095,0.012728295632308293,0.12932602499371168,1.9659423239762661,3.9119678732627503,3.962034785065111,398.0,3.9370013291639308,0.025033455901180564,0.2543527772357324,1.9659423239762661,completed,True,COMPLETE
2,2.9786688654640283,2026-06-21 05:23:26.414925,2026-06-21 05:25:04.021072,0 days 00:01:37.606147,,,,,,19.0,8.0,399.0,,,,,ExtraTreesRegressor,,,,8,,,,,,,,,,,,,,False,-0.06275181262884376,-0.0530871346212853,398.0,-0.057919473625064534,0.004832339003779231,0.0490990477306745,1.9659423239762661,2.9620107115382903,2.9953270193897663,398.0,2.9786688654640283,0.016658153925738182,0.1692554049012469,1.9659423239762661,876551426549901.8,981070523388856.8,398.0,928810974969379.2,52259548419477.445,530983869348716.56,1.9659423239762661,8.478846815081674,8.715111110148829,398.0,8.596978962615252,0.11813214753357786,1.200283329820626,1.9659423239762661,2.66262746723833,2.7141488240417613,398.0,2.6883881456400456,0.025760678401715902,0.26174173157785957,1.9659423239762661,399.0,0.8947368421052632,-0.11119348535478316,-0.09300826170292933,398.0,-0.10210087352885625,0.009092611825926907,0.09238560905775321,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",8,"['re_T6W50', 'pe_T6W50', 'l1_T6W50', 'l2_T6W50', 'l3_T6W50', 'atd_T6W50', 'density_T6W50', 'diameter_T6W50']",0.015825770078408415,0.039019191842346194,398.0,0.027422480960377305,0.011596710881968888,0.11782854238233732,1.9659423239762661,3.5952933951537887,3.635863776923469,398.0,3.615578586038629,0.020285190884840147,0.20610796442502896,1.9659423239762661,completed,False,COMPLETE
3,2.8291709887946577,2026-06-21 05:25:04.038659,2026-06-21 05:25:10.261422,0 days 00:00:06.222763,,,,,,,,,,,,,LinearRegression,,,,2,,,,,,,,,,,,,,False,-0.007244321430217637,-0.002085458440039243,398.0,-0.00466488993512844,0.002579431495089197,0.026208349620409944,1.9659423239762661,2.816390778397799,2.8419511991915165,398.0,2.8291709887946577,0.012780210396858739,0.12985350568175855,1.9659423239762661,909447485994152.5,1014227308204980.5,398.0,961837397099566.5,52389911105413.945,532308421234271.25,1.9659423239762661,8.284946938307227,8.49925665156596,398.0,8.392101794936593,0.10715485662936589,1.0887484127467437,1.9659423239762661,2.517917609764274,2.5544283278462436,398.0,2.5361729688052588,0.018255359040984957,0.18548382971329921,1.9659423239762661,399.0,0.41604010025062654,-0.007120585269462252,0.0022898788559406707,398.0,-0.0024153532067607906,0.004705232062701461,0.04780757588608813,1.9659423239762661,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['density_T6W50', 'asp_T6W50']",0.12403297145562427,0.14999890187335577,398.0,0.13701593666449002,0.012982965208865754,0.1319135987722,1.9659423239762661,3.4332969236114224,3.4697465233680207,398.0,3.4515217234897215,0.01822479987829897,0.18517333291533958,1.9659423239762661,completed,False,COMPLETE
4,2.852440938524446,2026-06-21 05:25:10.289280,2026-06-21 05:25:16.444074,0 days 00:00:06.154794,,,,,,,,,,,,,LinearRegression,,,,5,,,,,,,,,,,,,,True,-0.016537617380554565,-0.00956848893073631,398.0,-0.013053053155645436,0.003484564224909127,0.03540496332430537,1.9659423239762661,2.8386869563107706,2.866194920738121,398.0,2.852440938524446,0.01375398221367511,0.13974752778477342,1.9659423239762661,902286990238984.8,1008169745713054.0,398.0,955228367976019.4,52941377737034.67,537911605623165.44,1.9659423239762661,8.389213011947307,8.598569319923177,398.0,8.493891165935242,0.10467815398793587,1.0635838410742768,1.9659423239762661,2.5456863134326473,2.5843814268276835,398.0,2.5650338701301654,0.019347556697518285,0.1965811192096531,1.9659423239762661,399.0,0.568922305764411,-0.030137074955341757,-0.016449383107428356,398.0,-0.023293229031385056,0.006843845923956701,0.06953699180023087,1.9659423239762661,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",5,"['pe_T6W50', 'l1_T6W50', 'lcc_T6W50', 'atd_T6W50', 'density_T6W50']",0.1098284400352698,0.13479103541901452,398.0,0.12230973772714217,0.012481297691872366,0.12681639898085179,1.9659423239762661,3.4667782880404867,3.50420065770335,398.0,3.4854894728719183,0.018711184831431478,0.1901152540037935,1.9659423239762661,completed,True,COMPLETE
5,2.933545276125053,2026-06-21 05:25:16.462132,2026-06-21 05:26:25.527363,0 days 00:01:09.065231,,,,,,10.0,2.0,285.0,,,,,ExtraTreesRegressor,,,,3,,,,,,,,,,,,,,True,-0.04784207157056059,-0.036072522327479074,398.0,-0.04195729694901983,0.0058847746215407596,0.059792334478463265,1.9659423239762661,2.914716733409726,2.95237381884038,398.0,2.933545276125053,0.018828542715326864,0.19130767041713787,1.9659423239762661,931757183744086.2,1044019364313149.0,398.0,987888274028617.6,56131090284531.41,570320724373773.0,1.9659423239762661,8.654033034259223,8.81361551067039,398.0,8.733824272464807,0.07979123820558282,0.8107199867562337,1.9659423239762661,2.4358172390357336,2.4936099733263077,398.0,2.4647136061810206,0.0288963671452873,0.2936019407164866,1.9659423239762661,399.0,0.8395989974937343,-0.12756619352613421,-0.10455996822763572,398.0,-0.11606308087688497,0.011503112649249247,0.11687753623558017,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",3,"['re_T6W50', 'pe_T6W50', 'l3_T6W50']",0.10270740169245417,0.12603980325336764,398.0,0.1143736024729109,0.01166620078045673,0.11853459546346137,1.9659423239762661,3.613618221840286,3.657924834806757,398.0,3.6357715283235215,0.02215330648323559,0.22508897897311883,1.9659423239762661,completed,True,COMPLETE
6,2.9661408254573254,2026-06-21 05:26:25.544814,2026-06-21 05:27:38.220673,0 days 00:01:12.675859,,,,,,,,,,,,,RandomForestRegressor,6.0,8.0,164.0,10,,,,,,,,,,,,,,False,-0.057789413853203596,-0.04895179267557876,398.0,-0.05337060326439118,0.004418810588812417,0.04489738651266667,1.9659423239762661,2.9498648996427286,2.982416751271922,398.0,2.9661408254573254,0.016275925814596658,0.16537177085606378,1.9659423239762661,909447483893540.1,1017750413085082.4,398.0,963598948489311.2,54151464595771.16,550206709999927.6,1.9659423239762661,8.51850052020611,8.749115449787777,398.0,8.633807984996944,0.11530746479083344,1.1715831014836744,1.9659423239762661,2.6301043742872334,2.67805367451588,398.0,2.6540790244015566,0.023974650114323273,0.2435947662961515,1.9659423239762661,399.0,0.9097744360902256,-0.11089783933933643,-0.09444163481370162,398.0,-0.10266973707651902,0.008228102262817403,0.08360174760483323,1.9659423239762661,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['re_T6W50', 'pe_T6W50', 'l1_T6W50', 'l2_T6W50', 'l3_T6W50', 'lcc_T6W50', 'lsc_T6W50', 'density_T6W50', 'diameter_T6W50', 'asp_T6W50']",-0.030065125910801717,-0.006471900909808597,398.0,-0.018268513410305158,0.01179661250049656,0.11985964556070566,1.9659423239762661,3.5970254202395253,3.6387910529897844,398.0,3.617908236614655,0.02088281637512956,0.21218014654011644,1.9659423239762661,completed,False,COMPLETE
7,2.8987476862214447,2026-06-21 05:27:38.240897,2026-06-21 05:28:14.462302,0 days 00:00:36.221405,,,,,,,,,,,,,RandomForestRegressor,3.0,2.0,89.0,5,,,,,,,,,,,,,,False,-0.032933953978174814,-0.02581700979221741,398.0,-0.029375481885196113,0.0035584720929787003,0.03615590524687794,1.9659423239762661,2.884022981957027,2.9134723904858624,398.0,2.8987476862214447,0.01472470426441782,0.14961056269713363,1.9659423239762661,925088438975537.9,1033655428484270.1,398.0,979371933729904.0,54283494754366.14,551548204264645.75,1.9659423239762661,8.526863324222067,8.770758312063176,398.0,8.648810818142621,0.12194749392055544,1.239049209908253,1.9659423239762661,2.587177309949568,2.630840494528135,398.0,2.6090089022388514,0.021831592289283747,0.22182019742610326,1.9659423239762661,399.0,0.7794486215538847,-0.059940626617459566,-0.046501397768242914,398.0,-0.05322101219285124,0.006719614424608327,0.06827473592137207,1.9659423239762661,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",5,"['pe_T6W50', 'l2_T6W50', 'l3_T6W50', 'lcc_T6W50', 'lsc_T6W50']",0.008554451089593353,0.03245034561405076,398.0,0.020502398351822056,0.011947947262228703,0.12139728451438538,1.9659423239762661,3.5170368477949023,3.5565608381421963,398.0,3.5367988429685493,0.019761995173647042,0.20079202711676805,1.9659423239762661,completed,False,COMPLETE
8,2.8552732778189998,2026-06-21 05:28:14.480288,2026-06-21 05:29:11.364146,0 days 00:00:56.883858,,,,,,2.0,3.0,276.0,,,,,ExtraTreesRegressor,,,,11,,,,,,,,,,,,,,False,-0.016539570992687273,-0.011412976502449376,398.0,-0.013976273747568324,0.002563297245118949,0.026044417348943003,1.9659423239762661,2.842696268795364,2.8678502868426357,398.0,2.8552732778189998,0.012577009023635856,0.12778887529986557,1.9659423239762661,908784869505769.2,1013918418095249.5,398.0,961351643800509.4,52566774294740.086,534105442131963.3,1.9659423239762661,8.303940656004803,8.542926128629363,398.0,8.423433392317083,0.11949273631228009,1.2141076110507043,1.9659423239762661,2.5791542608672606,2.6166782323466555,398.0,2.597916246606958,0.018761985739697666,0.1906314173395554,1.9659423239762661,399.0,0.5714285714285714,-0.018074782865915587,-0.009227388464695535,398.0,-0.013651085665305561,0.004423697200610025,0.044947036999874714,1.9659423239762661,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",11,"['nodes_T6W50', 're_T6W50', 'pe_T6W50', 'l2_T6W50', 'l3_T6W50', 'lcc_T6W50', 'lsc_T6W50', 'atd_T6W50', 'density_T6W50', 'diameter_T6W50', 'asp_T6W50']",0.08311117883661087,0.10700794588105356,398.0,0.09505956235883221,0.01194838352222135,0.1214017171401149,1.9659423239762661,3.4528276144538386,3.488987526988771,398.0,3.470907570721305,0.018079956267466182,0.18370164739075193,1.9659423239762661,completed,False,COMPLETE
9,2.9101390066003368,2026-06-21 05:29:11.453580,2026-06-21 05:29:19.905094,0 days 00:00:08.451514,,,,,,,,,,,,,SVR,,,,8,,,,,,,,,15.01455544253768,,0.0401698606222607,scale,linear,,-0.038161614085637396,-0.028790976649221815,398.0,-0.033476295367429604,0.004685318718207789,0.04760524607209794,1.9659423239762661,2.8933652444817377,2.926912768718936,398.0,2.9101390066003368,0.016773762118598948,0.1704300435544723,1.9659423239762661,847871343938769.9,949026889940503.6,398.0,898449116939636.8,50577773000866.92,513896166791827.44,1.9659423239762661,8.965731694769214,9.197420117947924,398.0,9.08157590635857,0.11584421158935457,1.1770367248034095,1.9659423239762661,2.477183919965013,2.5167906480988775,398.0,2.4969872840319454,0.019803364066931967,0.20121235633298679,1.9659423239762661,399.0,0.849624060150376,-0.10165111691924988,-0.08270547473178341,398.0,-0.09217829582551665,0.009472821093733229,0.09624873061711975,1.9659423239762661,SVR,"{'mode': 'original', 'type': 'SVR'}",8,"['nodes_T6W50', 'edges_T6W50', 'l1_T6W50', 'lcc_T6W50', 'lsc_T6W50', 'atd_T6W50', 'diameter_T6W50', 'asp_T6W50']",0.0408687322860342,0.06517797648550468,398.0,0.05302335438576944,0.012154622099735241,0.12349720707849497,1.9659423239762661,3.577892594436167,3.6215408659024555,398.0,3.599716730169311,0.021824135733144366,0.22174443498362817,1.9659423239762661,completed,True,COMPLETE
