number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.4381457116110505,2026-06-12 15:29:49.740057,2026-06-12 15:29:52.652668,0 days 00:00:02.912611,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,8,,,,,,,,False,,,,,,,,,-0.012484236029637871,0.00315811935980151,98.0,-0.00466305833491818,0.00782117769471969,0.039214417610855035,1.9844674545084815,6.378731708240155,6.497559714981946,98.0,6.4381457116110505,0.05941400337089619,0.2978944643710176,1.9844674545084815,150277015079739.75,331110578525777.8,98.0,240693796802758.78,90416781723019.02,453338560497066.94,1.9844674545084815,17.19612962193394,17.89459464354509,98.0,17.545362132739516,0.34923251080557355,1.7510086148871253,1.9844674545084815,5.952088578836918,6.156393832091631,98.0,6.054241205464274,0.1021526266273568,0.5121806353172863,1.9844674545084815,99.0,0.6363636363636364,-0.05880488142104075,-0.02580566530554836,98.0,-0.04230527336329455,0.016499608057746192,0.08272699407260778,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",8,"['z_re_T6W50', 'z_pe_T6W50', 'z_l1_T6W50', 'z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50', 'z_diameter_T6W50', 'z_asp_T6W50']",0.034639897012414524,0.08859539120441262,98.0,0.06161764410841357,0.026977747095999045,0.13526308723771477,1.9844674545084815,7.638044920080385,7.793677871756841,98.0,7.715861395918613,0.07781647583822777,0.3901621852403957,1.9844674545084815,completed,False,COMPLETE
1,7.445862036700839,2026-06-12 15:29:52.712964,2026-06-12 15:30:00.975143,0 days 00:00:08.262179,,,,,,,,,,,,,,,XGBRegressor,,,,,,2,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.18490868894938498,-0.14008179654002553,98.0,-0.16249524274470525,0.022413446204679728,0.1123782470972545,1.9844674545084815,7.306234913446936,7.585489159954742,98.0,7.445862036700839,0.1396271232539026,0.7000731264266593,1.9844674545084815,121286369911074.06,272851336655266.12,98.0,197068853283170.1,75782483372096.03,379963998586476.2,1.9844674545084815,20.485062627046233,21.57375608774103,98.0,21.029409357393632,0.5443467303473988,2.7292871792643036,1.9844674545084815,6.452947871851277,6.861450845547317,98.0,6.657199358699297,0.20425148684802027,1.0240916925214285,1.9844674545084815,99.0,0.9797979797979798,-0.5045726812828166,-0.40629127462327497,98.0,-0.4554319779530458,0.049140703329770836,0.246385408602308,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",2,"['z_diameter_T6W50', 'z_asp_T6W50']",0.04639886416579914,0.10545110009309822,98.0,0.07592498212944868,0.029526117963649533,0.14804030357673886,1.9844674545084815,8.94002895544896,9.232117917821034,98.0,9.086073436634997,0.14604448118603586,0.7322489653772184,1.9844674545084815,completed,False,COMPLETE
2,6.470701465692091,2026-06-12 15:30:00.987673,2026-06-12 15:30:02.678313,0 days 00:00:01.690640,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,True,,,,,,,,,-0.011210156508187175,-0.007842565213368877,98.0,-0.009526360860778026,0.0016837956474091485,0.008442343118405372,1.9844674545084815,6.4271755999772235,6.514227331406959,98.0,6.470701465692091,0.04352586571486724,0.21823330726383328,1.9844674545084815,177362192179804.47,390233218901305.0,98.0,283797705540554.75,106435513360750.28,533654499676188.6,1.9844674545084815,16.307723833795393,16.76028973146299,98.0,16.53400678262919,0.22628294883379974,1.1345547179902544,1.9844674545084815,6.209905264421637,6.375653147970129,98.0,6.292779206195883,0.08287394177424634,0.4155196939186094,1.9844674545084815,99.0,1.0,-0.003045533718354805,-0.0015590076001790526,98.0,-0.0023022706592669287,0.0007432630590878763,0.00372662904890543,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l1_T6W50', 'z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50', 'z_density_T6W50', 'z_diameter_T6W50', 'z_asp_T6W50']",-0.1826294902637669,-0.09525568458853773,21.0,-0.13894258742615231,0.04368690283761458,0.09853258963769534,2.0796138447276795,7.516278401125921,7.630702038595698,98.0,7.573490219860809,0.057211818734888634,0.2868529829799335,1.9844674545084815,completed,True,COMPLETE
3,6.516173327718294,2026-06-12 15:30:02.728646,2026-06-12 15:30:08.668730,0 days 00:00:05.940084,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,False,,,,,,,,,-0.022259044782719853,-0.011180547952645739,98.0,-0.016719796367682796,0.005539248415037057,0.027773106439479136,1.9844674545084815,6.463825635920465,6.5685210195161225,98.0,6.516173327718294,0.05234769179782927,0.2624648521296612,1.9844674545084815,160706613346077.7,354113778350983.6,98.0,257410195848530.66,96703582502452.98,484859802031754.75,1.9844674545084815,16.953534762549626,17.61683820827673,98.0,17.285186485413178,0.3316517228635502,1.662860718598842,1.9844674545084815,6.100537591688438,6.2860897507058,98.0,6.193313671197119,0.09277607950868148,0.4651677877882197,1.9844674545084815,99.0,0.8282828282828283,-0.06038589810294662,-0.03870560857498065,98.0,-0.04954575333896363,0.010840144763982984,0.05435114509979019,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50', 'z_asp_T6W50']",-0.02641237359106084,0.01880425816754162,98.0,-0.0038040577117596096,0.02260831587930123,0.11335529954364734,1.9844674545084815,7.6801420891062415,7.812644177867955,98.0,7.746393133487098,0.06625104438085685,0.3321745423659401,1.9844674545084815,completed,False,COMPLETE
4,8.874628639334523,2026-06-12 15:30:08.680981,2026-06-12 15:30:10.670827,0 days 00:00:01.989846,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,4,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.4115513839895793,-0.3600435275390675,98.0,-0.3857974557643234,0.0257539282252559,0.1291270107859846,1.9844674545084815,8.71754414208993,9.031713136579116,98.0,8.874628639334523,0.15708449724459336,0.7876022404272282,1.9844674545084815,149059868075544.25,329040627125603.8,98.0,239050247600574.03,89990379525029.77,451200632615256.25,1.9844674545084815,25.646674162492843,26.535144019325337,98.0,26.09090909090909,0.4442349284162476,2.2273389865574935,1.9844674545084815,7.048715792405124,7.597748854059523,98.0,7.3232323232323235,0.27451653082719935,1.3763919324079201,1.9844674545084815,99.0,1.0,-1.1857507397955247,-1.049322042642965,98.0,-1.1175363912192449,0.06821434857627988,0.3420183067734974,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",4,"['z_re_T6W50', 'z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50']",-0.042320776845742585,0.01238521744462578,98.0,-0.014967779700558402,0.02735299714518418,0.13714454457209735,1.9844674545084815,10.796373689678843,11.123943673750132,98.0,10.960158681714487,0.16378499203564398,0.8211976925690472,1.9844674545084815,completed,True,COMPLETE
5,6.684372251525694,2026-06-12 15:30:10.683164,2026-06-12 15:30:38.628557,0 days 00:00:27.945393,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,4,,,,,,,,False,,,,,,,,,-0.05189606883235756,-0.033873432071138465,98.0,-0.04288475045174801,0.009011318380609552,0.04518163580916592,1.9844674545084815,6.612347435037591,6.756397068013798,98.0,6.684372251525694,0.07202481648810337,0.3611235215914513,1.9844674545084815,166544415761597.62,369523684296404.9,98.0,268034050029001.25,101489634267403.61,508856473625682.9,1.9844674545084815,17.89648336882442,18.77552088159061,98.0,18.336002125207514,0.4395187563830961,2.203692683295838,1.9844674545084815,6.072574079042979,6.3164400518234425,98.0,6.194507065433211,0.12193298639023188,0.6113569126646248,1.9844674545084815,99.0,0.9393939393939394,-0.15561142560743482,-0.11682406590302655,98.0,-0.13621774575523068,0.01939367985220414,0.09723751210115106,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",4,"['z_pe_T6W50', 'z_l1_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50']",-0.014703944618391534,0.03515759766519141,98.0,0.010226826523399938,0.024930771141791472,0.12499980298042605,1.9844674545084815,7.967181319158397,8.143482168578535,98.0,8.055331743868466,0.08815042471006929,0.4419753267450577,1.9844674545084815,completed,False,COMPLETE
6,6.470719984057892,2026-06-12 15:30:38.642276,2026-06-12 15:30:40.375074,0 days 00:00:01.732798,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,8,,,,,,,,False,,,,,,,,,-0.011202190836927651,-0.007848061974586913,98.0,-0.009525126405757282,0.0016770644311703698,0.00840859363272438,1.9844674545084815,6.427048934180588,6.514391033935196,98.0,6.470719984057892,0.043671049877303886,0.21896124269740824,1.9844674545084815,177341077588689.3,390187450053976.44,98.0,283764263821332.9,106423186232643.55,533592692980523.56,1.9844674545084815,16.304043845516794,16.756066433118704,98.0,16.53005513931775,0.22601129380095586,1.1331926732548148,1.9844674545084815,6.210407315786611,6.377382276998382,98.0,6.293894796392497,0.08348748060588548,0.4185959017358307,1.9844674545084815,99.0,1.0,-0.002899001445399214,-0.0014742704319454488,98.0,-0.0021866359386723314,0.0007123655067268827,0.0035717125428841863,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",8,"['z_pe_T6W50', 'z_l1_T6W50', 'z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50', 'z_density_T6W50', 'z_diameter_T6W50', 'z_asp_T6W50']",-0.2738159877470958,-0.06926446606443526,8.0,-0.17154022690576554,0.10227576084133028,0.1330558249397178,2.306004135204166,7.5157308422571845,7.630437582718084,98.0,7.573084212487634,0.05735337023044952,0.28756270467109435,1.9844674545084815,completed,False,COMPLETE
7,6.840607016907169,2026-06-12 15:30:40.387891,2026-06-12 15:30:42.268603,0 days 00:00:01.880712,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,6,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.07894241155267526,-0.05630901366689551,98.0,-0.06762571260978538,0.011316698942889872,0.056740528810950396,1.9844674545084815,6.763883841630709,6.91733019218363,98.0,6.840607016907169,0.07672317527646032,0.3846805114469111,1.9844674545084815,133653025899373.86,294628631200694.56,98.0,214140828550034.22,80487802650660.36,403555887478938.2,1.9844674545084815,19.197675045738457,20.23258650295366,98.0,19.715130774346058,0.5174557286076005,2.5944590225136124,1.9844674545084815,6.113370114525436,6.375939514183305,98.0,6.24465481435437,0.13128469982893473,0.6582452471938254,1.9844674545084815,99.0,0.9797979797979798,-0.2296978687371029,-0.18008110815044243,98.0,-0.20488948844377267,0.024808380293330233,0.12438615040396736,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",6,"['z_re_T6W50', 'z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50', 'z_density_T6W50', 'z_asp_T6W50']",0.0018521039993210815,0.04849580000753102,98.0,0.025173952003426054,0.023321848004104972,0.11693286136527753,1.9844674545084815,8.196213976412938,8.38177927825831,98.0,8.288996627335624,0.09278265092268605,0.46520073604526324,1.9844674545084815,completed,True,COMPLETE
8,6.43521710571229,2026-06-12 15:30:42.280963,2026-06-12 15:30:44.399453,0 days 00:00:02.118490,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,2,,,,,,,,False,,,,,,,,,-0.005296694916555138,-0.0026103071029064872,98.0,-0.003953501009730812,0.0013431939068243254,0.0067346081179214,1.9844674545084815,6.391025051597072,6.479409159827508,98.0,6.43521710571229,0.04419205411521743,0.2215734935066899,1.9844674545084815,159975467009718.8,352020212552703.8,98.0,255997839781211.3,96022372771492.52,481444300695108.6,1.9844674545084815,17.65731217683914,18.147715488478198,98.0,17.90251383265867,0.24520165581952721,1.2294107748851881,1.9844674545084815,5.954572557671348,6.061482746111677,98.0,6.0080276518915126,0.05345509422016428,0.26801723090786433,1.9844674545084815,99.0,1.0,-0.04022721142429414,-0.03471552869710115,98.0,-0.037471370060697645,0.0027558413635964943,0.01381744774502458,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",2,"['z_diameter_T6W50', 'z_asp_T6W50']",-0.6000178376924523,0.2500666143386587,1.0,-0.1749756116768968,0.42504222601555547,0.04730763379729824,12.706204736174694,7.646002816633272,7.764140286252719,98.0,7.7050715514429955,0.05906873480972343,0.2961633305093143,1.9844674545084815,completed,False,COMPLETE
9,6.5174531582725495,2026-06-12 15:30:44.417817,2026-06-12 15:30:46.315207,0 days 00:00:01.897390,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,6,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.024526882068469823,-0.009210885406124556,98.0,-0.01686888373729719,0.0076579983311726345,0.03839625646462153,1.9844674545084815,6.453783094446574,6.581123222098525,98.0,6.5174531582725495,0.06367006382597556,0.3192338250884204,1.9844674545084815,171124715219351.5,377653291449445.94,98.0,274389003334398.72,103264288115047.23,517754368522405.56,1.9844674545084815,17.00180857486235,17.54819953960143,98.0,17.27500405723189,0.2731954823695417,1.3697683588330942,1.9844674545084815,6.216351117039762,6.415824768356332,98.0,6.316087942698047,0.09973682565828498,0.5000681080530294,1.9844674545084815,99.0,0.7272727272727273,-0.06553417379121657,-0.03869225130565853,98.0,-0.052113212548437544,0.013420961242779014,0.06729103972011195,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",6,"['z_re_T6W50', 'z_pe_T6W50', 'z_l2_T6W50', 'z_l3_T6W50', 'z_lsc_T6W50', 'z_asp_T6W50']",-0.013531517160401475,0.04002343750234504,98.0,0.013245960170971785,0.02677747733137326,0.13425895940794236,1.9844674545084815,7.681403262453745,7.8281990384659395,98.0,7.754801150459842,0.07339788800609731,0.3680079323564102,1.9844674545084815,completed,True,COMPLETE
